screen_name,created_at,text,id
Finn_PR,2015-10-06T09:40:00,@Unilever brand success driven by those with a purpose such as sustainability. Grow twice as fast than those that don't. #TheBigDebate,651331080608464896
r_raajiv,2015-10-06T12:56:00,@Unilever @PaulPolman...First of all clean the mess of Kodaikannal and Empower Women and girls of Kodaikanal #WontBuyUnilever  @Jhatkaa,651380629100105729
dissapore,2015-10-06T17:44:00,"@Unilever ha comprato @Grom_gelato: tutto ciò che bisogna sapere
#dissaporespiega #longreads
http://t.co/pdGrm8tGyk http://t.co/hnWXqLgG4J",651453080672858113
JustinBodenkamp,2015-10-07T08:21:00,@Unilever Wie heeft dit huzarenstukje van een nieuwe verpakking bedacht? http://t.co/MnvOSz5XwR,651673684076331009
2LipsinHolland,2015-10-07T12:42:00,@Unilever Awww come on! Please bring @TalentiGelato to the NETHERLANDS!  All of your potential profits are going to KLM/Delta.,651739331116277760
8ce2a67996c8409,2015-10-08T08:42:00,@Unilever any jobs at the moment,652041430622433280
LeonardoBorrero,2015-10-08T12:10:00,"@Unilever after @TalentiGelato aquisition now buys premium Italian @Grom_gelato , pushes into high end #icecream. http://t.co/pB3yJjffbP",652093599551590400
Gattsdiego,2015-10-08T12:21:00,"@Unilever mandei minha solicitação de trainee pra vocês, será que nós vamos ser amigos ?",652096375669198849
innovsummit,2015-10-08T13:33:00,"@Unilever COE @PaulPolman 2015 Speech at UNEP.  ""Reputation is more about what people do than what they say."" http://t.co/IEe13kEkhG",652114660674662400
MOTEdge,2015-10-08T13:33:00,"@Unilever COE @PaulPolman 2015 Speech at UNEP.  ""Reputation is more about what people do than what they say."" http://t.co/EROd9qZvhG",652114662016839680
spineplay,2015-10-08T14:09:00,@Unilever @Dove @AdClubNY@adcolor #youaremorebeautifulthanyouknow #theverticals #beauty #xoAfrica #ManhattanPenthouse #nyc,652123570668208128
niamh_michail,2015-10-08T14:30:00,"@Unilever wants a scoop of the premium ice-cream market with gelato buyout
http://t.co/BqUgWbz73U http://t.co/kh4XknzKbT",652128911376015361
FoodNavigator,2015-10-08T14:30:00,"@Unilever wants a scoop of the premium ice-cream market with gelato buyout
http://t.co/SDcRgE6DTf http://t.co/w3UlJiNbXJ",652128911355068417
cheruyotedgar,2015-10-08T17:34:00,@Unilever....@MoiUniversity,652175123047415808
MsMoyake,2015-10-08T17:52:00,@Unilever does it again!!!! 3 years in a row...💯💯💯,652179855149281280
FoodNavigator,2015-10-08T18:58:00,"@Unilever strengthen's premium ice-cream range with Italian  gelato acquisition

http://t.co/SDcRgE6DTf http://t.co/xnrDwcyHF9",652196284003057664
sarahfmatthews,2015-10-09T12:29:00,"@Unilever One portion of #Marmite is 4g &amp; there are 125 portions in a 500g jar. Unhelpful, impractical information http://t.co/5XGLIiTSmV",652460899194830848
PactoGlobal,2015-10-09T12:32:00,@Unilever Chile cumple la meta de que todas sus plantas son Cero Residuo al Relleno Sanitario http://t.co/qefkoNpEeo,652461604974514176
ramdoss87,2015-10-09T13:06:00,"@Unilever @barbarafrost @GerdaVerburg @WWF @RachelWilshaw 

Don't use India as ur scambag http://t.co/D84KlLiS7n",652470157332250626
ramdoss87,2015-10-09T13:07:00,"@Unilever 

take action for this ur misatkes http://t.co/7TNnnuhFu5",652470332087885825
PactoGlobal,2015-10-09T13:32:00,@Unilever Chile se posiciona como la primera empresa del país que dejó de enviar residuos a relleno sanitario http://t.co/QGKfPVC7S0,652476817538985984
QSBsocialimpact,2015-10-09T14:51:00,@Unilever is a Social Impact Summit Supporter! #csisummit2015 https://t.co/6c9o6IDiGQ,652496585260183552
abocca73,2015-10-09T15:57:00,"@Unilever dominated Globescan’s 2015 Sustainability Leaders Survey for the fifth year running, well ahead of the competition.",652513224391294976
VeronaCapital,2015-10-09T16:40:00,@Unilever considered a HOT Emerging Market company ~ http://t.co/Jond5ZEavc,652523943430000641
dantefactor,2015-10-09T18:19:00,@unilever oprecht werkend aan een mooier morgen #dvdd15,652548836209115136
leendert57,2015-10-09T23:29:00,"@Unilever @nrc ons carriéreprogramma voor blanken en hetero's :
http://t.co/B9W3Frsceo
http://t.co/5e3J2Vuxi7
http://t.co/bxoDDFw4B3",652626927988162560
abhijeetavi,2015-10-10T03:06:00,"@Unilever &amp; ilk to do just भजन henceforth.
@yogrishiramdev partners wth @BigBazaar
http://t.co/4qtWawMPLv @inshorts http://t.co/NvPLBjhp2M",652681662870851584
imma2cute,2015-10-10T10:17:00,"@Unilever please kindly ff back, thanks. #grateful",652790163182104576
SeeParty25,2015-10-10T16:35:00,@Unilever Sustainable Living Plan case study @theranos . I have never felt this proud to be part of this company !@PaulPolman  #techwomen15,652885252587675648
FabulousHayz,2015-10-11T07:59:00,@Unilever Pls  tell me if u have discontinued Royco wedge spice. I havent seen it in stores for mnths. Cant do without it. My wedges are sad,653117680489234432
Jordi_1990,2015-10-11T17:03:00,@Unilever 'Consumers wants brands that stand for something' http://t.co/pxy59WHZM5 via @MarketingUK. This consumer agrees with it! ;),653254546085531649
deebydibi,2015-10-12T07:33:00,@Unilever I want internship in Marketing,653473631830474753
Workatlboro,2015-10-12T09:09:00,"@Unilever are looking to recruit for their 2016 Supply Chain placement!! Apply Now&gt;&gt;&gt;

http://t.co/EJ4uZNqL2j http://t.co/QAbJdBCCvO",653497609223430144
MartijnDaamen,2015-10-12T10:39:00,"@Unilever ...Hoort deze boter een haring-smaak te hebben? Nog nooit eerder gemerkt, maar deze keer niet lekker. http://t.co/y10nZlpRxF",653520347711545344
nemo1698,2015-10-12T11:28:00,@Unilever Are there any apprenticeship programs in India?,653532682006081536
macharoesink,2015-10-12T16:46:00,@unilever @Dove producten? @milieudefensie  https://t.co/hYdvLNYcCi,653612810182729729
JesseMillette,2015-10-12T17:33:00,@Unilever I would really appreciate a follow back from you!,653624515486945280
braveoneagency,2015-10-13T00:05:00,@Unilever : Brands that stand for something grow twice as fast #causemarketing via @MarketingUK http://t.co/kRXmxnFIev,653723071845564416
_MariaPetrova,2015-10-13T00:20:00,@Unilever please start using #SocialPlastic from @PlasticBank. Do your part to reduce poverty &amp; plastic waste,653726964281421824
Eibar32,2015-10-13T00:44:00,"@Unilever I'm so sad and desapointed of being part of Unilever group, the acquisition of one of your franchises was my worst mistakes",653733121142030336
PranavSTH,2015-10-13T07:49:00,@Unilever's VP of Sustainability and @GoneAdventurin's @Jacqui_Hocking inspiring talk on #BrandPurpose at #SBKL15 http://t.co/IKR4RzgLL0,653840042645782529
Ghostwriter37,2015-10-13T09:18:00,@Unilever is named number one company for ‘brand purpose’: http://t.co/bXTFleEEuQ,653862307496361984
mediatorltd,2015-10-13T10:29:00,@unilever Next Big Thing Event just started with Heat 1 pithes to fund a new start up @adtech_london http://t.co/RvUtxgZTm4,653880133368041472
PeterDart,2015-10-13T13:14:00,@Unilever takes the top spot in Marketing Week's Top 100 companies for ‘brand purpose’ #CSR #sustainability https://t.co/Wqh1WZ4td3,653921713034514432
IceCreamAvenged,2015-10-13T15:22:00,"@Unilever @benandjerrys today was a sad day. it is with much regret, that i must declare war. 
wanna be allies? @haagendazsuk ?",653953893760679936
IceCreamAvenged,2015-10-13T15:35:00,@Unilever I shall offer an ultimatum. Ice Cream or Give me controlling shares in your company and a seat on the board of directors.,653957224314871809
