screen_name,created_at,text,id
yaboypixel,2015-10-13T19:52:00,@UPSHelp should be getting a call in a hour,654022009429475329
kingsfan626,2015-10-13T21:08:00,"@UPSHelp Same fake ""How may I help you"" routine when your answer is always there's nothing we can do.",654041116509995008
Dirk_Gently,2015-10-13T22:21:00,"@UPSHelp So it has been a week since i’ve filed a claim and still haven’t received an update or my package, how can i get it delivered?",654059327599312896
kompeito_mizawa,2015-10-13T22:24:00,@UPSHelp Can I pay a brokerage COD via online?,654060094116642816
bmkatz,2015-10-13T22:49:00,@UPSHelp I just got off the phone with your team…I missed the delivery by 10 minutes…and had an extremely frustrating call with your service,654066418216910849
Dirk_Gently,2015-10-13T23:24:00,"@UPSHelp OK, thank you. I’ve sent the email.",654075267468668928
carolecarter,2015-10-14T00:46:00,"@UPSHelp have tried to resolve this but since it's up to the driver apparently, it will never change. If you have ideas, please send along.",654096007878324224
bronikalazar,2015-10-14T01:03:00,@UPSHelp it says today but no time on it..,654100213242589184
ItsAmandaJewel,2015-10-14T01:42:00,@UPSHelp okay so I my order online said that it was at my house but when I went outside it wasn't there! Im little mad with you guys,654109924671094784
JonnyyyMack,2015-10-14T03:02:00,@UPSHelp this is far from the customer service I've come to expect from you guys,654130056566956033
LaserNoodles,2015-10-14T03:48:00,"@UPSHelp I have emailed them. Given all the previous promises I've been made, I'm not holding my breath for results.",654141662260797440
OldMaidWhovian,2015-10-14T06:46:00,"@UPSHelp what???  I was referring to poor mail delivery, UPS was not involved at all. The UPS reference was meant as sarcasam to USPS",654186466323656704
axelkenninck,2015-10-14T14:53:00,@UPSHelp It’s the local centre in Amsterdam. That should be enough info right? What else do you need?,654308941422292992
JoyDNL,2015-10-14T14:55:00,@UPSHelp Please call me.  I will direct message you with number.  The truck speed AGAIN this morning is inexcusable!!!,654309668723027968
JoyDNL,2015-10-14T15:01:00,@UPSHelp I direct messaged customer support twitter with my phone #,654311077983989760
