screen_name,created_at,text,id
crazygirrl,2015-10-15T00:43:00,"@VerizonSupport The power light, the DSL light, the Internet light is flashing and the Wireless is flashing.",654457593117544448
crazygirrl,2015-10-15T00:45:00,@VerizonSupport This usually means that my service is about to cut off and I will have to turn the modem off and on to get 20 min of service,654457914514477056
Misterchief,2015-10-15T00:52:00,"@VerizonSupport My mom is having some weird signal glitches on multiple channels, including syfy, bravo, and the history channel.",654459747576479744
Misterchief,2015-10-15T00:59:00,"@VerizonSupport God, I feel stupid. In fairness I was asking because my mother complained. Thanks!",654461493681999872
ArielleDRoss,2015-10-15T01:24:00,@VerizonSupport my cell account. Travelling to Canada next week.,654467956383031296
_HerbSpice,2015-10-15T04:21:00,@VerizonSupport idk man but this shit don't work 😪,654512484108378112
whoisrotciv,2015-10-15T04:25:00,"@VerizonSupport no, probably because a day before I received the ad, made changes to my account. I would like to cancel those changes",654513346209837057
BestDanielNA,2015-10-15T06:09:00,"@VerizonSupport yes, power cycling did nothing",654539486550855680
ZackEastWCXT,2015-10-15T12:13:00,@VerizonSupport I want my FM radio! Unlock the FM chip on all @Verizonwireless phones so I can listen for free! #unlockFM #freeradio,654631159628959744
rkellum1,2015-10-15T12:20:00,@VerizonSupport I want my FM radio! Unlock the FM chip on all @Verizonwireless phones so I can listen for free! #unlockFM #freeradio,654632909798797312
DarbNosbig,2015-10-15T13:16:00,@VerizonSupport I want my FM radio! Unlock the FM chip on all @Verizonwireless phones so I can listen for free! #unlockFM #freeradio,654646939514896384
lgariepy,2015-10-15T14:04:00,@VerizonSupport I want my FM radio! Unlock the FM chip on all @Verizonwireless phones so I can listen for free! #unlockFM #freeradio,654659036747403264
steven_johndro,2015-10-15T14:39:00,@VerizonSupport I want my FM radio! Unlock the FM chip on all @Verizonwireless phones so I can listen for free! #unlockFM #freeradio,654667952118087685
asrrraaa,2015-10-15T15:14:00,@VerizonSupport wifi,654676701507485697
kimthewriter,2015-10-15T15:21:00,@VerizonSupport Who can I talk with about slow internet in our neighborhood? Many houses affected. Thanks.,654678455670345728
BuffaloCigars,2015-10-15T15:34:00,@VerizonSupport Please unlock the FM chip on @Verizonwireless phones so I can listen for free to @NextRadioApp! #unlockFM #freeradio,654681651159560192
bgtheory,2015-10-15T15:50:00,@VerizonSupport Yep. Saw 'waiting' for 1 hour. Txt said someone here by 9:45 so took off work this AM and no one bothered to show/call,654685821384060929
PhilinFrogee,2015-10-15T15:52:00,@VerizonSupport Unlock the FM chip on all @Verizonwireless phones so I can listen for free to @NextRadioApp! #unlockFM #freeradio,654686278722519041
pattyschlegel69,2015-10-15T16:42:00,@VerizonSupport again. ..I cannot sign in to WI fi ***so I'm putting my GB'S to good use by tweeting. Call me http://t.co/7m20Yifap0,654698776179834881
MarieCloudCRM,2015-10-15T18:07:00,@VerizonSupport I need paper bill sent to my home address for #7817994845. I cannot get on your webpage locking me out,654720158594797569
beantownkate,2015-10-15T18:54:00,At a Business @VerizonSupport and I'm sick of it.,654732061928894464
IMdddomeysdaddy,2015-10-15T19:56:00,"@VerizonSupport It would be great if i could just get my internet installed without having to ask and ask, but big apartments are hard",654747733773844481
missyb24,2015-10-15T23:30:00,@VerizonSupport web is so slow | Cant get on 2 support 2 find out what issue is | 2 kids trying to do homework = not a happy household😡,654801509884948480
jcann87,2015-10-16T01:24:00,"@VerizonSupport turns 2 rec-ing show while watching demand! b/c I can't FF on demand, have 2 watch entire 90 min show again 2 c last 10 min!",654830292918775808
jcann87,2015-10-16T01:25:00,@VerizonSupport and it records shows I've never set to record and doesn't cancel when I try to!,654830435458023424
arcane93,2015-10-16T01:42:00,@VerizonSupport Can't even get to the on demand titles on it right now -- that message comes up immediately on hitting the on demand button.,654834871035129861
MarieCloudCRM,2015-10-16T01:49:00,@VerizonSupport please just send me a hard copy bill this is ridiculous!,654836421828718592
