screen_name,created_at,text,id
JackM_DCFC,2015-10-06T18:42:00,@VWUKHelp any idea if my car has arrived in the UK yet? Any idea which port? 25395741 many thanks #withintouchingdistance,651467601017729024
stuartfinnigan,2015-10-06T20:06:00,@SKODAUK Slow to update? http://t.co/KxaR30glJ3,651488706038247424
samhoulden,2015-10-06T20:47:00,@VWUKHelp Hello - Is the current (Mk7) Golf GTD not compatible with Apple CarPlay?,651499055361753089
PoppyDouglass,2015-10-06T21:43:00,@VWUKHelp My car is affected ~ So I paid over the odds to go green and was #conned  no more VW for me😳😡 http://t.co/i1QdqK1HUA,651513060323147776
jaypatel4eyes,2015-10-06T22:04:00,@VWUKHelp I have a bluemotion with a EA 189 engine. Pls contact me as the car did have a software fix this yr that I want 2 talk about,651518479598813184
udouseless,2015-10-07T07:31:00,"@SKODAUK @SKODAUK_Media
The emission scandal, you told me a rep.will call me back in regard to my concerns of your fraudulent behaviour.",651661099700461568
Oldagepension,2015-10-07T08:06:00,@VWUKHelp seriously VW is this the best you can do? Doesn't inspire any confidence whatsoever. Even my name is wrong http://t.co/uCT8MgiB0J,651669801069359104
NotiWebSanJuan,2015-10-07T13:31:00,@Volkswagen tardará meses en arreglar el desbarajuste de sus coches trucados http://t.co/SaP5w7VTRJ,651751733635317760
NotiWebVteLopez,2015-10-07T13:42:00,@Volkswagen tardará meses en arreglar el desbarajuste de sus coches trucados http://t.co/toAZKBrqmL,651754355222163456
JavierCaso,2015-10-07T14:15:00,"@Volkswagen La plataforma de #afectadosVolkswagen creada por FACUA supera ya los 20.000 miembros
https://t.co/jBZFU2e3N2",651762890832244737
tomostbc,2015-10-07T15:05:00,@VWUKHelp Brill - Thanks!,651775384204218372
RoccaNews,2015-10-07T16:56:00,@volkswagen says that recall will go on until 2016... #volkswagen #car #volkswagenscandal,651803363093442561
DutchBhoy7,2015-10-07T17:29:00,@SKODAUK Just found out my Skoda is one of the dodgy ones! Fan-f*cking-tastic! Thanks very much! #VWemissions #VWGate,651811612706406400
