screen_name,created_at,text,id
activitypeople,2015-10-14T10:06:00,@AsdaServiceTeam Thanks for the favorite guys - and for filling our tummies with #yummygoodness,654236714085560320
BuddPop,2015-10-14T12:54:00,@AsdaServiceTeam why does your website say £1.79 then?,654278996130144256
AsdaServiceTeam,2015-10-14T13:14:00,"@abbiewesterby It can take up to 4 working days for a response, have you received a reference number? Thanks Lucy",654284228054528000
Rozziep24,2015-10-14T13:52:00,"@AsdaServiceTeam delivery was late, blocked my husbands car in, delivery was then taken away. Not happy",654293673732145152
AnnRSPBNBucks,2015-10-14T14:33:00,@AsdaServiceTeam &amp; switchboard just put you through ... phone rings &amp; rings - then you get cut off and have to start all over again!!!,654303936174800896
EmmyRaine,2015-10-14T15:10:00,@AsdaServiceTeam is there an email address for complaints?,654313245734477824
ashakeane,2015-10-14T15:33:00,"@AsdaServiceTeam would bring it 'tomorow', we called the number and was directed to your call centre in South Africa (very helpful), and (2)",654319035870523392
ashakeane,2015-10-14T15:34:00,"@AsdaServiceTeam be there, and not be informed we could always just add it to our 'next order'. We are regular customers and have been (5)",654319389517443073
carlys87,2015-10-14T16:26:00,@AsdaServiceTeam still no reply!,654332407441715201
dandy_lio,2015-10-14T17:52:00,@AsdaServiceTeam Sent an email about an order on the 8th and have had no reply.,654354077778870273
AsdaServiceTeam,2015-10-14T18:48:00,"@lofftyh Hi there, Sorry about this. After speaking to store they do seem to have carrier bags in store. Thanks-Will",654368196883968000
bigstace9,2015-10-15T09:32:00,@AsdaServiceTeam Swansea-Very little feedback from customer services despite approaching them 3 times-extra time wasted waiting to complain!,654590680090677249
SophieWhite97,2015-10-15T09:40:00,"@AsdaServiceTeam no, for 2 hours they just said it was running late and then it just got delayed until today",654592649370935296
adele_tomlinson,2015-10-15T11:11:00,@AsdaServiceTeam so disgusted! My mum bought me some cartons of drink two weeks ago and they went out of date in June!,654615452547739653
vickilou7482,2015-10-15T11:41:00,@AsdaServiceTeam have you 5 of these in any of your stores in wigan or Leigh area?? http://t.co/SZ0LKhaeYB,654623168557137920
_dh_papermoon84,2015-10-15T12:39:00,"@AsdaServiceTeam Cardiff bay, they always get to you eventually.. Just after they've finished their conversation",654637833462906880
StephaniePotts1,2015-10-15T12:56:00,"@AsdaServiceTeam thank you, I will now post a screenshot on FB to show them idiotic people make this up! Thanks Asda/Beth 😁",654642092111720448
djginge82,2015-10-15T14:44:00,"@AsdaServiceTeam sole with the team! No sign of it they recon, promised a call back ..not received, beyond a joke",654669227509452809
Nnaaoommee,2015-10-15T14:56:00,@AsdaServiceTeam You guys would be amazing if you introduced an allergy filter in your product searches! So much time would be saved.,654672121881169920
fell662,2015-10-15T15:05:00,@AsdaServiceTeam yes and for some reason my order was cancelled and no one bothered to let me know despite having a e mail this morning,654674524659539969
MandaJenko4,2015-10-15T16:41:00,"@AsdaServiceTeam hi I sent the email last Monday, it's been 10 days now. Can you please chase it up for me?",654698730541572096
hayleylcollett,2015-10-15T17:29:00,@AsdaServiceTeam I pay £5 a month for 12 months but I'm still getting money take out on top 40p here 20p there. It's not aloy but why,654710678318505984
Jojo1969Joanne,2015-10-15T17:35:00,"@AsdaServiceTeam just had shopping delivered,1 tin of sausage n beans with a bag to itself #disgraceful  asda",654712164054253568
JennyStart1980,2015-10-15T18:15:00,@AsdaServiceTeam take it back? pay £.1.50 parking + petrol for a replacement £2 sandwich. (+6p bag) no ta!. Check ur hygiene in production!,654722333836382208
Markylanc,2015-10-15T20:11:00,@AsdaServiceTeam  its a tobacco product on you cig counter,654751522895495169
carlyandrews26,2015-10-15T22:19:00,"@AsdaServiceTeam dishwasher safe, microwave safe, but not safe for a cup of tea! Not on one but two mugs!Disgusting http://t.co/QjgXV3s9vg",654783565524172801
jamestilbury,2015-10-16T06:24:00,@AsdaServiceTeam any news about it?,654905701521821696
pasparakis,2015-10-16T07:01:00,"@AsdaServiceTeam Morning, it's been 3 weeks and your tills still do not recognise ciabatta rolls.",654915091889045504
charlotte_bish,2015-10-16T09:08:00,@AsdaServiceTeam I'll give that a go. Thanks for the quick response,654947011398148096
SANaylor,2015-10-16T10:02:00,"@AsdaServiceTeam where do I send it to, the emails bounce back and there is nowhere near enough characters on a tweet to even begin!",654960653548003328
Mamnick,2015-10-16T11:48:00,@AsdaServiceTeam it's doesn't state your going to be on hold for 40mins though! It's typical of a huge corporate machine. Disappointed,654987243405352960
ama_scarlet,2015-10-16T12:16:00,@AsdaServiceTeam Phew...thanks for clearing that up Beth 😊,654994274744971268
msemwall,2015-10-16T12:44:00,@AsdaServiceTeam @asda all blaming smart parking agent whereas asda owns the parking. I am anyway appealling but you cust service is rubbish,655001489585393666
LLHD27,2015-10-16T15:44:00,@AsdaServiceTeam asda kingswood hull. On the positive. Nice click and collect guy :),655046717323223040
Kiwimoonelmo,2015-10-16T16:04:00,@AsdaServiceTeam can someone tell me why my complaint hasn't been addressed yet? I did this 5 days ago and still have no answer?,655051612407386112
suzybearden,2015-10-16T16:17:00,"@AsdaServiceTeam disgusting service rec'd today. Text at 1pm to say card problem, money in ac, no chance to arrange payment.Lost all faith!",655054901148557312
MillieeMac,2015-10-16T18:47:00,@AsdaServiceTeam just had an order delivered and got 1 item missing 👎,655092700220366848
CheChe_Guevara,2015-10-17T08:37:00,@AsdaServiceTeam it concerns a returns bin at one of your stores.,655301621199585280
kendie,2015-10-17T08:51:00,@AsdaServiceTeam Not happy. I book an 8-9 home delivery slot and it turns up at 9.30. Reason no one to load van &amp; no one answers phone #Asda,655305039620239360
AsdaServiceTeam,2015-10-17T08:51:00,@georgialandi 2/2 bank statement if you paid by card. Zak,655305225402609664
Kiwimoonelmo,2015-10-17T10:03:00,@AsdaServiceTeam I've received a DM off you and it stops at customer.... Is there supposed to be more? Because if there is I can't see it!,655323350307356672
AsdaServiceTeam,2015-10-17T10:23:00,@seriousgeek 2/2 let one of our colleagues know and they will be happy to assist. Zak,655328286881394688
EmilySandipants,2015-10-17T11:32:00,@AsdaServiceTeam thanks Zak. Please let me know if it's good news :),655345566877143041
twistedjackass,2015-10-17T11:33:00,.@AsdaServiceTeam Defeats the point after driving all the way home for a £2 pack of strawberries. More convenient to just shop elsewhere.,655345888454381568
MattBallofStoke,2015-10-17T13:08:00,@AsdaServiceTeam went in store last night (wolstanton) and promised a call this morning. Again nothing.,655369899049680896
BigRoosk,2015-10-17T14:21:00,@AsdaServiceTeam yes and it was very obvious they literally couldn't care less!,655388247196114944
BigRoosk,2015-10-17T14:24:00,@AsdaServiceTeam 3 hours wasted and no cake to celebrate my daughters confirmation tomorrow! Very Poor,655388799434948608
Kiwimoonelmo,2015-10-17T14:35:00,"@AsdaServiceTeam I keep telling you all I can see is the first part of the message that ends with ""customer ...."" I see nothing else",655391596536594432
GraemeNewton,2015-10-17T17:58:00,@AsdaServiceTeam bury pilsworth,655442776448966656
ry_an210,2015-10-17T18:30:00,@AsdaServiceTeam 4. Remainder of the items. As I returned my girlfriend told me we wouldn't be able to buy the beer as she didn't....,655450845329408001
ry_an210,2015-10-17T18:36:00,@AsdaServiceTeam 8. I understand my girlfriend being asked for ID however when I came back the common sense thing would be to let me buy..,655452308990480385
MattBallofStoke,2015-10-17T19:18:00,@AsdaServiceTeam Carly I feel your pain. Over a week for me ... #aldihereIcome,655462850090172416
trevolly,2015-10-18T09:46:00,@AsdaServiceTeam  No. I'm absolutely livid. I was promised a call today at 10am and nothing. I'm so upset by lack of interest,655681365875273728
NikkiDouglasx,2015-10-18T10:30:00,@AsdaServiceTeam I couldn't add my new debit card to pay the order. Tried to talk me through the steps like im thick.No resolution,655692430264659968
MattBallofStoke,2015-10-18T10:34:00,@AsdaServiceTeam @asda Wolstanton. Just called store waited over 5 mins on hold. Twitter no use. Store no use. 0800 number no use ...,655693471253155840
MattBallofStoke,2015-10-18T10:35:00,@AsdaServiceTeam @asda where next? Andy Clarke?,655693727869063168
VJChildcare,2015-10-18T11:22:00,"@AsdaServiceTeam thanks Beth all sorted it seems to be a problem with the app, not the websits",655705538991403008
J_WaglandPT,2015-10-18T11:33:00,@AsdaServiceTeam yeah I did but he was working so wasn't able to give me a cuddle for long 😔,655708287523016705
gg_rasputin,2015-10-18T13:18:00,@AsdaServiceTeam long queues (5-7 deep on main banks ) and not great customer service today #wheatley #whoops http://t.co/wCWylt8n6P,655734668843683840
winnie1980,2015-10-18T13:37:00,@AsdaServiceTeam tried but been on hold for ages,655739535410753536
