screen_name,created_at,text,id
WarehamCio,2015-10-07T17:19:00,@BootsUK I've tried to download the app on my tablet to take advantage of the points I was posted but it seems to be compactable...(1/2),651809100179853312
sabiiaah_,2015-10-07T19:35:00,@BootsUK - Everything I ordered is missing. EXPLAIN!?,651843320650592256
JennyCole04,2015-10-07T19:49:00,@BootsUK Thank you!,651846890439483392
Doyley1968,2015-10-07T22:08:00,@BootsUK what Calendar are you using? http://t.co/BZ1dbl3Yu5,651881898252369920
AntMelvin,2015-10-08T12:26:00,"@BootsUK What the L, something missing from my BLT today #Boots http://t.co/7c9EaYbTp9",652097678411743232
NicoleBurgess,2015-10-08T14:26:00,@BootsUK what date is this as the 30th October is a Friday no a thurs??? http://t.co/EeCuqSfDXS,652127892042850305
beautwithcharm,2015-10-08T16:52:00,"@BootsUK thank you so much, glad you liked the post :D x",652164689141460992
martijnderoo,2015-10-08T18:05:00,@BootsUK what is your email address for complaints ? 1000 characters on your webform simply isn't enough,652182946451996676
charMaxiBrew21,2015-10-08T19:46:00,@BootsUK I give it a go! :-),652208395949375490
Rach_conroyy,2015-10-09T09:16:00,"@BootsUK if a product, for example is £30 and I have £10 in boots card points, could I use the points and pay the remainder of the amount?",652412277363245056
otralilos,2015-10-09T09:21:00,@BootsUK have you chose m&amp;g winner,652413630818971648
ClaireStoke23,2015-10-09T10:29:00,@BootsUK #malariatabs Do I require tablets for my trip to Cambodia? If so do you sell them? I fly in 2 weeks time.,652430561441640449
Laurella89,2015-10-09T11:19:00,@BootsUK why have you stopped selling meal deals at Walton on Thames? I haven't seen anything for like two months. Please bring them back!,652443319776215041
jaffawine,2015-10-09T12:55:00,@BootsUK discovered your Wensleydale &amp; Beetroot wrap this lunchtime! Delicious. New fav lunch meal http://t.co/OudrIsULwE,652467526908121088
Fabiaburlesque,2015-10-09T12:55:00,@BootsUK Started my #christmas shopping 🎄🎅🎁 http://t.co/B3sXqzcQi9,652467508759392256
clairaconnolly,2015-10-09T13:13:00,@BootsUK your vegetarian food selection is tripe and bland,652471979761602560
colourmecopper,2015-10-09T13:32:00,@BootsUK been using it for 1 day and can already see the difference in my skin! #miracleproduct,652476805081923584
scrapchallenge1,2015-10-09T15:19:00,@BootsUK they'll join the other 250+ when I get home ;),652503672224641025
Alis380,2015-10-09T18:04:00,@BootsUK are you doing a beauty advent calendar again this year? 💅🏻,652545266801864704
ScarlettA_fire,2015-10-09T18:12:00,@BootsUK just received my online order of 7 items only to open the huge &amp; box and find 3. What's this about then? http://t.co/rG5bM7R19W,652547301454557184
albion80,2015-10-09T18:56:00,@BootsUK Any reason your Leeds Trinity shop is closed 10 mins before the advertised closing time?,652558184931045376
traceyp34,2015-10-10T10:41:00,"@BootsUK your member of staff Bernie at boots in station road , herne bay Kent ct6 , is a credit to you",652796017717420032
NevilleGaunt,2015-10-10T12:39:00,@BootsUK Thurs my wife  registered online for an eye appointment - was told would hear back in 24 hours. It's now 48hrs later?,652825869644365825
