screen_name,created_at,text,id
LloydGeorgii,2015-10-13T11:11:00,@Disney  and @OfficialHARIBO fix everything ❤️,653890908899950592
pd_phuckzUPsht,2015-10-13T14:09:00,"@Disney full speed huh, well 1st I wud break yall faces on au blitz attack gain, strong safety Jehovah E7 Lott, wit on da otha side comes",653935518258982912
pd_phuckzUPsht,2015-10-13T14:18:00,"@Disney shock, like get au grip, wen we both turn, da ball wud still be held but, da neck dangly wit my fingas feelin a sic pinch, cuz it",653937966436458496
pd_phuckzUPsht,2015-10-13T14:23:00,"@Disney ran to da ss side, da strong safety wud go helmet to helmet, cuz comin around au corner, wit au ball, nobody can see too well, and",653939157513936896
pd_phuckzUPsht,2015-10-13T14:28:00,"@Disney due to lookin to make sure not trip on ya blockas back hill foot, wen afta da ball is handed off, so anyway by da tyme u spot da ss",653940391767633920
pd_phuckzUPsht,2015-10-13T14:33:00,"@Disney struck, cuz au hard hit from au quik look ova, helmet to helmet and den ya back hit on da ground wud make da football helmet pads",653941598796054528
ACallCreative,2015-10-13T15:04:00,@Disney Really? Almost $150 for Snow White Diamond Edition? Is having your movies in the vault all about the money? For shame.,653949471278043136
Julieschmitz52A,2015-10-13T18:18:00,@Disney Stella no cookie not good for you,653998383103897601
TeamBrittana,2015-10-13T23:00:00,"@Disney Why didn't you release Aladdin on blu ray 3D like The Lion king, Beauty and the Beast, The Little Mermaid, and Finding Nemo?",654069193298563072
trendymomreview,2015-10-14T03:17:00,"@Disney Cinderella Blu-Ray, DVD and Digital HD GIVEAWAY #DisneyCinderella http://t.co/glFZqjtaHq via @NYCSingleMom",654133786746167296
DementedWolfLuv,2015-10-14T03:34:00,@Disney I demand a return of Gargoyles. I miss that show so much with all my heart.,654138207244709888
Jman_games34,2015-10-14T05:21:00,@Disney quick question and sorry if I'm late but why did the hyperspace hoopla at Star Wars weekends get cancelled? My brother loved it,654165071468212224
Mf_maurimoto,2015-10-14T05:42:00,@Disney really get their hands on some amazing stories and make terrible fuckin movies hyu,654170513699291136
Nyphette_Fics,2015-10-14T09:31:00,@Disney Really disappointed w/the #batb version of #OUAT.  U allowed them 2 end the batb storyline for #Rumbelle.  They're not batb anymore-,654227912535748608
Nyphette_Fics,2015-10-14T09:43:00,"@Disney 1st they took away Rumple's curse, the rose was pointless-how many iconic batb symbols have 2 fall flat b4 u get the memo? #OUAT",654230934267523072
