screen_name,created_at,text,id
LeeMcCartney,2015-10-08T18:19:00,@premierinn any update on adding @1Password support to your app? I sent a tweet with link to https://t.co/CAiZOtNd16 a few months ago.,652186667839815680
leemorgan9,2015-10-08T18:24:00,"@premierinn hey guys do you have an email address? I need to ask you a question about a booking.
Thanks",652187895806214145
putting_gott,2015-10-08T19:55:00,@premierinn Many thanks to Tamara at the Norwich Broadlands Premier Inn for all her help last Friday. Very much appreciated.,652210778095898625
kaylar101,2015-10-08T20:29:00,"@premierinn Christchurch lovely staff, great location, noisy residents and slow wifi #CustomerExperience",652219261402935297
apostrophediva,2015-10-08T22:47:00,@premierinn ..flexible rate but when I click to book says 'not available for selected dates'. Don't know what's going wrong? Can I DM you?,652254138324156416
LawsonCambridge,2015-10-09T10:07:00,@premierinn I am. Am I right in saying there is an option to book but not pay until arrival?,652425229499826176
JaggsKorh,2015-10-09T11:53:00,@premierinn hi do you do any concessions for blue badge holders or carers?,652451902123327488
padavii,2015-10-09T12:55:00,@premierinn wondering why Bianca hasn't replied to my email re being charged when didn't get confirmation.,652467306283552768
rossco3343,2015-10-09T13:12:00,@premierinn what do you serve breakfast till??,652471812060774400
sparkymarky245,2015-10-09T15:14:00,@premierinn Appaling service at ur hammersmith branch,652502504962424832
SweetpeaRooet,2015-10-09T15:31:00,@premierinn PAH! Getting nowhere with my complaint. Customers who've had a poor experience are not priority. Great stay guarantee my arm!,652506743927406592
sparkymarky245,2015-10-09T16:46:00,@premierinn starter better than @TravelodgeUK and not made by reception staff http://t.co/5S3EYkmmb9,652525521650229249
lloyd_5,2015-10-09T17:11:00,@premierinn no not at the minute won't be back until monday,652531734819565573
lloyd_5,2015-10-09T17:17:00,@premierinn thanks for your help,652533454152798208
SocialBeastie,2015-10-09T18:37:00,"@premierinn Okay, thanks - I appreciate it.",652553399439859714
Baribandgeek,2015-10-09T19:08:00,@premierinn Your website is advertising the meal deal at £23.99 but me &amp; my wife have been charged £24.99.,652561212891373568
mikew30,2015-10-09T19:30:00,@premierinn thanks! Reminds me I need to book some rooms for other races earlier next year. Hope there's still space in Eastbourne in April.,652566883795902464
DanDJMorris,2015-10-09T19:33:00,@premierinn How far in advance do you have to book in advance to get a room for £35?,652567553219383298
mikew30,2015-10-09T20:05:00,@premierinn one more booked :). This is turning into a productive evening :),652575756896333826
kmfkayley,2015-10-09T20:33:00,@premierinn do your rooms have dvd players?,652582655221977089
mikew30,2015-10-09T21:10:00,"@premierinn one done, can't decide what to do with last one as hoping to finish race around 6:00am",652592047052980225
hannahhortonx,2015-10-09T22:18:00,@premierinn lockyers quay hotel in Plymouth is soooooo nice,652609139210907648
Sharkinthepool,2015-10-10T05:32:00,"@premierinn no I didn't as I only wanted to check my email, tweet and look at my Facebook which should be doable on the free wifi.",652718326079201281
charliejones112,2015-10-10T09:01:00,"@premierinn I had a awesome nights sleep at your Birmingham new st branch, where I can buy a mattress from? #bestsleepever!",652770928091373568
FionaCClark,2015-10-10T09:17:00,"@premierinn excellent customer service and no quibble guarantee. Leaving very happy despite a poor nights sleep, will definitely be back.",652775011758014464
chelssswby,2015-10-10T09:34:00,@premierinn so we don't need an 18 year old with us?,652779178836795393
mattcroft77,2015-10-10T16:03:00,"@premierinn waited nearly half an hour for a drink, shocking service at Gillingham Victory Pier ! Bet Lenny wouldn't be happy!!!!",652877186001694720
MarkDHarwood,2015-10-10T17:30:00,@premierinn #ThymeSummer my little monkey 😁 http://t.co/pzba9L3dVn,652898895941488640
mattcroft77,2015-10-11T08:52:00,"@premierinn all good, thanks. Also, flapjacks at breakfast?.... Very different! (But good, so don't tell anyone please!!!)",653131141466181632
richardcross7,2015-10-11T09:08:00,@premierinn haha of course KB - oh yeh and great in-room entertainment as well 😜👍🏼,653135168711053312
lawbeanster,2015-10-11T10:03:00,@premierinn shame about the unsupervised children running up &amp; down the corridor screaming &amp; banging on doors. Tired today!,653148912065323008
philliptattum,2015-10-11T10:37:00,@premierinn do your staff have a right to enter rooms when people are undressed? Or to swear at guests?,653157347792187392
JayHoRay,2015-10-11T14:33:00,@premierinn Lorraine the receptionist at Wimbledon. Rude? Basil Fawlty could take lessons from her!,653216909840789505
LyndsaySnod,2015-10-11T15:02:00,@premierinn Super service from Priscilla at Sheffield St Marys Gate. She's a credit to you! 10/10  :-),653224080670347264
barnesemma56,2015-10-11T19:15:00,@premierinn @BenClarkMusicUK hey guys,653287710115930112
GrndhoppingGrl,2015-10-11T23:52:00,"@premierinn Yes. I'm in Bristol King St, staff couldn't have been nicer but couldn't be moved last night as full.Refund given,new room now.",653357511509209088
GrndhoppingGrl,2015-10-11T23:53:00,@premierinn Very happy with everything now but you really shouldn't let these rooms when this clearly happens all the time.,653357699514634244
stourhill,2015-10-12T07:35:00,@premierinn thanks!!!,653473928090927104
NezRees69,2015-10-12T08:22:00,"@premierinn 3rd time asking for a completely hard boiled egg for my 9yr old.Twice came soft, now totally raw! http://t.co/X4NtaVa6rY",653485936907550720
londongreasetrp,2015-10-12T10:14:00,@premierinn are you saying Premier Inn do not have a four hour call out arrangement for the lifts in your hotels??,653513970205224960
leejh55,2015-10-12T16:44:00,"@premierinn Hi Premier Inn, can you tell me when your new Hotel in Uxbridge is open from please?",653612268408733696
putting_gott,2015-10-12T17:36:00,@premierinn Good stuff. Thank you.,653625278015610880
sawdy_land,2015-10-12T19:09:00,"@premierinn hi, I have done so. Thank you",653648694319939585
greigcardwell,2015-10-12T22:17:00,@premierinn is there a way of contacting reception @ Childer Thornton without going downstairs? Think they've forgotten about my request.,653696121815072768
haylodger,2015-10-12T22:43:00,@premierinn Here's a wee video. Half eleven now. #goodnightguarantee http://t.co/VGKGxIfYRT,653702465490153472
haylodger,2015-10-12T23:06:00,"@premierinn But it's now past midnight, work continues unabated. This is utterly miserable and a very, very, expensive insult.",653708298013790208
VAtrainingpro,2015-10-13T08:08:00,@premierinn sure will do tonight post @officeshow  - staying in a different one of your hotels tonight,653844773040734208
Spraggless,2015-10-13T09:41:00,"@premierinn Hi, can you confirm if your Glasgow George Sq hotel offers interconnecting rooms?",653868134785515521
MrsOnody,2015-10-13T11:04:00,@premierinn I accidentally booked a room at High Wycombe at premier saver rate twice - can I get my money back?,653889019844120576
