screen_name,created_at,text,id
WholeFoods,2015-10-09T15:36:00,@1LOCDIVA We have an Android app! You can find the link to download it at http://t.co/pECBdb24lO,652507849361330177
WholeFoods,2015-10-09T15:37:00,"@LocaLizard So sorry about that. Let your friend know to reach out to the store, they'll be happy to help!",652508107973771264
WholeFoods,2015-10-09T16:39:00,"@JamesBBeales Oh no, were you able to let the store know so they could replace/make it right for you?",652523815210229760
WholeFoods,2015-10-09T16:45:00,A great #tailgating snack (try it grilled)! Apple &amp; Cheddar Whole Wheat Quesadilla: http://t.co/Otl2t7mjuX http://t.co/n2vnGhsGxn,652525203285778436
WholeFoods,2015-10-09T16:52:00,@ellygnthv I heard back from the store that the org. mission figs are still in stock. They were temp gone so the bin could be cleaned!!,652527010493939712
WholeFoods,2015-10-09T18:40:00,@ash_zee My apologies. Happy to pass along the feedback. Which store was this?,652554349168721920
WholeFoods,2015-10-09T18:50:00,@Vspiz Our intent is to portray a confident future shopper who makes conscious choices that are kinder to our world.,652556881840447489
WholeFoods,2015-10-10T00:00:00,Chili is a must for an epic #tailgating party... Try this one made w/ bison: http://t.co/kgIeJrLZ1P http://t.co/ol4COTCC9k,652634680517390336
WholeFoods,2015-10-10T00:39:00,@waxelene 😍 😍 😍,652644489119535104
WholeFoods,2015-10-10T01:00:00,"Let's think about brunch for the weekend... Pasta Frittata w/ Bacon, Chard &amp; Goat Cheese: http://t.co/1OZV8MVf7p http://t.co/VcquFwsyuP",652649775469318144
WholeFoods,2015-10-10T01:09:00,@DebElkins Thanks for thinking of us! Did you know you can submit a suggestion for a new store location? http://t.co/7zilGdOB4Z,652652114410385409
WholeFoods,2015-10-10T13:00:00,Love coffee?? ...Then you're going to love it even more with these add-ins: http://t.co/2M0RnsEhfd http://t.co/RHmD6gyUYt,652830981787910144
WholeFoods,2015-10-10T15:53:00,@jzmorrow3 Sorry to hear about this! Please let your store know... they'll love the opportunity to make it up to you!,652874514326519808
WholeFoods,2015-10-10T16:00:00,Don't forget the sweet tea vodka! Arnold Palmer Slushie: http://t.co/udFwThQmn1 #Tailgating http://t.co/xkryO6SysD,652876277456740352
WholeFoods,2015-10-10T16:19:00,@SeaSaltandPoms We have missed you too! Welcome back!,652881056341823488
WholeFoods,2015-10-10T19:28:00,@suchAbellaWoman Pumpkintastic! Hope you grabbed some good ones. ;),652928636216025088
WholeFoods,2015-10-11T00:33:00,@NicGfield We're happy you liked it :),653005438548606976
WholeFoods,2015-10-11T08:49:00,@basicpayton Thanks for thinking of us! Did you know you can submit a suggestion for a new store location? http://t.co/bVnfbhlN9e,653130369894612992
WholeFoods,2015-10-12T14:02:00,Here are 7 dishes you should make this week... http://t.co/LWpWal1WZm http://t.co/7sd39zbj7w,653571381137944576
WholeFoods,2015-10-12T14:22:00,@ChristynReuter Can you maybe ask him for a sample?,653576404764901376
WholeFoods,2015-10-12T14:28:00,@LGerst We have store slated for Kansas City but not sure if it's downtown. The store will have page on our site at http://t.co/ZdEVc7aOex,653577999481184256
WholeFoods,2015-10-12T15:04:00,@missedthemarc My apologies. Were you able to let anyone in the store know when you were there?,653586929557053440
WholeFoods,2015-10-12T18:43:00,@JamarD_ Like a personal chef?,653642242133987328
WholeFoods,2015-10-12T19:11:00,@LoveBeeSweet We are! Since our buying is done regionally...we'll pass this along to @wholefoodsnyc to notify their buyers!,653649281715470337
WholeFoods,2015-10-12T19:13:00,@saramichelle194 I'd be happy to check with the store to see if their size changed. Which location was this?,653649798231392256
WholeFoods,2015-10-12T21:51:00,@omnomherbivore Call you store and let them know.,653689350325145600
WholeFoods,2015-10-13T02:00:00,The perfect fall dessert... Honey Butter Apple-Cake! http://t.co/EJKVaovbvQ http://t.co/vp8lVnRShc,653752036568231936
WholeFoods,2015-10-13T14:58:00,@RouteLastResort Thanks! DM me your contact info so I can get you in touch with the store to look for the bag!,653947958048751616
WholeFoods,2015-10-13T16:00:00,"There are lots of #vegan alternatives for milk, honey, butter, eggs &amp; cream when baking... http://t.co/A74qnnCkMz http://t.co/Y5Vq1xvOuW",653963450415247360
WholeFoods,2015-10-13T16:27:00,@jonmbarton Y'all are so cute! Thanks for including us.,653970366541492228
WholeFoods,2015-10-13T16:47:00,@T_Rice_39 Thank you for this feedback! I will send this to West Orange store.,653975296505417728
WholeFoods,2015-10-13T17:16:00,@DigitalCrates Who makes them? We do? I need to have those.,653982584616173568
WholeFoods,2015-10-13T18:01:00,@thesecretofmana I personally only shop here. There are lots of options that are affordable. Did you need help making a selection?,653994045371453440
WholeFoods,2015-10-13T18:29:00,@brandonbaxter She is amazing!!! We are so lucky to have her. #SFsummit,654000922188754944
WholeFoods,2015-10-13T18:51:00,@melissahjohnson She is a genius. #SFsummit,654006493080100864
WholeFoods,2015-10-13T18:57:00,@carliegreen_ Nice!,654008149477838848
WholeFoods,2015-10-13T19:57:00,@frustratedswede Oh no! Did you talk to the store about this? They would love to make this right.,654023100238024704
WholeFoods,2015-10-13T20:05:00,@FederalRealProp Thanks for stopping in!,654025108164624385
WholeFoods,2015-10-13T20:25:00,@EmilyMerrickk We have lots of options in our produce department that are a great deal. Looks like you got these from our salad/hotbar.,654030280546717696
WholeFoods,2015-10-13T20:37:00,@stinner Oh no! Can you buy the stuff and make a million sandwiches at home?,654033346998177792
WholeFoods,2015-10-13T22:37:00,@Scottladoux Did you talk to someone in leadership when you were at the store? What did they say?,654063412520046592
WholeFoods,2015-10-14T00:22:00,@JannM92 Glad you had a good meal :),654089792897052673
WholeFoods,2015-10-14T02:10:00,@makennakd We're happy you think so :),654117134801498112
WholeFoods,2015-10-14T07:01:00,@CobrasHotMess  Thanks for thinking of us! Did you know you can submit a suggestion for a new store location? http://t.co/CAG10laIl2,654190370847371264
WholeFoods,2015-10-14T15:48:00,@SnackOutLoud How cute. Thanks for sharing!!!,654322785347633152
