screen_name,created_at,text,id
CarenBeth,2015-10-10T02:14:00,@WholeFoods It was so good I could go for more lol,652668509722439680
farooq_haqmal,2015-10-10T03:37:00,@WholeFoods Good,652689295384420352
ToddHellsKitch,2015-10-10T11:37:00,@WholeFoods PT 3 No human managers in this store?,652810085564043264
rickadams0101,2015-10-10T11:54:00,"@WholeFoods BBQ DELIGHT RESTAURANT KARACHI PAKISTAN 
Join Official Facebook Page 
https://t.co/1EebHZNmOA http://t.co/hRm037AYeJ",652814421761368064
abuse_info,2015-10-10T16:21:00,"@WholeFoods 
https://t.co/kyuWBV3k64 Nutrition Deficiency in underserved groups threaten our sustainability Please Help Combat This.",652881643858886656
VoiceSunny,2015-10-10T17:05:00,@WholeFoods yum lets let an animal finish decaying in our stomach! Grose😩,652892775520731136
ArtAmy,2015-10-10T20:32:00,"@WholeFoods FREE MAssages, wine, &amp; more at WF @edgechamber now ;). Enjoy!",652944869887901696
chicadasilva83,2015-10-10T21:23:00,@WholeFoods On vacation in Minnesota I had to make sure I stopped at the local store here in Minneapolis!  I ❤️ WF! http://t.co/B7EjGRhjRy,652957570303266816
RickBakas,2015-10-11T00:21:00,@WholeFoods had to share this on my site. Thank you! http://t.co/PKLPtK6RWY,653002340128133121
robyn_estes,2015-10-11T03:04:00,@wholefoods deliciousness!! #bondingtime #BeHappy #BeHealthy #BeFit #befun #BeYOU #love #yummy… https://t.co/FTEAOheIIf,653043482953687040
sacha_omega,2015-10-11T04:10:00,"@WholeFoods @jasonterry31 @DwightHoward ray ban sunglasses for sale online

Buy CLICK:@http://www.rbstoreshop.com http://t.co/UBMUuEVKvv",653060188711297024
MrsFeebs,2015-10-11T11:23:00,@WholeFoods come to bromley!!!!!! Please!!,653169087682621440
PRADHAKRISHNA4,2015-10-11T14:07:00,@WholeFoods very tasrefull,653210407750926337
missedthemarc,2015-10-11T15:06:00,@WholeFoods Normally a big fan but Richmond store is shocking today. Tables &amp; toilets need a serious clean. Coffee tastes awful. #Wholefoods,653225141846056961
courtneylynnex3,2015-10-11T20:34:00,@WholeFoods to the rescue when I forget to meal prep &amp; their peach rings are beyond amazing!! http://t.co/AlEUKeFzRa,653307711040421888
tinydiamondz,2015-10-11T23:47:00,@WholeFoods hi. I'm disappointed in the food I purchased from the food bar. Who do I speak to about correcting the mistakes?,653356187073781760
tsouldani,2015-10-12T00:15:00,@WholeFoods  https://t.co/2XJ3gfR74u,653363270443778048
captmerica8,2015-10-12T15:34:00,@WholeFoods Thank you for your kind words and awesome products that helped fuel me through my race.,653594605875822592
mikeymargott,2015-10-12T18:15:00,@WholeFoods saves my life on tour 🙏,653635087997763584
ccminton,2015-10-12T18:29:00,@wholefoods @thesharkdaymond we want @lovebeesweet #nyc,653638587846668288
