screen_name,created_at,text,id
amazon,2015-10-18T04:48:00,And so it glows... https://t.co/tnlErKeeKS,655606229386051584
amazon,2015-10-18T12:13:00,"Rise and shine, it's coupon-clippin' time! http://t.co/Z7fMj5VDy2",655718217483223040
amazon,2015-10-18T16:45:00,Follow &amp; RT for a chance to win #Illuminae: http://t.co/rec2mlfxuP Rules: http://t.co/OBuNKXhckP #AmazonSweepstakes http://t.co/67lp8t9exC,655786669778538496
amazon,2015-10-18T17:00:00,"Once a classic, always a classic. This first hit holiday wish lists in 1965. Was it on yours? http://t.co/JEVKFJA7NA http://t.co/AVqEKIjo6X",655790475207692288
amazon,2015-10-18T20:00:00,Some things are better left for the pros. Book landscaping services w/ @amazonservices: http://t.co/IjG0dJVhhP #DDIY http://t.co/yEmNhO0LA7,655835745744236544
amazon,2015-10-19T00:39:00,"Whether naughty or nice, our Holiday Toy List has a little somethin' for everyone on the list: http://t.co/VeAKwotELN http://t.co/0YAK4Kp9qL",655905955138445312
amazon,2015-10-19T14:45:00,Follow &amp; RT for a chance to win #Illuminae: http://t.co/9ks0IOMaYq Rules: http://t.co/aNemSZkyca #AmazonSweepstakes http://t.co/vMG9O03GZ8,656118858416287744
amazon,2015-10-19T17:23:00,#MondayMotivation http://t.co/qdK0AtqTpG http://t.co/sKiEZ7u61W,656158622083358720
amazon,2015-10-19T21:28:00,"RT @amazonecho: Trick out your haunted house this year with Echo and @WeMo switches. #EchoHolidays
https://t.co/LVUhfyFEzl",656220389115203584
amazon,2015-10-19T21:45:00,Celebrate #JurassicWorld in the most epic way. Enter for a chance to win: https://t.co/lwVQCzBdaO NoPurchNec https://t.co/PaXGmZNN9Y,656224557817270272
amazon,2015-10-19T22:18:00,#MusicMonday: Listen to @PTXofficial’s brand new album with #PrimeMusic: https://t.co/KSZJBfuX1O #PENTATONIXALBUM https://t.co/sxDgpM5aJE,656232860265877504
amazon,2015-10-19T23:34:00,"Sorry, weeknights are booked until Halloween. We'll be busy: https://t.co/UqN7XbuUdh #PrimeVideo #UnlimitedScreaming https://t.co/1b5dEYnp16",656251986325671936
amazon,2015-10-20T11:43:00,"@swanandathaval3 Hey, I'm sorry for the inconvenience. Please contact us here https://t.co/wuaILdUZ61 and we will be glad to help you. ^SH",656435444977115137
amazon,2015-10-20T15:51:00,@bewithprabhat I'm sorry for any inconvenience. Please get in touch with us : https://t.co/KBJ8dnETen and we'll assist you. ^VM (1/2),656497857806114816
amazon,2015-10-20T15:53:00,@bewithprabhat Please don’t provide your details as we consider them to be personal information. Our Twitter page is public. ^VM (2/2),656498477040553987
amazon,2015-10-20T16:30:00,Organization on point. #dashbutton https://t.co/vrP4onoXuO,656507674494947328
amazon,2015-10-20T16:32:00,"@asavarisharma Hey,sorry for the delay. Contact us from here https://t.co/FjzQdGap38 and will be happy to help you. ^SH",656508292987011072
amazon,2015-10-20T16:55:00,"@Category5Moron Hi, Can you please help us with more details of this information so that we can look into it. ^ SH",656513967234371584
amazon,2015-10-20T17:00:00,"Walkie talkies, a basic necessity for blanket forts and general mischief. #RogerThat https://t.co/XHPjXJAS08 https://t.co/KHWjn60oYI",656515229354991616
amazon,2015-10-20T18:00:00,Pump up the jams with today's Deal of the Day: 50% Off Denon HEOS 5 Wireless Speakers https://t.co/79lkcEhfRF https://t.co/3vtWOL9MQ6,656530328413171712
amazon,2015-10-20T19:12:00,Enter our #DreamNurseryContest thanks to Amazon Baby Registry and @laurelandwolf! Rules: https://t.co/Z5eioiA7OL. https://t.co/JxiS2sUBlF,656548441800183808
amazon,2015-10-20T20:29:00,Stock up w/this sweet deal—you're gonna need it. Save 25%: https://t.co/0s4DRCqS4c (while supplies last) #Halloween https://t.co/lIK8BqEo49,656567815990849537
amazon,2015-10-20T20:43:00,Enter a photo of your furry friend in costume by 10/31 for a chance to win big: https://t.co/1b0wH4pGim NoPurchNec https://t.co/JPbqdNh5BK,656571535134740480
amazon,2015-10-20T22:41:00,Follow &amp; RT for a chance to win #Illuminae: https://t.co/8ankFAVq0e Rules https://t.co/8zyVp5HxlV #AmazonSweepstakes https://t.co/lmX6sSqF5h,656601037915209728
amazon,2015-10-20T23:13:00,"If your #AmazonPrime boxes double as your moving boxes (as in, all of them)… you might be an #AmazonAddict. https://t.co/RD3GcSM81C",656609092421746688
amazon,2015-10-21T00:21:00,Toothy smile or a ghoulish grin? What's your pumpkin carving plan? https://t.co/gdiyi4EVkk,656626220340264960
amazon,2015-10-21T01:00:00,"Boss the bulldog, professional treat inspector. #PrimePet https://t.co/RO2rXQ1d1n",656636021946368000
amazon,2015-10-21T09:08:00,"@AnkushG9 Hey Ankush, find the details over here- https://t.co/O60OBlxc0X. Hope this helps :) ^KJ",656758826599915520
amazon,2015-10-21T09:08:00,"@saapatu_raman Hey, sorry about this. Please contact us here https://t.co/lNLi36QtDi and we will be happy to help you. ^SH",656759060944044032
amazon,2015-10-21T14:29:00,"@Anurag31594 Hey, I realize how frustrating this is. Please reach out to us here- https://t.co/edu5kpVlt3 and we will fix this. ^KJ",656839608337092608
amazon,2015-10-21T15:30:00,What makes time travel possible. #BTTF https://t.co/5Og4xDdKFG https://t.co/T0Z0rAU9be,656854959846248448
amazon,2015-10-21T16:00:00,"Great Scott! Prime #FREESameDay Delivery: NEW in Chicago, Orlando, &amp; new zips in NYC &amp; NJ. https://t.co/UKj6bFpihc https://t.co/6yBHnfsQl7",656862536923500544
amazon,2015-10-21T16:55:00,"@akkivinaya Hey, I'm sorry about this. Have you contacted us here : https://t.co/9kYdfBIlmw ? ^ SH",656876350897307648
amazon,2015-10-21T17:20:00,RT @AmazonVideo: Great Scott! Back to the Future Day is here! Watch the trilogy on #PrimeVideo: https://t.co/nUng6qDiqS #BTTF2015 https://t…,656882772074622976
amazon,2015-10-21T18:00:00,Future kid #OOTD #BackToTheFuture https://t.co/8o6d1ow3RZ https://t.co/WElGsKFy8x,656892719583903744
