screen_name,created_at,text,id
melanineriched,2015-10-25T19:16:00,@amazon I better get my screen Wednesday,658361586915110912
LivingCorriere,2015-10-25T20:00:00,@amazon loves #madeinitaly: in arrivo uno spazio dedicato all’eccellenza italiana regionale https://t.co/4edlOEAVS9 https://t.co/FFvLLuUesu,658372504394723328
ggallagher71,2015-10-25T20:20:00,@amazon @payin21 @NickiH3,658377553980301313
BikeChgo,2015-10-25T22:04:00,@amazon should give their tablets away free. Instead of restricting the use of PLAY STORE  apps. So Republican!!!,658403874936631296
katywonder,2015-10-25T23:59:00,@amazon https://t.co/8pmgUXUASy,658432843153088512
dflynn15,2015-10-26T00:28:00,@amazon How would you go about canceling SlingTv when it doesn't show up in your subscriptions...? #soconfused,658440111542136832
ninactan,2015-10-26T00:49:00,@amazon My 2nd song will definitely be on you again. here is the trailer. Thank you so much. https://t.co/b8lG39QIeI,658445315733745664
world1consult,2015-10-26T01:06:00,"@amazon plans Diwali e-store in the UK, US https://t.co/hipFZI3k68 @amazonIN @AmazonUK @Flipkart @snapdeal #DiwaliOnAmazon #DiwaliSurprise",658449564811132928
mushystarr,2015-10-26T02:55:00,@amazon #AmazonSweepstakes,658476948931354624
KunalTadas,2015-10-26T03:38:00,@amazon Great Indian cheating sale https://t.co/ZYIv0Yoqsb,658487951375011840
Jstarks1919,2015-10-26T03:50:00,"@amazon why was I charged $100 for prime, never signed up for it, never hit accept. I'm getting a refund but still, what's going on?",658490878550548480
kunal3264,2015-10-26T04:21:00,"@amazon 

FOR SALE

https://t.co/71CJHRx2DQ

Premium Domain Name For Sale @igloo_com
Hurry
https://t.co/JQtgxP4i9E https://t.co/DdTgC6OTXh",658498690873741312
funmiadeleye1,2015-10-26T04:36:00,@amazon pls I have just been debited despite the fact that am not a member of amazon prime. Pls kindly rectify. Adeleye Funmilola. Thanks,658502473863307264
AlphaG64,2015-10-26T04:54:00,@amazon https://t.co/u44ZHv2MR5,658507030391427072
Aubriee_P,2015-10-26T05:38:00,"@amazon #GreatIndianDiwaliSale2015:Best smartphone deals worth checking
#DiwaliOnAmazonDay1 #Amazonsmartphonedeals #Diwalisale2015
@amazonIN",658517986379075584
mkpas2007,2015-10-26T06:32:00,@amazon call made they said... No its happening.. Directly denied... So that I have send snap shot in tweeter..,658531609121943552
vashrivastava,2015-10-26T06:35:00,@amazon faith in #Indian #market vindicates her relevance as market for every #product &amp; #service.Wished if #TeslaMotor would invest here.,658532429020327936
ille_olla,2015-10-26T07:37:00,"@amazon and get one Halloween jacket too!
https://t.co/EDs0ZEC9mY",658548030870822912
jon_schneider,2015-10-26T09:39:00,@amazon Conflict error. Still days ahead of original prediction so no great problem https://t.co/AKQndzFy2K,658578661285736448
ono1sin,2015-10-26T10:37:00,@amazon 許さねえ,658593203684139008
sunilrdwivedi,2015-10-26T11:33:00,@amazon still reflecting rs. 425 of 16gb hp pan drive after your advertisement in Rajasthan Patrika today https://t.co/rV9540dlFU,658607352250171392
justinsmyth1,2015-10-26T12:24:00,@Amazon sent me an email at 4:30am saying that the @DOAGfilm dvd is on its way to me. Can't wait to watch it. Hopefully tonight!,658620238695669760
RCAtk3,2015-10-26T12:24:00,"@amazon @awscloud About to go interview with you folks, any last minute advice? #betterluckythangood",658620105077727232
FionaLoxton,2015-10-26T13:09:00,"@amazon When is the Ricoh Theta S going to be in stock? Was said to release 10/23 and that morning was already ""temporarily out of stock""",658631638226739201
DominionFunds,2015-10-26T13:34:00,"@amazon's head is in the clouds - and it's paying off!
https://t.co/YzlAEGFKby https://t.co/qejNebG45d",658637728561631233
FolknLore,2015-10-26T14:38:00,@Amazon now selling fine art prints. https://t.co/zT7Ib2A91B #fineartprints #themoreyouknow https://t.co/QPkorzGOGI,658653927802540032
kandj5038,2015-10-26T15:13:00,@amazon Can you deliver me this dog the one from your commercial? 😊 https://t.co/WddOy79P2h,658662854191632384
RealStupidGifts,2015-10-26T15:32:00,"@amazon Way to go with the  #orange interface design puts one in the #Holiday #Spirit... 
So small yet so effective! 
#HappyHalloween",658667455661780992
jus4sweetz,2015-10-26T15:50:00,@amazon amen,658672053029998592
Andrew_Blncato,2015-10-26T15:57:00,@amazon my halloween costume says delivered but is no where to be found and the seller won't reply to my emails.  Happy Halloween.,658673813136240640
SwirlyImp,2015-10-26T16:14:00,@amazon The biggest disorganized messy categories to try to shop through. https://t.co/8EhIFAMTLo,658678205138771968
aaronMRcraig,2015-10-26T16:22:00,@amazon I placed an order that processed on 10/16 and it says shipping soon delivery date pending from Amazon LLC. Looking for an update?,658680109273059328
