screen_name,created_at,text,id
AmericanAir,2015-10-26T20:29:00,"@JGDainton If you're asking for a Refund exception, it can take a bit longer as it involves research and review.",658742279360806912
AmericanAir,2015-10-26T20:33:00,@murphy_aw We expect to say goodbye to the MD80s in a few years. We'll share more info as soon as we have it!,658743291588939776
AmericanAir,2015-10-26T20:33:00,@rockzimity That's very odd. What you'll want to do is contact Web Tech Support at 800-222-2377 for help.,658743251696914432
AmericanAir,2015-10-26T20:42:00,@jamieBstewart We just checked again and it's definitely not cancelled. We'll have an update on the flight at 7p.,658745542655148033
AmericanAir,2015-10-26T20:44:00,@SagarS_Singh That's a stunning shot! We may need to see it in person at JFK.,658745928564641796
AmericanAir,2015-10-26T20:45:00,"@zachariah__king Our counter is open at 5a in Terminal 3, Zachariah. Is your flight operated by us or BA?",658746377732681728
AmericanAir,2015-10-26T20:55:00,@NCockrum We see you've pulled into the gate. Our apologies for the delay and glad you've made it home.,658748909905293312
AmericanAir,2015-10-26T21:18:00,"@gloriagaynor We're thrilled to have you flying with us today, Gloria. We hope your flight and vacation are #fAAntastic!",658754665283125248
AmericanAir,2015-10-26T21:56:00,"@neenjames DM your record locator, we'd love to forward your kind words.",658764081260662784
AmericanAir,2015-10-26T22:03:00,@mona4630 We'd love a chance to take a look at what all happened. Please contact Customer Relations at the link provided.,658765983985725440
AmericanAir,2015-10-26T22:07:00,"@branderson47 Our airport team carefully applies the boarding process, Brett. We appreciate your patience.",658766917398872064
AmericanAir,2015-10-26T22:26:00,@Quacksterup We look forward to having you on board!,658771731067174912
AmericanAir,2015-10-26T22:41:00,@SerPancho Please DD your bag file locator and we'll be happy to take a look.,658775528111910912
AmericanAir,2015-10-26T22:47:00,@MattMarko34 We see that you're drinking one of our favorite types of beverages in your profile pic. Receipt enough?  #cheers,658776873623687168
AmericanAir,2015-10-26T23:13:00,@foalpapers We can wait to take you galloping across the pond! It's going to be a #GalaEpisode kind of a flight.,658783447058505728
AmericanAir,2015-10-26T23:18:00,@MrAndyGlass We're sorry for any travel troubles and are very glad you're free as a bird now!,658784776283799552
AmericanAir,2015-10-26T23:19:00,@TravelMan468 They'll have the most updated info and that'll save you time and some airport cardio too. Thanks for your understanding.,658785157797847040
AmericanAir,2015-10-26T23:25:00,@foalpapers LOL. It's hard to type with hooves! Neigh to the typo. Extra nice seeing you tonight.,658786576659578880
AmericanAir,2015-10-26T23:26:00,@andrewschulz That's not the kind of service we strive to provide and we apologize. Please follow and DM your record locator.,658786905773871104
AmericanAir,2015-10-26T23:28:00,@mona4630 Please DM your contact info including email and mailing address so we're able to share with our specialist.,658787210225954817
AmericanAir,2015-10-26T23:38:00,@HydeiaBroadbent We heard back from our folks in LAX and your ID hasn't been turned in yet. Did you find it by chance?,658789810484609024
AmericanAir,2015-10-26T23:41:00,"@mona4630 Have you submitted details to Customer Relations already? If so, please DM your file number.",658790619356073984
AmericanAir,2015-10-27T00:08:00,"@787MAGGIE Is that your ride tonight, Maggie? That's a #FastLittleBird",658797498501230592
AmericanAir,2015-10-27T00:13:00,@LuisanaSuegart What's your flight number today?,658798709065453568
AmericanAir,2015-10-27T00:16:00,@hiincyber We hear where you're coming from. Thanks for tweeting us today. We surely had a great time with you!,658799374408011776
AmericanAir,2015-10-27T00:41:00,@TheR1zz We see travel is complete. Please share your experience here: https://t.co/ShFB7JpoZL,658805640022786048
AmericanAir,2015-10-27T00:47:00,"@Julie_McKinley Thanks for your concern, Julie. We're working with our customer directly.",658807206020669440
AmericanAir,2015-10-27T00:50:00,@MientrasCancun We don't want you stranded. Do you need help with rebooking?,658807949167472640
AmericanAir,2015-10-27T00:51:00,"@mcclonezone We love to impress you. Thanks for flying with us, Kyle!",658808314084487168
AmericanAir,2015-10-27T01:16:00,@carme11a Our agents to their best to judge the overhead bin space based on flight loads and may ask you to check them instead.,658814384555233280
AmericanAir,2015-10-27T01:18:00,@loyalmaster84 Here's a helpful link that will explain how to launch TV shows: https://t.co/RcjsILm7Rc,658815080109338625
AmericanAir,2015-10-27T02:37:00,@whitney_justine Thanks for your shout-out! We'll be sure Brandon is recognized by our Flight Service #AATeam.,658834835595730944
AmericanAir,2015-10-27T02:37:00,@ChrisLezama We want your trips with us to be fabulous. We've forwarded all of your tweets about the Wi-Fi service to the right team.,658834922224898048
AmericanAir,2015-10-27T02:58:00,@Turbo18psi The flight's going to depart in the morning and your connection has been rebooked. Please see an agent for assistance.,658840184042098689
AmericanAir,2015-10-27T03:29:00,@DerekM17 We're very sorry for the extra travel time. We try to avoid delays whenever we can.,658847876861284352
AmericanAir,2015-10-27T03:34:00,@erioapilado We're glad to hear that you're having a great time. Enjoy your ride.,658849342933958656
AmericanAir,2015-10-27T04:00:00,@chrisreapgc We're truly sorry for the confusion. We have 3 versions of the aircraft you were on and Wi-fi is not offered on the plane.,658855668414304256
AmericanAir,2015-10-27T04:30:00,@unbuttonmyeyes Your patience is sincerely appreciated. Our Baggage team will have it to you as soon as they can.,658863197764603904
AmericanAir,2015-10-27T05:34:00,@jruderman Thanks for letting us know. Have you tried a different browser?,658879418299871232
AmericanAir,2015-10-27T18:07:00,@maumarts Thank you for the additional information. We're going to reply via DM.,659068958050533380
AmericanAir,2015-10-27T18:25:00,"@Travel_laughter If you have any questions, please feel free to contact our AAdvantage Customer service team at 800-882-8880.",659073394386862080
AmericanAir,2015-10-27T18:33:00,@flyn_ryn The gate is closed at that time to try to ensure an on-time departure. Please see the agent for rebooking help.,659075542033895424
AmericanAir,2015-10-27T18:36:00,@Brian_Fischbach We're sorry for this hiccup. We see you're almost at your connection. We'll have you there soon.,659076110702026752
AmericanAir,2015-10-27T18:45:00,"@Saraeray We're sorry for the unusually long hold time, but our agents will be with you as quickly as possible.",659078442181197824
AmericanAir,2015-10-27T18:47:00,@Cartee_Berry Please check your DMs for a message.,659078860265275392
AmericanAir,2015-10-27T18:55:00,@Yi9432 It's all taken care of. You're confirmed on AA2188 at 10:20a.,659080924844326913
AmericanAir,2015-10-27T19:13:00,"@A3Queen When Mother Nature is not playing fair, she can cause interruptions in our operations. We'll have you on your way shortly.",659085521579343872
AmericanAir,2015-10-27T19:26:00,@MichaelWTravels We're sorry for the high call volume. Please call MIA directly at 305-526-7763 or 305-526-1984. Thanks for your patience.,659088682146619393
AmericanAir,2015-10-27T20:06:00,"@SarahRobarts We're so glad you had a wonderful weekend, Sarah!",659098792419921920
AmericanAir,2015-10-27T20:08:00,@NationwideAMC Thanks for the heads up. We've tweeted our customer directly.,659099270499319809
AmericanAir,2015-10-27T20:20:00,@deeny_weeny We're always here to fly you to amazing places and hope you find a fare that'll work for you.,659102429682778112
AmericanAir,2015-10-27T20:22:00,@DrHouser540 Flexibility options can also be purchased as part of your ticket. See here for info: https://t.co/XRVZIdm5Ys,659102844763533312
AmericanAir,2015-10-27T20:24:00,"@orangefuzzz It's always our goal to provide our customers with awesome trips, Patrick. What's going on?",659103293432537090
AmericanAir,2015-10-27T20:37:00,@ciclismotours You're welcome. Have a great day!,659106600829915137
AmericanAir,2015-10-27T20:38:00,"@Roryo76 The metal box is the power supply for our entertainment system, Rozza. Did you alert a crew member about the light?",659107023603302400
AmericanAir,2015-10-27T20:38:00,"@sandyk85 Once you get the Reservations department, please ask them to transfer you to the Baggage department.",659107014128238592
AmericanAir,2015-10-27T20:49:00,@mlinds12 We hear your frustration and we're sorry again that you didn't get the resolution you were looking for.,659109772419989505
AmericanAir,2015-10-27T21:10:00,@tleshan We're sorry for any inconvenience. We're working on making travel smooth out of DCA.,659114970865537024
AmericanAir,2015-10-27T21:32:00,@raghvani_pravin We're sincerely sorry you're not happy with the responses. We've forwarded all of your tweets to Customer Relations.,659120503257366529
