screen_name,created_at,text,id
iBluestone,2015-10-26T20:21:00,@AmericanAir is this still in service??😳,658740197056761857
SweetiePiHolly,2015-10-26T20:21:00,@AmericanAir I'm checked in for both flights so why does it matter? Now I have to re check my bag and go their security again! #inconvenient,658740341990924288
SweetiePiHolly,2015-10-26T20:25:00,@AmericanAir I DID THAT! And they didn't check my thru! Then they tried to charge me $200 for my bag?! Truly a lack of #CustomerService,658741213529571329
SweetiePiHolly,2015-10-26T20:26:00,@AmericanAir I showed them both record locators and they couldn't/didn't join them for me!!!!!,658741498381541380
SweetiePiHolly,2015-10-26T20:35:00,"@AmericanAir since they didn't do that, what other solution/accommodation do you have? Flight voucher/credit...?",658743835569356800
RandBee,2015-10-26T20:36:00,"@AmericanAir I was there 30 min early just as they started boarding special needs and priority. Funny, I'm priority.",658744056613310464
11miledown,2015-10-26T20:43:00,@AmericanAir right but they don't know what the policy is and princess here blurted out she has paperwork.,658745712633626624
SantaClaraBill,2015-10-26T20:52:00,"@AmericanAir changing flights on customers and telling them to take it or leave it, while offering no alternative options...never again😡",658748124228292608
carlarjenkins,2015-10-26T20:52:00,@AmericanAir I've re-filed my refund request. Thanks.,658748059250069505
MrAMHawkins,2015-10-26T20:55:00,@AmericanAir E.L. Cord and I used to take one of his Gooney Birds from NY to Chicago just to throw back a few Sidecars at The Burwood Tap.,658748730154225664
BlakeBaileyOn,2015-10-26T21:15:00,"@AmericanAir (1) Where to begin? AA5882 idled on the DFW tarmac this morning for almost an hour, during which nobody bothered to explain",658753746839580672
BlakeBaileyOn,2015-10-26T21:17:00,"@AmericanAir (5) my grad students. I emailed them all, explaining the long day. Perhaps needless to say, my rescheduled flight entailed",658754425620529152
BlakeBaileyOn,2015-10-26T21:18:00,"@AmericanAir (6) another connection in Reagan/DC, and many hours later I arrived there to learn--unsurprised--that my new flight home to",658754593682165760
gazza_mcfazza,2015-10-26T21:20:00,@AmericanAir thanks for the reply but I have checked your link out and it would not let mw write a comment in the comment box and submit...,658755054644670464
BlakeBaileyOn,2015-10-26T21:20:00,"@AmericanAir In short, AA has ruined my day, my week, my month, and diminished my faith in the essential goodness of humanity.",658755109350998016
MikeWaldow,2015-10-26T21:48:00,@AmericanAir YOU are awesome and that is an exceptional effort. Thank you for the DM. That worked perfectly!,658762260081463296
RealBurnham,2015-10-26T22:07:00,@AmericanAir flight 5742 delayed because a seat was broken. How about comping a volunteer to keep everyone else on time instead of waiting?,658766869348769792
holly_harris,2015-10-26T22:15:00,@AmericanAir Done! Thanks again!,658768974302302208
Quacksterup,2015-10-26T22:17:00,@AmericanAir Thanks for the info!  It's a beauty. Looking forward to flying it soon!,658769380113711104
bighairedbeauty,2015-10-26T22:23:00,@AmericanAir y'all know what I'm talking about. She's a missionary from uruguay and she's been stuck with y'all since Friday.,658770888616202245
jmorrow588,2015-10-26T22:24:00,"@AmericanAir #AmericanView Pittsburgh foliage, beautiful! https://t.co/3DI2ns9W5Y",658771266044690432
osanderson,2015-10-26T22:27:00,@AmericanAir 4580,658772034575581184
epaps,2015-10-26T23:48:00,@AmericanAir Are you happy with your current boarding process?,658792409686380544
