screen_name,created_at,text,id
InsiyaJo,2016-03-21T17:11:00,@AmericanAir I don't see any saver first class award space for us-Sydney for the next few months! Where have all the spaces gone?,711963368492552193
Themikepontius,2016-03-21T17:31:00,"@AmericanAir howdy friends!  Wondering what happened to the ""above and beyond"" card program?  Have some awesome ladies today. AA5320",711968381272985605
JohnStatz,2016-03-21T17:34:00,"@AmericanAir law says airlines have to let instruments on board if there's room, there was room. Might want to train employees in the law.",711969142547427328
zanemsac,2016-03-21T18:10:00,@AmericanAir I have a few concerns and have posted on your facebook page. Can you please respond? https://t.co/AeNjct7Z5s,711978239900704768
hurryupnbuy,2016-03-21T19:13:00,"@AmericanAir coincidentally, i JUST got an email letting me know i got the creds 😏",711994058529447936
Chad_Townes,2016-03-21T19:25:00,@AmericanAir yes via phone admirals club and at the gate It was an equipment change from a plane that did not have 1st but the new one did,711997092592418816
lightningjackie,2016-03-21T19:33:00,"@AmericanAir like I said, 6 hour delay, only on stand by!Wouldn't put me on other flight to reroute me w/o $. Not my fault. Not paying.",711999284581965825
maxc2540,2016-03-21T19:37:00,"@AmericanAir the employees behind desk put me on an early from Richmond to Charlotte, then from Charlotte to Denver.",712000146704175104
mtighewall,2016-03-21T20:31:00,@AmericanAir Great news. Thanks for the help.,712013763059294208
Flyersfan25,2016-03-21T20:35:00,@AmericanAir great flight crew on 5212 to PCOLA...way to rock it,712014715027906560
jwatt44,2016-03-21T21:17:00,@AmericanAir what exactly does it take to get a response from your customer service? #lostbags #norefundyet,712025254852321280
endlessct9a,2016-03-21T21:59:00,@AmericanAir what's the point of paying for group 1 when gate lets anyone board? LAX 48B to LAS #incompetence #LAX,712035851933458434
Jay_Acosta,2016-03-21T22:14:00,@AmericanAir thanks,712039687314137088
ralpherson_15,2016-03-21T22:47:00,"@AmericanAir Stop playing hide and go seek with my luggage, please?",712047934305656832
SimonWitchel,2016-03-21T22:59:00,@AmericanAir stuck at LGA for a delay without wifi our complamentary food for 3h or more...#Disappointed,712050951155097600
SheilaAbbott,2016-03-21T23:29:00,@AmericanAir I'm so grateful to your team of patient &amp; kind ticket agent specialists who helped us today when a family member passed. ❤️2U,712058696340099072
turfworldwide,2016-03-21T23:42:00,@AmericanAir maybe should use that money to repair their prehistoric planes #maintenancedelay #nosurprise,712061731137265664
turfworldwide,2016-03-22T00:04:00,@AmericanAir I'd rather be water boarded than fly on one of your planes again,712067380902551554
ryangingervitis,2016-03-22T00:20:00,@AmericanAir no u won't my flight is cancelled #wink,712071509762818048
brodwarrior,2016-03-22T00:26:00,"@AmericanAir why would I give you that opportunity, you  had your chance, and failed epically. And have done nothing to keep me loyal.",712073002146340864
petertech2010,2016-03-22T14:07:00,@AmericanAir great news,712279633090191360
ianai26,2016-03-22T14:17:00,@AmericanAir lo que hicieron con los pasajes comprados con millas es muy perjudicial para los viajeros ocasionales por placer.,712282093527670784
proonesti,2016-03-22T15:18:00,@AmericanAir is officially the WORST airline I've EVER been on.,712297510669189120
paikperformance,2016-03-22T16:20:00,@AmericanAir it's 3 days since you ruined my family's spring break vacation and STILL no call from customer relations! Unbelievable!,712313084577247232
SpencerHafen,2016-03-22T16:36:00,"@AmericanAir Tried booking reward flight for my wife &amp; her dad. 3 hours, no success. Now the flight not even available. Can you help me?",712317065944637440
SpencerHafen,2016-03-22T16:41:00,"@AmericanAir Including being put on hold for 50 minutes, then being hung up on...",712318354409689088
kingdeems,2016-03-22T17:42:00,@AmericanAir real time should give me time to enter my name and date of birth.,712333744644829188
miriam_paredes,2016-03-22T18:45:00,@AmericanAir aclaró que la explosión en el Aeropuerto de #Bruselas no ocurrió en su mostrador. Su área de embarque está en el pasillo 8,712349616100941824
kingdeems,2016-03-22T18:58:00,"@AmericanAir #transfarency oh wait, that is @SouthwestAir",712352760428036096
leslie_pearlman,2016-03-22T20:23:00,@AmericanAir Y'all always do! Here's hoping my upgrades go through on April 8.,712374131992301569
Mz_Diva,2016-03-22T20:25:00,@AmericanAir I'm trying to understand why you have people waiting for three hrs just to tell them the flight is cancelled,712374568254644224
Mz_Diva,2016-03-22T20:26:00,@AmericanAir so... I guess I'll just be stuck in New York in the airport in the same got damn clothes #dobetter,712374946840899584
mysticv6,2016-03-22T20:27:00,@AmericanAir it seemed a bit unnecessary for the FA on AA729 to stow my TV without so much as telling me what she was doing.,712375179024982017
LeBunUK,2016-03-22T20:44:00,@AmericanAir terrible reply. Off on another AA flight today. Let's see what happens!,712379472981393409
p_train,2016-03-22T21:36:00,@AmericanAir Are we able to check bags anywhere in the east terminal? Thanks,712392473658568704
DarellFord,2016-03-22T21:42:00,@AmericanAir no 9 months out,712393918751571968
Ponoka123,2016-03-22T22:10:00,"@AmericanAir 3 million miles on AA and don't even get a warning, upgrade, nothing! Boy how times have changed!",712401091456069632
JDAshman,2016-03-22T22:30:00,"@AmericanAir Come on, at least give me a the courtesy of chatting with me like I'm somewhat intelligent.",712406008652537857
CTravlr,2016-03-22T22:49:00,@AmericanAir Already did but nothing came of it. I hope hearing more customers experiencing this frustrating issue leads to better changes,712411000738217984
RodrigoHTonello,2016-03-22T23:01:00,@AmericanAir awwww 💙😍✈️,712413919889989632
Mz_Diva,2016-03-22T23:41:00,"@AmericanAir y'all place us on a flight, have us all seated, then ask us to leave because yet again a cancelled flight",712424072525832194
mattmo1981,2016-03-22T23:48:00,@AmericanAir I'm only on AA https://t.co/XGCCXmn9q2,712425626615939072
mgeorgen4285,2016-03-23T00:34:00,@AmericanAir why am I delayed? Again.,712437357618839553
mgeorgen4285,2016-03-23T01:04:00,@AmericanAir laughable,712444883081031680
mgeorgen4285,2016-03-23T01:09:00,@AmericanAir you need to get your crap together 1.5 hour delay on a RedEye is inexcusable. And I'm supposed to act like a human tomorrow?,712446139031797760
marielaesclusa,2016-03-23T03:06:00,"@AmericanAir awesome, another delay. Now scheduled for an 11:30 departure instead of 9",712475530730315776
seanianmiller,2016-03-23T04:26:00,@AmericanAir just sent!,712495592749006848
Basselhajj,2016-03-23T04:36:00,@AmericanAir Nonsense. Worst experience flying in a long long time,712498119078977537
cries40,2016-03-23T07:37:00,@AmericanAir love your customer service #noservice #snarlyemployees,712543706180677632
CGNewell,2016-03-23T15:08:00,@AmericanAir I'm ready for another great #flight! #AmericanAir #AA #AmericanAirlines #Travel https://t.co/DphG9kG23F,712657220039737344
tylertravitz,2016-03-23T16:02:00,". @AmericanAir great but, a moveable armrest isn’t really a benefit worth $18. yah?",712670812411547648
Lookas,2016-03-23T16:56:00,@AmericanAir will do.,712684454339297280
AJaug2386,2016-03-23T17:08:00,@AmericanAir ...2 upgrade certificates for 536mi since its over your 500mi segment requirements...that math doesn't work.,712687377630646273
radonutrition,2016-03-24T13:17:00,@AmericanAir no accountability #epicfail,712991750562787328
dogwalkblog,2016-03-24T13:31:00,@AmericanAir SHE MADE IT!!! On board now and everyone is happy. Thanks for holding my hand and skipping along with me! ;),712995270758367232
derry_diana,2016-03-24T15:42:00,@AmericanAir I sure would love to see an 8 am flight to BWI from CLT. You got rid of the 7:50 :(,713028128843534336
quitasarah,2016-03-24T15:59:00,@AmericanAir Do you have a # with a real live person? I can only get a recording. THIS IS RIDICULOUS!!,713032535878467584
Rachel_A_,2016-03-24T16:55:00,@AmericanAir I am flying today for the first time w my service dog. Your entire staff has been excellent! Thank you so much!,713046647677272064
quitasarah,2016-03-24T17:59:00,@AmericanAir Sebding me the same info over and over doesn’t solve my problem. It says “out for delivery”. WHEN?!? 😡,713062761123553280
jamiejamz85,2016-03-24T19:39:00,"@AmericanAir $175 to push sone buttons? As a loyal AAdvantage Gold customer, it should be waived as a one-time courtesy. Please help me.",713087739256823808
HaydenPozulp,2016-03-24T20:01:00,"@AmericanAir another apology for yet another delay, maybe stop apologizing and spend that energy figuring out how to run ur operations",713093501920088064
vidyats,2016-03-24T20:43:00,@AmericanAir Last time I am flying with you. Forcing me to check in a bag that I came with from SFO with no problem is a cheap way to make $,713103972685463555
BeckiPlanchard,2016-03-24T21:09:00,@AmericanAir this Dreamliner is too cool!!! Flight 2339 to DFW...jealous of the amazing seats up front.,713110494828175362
asten77,2016-03-24T21:20:00,"@AmericanAir no, I mean your website has a vague ""too big"" restriction.  I don't know what too big is",713113333185056769
biff_cantor,2016-03-24T21:47:00,@AmericanAir what happens with CLT with this new Anti LGBT law now being passed in North Carolina?,713120052011139072
smalls_1979,2016-03-24T22:18:00,@AmericanAir now even later... Getting ridiculous now,713127934140264448
KristaNeher,2016-03-24T22:32:00,"@AmericanAir I don't think it was temporary. The tape had peeled off and been there for ages but yes, it was cosmetic on the interior.",713131413873229825
SkywalkerXCIV,2016-03-24T22:57:00,@AmericanAir needa come thru wit them vouchers like yesterday,713137596256370688
anasofacuna,2016-03-24T23:28:00,@AmericanAir ok thanks!!!!!!!!! next time don't schedule a connection flight with a ten minute layover!!!!!,713145417974865920
Kanorfleet,2016-03-25T01:19:00,@AmericanAir as if talking to anyone at @PHLAirport does any good,713173341612322816
pjph0enix,2016-03-25T01:20:00,@AmericanAir I know it's not intentional. And thx for your concern. Just frustrating.,713173694978396160
Williams_bri8,2016-03-25T01:23:00,@AmericanAir not after this ridiculous delay😒 https://t.co/8lFCBKMeQ0,713174383276138496
Williams_bri8,2016-03-25T01:37:00,"@AmericanAir but all the other flights have gone out. People have places to be, they don't have time for a 4 hour delay.",713177931514707968
drdonhwortho,2016-03-25T04:29:00,@AmericanAir that's it? Many people missed connections due to mechanical in AUS-yet luggage made it to connection. POOR!,713221254359060482
CiaraAshlyn,2016-03-25T07:55:00,"@AmericanAir no, we boarded at 12:30 and still haven't moved.",713272974455902209
NinersNation,2016-03-25T13:40:00,"@AmericanAir I get that, but other airlines charge significantly less, including with @Gogo",713359805235216384
Lmontoya20Luis,2016-03-25T13:56:00,"@AmericanAir you are the worse airline, your costumer service rep was rude and made me miss my fight",713363811705753600
zanemsac,2016-03-25T14:14:00,@AmericanAir when should I expect a reply? It's been a week.,713368369693478912
Lmontoya20Luis,2016-03-25T14:28:00,"@AmericanAir yeah on standby, I paid for a reserved seat! This is not how business should be done!",713371934302404608
donhoeshoe,2016-03-25T14:39:00,@AmericanAir @united Seriously I need to click to not print Ad's on my boarding pass. What's next charging me extra to use a seatbelt???,713374764652302337
BrendaLikeWhoa,2016-03-25T14:41:00,@AmericanAir Maybe I just have bad luck traveling. Got moved to a new plane. Will be several hours late to my destination. #travelblues,713375165871161344
Lmontoya20Luis,2016-03-25T14:49:00,@AmericanAir I was there on time! So we're a bunch of they people! My flight was at 9:50 I was at the gate at 9:35!! You are the worse,713377384527896576
freakyassLAZ,2016-03-25T14:50:00,@AmericanAir what military deals do you guys have,713377514769543169
cookie0913,2016-03-25T16:10:00,@AmericanAir how hard is hard? How soon is soon?,713397753225809920
AleciaDaNay,2016-03-25T16:14:00,"@AmericanAir is #winning today!!! Bumped to First Class and received a flight voucher, thanks to Mr. Joseph S. and Rita B. at gate C8!!",713398572876697600
MontelleKline,2016-03-25T18:38:00,@AmericanAir why is it lax/mia first class u get water &amp; amenity kit.  SFO/MIA u get NOTHING no water bottle or amenity kit on a longer flt!,713434952344276992
tedreednc,2016-03-25T20:32:00,"@AmericanAir pilots in @AlliedPilots will review 5% profit sharing offer.
https://t.co/Abejqw3kaI",713463514283773952
Mick503704,2016-03-25T20:36:00,"@AmericanAir 1, get you scheduling right 2, quit packing us like sardines 3, now that fuel costs declined, stop gouging us for every penny",713464667457265664
imanicezanne,2016-03-25T20:59:00,@AmericanAir I would love to speak to someone. Especially since I have all this extra time to spare in Charlotte when I should be in ATL.,713470343902601216
PhilthyDronez,2016-03-25T22:00:00,@AmericanAir Tish Z and Ruben L were the rudest and most inconsiderate employees you have working for you at @FlySJC,713485778098208776
PhilthyDronez,2016-03-25T22:01:00,@AmericanAir According to section 403 of the FAA Modernization and Reform Act It is required by law to be able to carry on a musical....,713486104951914502
PhilthyDronez,2016-03-25T22:04:00,@AmericanAir early in line. Tish just told me that they were going to check it. When I asked that they please not do that she was rude and..,713486700190769156
PhilthyDronez,2016-03-25T22:10:00,"@AmericanAir my instrument always comes with me on board. Not only did your employees at @FlySJC break the law, they also were incredibly..",713488279899873280
PhilthyDronez,2016-03-25T22:31:00,@AmericanAir is with me on board. So I think the 2 employees at @FlySJC need to be reprimanded for their actions.,713493562709520385
GingerReject,2016-03-25T22:42:00,@AmericanAir my departure time was changed from 8am to 6am (huge diff). Entire reason I booked THAT flight was departure time.,713496320154017796
nxrdsworld,2016-03-25T22:44:00,@AmericanAir 🖕🏾,713496841283706880
smweb23,2016-03-25T23:01:00,@AmericanAir still delayed here in dfw heading to bwi.,713501030286123008
Crosb19,2016-03-26T00:03:00,"@AmericanAir 2nd flight now, DFW to Dayton.",713516648775462912
jerriepelser,2016-03-26T00:45:00,@AmericanAir the plane to LAX turned back. You now have 3 staff to sort out an entire airplane. This is crazy,713527372469764096
DocStrong26,2016-03-26T01:11:00,"@AmericanAir, this email forced me to say, ""Thank you, Captain Obvious"" #stillwaitingatthegate #neverleaving https://t.co/mEmuMoPgPo",713533865202049024
DocStrong26,2016-03-26T01:13:00,@AmericanAir- pilot just informed us that the guys who changed the tires took the last page of the log book so we can't take off. #SERIOUSLY,713534269486800897
Easy_Strider,2016-03-26T01:31:00,"@AmericanAir AA -- you're lost baggage system is horribly broken.  Lacks supervision, competent staff and coordination.  Ive gone sour on AA",713538728266956800
Easy_Strider,2016-03-26T01:36:00,"@AmericanAir Never before have I seen an airline show such a lack of professionalism handling baggage, losing it, and messing up delivery.",713540086453952512
ZionAmor,2016-03-26T01:37:00,"@AmericanAir I want you to know my hotel reservations were booked for this morning, thanks for not letting me arrive to my destination",713540285440065536
ZionAmor,2016-03-26T02:02:00,@AmericanAir https://t.co/C0kxIoTSJp,713546590204600320
BrendaLikeWhoa,2016-03-26T02:38:00,@AmericanAir wow that was super nice! You've never done anything like that before to remedy a bad experience. Today you're awesome!,713555651750977536
ZionAmor,2016-03-26T10:41:00,@AmericanAir I've been hanging in since 5am yesterday morning! I need to get on the 8:15 flight!,713677223316721664
donhoeshoe,2016-03-26T11:57:00,@AmericanAir WTF Flight cancelled last night just found out after clearing security. You have my email and phone thanks assholes.,713696332595142656
donhoeshoe,2016-03-26T12:05:00,"@AmericanAir yes I am signed up, I am a platinum flyer and actually pay for 1st class. If you can't take care me your screwed. I know sorry",713698288407416833
donhoeshoe,2016-03-26T12:41:00,@AmericanAir well I didn't want to feel this way either but you didn't notify me and I could have stayed in bed.,713707507181600768
donhoeshoe,2016-03-26T12:51:00,"@AmericanAir No, this is your 50th other chance. Sorry without change is a lie!",713709974732611584
donbjones,2016-03-26T13:58:00,@AmericanAir 15 minutes on hold to try to find out when my bags will meet me in Ecuador?someone pls update me on when my bags will get here?,713726811717419008
donbjones,2016-03-26T14:21:00,"@AmericanAir thank you.  The extension provided for the local baggage office ""does not exist."" Please reply with local baggage office info",713732584262541313
GlobalmaxLLC,2016-03-26T15:11:00,@AmericanAir 2 days to get to miami from orlando .Lost my US Key Biscayne Tennis open ticket and hotel... waiting for a solution .,713745095468646400
AllenWSnyder,2016-03-26T15:28:00,"@AmericanAir Will always let you down, as proven by @imanicezanne saga. Never fly them again.",713749524569833472
Monices_Pieces,2016-03-26T16:29:00,@AmericanAir when can we expect an apology for your mistreatment of @imanicezanne ?,713764854641745920
AmyMoinet17,2016-03-26T16:36:00,"@AmericanAir AWFKQR.  I'm most upset bc I gave AA another chance. Last time I flew AA, a 2 hour flight turned into a 16 hour day!!",713766477518794754
