screen_name,created_at,text,id
pradeeperanti,2016-06-24T14:46:00,@AstraZeneca nabs genomics giants @humanlongevity @sangerinstitute @FIMM_UH aims to integrate 2M #genome seq https://t.co/5VDzvsprrz #bioinf,746353893215506432
ShorStratHealth,2016-06-24T17:19:00,@AstraZeneca PLC @GSK_bio @GSK @Novartis AG and @Roche React to #Brexit and Its Possible Impact on Biotech https://t.co/EKsdWHucCc  👍🏻🇬🇧,746392303808487424
pig28urmston,2016-06-25T13:22:00,@AstraZeneca fancy supporting this community group https://t.co/y9EHJMtbMp,746695134235009024
GENBAND,2016-06-25T16:25:00,@AstraZeneca #CIO @dsmoley has a 6-point #cloud toolkit https://t.co/5SCGUWsaOX,746741080570355712
ArnavSharmaUK,2016-06-26T16:46:00,"@AstraZeneca Affordable AsthmaPi by 9 yr old Arnav, finalist of Tech4Good. Please tweet #T4GArnavSharma or vote at https://t.co/NyVWK3YIIm",747108901716361216
volunteeringuk,2016-06-27T09:01:00,@AstraZeneca WOW another busy week - over 150 volunteers heading out to projects in the Macclesfield area - a fantastic contribution! #CSR,747354032654684160
momwithdiabetes,2016-06-27T16:57:00,@AstraZeneca Thought you may like https://t.co/klw5xzd1DU Diabetes reality show RT Will feature both type1 and type2,747474057164120065
truth_vibration,2016-06-28T00:58:00,@AstraZeneca  PLC’s nasal-spray version of the flu #vaccine failed to protect children for three years in row; https://t.co/8IdQ0IEvCq,747595000888889345
ThePharmaLetter,2016-06-28T14:15:00,@AstraZeneca’s new antibiotic Zavicefta approved in EU https://t.co/3jCO4wjQ4V @EMA_News #pharma,747795634669887488
mcipriano93,2016-06-28T19:48:00,"@AstraZeneca sues #FDA, aims to stop generic #Crestor from reaching market until 2023.",747879460410626048
mcipriano93,2016-06-28T19:49:00,@AstraZeneca's complaint: https://t.co/sRVl6YKIty,747879542946144256
dlschermd,2016-06-29T01:47:00,@AstraZeneca Pushes to Protect Crestor From Generic Competition - https://t.co/SNb1RRuaoQ https://t.co/LamY6sUTMa,747969625611243520
HealthBizBlog,2016-06-29T03:13:00,@AstraZeneca offers savings and advice with its new AZhelps program https://t.co/Lc6a6lbRIF,747991260959506433
eoljrj,2016-06-29T12:02:00,@AstraZeneca @UGT_Comunica @CCOO @elpais_espana @elmundoes @ETtrabajadores @larazon_es  AZ Dime de q presumes... https://t.co/kZlaG6q3jh,748124592040984576
IowaBio,2016-06-29T18:21:00,@AstraZeneca 's new antibiotic Zavicefta approved in the #EU https://t.co/Vvanru5n9p,748219733997035520
lakshmibai_MI,2016-07-01T10:53:00,@AstraZeneca @EliLillyCo Get Analysed. #investing in Proton Pump #Inhibitors is a smart choice. Know more @ https://t.co/hXxbRvwg2N,748831862043209729
PharmaExpertise,2016-07-01T11:23:00,@AstraZeneca  licenses skin disease drugs to @LEOHealthySkin  https://t.co/zDsnot4bW0,748839337656188928
BeshDonaldson,2016-07-02T14:01:00,@AstraZeneca signs up to $1bn deal with LEO Pharma https://t.co/3TsHt8SzFG,749241542989213696
CompliMed,2016-07-03T19:54:00,@Astrazeneca publicly reprimanded  for not providing accurate info to @PMCPAUK https://t.co/9lumC2scGn #abpicode,749692694503559170
guarqs,2016-07-05T00:27:00,"@AstraZeneca @sanofi No pueden dejar de vender caprelsa vandetanib, es de vida o muerte para muchos pacientes.",750123948990275584
guarqs,2016-07-05T00:38:00,@AstraZeneca @sanofi @Sanofimx where can I buy #vandetanib ? You can't just get it out of the market.,750126695416418304
