screen_name,created_at,text,id
AvivaUK,2016-06-06T06:00:00,"Do you talk to your kids about how to save money, make money &amp; spend it wisely? https://t.co/RjidKE5pNl #SaveSmarter https://t.co/mxGETJvdI7",739698361549262848
avivaplc,2016-06-06T08:28:00,Congratulations Lauren! https://t.co/qgP7Oa81ZB,739735822908461056
AvivaUK,2016-06-06T09:00:00,Here's some #MondayMotivation for first-time drivers – read these great #DriveSafer tips :) https://t.co/qUpwGdyWWV https://t.co/PhzdL0AnzS,739743689854029824
avivaplc,2016-06-06T12:37:00,#Aviva's Steve Davis blogs about working with @BritishRedCross &amp; the Yorkshire Ambulance Service #VolunteeringWeek https://t.co/J9Dg4m8RG3,739798351764414464
avivaplc,2016-06-06T13:54:00,RT @GlobalCIO: .@m_shivanandan of @avivaplc reveals the art of balancing digital and traditional IT https://t.co/IN2L5c4uwh https://t.co/Qh…,739817786856382468
avivaplc,2016-06-06T15:17:00,"In 2015 3,596 #Aviva employees contributed 40,828 hours to volunteering #VolunteeringWeek",739838631632867328
AvivaUK,2016-06-07T07:00:00,Not sure where your money goes? Have you tried living on cash only for a week? #SaveSmarter https://t.co/FfK7oeWF4P https://t.co/TFCkPcPq0M,740075870862249984
AVIVAIRELAND,2016-06-07T08:53:00,"Thanks so much for the lovely feedback @Conorom , I'll make sure to pass that on now :) ~ Amy https://t.co/C9LJ1pgeV8",740104452292632576
avivaplc,2016-06-07T10:25:00,RT @BritishInsurers: NEWS: @avivaplc’s Andy Briggs to be next @BritishInsurers Chairman - https://t.co/2YcBW20bbt https://t.co/TsxP4QApYu,740127653785698304
avivaplc,2016-06-07T10:53:00,#Aviva's @abrem takes to the stage @InsuranceNexus #InsIoT conference to discuss #IoT making #insurance 'new' again https://t.co/6X3H8XVPgY,740134631211732992
avivaplc,2016-06-07T11:06:00,#Aviva's @abrem at #InsIoT: We can use #digital &amp; #IoT to engage people in prevention activities &amp; help them make smarter decisions,740137865917681664
avivaplc,2016-06-07T11:12:00,"RT @AvivaInnovation: Our @abrem speaking at @InsuranceNexus ""An ounce of prevention is worth a pound of cure - powered by Internet of Thing…",740139356367683584
avivaplc,2016-06-07T11:17:00,#Aviva's @abrem at #InsIoT: #IoT will reshape the #insurance experience https://t.co/OeGTIlDeFR,740140671940628480
AVIVAIRELAND,2016-06-07T12:36:00,RT @PietaHouse: To mark our 10th anniversary our staff have the honour and privilege of meeting with @PresidentIRL tomorrow morning https:/…,740160564966498304
AvivaUK,2016-06-07T12:43:00,"Driving to the Euros this #TravelTuesday? Don't say au revoir to your licence, #DriveSafer.  https://t.co/njFweGoAJI https://t.co/CCjIiPCI7R",740162274820644864
avivaplc,2016-06-07T13:14:00,RT @PensionsAge: ABI announce Aviva’s Andy Briggs as next chair https://t.co/cEU7u3Ubz4,740170151438483456
AVIVAIRELAND,2016-06-07T14:11:00,RT @TalkToJOS: @avivaireland looking for senior software engineer https://t.co/Rfpy0vO8WH #AvivaInsurtech #jobfairy,740184321751941120
avivaplc,2016-06-07T14:36:00,Our people share how they use annual paid volunteering leave to support causes they care about #VolunteeringWeek https://t.co/OH2hm0ut8S,740190600180436992
