screen_name,created_at,text,id
PeterinNL,2016-06-06T08:34:00,"@AvivaUK Not impressed by services at Friends Provident Int'l, keep getting message to say I have not paid, yet the money has cleared..????",739737319910051841
PeterinNL,2016-06-06T08:37:00,@AvivaUK good question. The money left my account &amp; went to FPI yet I keep getting mails that not received. Digital /Cyber Security problem?,739737914171592704
xylovocs,2016-06-06T09:12:00,@avivaplc Three Cheers for Diversity! But does the Company have a healthier attitude towards mental health issues than that of 22 years ago?,739746865852362752
AnnalisaMst,2016-06-06T14:52:00,@AvivaUK 45 minutes at the phone and noone able to help with my claim. Unacceptable!!! https://t.co/BBSfForhGS,739832405318619136
Guidewire_PandC,2016-06-06T15:53:00,@AvivaUK adds #ClaimCenter for Personal lines business following successful CL deployment = service differentiation: https://t.co/6nTlQXlqfx,739847686942134272
Consumer_gripes,2016-06-06T16:56:00,"@AvivaUK my wife's had a letter with someone else's confidential details from Friends Life - advised to post back then not to, then cut off!",739863636328480768
Guidewire_PandC,2016-06-06T17:56:00,"@AvivaUK selects #ClaimCenter for all #insurance claims administration, underpinning flexibility and innovation.  https://t.co/6nTlQXlqfx",739878549255917568
Charmed0813,2016-06-07T05:29:00,@AVIVAIRELAND Best way to purchase @rihanna tickets.  Group of 12 possibly .,740053019765575680
Conorom,2016-06-07T08:51:00,@AVIVAIRELAND unbelievable customer service from Grace in Aviva Health today - thanks Grace.,740103755706867712
_markmorley,2016-06-07T10:54:00,@AvivaUK Been on hold now for 18 minutes... :(,740134897008971776
_markmorley,2016-06-07T10:57:00,@AvivaUK still on hold... 20  minutes...,740135465223884800
danielvzeus,2016-06-07T12:27:00,@AvivaUK I've been waiting on the phone for 20 minutes now ffs,740158144605655040
_markmorley,2016-06-07T12:36:00,@AvivaUK you have written my car off but will not speak to me.. aarrgghhh Now 28 minutes on hold,740160553402966016
TalkToJOS,2016-06-07T13:59:00,@avivaireland looking for senior software engineer https://t.co/Rfpy0vO8WH #AvivaInsurtech #jobfairy,740181299734970369
nikkiduggan,2016-06-07T15:25:00,"@AVIVAIRELAND I haven't received the money back on my online claim that I received a letter saying it was accepted, can you help?",740203014615633920
nikkiduggan,2016-06-07T15:35:00,"@AVIVAIRELAND thanks so much, I was kinda relying on the payment :/",740205461178355712
adrianstynes,2016-06-07T16:30:00,@AVIVAIRELAND @pureresults_ie @HannahWright__ Me and you if I won be some crack 💪💪💪,740219363383463936
daddiesmumpet,2016-06-07T18:10:00,@AVIVAIRELAND @pureresults_ie fabulous giveaway,740244495422328832
HRGrapevine,2016-06-07T18:20:00,"@AvivaUK's Michelle Maynard: ""It's not that men are over educated; 60% of EU graduates are female"" #LondonHRConnection",740247176111116288
linny_pinnyx,2016-06-07T19:45:00,@AVIVAIRELAND @pureresults_ie Amazing prize 💪🏻💪🏻,740268437885358080
CharlotChmarlot,2016-06-07T20:45:00,@AVIVAIRELAND @pureresults_ie im in 😗,740283646364516352
backcastme,2016-06-07T20:50:00,.@AvivaUK thank you Mona. Indeed it would be a welcome change of culture to see this rule of the highway code being observed.,740284903565168641
JoannemcdD,2016-06-08T01:36:00,@AVIVAIRELAND @pureresults_ie #win would love this !!,740356920570155008
wasteofgoodskin,2016-06-08T11:02:00,"@AVIVAIRELAND Car insurance. Charged extra because of 3 pts. I remember when pts came in, we were told no loading below 4pts.",740499240846295040
TUACGuidelines,2016-06-08T11:05:00,@AvivaUK @stevewaygood announces pilot investor engagement mechanism on NCP cases #oecdrbc @PRI_News @workerscapital @AFLCIO,740500093682487296
gwawrloader,2016-06-08T11:09:00,@AvivaUK just wanted to commend the staff dealing with car insurance in the phone this morning. The quote I got was much higher...,740500920123936769
gwawrloader,2016-06-08T11:10:00,"@AvivaUK than expected but your staff member dealt with me so well-polite, sympathetic and kind. Thank you. So sorry I didn't get your name.",740501142535278592
DiscVisc,2016-06-08T11:30:00,@AvivaUK #Car #Insurance - Up to 1/3 off when you add a second #car or #van #WhyPayMoreWednesday #MoneySavvy https://t.co/CWam6doAJE,740506366759084032
AVIVAIRELAND,2016-06-08T11:39:00,@wasteofgoodskin for 3 penalty points we still give a discount of 12%. If you would like a call back to discuss just let me know - Amy,740508463869112320
wasteofgoodskin,2016-06-08T11:56:00,@AVIVAIRELAND Thanks. That's what I was told by broker today. I'll clarify and get back to you.,740512911551016960
Twitaculous,2016-06-08T14:02:00,"@AVIVAIRELAND The T&amp;Cs say enter before ""11.59pm on 3 June 2016""",740544586423128064
datalore_tv,2016-06-08T15:58:00,"@AVIVAIRELAND Hi Amy, spoke to 2 of ur colleagues; nothing they could do. I've already progressed onto another insurer, thank u for trying.",740573640673087492
JoanConcannon,2016-06-09T07:54:00,@AvivaUK and @YorkFestofIdeas delivering free day of talks on floods - relevant following @CommonsEAC report today. Aviva customers welcome,740814222955839488
_markmorley,2016-06-09T10:05:00,"@AvivaUK Hi,  I was advised on tuesday that my car is a write off, how long should i wait for a write off valuation thing.. :)",740847306577182721
karen93115,2016-06-09T10:29:00,@AvivaUK i am getting letters about an unpaid policy which I've never applied for.I've tried calling but cant get an answer.,740853272349704192
crackerfactory1,2016-06-09T12:00:00,@AVIVAIRELAND Just going to move my pension/home insur/&amp; make other people in the house move as well. #ripoff #joke #dublin #aviva,740876264869859328
AVIVAIRELAND,2016-06-09T12:11:00,"@crackerfactory1 this further, let me know and I will arrange one for you. Thanks ~ Amy",740878952735092737
ActiveNorfolk,2016-06-09T12:30:00,@AvivaUK We've launched a new campaign to get women more physically active #TGCinNorfolk Please support/RT https://t.co/X2ZhY0MJKf,740883645133664257
NomoGaia,2016-06-09T13:21:00,@AvivaUK says today's investments must incorporate #ESG to build a positive world into which their clients retire. #OECDrbc,740896659383721984
bex2188,2016-06-09T13:33:00,@AvivaUK where do I send my certificate of insurance following cancellation of policy? Thanks,740899510243713024
Conor1960,2016-06-09T13:55:00,@AVIVAIRELAND why are your house insurance prices up 71% on last year? Your staff don't have an explanation.,740905090383482880
darrenc2042,2016-06-09T15:58:00,@AVIVAIRELAND Darren Collins here aviva member can you follow me so I can dm you about my account as I am abroad can't get through on phone,740936064446177282
Seal_p,2016-06-09T18:52:00,@AvivaUK table at the #MMAWARDS16. Good night ahead. https://t.co/nYTZXCpPhq,740979892557389824
Annabelle_81,2016-06-09T19:45:00,@AvivaUK @BBCWatchdog #AvivaSlyBastards #DONOTcontactme https://t.co/dRq4hhWmPB,740993248022388736
Annabelle_81,2016-06-09T19:50:00,@AvivaUK purposely #hide option tick boxes #NoContact just to make nuisance calls/email/post  @GroupAnon @BBCWatchdog @MetroUK #ConArtists,740994451594747904
ClaireBev81,2016-06-09T21:28:00,"@AvivaUK On your website you say keep a child in a rear facing car seat for as long as possible to protect head, neck and spine, yet 1/3",741019215143030785
