screen_name,created_at,text,id
BankOfScotNews,2016-04-01T10:59:00,RT @Glasgow_Chamber: St Columba's School to upgrade its campus with funding from @AskBankOfScot https://t.co/T3HNKldA7g https://t.co/Zwpbvr…,715856066454663168
BankOfScotNews,2016-05-18T11:34:00,RT @LBGNews: From today #Androidpay launches for @AskLloydsBank @AskBankofScot @AskHalifaxBank customers https://t.co/g5cCqNHel2 https://t.…,732897174011383808
BankOfScotNews,2016-06-01T09:04:00,RT @LBGDigi: Today our @AskBankofScot Foundation collaborate with @Google increasing #Digitalskills for charities #DigitalGarage https://t.…,737932878068219904
BankOfScotNews,2016-06-03T13:44:00,RT @AskBankOfScot: Join Scotland's biggest weekend of running #GreatScottishRun in Glasgow on 2 October. https://t.co/jQXQEUN3iL https://t.…,738728115845926913
BankOfScotNews,2016-06-03T14:55:00,RT @LBGDigi: This week @AskBankofScot &amp; @Google's #DigitalGarage brought #digitalskills to 80+ charities https://t.co/rMevzmKLqS https://t.…,738745994154741760
AskBankOfScot,2016-06-06T01:46:00,"@EJxox to contact you directly to discuss this further. To do this, please DM your full name, postcode &amp; contact number. Thanks. (2/2) ^IH",739634539346178050
BankOfScotNews,2016-06-06T08:54:00,RT @LBGDigi: Last week @AskBankofScot &amp; @Google's #DigitalGarage brought #digitalskills to 80+ charities https://t.co/rMevzmKLqS https://t.…,739742270921007104
BankOfScotNews,2016-06-06T08:54:00,RT @LBGDigi: Last week @AskBankofScot &amp; @Google's #DigitalGarage brought #digitalskills to 80+ charities https://t.co/rMevzmKLqS https://t.…,739742270921007104
AskBankOfScot,2016-06-06T09:03:00,"Get your trainers on and join the #GreatScottishRun in Glasgow on 2 October. Register here: https://t.co/dQ3qSbDADU
https://t.co/JWUk7OZ1xc",739744427179024384
AskBankOfScot,2016-06-06T09:03:00,@ImmersiveMind Hi again. That doesn't sound good. Can you provide more info on these payments? Is there anything we can do to help? ^PM,739744565536641025
AskBankOfScot,2016-06-06T11:58:00,@tiederian can call them directly on 0345 122 7801 &amp; an advisor should be able to assist you further. ^JM 2/2,739788548417671168
AskBankOfScot,2016-06-06T11:58:00,"@tiederian Hi, I'm JM. Sorry to hear that. Just to clarify, were you being transferred through to our debit card Fraud Team? If so, you 1/2",739788428276076544
AskBankOfScot,2016-06-06T12:13:00,@tiederian That's no problem. You can call our Credit Card Fraud team on 0345 602 5669. I hope this helps! ^JM,739792446759002116
AskBankOfScot,2016-06-06T12:19:00,"@jofwx Hi, I'm AH. Sorry to hear that. For help and advice, please contact my colleagues @BankofScotBiz .",739793714659332096
BankOfScotNews,2016-06-06T13:23:00,RT @ThirdForceNews: Charities get help to face the digital future https://t.co/crV6r1Yu9g @BankOfScotNews @Google #DigitalGarage https://t.…,739809825421447168
AskBankOfScot,2016-06-06T16:03:00,"@EmzyFFC If you'd prefer, you can also destroy the card &amp; safely dispose of it. 2/2 ^SA",739850211850387457
AskBankOfScot,2016-06-06T16:03:00,"@EmzyFFC Hi, I'm SA. Thanks for tweeting. This can be reported by calling 0131 454 1605 or by handing the card in to a branch. 1/2",739850198843830272
AskBankOfScot,2016-06-06T16:43:00,"@TheGaryJye Hi, I'm KR. I'm not aware of any general issues with the service just now. What happens when you try to use the site?",739860151126110209
AskBankOfScot,2016-06-06T17:00:00,"@mineproject20 Hi, I'm AF. This would be at the branches discretion; however, this would be unlikely.",739864439202189312
AskBankOfScot,2016-06-06T19:05:00,"@davidtaylorfj Hi, I’m IH. Our Home Insurance team are only available between 8am-6pm Mon-Fri &amp; 9am-1pm Sat. Sorry for any inconvenienced.",739895886881427456
AskBankOfScot,2016-06-06T19:51:00,"@lucielu25 Hi, I’m AR. I’m sorry to hear of your loss. Cheques don’t usually have expiry dates; however, our policy is that we can’t (1/2)",739907590021353472
AskBankOfScot,2016-06-06T19:52:00,"@lucielu25 accept any cheques older than 6 months, I’m afraid. I hope this helps. (2/2) ^AR",739907713849819136
AskBankOfScot,2016-06-06T20:32:00,@lucielu25 It can only be reissued by the person who initially wrote it out for you so you’ll need to discuss this with your (1/3) ^AR,739917905807220736
AskBankOfScot,2016-06-06T20:32:00,"@lucielu25 uncle’s estate directly. If you can access a landline facility, you should be able to reverse charge calls from abroad, (2/3) ^AR",739917906306293761
AskBankOfScot,2016-06-06T20:33:00,"@lucielu25 to our 24/7 Bank Accounts team (0044 1313 374 218), by dialling through to the international operator. Thanks. (3/3) ^AR",739918032395456514
AskBankOfScot,2016-06-06T20:40:00,"@mindy_spoon Hi, I’m SN. Thanks for your lovely message; glad to hear you received such great service. Have a great night!",739919967819177984
AskBankOfScot,2016-06-07T09:27:00,"@Stuartmc83 Hi, I'm JM. That's not good. Unfortunately, you'll need to call us again to rectify the issue. Apologies for any inconvenience.",740112815910989824
AskBankOfScot,2016-06-07T09:30:00,"@niamhsnotmad Hi, I'm LR. Thanks for getting in touch. The Argyle Street branch is open until 6pm today. I hope this helps!",740113715786358784
AskBankOfScot,2016-06-07T09:33:00,"@niamhsnotmad The maximum is £50. You'll need to take photo ID with you, such as a passport or driving licence. ^LB",740114443825188864
AskBankOfScot,2016-06-07T09:53:00,"@angrynginga Hi, I'm TC. I'm not aware of this number. If possible can you DM a picture of the letter you've received?",740119358375120896
AskBankOfScot,2016-06-07T11:35:00,"@StaceyMarie_86 Hi, I'm GR. Sorry to hear that. Can you give me some more info on what's happened? How did you order the chequebook?",740145145698484224
AskBankOfScot,2016-06-07T11:47:00,"@StaceyMarie_86 I'm very sorry to hear this. If you'd like us to pass this to our Customer Services team as a complaint, please... (1/4) ^TC",740148047519322112
AskBankOfScot,2016-06-07T11:47:00,"@StaceyMarie_86 ...reply via DM with your surname, postcode &amp; a contact number. Do note our Customer Services team would... (2/4) ^TC",740148170638929920
AskBankOfScot,2016-06-07T11:47:00,"@StaceyMarie_86 ...contact you within 5 working days at the latest. If you would like further info in the meantime, we'd... (3/4) ^TC",740148170752176128
AskBankOfScot,2016-06-07T11:48:00,@StaceyMarie_86 …recommend contacting our Bank Accounts team on 0345 721 3141. (4/4) ^TC,740148299148197888
AskBankOfScot,2016-06-07T11:57:00,@StaceyMarie_86 I can see that you're currently discussing this with my colleagues on Facebook. Please continue to liaise with them. ^SG,740150696658501632
AskBankOfScot,2016-06-07T12:05:00,"@kllyblfr Hi, I'm GR. I just spotted your tweet. Sorry to hear that. Are you getting any error messages?",740152744439369728
AskBankOfScot,2016-06-07T12:12:00,"@kllyblfr That's strange. In this case, it'd be best to call us on 0345 602 0000 &amp; an advisor should be able to look into this further. ^JM",740154462078181376
BankOfScotNews,2016-06-07T13:15:00,RT @ThirdForceNews: Charities get help to face the digital future https://t.co/f7nG8blO2f @BankOfScotNews @Google #DigitalGarage https://t.…,740170374315429892
BankOfScotNews,2016-06-07T13:16:00,RT @SCDINews: Wed 8 June #Glasgow we Learn w Successful #Exporters at #scdiIntBiz16 Global Ambition Summit https://t.co/kSzRvIEl3b https://…,740170561897279488
BankOfScotNews,2016-06-07T14:32:00,RT @DHornell: @BankofScotBiz @BankOfScotNews Oil and Gas report was launched yesterday. #oilandgas #insight #marketresearch https://t.co/3g…,740189689592827904
AskBankOfScot,2016-06-07T15:26:00,It’s here! Android Pay is now available to Bank of Scotland customers. Restrictions apply.  https://t.co/oEhuOFscfa,740203279997669377
AskBankOfScot,2016-06-07T15:49:00,"@BeerPressured Hi again. Just to confirm, was this in relation to a debit or credit card transaction? ^SA",740209054635728896
AskBankOfScot,2016-06-07T15:55:00,@BeerPressured You're welcome! You can discuss this by calling our Bank Accounts team on 0131 339 2573. Hope this helps. ^DA,740210477553197056
AskBankOfScot,2016-06-07T16:07:00,"@BeerPressured You're more than welcome. If there's anything else we can help you with, just get back in touch. Enjoy your evening! ^CB",740213478703673344
AskBankOfScot,2016-06-07T18:43:00,"@MuzMcMillan Hi, I’m DH. Just seen your tweet &amp; I’d like to help. Can you provide some more info on what’s happened? DM if you’d prefer.",740252794435817472
AskBankOfScot,2016-06-07T19:40:00,"@millaraj Hi, I’m SN. Oh no! What problems are you having? Are you receiving a particular error?",740267215119912960
AskBankOfScot,2016-06-07T19:51:00,"@ballyboy5488RFC Hi, I’m MR. Sorry to read your tweet. Just to clarify, are you trying to make an online purchase with your debit card?",740269850359136256
AskBankOfScot,2016-06-07T21:13:00,"@InsideErin Hi, I’m NW. That’s odd. Does this happen on several sites or just one particular retailer?",740290719496175617
AskBankOfScot,2016-06-07T21:20:00,@millaraj I see. Could I ask what type of account are you trying to make the payment from? Thanks. ^JP,740292363805851648
AskBankOfScot,2016-06-07T23:12:00,"@RobertClark125 Hi, I’m DH. Only people named on the business bank account would be able to request this, sorry. (1/2)",740320556520722432
AskBankOfScot,2016-06-07T23:13:00,@RobertClark125 Is the account with Bank of Scotland or with another bank within Lloyds Banking Group? (2/2) ^DH,740320685206052870
AskBankOfScot,2016-06-07T23:16:00,"@InsideErin That’s odd. If you can call our Bank Accounts team on 0345 721 3141, they can find out why your card is being declined. ^DH",740321628886818816
AskBankOfScot,2016-06-07T23:38:00,"@millaraj I see. Could I ask, did you attempt this payment on the desktop site, or the mobile app? Thanks. ^JP",740326976666382336
AskBankOfScot,2016-06-07T23:43:00,@ballyboy5488RFC I see. Have you tried withdrawing money from an ATM since midnight? ^MR,740328234835922944
AskBankOfScot,2016-06-08T00:03:00,@InsideErin your card will still be valid until the end of the month. I hope this helps. (2/2) ^MR,740333268994822144
AskBankOfScot,2016-06-08T00:03:00,"@InsideErin Some merchants may prevent you from using your card if it’s due to expire shortly; however, (1/2) ^MR",740333268655087616
AskBankOfScot,2016-06-08T00:04:00,"@Lord_Kev_III Hi, I’m DH. That’s a blast from the past. Did you manage to exchange the note you put through the wash?",740333520288108544
AskBankOfScot,2016-06-08T00:44:00,@Jamiemckayx You can find the option to do this via the ‘Your Profile’ link at the top of the main page. Hope this helps. (2/2) ^DH,740343706360926209
AskBankOfScot,2016-06-08T00:44:00,"@Jamiemckayx Hi, I’m DH. There certainly is. If you have access to Internet Banking, you can register for paperless statements. (1/2)",740343586080882688
AskBankOfScot,2016-06-08T00:54:00,"@Lord_Kev_III Oh dear, that’s not good. Oh well, happens to the best of us. Hopefully it doesn’t happen again. ^JP",740346258909499392
AskBankOfScot,2016-06-08T06:08:00,"@millaraj In this case, it'd be best to call us on 0345 602 0000 &amp; an advisor should be able to look into this further for you. ^JM",740425123367358464
AskBankOfScot,2016-06-08T09:41:00,@EJxox Hi again. I've responded to your DM. ^JM,740478726245355520
AskBankOfScot,2016-06-08T10:07:00,"@RobertClark125 Okay. As this is in relation to a business account, my colleagues from @BankofScotBiz are best placed to help. ^GR",740485498133708800
AskBankOfScot,2016-06-08T10:14:00,"@LouiseGirvanx Hi, I'm AF. We'd send out a letter for each account that you hold with us or to each party of a joint (1/2)",740487037099347968
AskBankOfScot,2016-06-08T10:14:00,"@LouiseGirvanx account, detailing the changes; however, I understand your concern &amp; I'll ensure your feedback is recorded. (2/2) ^AF",740487032322019328
AskBankOfScot,2016-06-08T10:40:00,"@sharney_p on 0345 600 6001, they'll be able to cancel the policy. Are you able to get access to another phone? 2/2 ^DA",740493803090530304
AskBankOfScot,2016-06-08T10:40:00,"@sharney_p Hi, I'm DA. Unfortunately there's not an email address to give, sorry. It'd be best contacting our Home Insurance team 1/2",740493802536849408
AskBankOfScot,2016-06-08T10:50:00,"@kennethmac2000 Hi, I'm RT. Thanks for tweeting. This isn't a feature we currently have. I'll ensure that your interest is recorded.",740496090756177920
AskBankOfScot,2016-06-08T12:00:00,"@SarahMacDonald9 Hi, I'm AF. I'm sorry to read your tweet. Is there anything I can help with? Feel free to DM if you'd prefer.",740513864266223616
AskBankOfScot,2016-06-08T12:02:00,"@JonnyBunyan Hi, I'm JL. Sorry to hear that. Can you provide more info on this? How did you initially cancel the card?",740514337106845696
AskBankOfScot,2016-06-08T12:16:00,@kennethmac2000 I understand your frustration. Apologies for any inconvenience caused. ^LR,740517852646670336
AskBankOfScot,2016-06-08T12:35:00,"@JonnyBunyan Glad to hear that. If there's any further issues, feel free to get back in touch. ^SA",740522629145202690
AskBankOfScot,2016-06-08T15:25:00,"@liljack87 Hi, I'm CM. I'm not aware of any issues at present with our website. Can you please provide some... 1/2",740565298013712385
AskBankOfScot,2016-06-08T15:25:00,@liljack87 ...info as to why you believe the website isn’t secure? Feel free to DM if you'd prefer. 2/2 ^CM,740565415827492864
AskBankOfScot,2016-06-08T15:48:00,@SarahMacDonald9 Sorry to hear about this. Can you send a DM with more info on what happened? ^JL,740571212078841858
BankOfScotNews,2016-06-08T17:00:00,RT @Bield_Fundraise: Nice article on sponsors @BankOfScotNews @LBGDigi #DigitalGarage event I attended for #Bield https://t.co/JycHa5mdV7 h…,740589342251454464
AskBankOfScot,2016-06-08T18:16:00,"@AlisonMcIntosh Hi, I’m RJ. Thanks for your tweet. As long as whichever merchant you use accepts Visa or Mastercard, your card should (1/3)",740608476561481728
AskBankOfScot,2016-06-08T18:16:00,@AlisonMcIntosh work fine. I’d also recommend registering your card for use abroad via Online Banking or by calling our 24/7 Bank (2/3) ^RJ,740608504948490240
