screen_name,created_at,text,id
ImmersiveMind,2016-06-06T09:05:00,@AskBankOfScot You can let me spend my money. My accounts are a mess now and providing you info is the last thing I have time for right now.,739745054634483712
ImmersiveMind,2016-06-06T09:07:00,"@AskBankOfScot I'm going to get through this project and I'm leaving #BankofScotland. Your internet, phone and branch services are dire.",739745429328429056
tiederian,2016-06-06T11:36:00,"@AskBankOfScot Call cut off as I was being directed to the fraud team. Can't find the number to call the fraud team directly, help?",739783124628983808
tiederian,2016-06-06T11:59:00,"@AskBankOfScot Apologies, I should have specified. Credit card fraud team.",739788723534041088
EmzyFFC,2016-06-06T15:42:00,@AskBankOfScot Hi - i have found a debit card belonging to a customer. Could you let them know?,739844949198409728
TheGaryJye,2016-06-06T16:16:00,@AskBankOfScot with the nicest tone! Get my internet banking back on or I'm going to TSB!,739853482690236416
mineproject20,2016-06-06T16:38:00,@AskBankOfScot I ripped a bank note in half by accident and lost the other half can I exchange it in a branch,739859047982223360
lucielu25,2016-06-06T19:25:00,"@AskBankOfScot Tweeting you from Canada. I have a cheque from my uncles estate, I am wondering if they expire and if they do if it is",739900992007884800
lucielu25,2016-06-06T19:25:00,"@AskBankOfScot possibl
e to get a cheque reissued as it has been made out in Pounds and I am waiting for the pound to go back up in value",739901080289579008
lucielu25,2016-06-06T20:10:00,"@AskBankOfScot 
Is there a way to reissue a cheque? As mine will be expiring shortly .",739912271267266560
lucielu25,2016-06-06T20:10:00,@AskBankOfScot also is there a toll free number I could call from Canada to talk to someone?,739912385675337728
seacxinc,2016-06-07T08:37:00,@AskBankOfScot RBS's Colin Walls: #SMEs must stand up to #latepayments https://t.co/HEAUWNcect we have a #fintech #solution &amp; like to engage,740100302641061888
Stuartmc83,2016-06-07T09:16:00,"@AskBankOfScot hi my wife's gran istrying to order currency online. Got a c5 error called up BOS,was told try again. Still not working",740110082088828928
niamhsnotmad,2016-06-07T09:23:00,@AskBankOfScot what time does ur argyle st branch close?,740111911409360896
niamhsnotmad,2016-06-07T09:31:00,@AskBankOfScot yeah thank u! What's the max to withdraw if u dnt have a card!!?,740113864315031552
StaceyMarie_86,2016-06-07T11:37:00,@AskBankOfScot ordered it I'm Argyl st branch 25th May. It hasn't arrived. Called last week and was told would get another one. It's now,740145637715501056
StaceyMarie_86,2016-06-07T11:38:00,@AskBankOfScot 5 working days later and I don't have either cheque book. I've now lost my horse and carriage because I needed a cheque to,740145796235005952
StaceyMarie_86,2016-06-07T11:38:00,@AskBankOfScot secure my wedding date. I am gutted and it has spoiled my wedding. How difficult is it to send a cheque book? But weird that,740145972714606592
StaceyMarie_86,2016-06-07T11:39:00,@AskBankOfScot 2 cheque books haven't arrived?! And the first isn't cancelled as the staff member said not too. I want to know your,740146088598986754
StaceyMarie_86,2016-06-07T11:39:00,@AskBankOfScot complaints procedure as I will be making a formal complaint as you have ruined my wedding and I'm moving my accounts asap,740146262171918336
StaceyMarie_86,2016-06-07T11:49:00,@AskBankOfScot 5 working days?! You mean like the cheque books that were meant to arrive within 5 working days? I find it hard to believe ..,740148786299842560
StaceyMarie_86,2016-06-07T11:51:00,"@AskBankOfScot I'm sorry why should I believe your ""customer service"" on the phone. They have never given me correct information before",740149059944652800
StaceyMarie_86,2016-06-07T11:52:00,@AskBankOfScot and that has spoiled my wedding day. Someone called Sophie has forwarded my details to you apparently but it seems poor,740149340887502848
StaceyMarie_86,2016-06-07T11:53:00,@AskBankOfScot customer service that in order for me to make a formal complaint I have to spend my time chasing you.,740149555702947840
kllyblfr,2016-06-07T12:06:00,"@AskBankOfScot no error messages, just keep getting told I have to reset password and memorable information each time",740153069485314049
StaceyMarie_86,2016-06-07T12:08:00,@AskBankOfScot I will thank you.,740153449191505921
BeerPressured,2016-06-07T15:30:00,"@AskBankOfScot I mistakenly said YES to what I now think is a fraudulent payment, can you let me know the number to contact? Cheers!",740204330347843586
BeerPressured,2016-06-07T15:50:00,@AskBankOfScot my debit Visa - cheers!,740209218783956992
BeerPressured,2016-06-07T15:59:00,"@AskBankOfScot thanks guys, great response time!",740211507821215744
ballyboy5488RFC,2016-06-07T19:09:00,"@AskBankOfScot hi I am not able to use my debit card it's saying please refer to issuer, I can't call as my mobile doesn't allow, I need",740259442189606912
ballyboy5488RFC,2016-06-07T19:10:00,"@AskBankOfScot take any money out, can you help please. Alasdair",740259755097219072
ballyboy5488RFC,2016-06-07T19:10:00,"@AskBankOfScot to withdraw money ASAP and I'm really stuck! Can you please help, I've checked online banking and I don't know why I ant",740259633676324869
MuzMcMillan,2016-06-07T19:52:00,"@AskBankOfScot nah, I wouldn't waste anymore of my time. Financial Ombudsman next stop. Thanks for replying though.",740270219306799106
millaraj,2016-06-07T20:20:00,@AskBankOfScot every time I try to pay it says there's been a technical error.,740277394116890624
RobertClark125,2016-06-07T21:05:00,"@AskBankOfScot the hop I work in banks with Lloyds banking group. we need 5pences, so can I come to ur mitchelston branch in Kirkcaldy 1/2",740288517478187008
RobertClark125,2016-06-07T21:05:00,"@AskBankOfScot 2/2 2moro and get some? Incidentally, if it's a yes, can you let the branch know as well thanks?",740288659635752960
InsideErin,2016-06-07T21:15:00,"@AskBankOfScot happens on most sites, tried to use it a couple of times and it's just not worked",740291235987005441
millaraj,2016-06-07T21:38:00,@AskBankOfScot My rewards current account. This is what I get. https://t.co/fkJ3SJI6QN,740296894006603776
ballyboy5488RFC,2016-06-07T22:04:00,"@AskBankOfScot no, I seem to have the issue ""resolved"" as I da only withdraw money 3 times per day, seems the issue with resolved at 12am",740303403235086336
InsideErin,2016-06-07T23:17:00,"@AskBankOfScot okay thanks, could it be because it expires at the end of the month",740321797191704577
Lord_Kev_III,2016-06-08T00:05:00,@AskBankOfScot nope. Ended up putting my wallet through the wash again the other day. Never learn,740333788551643136
millaraj,2016-06-08T06:03:00,@AskBankOfScot on the desktop,740423991337361415
RobertClark125,2016-06-08T09:49:00,@askbankofscot its with lloyds,740480899934998528
sharney_p,2016-06-08T10:21:00,@AskBankOfScot I need to cancel my home policy but cannot use my phone at the minute. Do you have an email address I can use?,740488899659730944
kennethmac2000,2016-06-08T10:23:00,@AskBankOfScot Can I read Internet Banking messages on mobile and if not why not?,740489544139673601
kennethmac2000,2016-06-08T12:07:00,@AskBankOfScot Very frustrating getting an e-mail on my phone about a new message and not being able to deal with it right there and then.,740515709776744449
JonnyBunyan,2016-06-08T12:29:00,@AskBankOfScot all dealt with. Thanks,740521048744005632
liljack87,2016-06-08T15:02:00,@AskBankOfScot The SSL certificate of your website is not secure! Could you please check with your sysAdmin and make sure this is resolved?,740559679403724800
SarahMacDonald9,2016-06-08T15:33:00,@AskBankOfScot I know If I turned up to work in the condition of your member of staff I certainly wouldn't be there for long!,740567547897090053
AlisonMcIntosh,2016-06-08T17:05:00,@AskBankOfScot Will my BoS debit and credit cards work in Myanmar?,740590623678464000
