screen_name,created_at,text,id
BarclaysUK,2016-06-06T07:52:00,@Brendoncare Hi there. This is great to hear and thanks for sharing :) ^JR,739726524929191936
BarclaysUK,2016-06-06T12:28:00,RT @dollybowbow: NEW VIDEO! Tips on starting your own business &amp; my day at #workfest16 with @BarclaysUK #ad https://t.co/W9eEILMwve https:/…,739796080745971712
BarclaysUK,2016-06-07T14:56:00,"@ChangingLives__ Hi there, I hope you all had a fantastic day. Well done on such a great amount raised! ^AJ",740195647316480000
BarclaysUK,2016-06-08T08:21:00,RT @LondonLGBTPride: Today we launch our new app with @thomsonreuters. Download it and plan your #PrideinLondon! https://t.co/ceNi6xUIQk ht…,740458612682821633
Barclays,2016-06-08T17:09:00,#Barclays continues employability drive with launch of US-based Encore! program for experienced professionals https://t.co/ue46kJgDaE,740591602608050176
BarclaysUK,2016-06-08T20:10:00,Inspiring words from @gareththomas14 this evening on living and celebrating #lifewithnofilter https://t.co/4ub2nwW3ls,740637054514536448
BarclaysUK,2016-06-08T22:32:00,"@CalumMcSwiggan @RolyUnGashaa @ollypike @Jonastephan @goopery thanks for joining us this evening, Calum &amp; friends!",740672826403852288
BarclaysUK,2016-06-10T00:22:00,"@Jamie_Perrin20 Hi there, I'm sorry to hear this. May I ask what exactly has happened in branch? ^JM",741062897158213632
BarclaysUK,2016-06-10T00:49:00,"@Jamie_Perrin20 What next steps did the branch advise, when they were not able to print your card? ^JM",741069760054611968
BarclaysUK,2016-06-10T00:55:00,"@Lucksee786 Hi there, we're looking into supporting this but are in the process of releasing Contactless mobile facilities. ^JM",741071236940374017
BarclaysUK,2016-06-10T01:00:00,"@Jamie_Perrin20 Certainly. If you go into your local branch with ID, they'll be able to help you with your transfers. ^JM",741072418601631745
BarclaysUK,2016-06-11T09:39:00,@YorkLGBT We hope it goes well :) ^JR,741565452829229056
BarclaysUKHelp,2016-06-13T09:29:00,@FinancialPure Apologies for any inconvenience caused. Was the advisor you spoke to able to complete everything you needed doing? ^DN,742287648853794817
BarclaysUKHelp,2016-06-13T09:33:00,@chrisbish01 We're sorry you missed it Chris but we did advise customers via twitter on 06/04 that we had started to support Apple Pay. ^KA,742288862165225472
BarclaysUKHelp,2016-06-13T09:50:00,"@chrisbish01 We appreciate that Chris, however it would be difficult to confirm which customers would use this service. ^KA",742292951825584129
BarclaysUKHelp,2016-06-13T10:00:00,"@RealRaygun Alternatively you can email us at wr@barclays.com with your full name, postcode and full details of your complaint. ^KA 2/2",742295478180708352
BarclaysUKHelp,2016-06-13T10:00:00,"@RealRaygun Hi there, we're sorry you were given the wrong details. If you visit: https://t.co/9J63EgiBtV you can complain online. 1/2",742295451660132352
BarclaysUKHelp,2016-06-13T10:12:00,"@thisislikepara Hi there, this is a fraudulent text. Unfortunately we're unable to stop this. Can we ask you to delete them. ^KA",742298689088151552
BarclaysUKHelp,2016-06-13T10:14:00,"@DontCallMeMiki If you don’t have the app, you would need to know your PIN to be able to log in this way and make the payment. ^NI 2/2",742299078881628160
BarclaysUKHelp,2016-06-13T10:15:00,"@CatrionaMiranda Hi Catriona, this is something we can suggest to our app team. We always advise de-registering first until then. ^KA",742299426060947457
BarclaysUKHelp,2016-06-13T10:19:00,"@GaryRae Hi Gary, this is definitely not a genuine text from us. Please don't visit the site. We'd also advise deleting the text itself. ^KA",742300271943024640
BarclaysUKHelp,2016-06-13T10:28:00,"@DazLegend That’s great! Thanks for that, Daryl :) ^NI",742302722565799936
BarclaysUKHelp,2016-06-13T10:48:00,@DontCallMeMiki There’s no phone number or email address for this site. Can I ask what you need it for to provide an alternative? ^NI 3/3,742307774688858112
BarclaysUKHelp,2016-06-13T10:48:00,"@DontCallMeMiki We’d be unable to send the PIN via DHL, this would need to be sent via normal post. 2/3",742307665234255872
BarclaysUKHelp,2016-06-13T10:50:00,@LesboBaggins We share your sarcasm Lesley. This isn't a text from us and we'd suggest deleting the text. ^KA,742308093510455297
BarclaysUKHelp,2016-06-13T11:01:00,@LukeRigmouse They are really trying it with a few customers Luke. Please continue to delete the texts you're receiving. ^KA,742310837260562432
BarclaysUKHelp,2016-06-13T11:04:00,"@JordanMcDean Hi Jordan, can ask how you’ve accessed the chat service today and what you’d like to discuss? ^NI",742311731721043968
BarclaysUKHelp,2016-06-13T11:18:00,"@TommayTowny Is this in relation to a Professional and Career Development Loan application, Tom? ^DN",742315107888332800
BarclaysUKHelp,2016-06-13T11:26:00,"@diamondx1982 Hi, we appreciate your thoughts. The plan is to ensure our devices have the same capability as our counter staff. 1/2",742317278126051328
BarclaysUKHelp,2016-06-13T11:29:00,"@makeupbyjodie Hi Jodie, I’m sorry that this hasn’t been resolved yet. Can I ask if the employee has been added to your mandate?  ^GS",742317844994613248
BarclaysUKHelp,2016-06-13T11:34:00,@TommayTowny Did you provide any documents to verify your address when opening this account? Have you been asked for further proof? ^DN,742319321704243200
BarclaysUKHelp,2016-06-13T11:35:00,"@felicitygarrow Hi Felicity, the only branch with a Coin Deposit Machine in London is Mile End on Whitechapel Road (E1 1EA). ^NL",742319578353635328
BarclaysUKHelp,2016-06-13T11:55:00,@TommayTowny Have you been advised that the documents that you do have can't be accepted? Or were you trying to check this? ^DN,742324570934382593
BarclaysUKHelp,2016-06-13T12:11:00,@segosa That seems strange. Can we ask if you've contacted our mobile banking helpdesk on 03332001014 to discuss this? ^KA,742328563668549634
BarclaysUKHelp,2016-06-13T12:13:00,"@Manxy Hi there, we apologise for the queue. Can we ask what you visited the branch to do. Are there any assisted-service devices? ^KA",742329009086824448
BarclaysUKHelp,2016-06-13T12:16:00,"@Pub_Paul Hi Paul, we're sorry to hear about your wait today. Could you tell us what your visit is regarding? ^ZB",742329828758716416
BarclaysUKHelp,2016-06-13T12:21:00,@TommayTowny If you visit us here: https://t.co/F8SsYjmlWT you can find documents that we'd accept for this Tom. ^KA,742330988433408000
BarclaysUKHelp,2016-06-13T12:23:00,"@robertadickson Hi Roberta, I’m sorry to hear the form went missing in the post. Have the team provided any next steps for you? ^NI",742331480593051648
BarclaysUKHelp,2016-06-13T12:30:00,@lexy1968 If the payment was sent via Pingit the funds should return within 5 working days as you don't use the service. ^KA 2/2,742333399453605889
BarclaysUKHelp,2016-06-13T12:34:00,@jnngm It will be available for all Android users of the app before the end of the month with eligible accounts. ^ZB,742334279477268480
BarclaysUKHelp,2016-06-13T12:34:00,"@RyotteBou If you’d prefer a local rate number, you can call our Telephone Banking team on: 03457345345 and they’ll connect you. NL 2/2",742334419055353856
BarclaysUKHelp,2016-06-13T12:34:00,"@RyotteBou Thanks, you can reach the team direct on: 08450267199 (Mon-Fri 8am-8pm, Sat 8am-2pm). 1/2",742334344166006784
BarclaysUKHelp,2016-06-13T12:45:00,"@JadeCahill Hi Jade, can I ask you for further information regarding your tweet?  ^GS",742337178945093633
BarclaysUKHelp,2016-06-13T12:55:00,"@robertadickson I appreciate your feedback regarding the process, Roberta and can only apologise that you’re unhappy with this. ^NI",742339622932520960
BarclaysUKHelp,2016-06-13T12:58:00,"@Pub_Paul What details were you looking to change, Paul? Have you since been able to complete what you required? ^ZB",742340300748775425
BarclaysUKHelp,2016-06-13T12:59:00,@jnngm The feature will become available in the app if you have a standard current account with us and not a basic current account. ^ZB,742340513911734273
BarclaysUKHelp,2016-06-13T13:08:00,"@mrseasybee We're sorry to hear about your wait today, Mel, have you since been able to complete everything you required? ^ZB",742342958708629504
BarclaysUKHelp,2016-06-13T13:08:00,"@FlavourMcr We apologise that you were not advised of this previously, we would've assumed that the person you spoke to would have. 1/2",742342943068016640
BarclaysUKHelp,2016-06-13T13:08:00,@FlavourMcr Are you able to complete and return them to us or have you already done so? ^KA 2/2,742342964744196100
BarclaysUKHelp,2016-06-13T13:21:00,@diamondx1982 We do value all feedback provided. Thank you for taking the time to share your thoughts. ^GS,742346050623668224
BarclaysUKHelp,2016-06-13T13:24:00,"@Pub_Paul I'm sorry to hear that, Paul. Could you tell us more around that, what were you advised upon entering the branch? ^ZB",742346934283870208
BarclaysUKHelp,2016-06-13T13:26:00,@FlavourMcr I can assure you that this will be processes as quickly as possible. ^NI 2/2,742347529187164161
BarclaysUKHelp,2016-06-13T13:32:00,"@dhunts0102 I see, I am sorry for your wait today. Is there a member of staff that you can ask for an update on the wait time? ^NL",742348910820229120
BarclaysUKHelp,2016-06-13T13:58:00,@spinklzz I'm sorry that this hasn't been resolved for you yet. Can I ask if you know the reason you’ve been unable to access the funds? ^GS,742355548927098880
BarclaysUKHelp,2016-06-13T14:00:00,"@theroyalfactor Hi David, can I ask if there were any advisors in the banking hall to assist customer with our devices or in the queue? ^NI",742355971641610241
BarclaysUKHelp,2016-06-13T14:15:00,@FlavourMcr Unfortunately we're unable to reduce the time on this. The team will endeavour to implement this as soon as they receive it. ^KA,742359730308407296
BarclaysUKHelp,2016-06-13T14:16:00,@ducksandchucks A paying in slip is used to ensure that your cheques are paid into the correct account. ^GS 2/2,742360064976166912
BarclaysUKHelp,2016-06-13T14:16:00,@ducksandchucks I’m unable to comment on processes used by other financial institutions. 1/2,742359962156949504
BarclaysUKHelp,2016-06-13T14:17:00,"@EmilisInstantff Hi Emilis, can we ask for confirmation on what you need in regards to this tweet? ^KA",742360241132711936
BarclaysUKHelp,2016-06-13T14:19:00,"@mradamdavies I’m going to look in to this for you Adam, I will let you know if I need any further information. ^NL",742360678485401600
BarclaysUKHelp,2016-06-13T14:32:00,@ducksandchucks At present we continue to use paying in slips to prevent errors from occurring. 1/2,742364004694233090
BarclaysUKHelp,2016-06-13T14:32:00,"@ducksandchucks Thanks for your feedback, we are constantly looking for ways to improve our digital services to make it easier. 2/2 ^NL",742364051733381120
BarclaysUKHelp,2016-06-13T14:37:00,@em_denyer Can I ask if you managed to complete everything you needed to on the call today Em? ^NL,742365261718814721
BarclaysUKHelp,2016-06-13T15:13:00,"@morgane_d I am sorry about that, we do have higher security now when accepting documents. They need to be signed off if not accepted. ^AJ",742374215542788096
BarclaysUKHelp,2016-06-13T15:23:00,"@spinklzz Can I ask you to DM your full name, business name and business postcode please? I’d like to try and help. ^AJ",742376788559532033
BarclaysUKHelp,2016-06-13T15:24:00,"@Piinky7 Hi there, the investigation can take a number of weeks. Can I ask when you contacted the team? ^AJ",742376990418817025
BarclaysUKHelp,2016-06-13T15:32:00,@feng_jesse It’s a direct message. I sent one to you to reply. ^AJ,742379117421703168
BarclaysUKHelp,2016-06-13T15:43:00,"@ukbigred Hi Steven, can we ask what happens when you try to download the app? Do you get any errors? ^KA",742381896303271936
BarclaysUKHelp,2016-06-13T16:11:00,"@Pub_Paul Thanks for more around this, Paul. We'll ensure to share your feedback with the team in the branch. ^ZB",742388963307065349
BarclaysUKHelp,2016-06-13T16:15:00,@holliemcgowan We appreciate that can be very annoying Hollie. Can we ask when was the last time you paid that payee? ^KA,742389822409572353
BarclaysUKHelp,2016-06-13T16:20:00,"@noodoll Sorry about that, the statement for a Euro account isn’t available within ‘cloudit’ that was my error. ^AJ",742391094797869056
BarclaysUKHelp,2016-06-13T16:26:00,@Sophiasogood Many factors are taken in to consideration before taking the difficult decision to close one of our branches. ^NL,742392621474172932
BarclaysUKHelp,2016-06-13T16:50:00,@dontsayglam Have you been told what type of block has been placed on your account. Is your account under review? ^KA,742398644708597761
BarclaysUKHelp,2016-06-13T16:53:00,"@hindmanat0r Hi Amy, what issues are you facing when trying to use your card?^NL",742399554532876288
BarclaysUKHelp,2016-06-13T16:57:00,"@blondstu2012 If you have a complaint logged regarding the matter, our Complaints team will contact you to discuss a resolution. ^NL",742400573027287040
BarclaysUKHelp,2016-06-13T17:01:00,@holliemcgowan We can appreciate it is frustrating. If you don't pay a payee for 6 months they are removed from your list. ^KA,742401459547996160
BarclaysUKHelp,2016-06-13T17:14:00,@kirallyany You'll be able to amend your address using the 'Direct Call' feature within the app. ^ZB,742404812818526208
BarclaysUKHelp,2016-06-13T17:39:00,"@Payah Hi Paulina, it should be possible, you'd need to request that in writing though at Barclays Bank PLC, Leicester, LE87 2BB. ^ZB",742411106212286464
BarclaysUKHelp,2016-06-13T17:47:00,"@shoegirl_21 Hi Beth, can you tell me when you last spoke to our Fraud Department? ^NL",742413196875698176
BarclaysUKHelp,2016-06-13T17:50:00,"@JJN90 Hi James, here is the page on using your Barclaycard abroad: https://t.co/DfsjpYgIYs. 1/2",742413965133774848
BarclaysUKHelp,2016-06-13T18:32:00,"@nicolemaxinee Hi Nic, all cards are enabled for worldwide use, so there’s no need to let us know when you’re travelling. ^NL",742424304810401792
BarclaysUKHelp,2016-06-13T19:11:00,@Lauren__Eads Sorry to hear this. If possible can you call 0345 600 23 23 and our online banking team will look into this. ^CC,742434178986352640
BarclaysUKHelp,2016-06-13T19:14:00,@AaronMyers1 Hi Aaron. You can also change your address by sending a secure message via online banking under the drop down menu. ^CC,742434998100332544
BarclaysUKHelp,2016-06-13T19:30:00,@calvertcon I see. I'll email our digital team to find out why this phone is not compatible and get back to you ASAP tomorrow. ^CC,742438918604398592
BarclaysUKHelp,2016-06-13T19:52:00,@soph_holmes47 You're welcome. Enjoy the rest of your evening :) ^CC,742444427080306688
