screen_name,created_at,text,id
raychul_emma,2016-06-06T02:42:00,@Barclays @BarclaysUK is there a freephone line i can call to give info on a contactless card i found?,739648597050961921
RichRichardrom,2016-06-06T09:17:00,@BarclaysUK can I get a new card reader in my local bank?,739747962184695808
minusclea,2016-06-06T09:43:00,@Barclays (...) Does not give me back my money. Barclay solution? Have me write my name on a piece of scrap paper and //3//,739754672727203840
minusclea,2016-06-06T09:44:00,"@Barclays (..) ""if the money is there tonight by the close of business we well transfer is to you."" 
So, wow, the matter of whether //4//",739754908702904320
minusclea,2016-06-06T09:46:00,"@Barclays Wow, just wow. 
Since I'm an EU student I also get £0 overdraft which means I now have to walk to Heathrow? #customerservice //6//",739755374094503936
1TheRef,2016-06-06T10:17:00,"@Barclays shocking online support, the call centre appear not to want to help and cannot answer a question off script",739763038975340544
Carersnetwork,2016-06-06T11:03:00,@Barclays Kensington Hub on #carers access to banking #carersweek https://t.co/iJCKmsGnxS,739774615027863552
andiepasdedeux,2016-06-06T11:15:00,"@BarclaysUK have now paid me £75 and £25 for cocking up my Mx complaint. I don't want cash, just to change my title. Ombudsman time. *Sigh*",739777788446674944
giancapiccione,2016-06-06T11:53:00,@Barclays $BARC.L year prediction at $230 https://t.co/4Dbgm9oIq4,739787180709662720
MicrowaveQuaver,2016-06-06T15:20:00,@Barclays when can I expect NFC payments with my Android Barclays Bank application please? I want to use it on @TfL rather than debit card,739839486503342080
leanneks,2016-06-06T18:04:00,@BarclaysUK @BarclaysUKHelp @Barclays @barclays https://t.co/VyWduXGhSY,739880554028470274
david_farr,2016-06-06T20:12:00,"@BarclaysUK yet again another shocking display of customer service, being lied to &amp; belittled, what a joke?",739912893777510400
OisforOttilie,2016-06-06T20:46:00,"@BarclaysUK the service in the Ashford branch is appalling, every time I've visited it's been a bad experience and totally not worth my time",739921409716129792
Trygglet,2016-06-07T06:57:00,"@Barclays @LondonLGBTPride Oh well, never mind...https://t.co/yHJqMR33l9",740075208611074048
mattwhitby,2016-06-07T07:34:00,@BarclaysUK Hi - please follow me so I can ask you a question.  Thanks.,740084557190463489
etftrack,2016-06-07T09:07:00,@Barclays to close Barclays OFI SteelPath Midstream MLP ETN (OSMS) #ETFs https://t.co/tSJj4CoGn4 https://t.co/8EvGm8MLrd,740107992612364288
jasobibb,2016-06-07T09:18:00,@BarclaysUK your Frodsham branch is the worst at service. I'm in here for literally 20minutes every time 🙄,740110607723167744
taroffe,2016-06-07T09:22:00,@BarclaysUK how long does it take to open a business bank account?,740111683155288064
SoundzFamilia,2016-06-07T11:36:00,@Barclays @BarclaysUK @BarclaysUKHelp ... bunch of delinquent ill trained fools!!!! My life you are messing around. And you do NOTHING!,740145410837217282
mastercardb,2016-06-07T12:19:00,@Barclays Can't open a business account in branch or make appointment? Hmmm Off to @NatWestBusiness &amp; @HSBC_UK I go,740156334834917376
patricknised,2016-06-07T12:38:00,"@BarclaysUK are ""conduting"" a fraud check. #scam #fail https://t.co/qajrBJt8Cu",740160905770598400
zeefleeky,2016-06-07T13:22:00,@BarclaysUK are the worst bank to ever be with 😤,740172096400134144
baharakz,2016-06-07T13:41:00,@BarclaysUK furious!!! How has no one else complaint about their customer services,740176897196339200
KarynJayneee,2016-06-07T14:42:00,@BarclaysUK Hi someone is trying to contact me. I've been told my card has been temporarily suspended though text. Can someone call me back,740192167528960000
