screen_name,created_at,text,id
askclydesdale,2016-06-06T07:49:00,Morning! Gemma here to answer your Tweets till 4.30pm.,739725864007503872
askclydesdale,2016-06-06T09:47:00,"@PeteStaunch Hi Pete, I’m really sorry about that. Which number did you call? Gemma.",739755672447913984
clydesdalebank,2016-06-06T12:02:00,Can you guess what type of incident the @ScotAirAmb has had the most call-outs for?,739789439388520448
askclydesdale,2016-06-06T12:05:00,@PeteStaunch Thanks Pete. That's the correct number you've called. I'm sorry you couldn't get through; they must've been really… Gemma 1/2,739790198519762944
askclydesdale,2016-06-06T12:06:00,@PeteStaunch ...busy when you called. Have you been able to try again? If you'd prefer I can give you a call to help. Gemma. 2/2,739790575252217856
askclydesdale,2016-06-06T14:46:00,"@McAvoyChris Sorry about this Chris, I'll highlight this for you. To speak to them in the meantime, you can call 0800 345 7 365. Steve.",739830890482831361
clydesdalebank,2016-06-06T15:00:00,"We’re heading to @automechanikaBM tomorrow! If you’re off to the automotive show, drop by stand E29 and say hello to our team of experts.",739834265794285568
askclydesdale,2016-06-06T15:36:00,"@DaleDalegreig Hi Dale, does your friend have Twitter? If so, could they send us a message? We'd like to help. Steve.",739843526922539009
askclydesdale,2016-06-06T18:09:00,"@Cameron_AIB Hi Cameron, sorry about this. Have you contacted your bank to stop your card yet? Steve.",739881977071980545
askclydesdale,2016-06-07T08:00:00,Morning everyone! I’m here to answer your Tweets till 4.30pm. Gemma.,740091125088833536
askclydesdale,2016-06-07T11:03:00,@ellonenterprise We're looking at various ways we can help customers take advantage of… 1/2,740137197702139904
askclydesdale,2016-06-07T11:04:00,"@ellonenterprise ...new payment options becoming available, but there's no details to share just yet. Gemma. 2/2",740137315335589888
askclydesdale,2016-06-07T12:30:00,"@GhostofCableSt Hi Kevin, can I ask what the address shows as on the form? Joy.",740158994178838530
askclydesdale,2016-06-07T12:42:00,"@GhostofCableSt That’s right Kevin! Anything sent there will be sent directly to our Loan Admin team. Thanks, Joy.",740162064589697025
clydesdalebank,2016-06-07T13:10:00,We were on air this afternoon at @4mediarelations chatting summer sport with former @TeamGB Olympian @jamiebaulch https://t.co/hIuv1FrcmW,740169183762075648
clydesdalebank,2016-06-07T19:30:00,We are at the @FinanceAwards this evening - looking forward to a great night. #moneyfactsawards https://t.co/1KEn4exaFp,740264673165991936
clydesdalebank,2016-06-07T21:00:00,Please to be Highly Commended in the Best Bank Mortgage Provider category at the @FinanceAwards #moneyfactsawards https://t.co/WIOmWHj24d,740287377399291904
clydesdalebank,2016-06-07T21:17:00,We won! 😊 Delighted to win the Best Card Provider (Introductory Rate) award at the @FinanceAwards #moneyfactsawards https://t.co/7ohN6K8Hv7,740291583770300416
clydesdalebank,2016-06-07T21:42:00,Carol Craig received our @financeawards Best Card Provider award... presented by @russell_kane! #moneyfactsawards https://t.co/KOkttM2rIG,740297851775930371
askclydesdale,2016-06-08T07:01:00,"Good Morning, Cameron here with the morning shift. Feel free to get in touch if there’s anything we can help you with.",740438631056330752
clydesdalebank,2016-06-08T09:00:00,Hello from #AutomechanikaBHAM! Visit us at stand E29 to meet the team and have a natter. https://t.co/pvb1MQDXPI,740468449718075393
clydesdalebank,2016-06-08T10:48:00,"Remember when you didn't have to worry about money? @HelloB takes us back to that time https://t.co/bZgdNwQGT9
https://t.co/L4vmjahBTx",740495720864571393
clydesdalebank,2016-06-08T11:35:00,"RT @EdinburghZoo: Help us shout about our amazing native #biodiversity, join the @WildaboutScot Thunderclap: https://t.co/T6ImTaGkUQ https:…",740507433022410752
askclydesdale,2016-06-08T14:36:00,"@andrew_jackman If you’ve forgotten any of your login details Andrew, you can reset them on the login page itself using the…1/2",740553187208351744
askclydesdale,2016-06-08T14:37:00,@andrew_jackman …“Forgotten all your Internet Banking details?” link. If you're still having issues let us know straight away. Cameron. 2/2,740553233807085569
askclydesdale,2016-06-08T15:05:00,@andrew_jackman …quicker to call into Customer Service directly on 0800 345 7 365 and speak with an advisor there. 2/2,740560500690440192
askclydesdale,2016-06-08T15:05:00,@andrew_jackman If you send me a DM I could arrange to call you and reset everything from here.  Although you might find it…1/2,740560463851868160
askclydesdale,2016-06-08T15:40:00,"@Sol_00 Hi Paul, can you send us a DM? We'll see if we can find out more for you. Steve.",740569098120269824
clydesdalebank,2016-06-08T20:59:00,RT @CIPR_Awards: Tonight's first #CIPREXCEL gong for Corporate and Business Comms Campaign sponsored by @Kantar_Media goes to @ClydesdaleBa…,740649440013324288
askclydesdale,2016-06-08T21:35:00,"@bertwallens Sorry Bert. The team are currently working on the app. I apologise for any inconvenience this has caused. Thanks, Stuart.",740658469049667584
askclydesdale,2016-06-09T07:41:00,@DrScratchTheDog I'm afraid there's no news to share at this time. We'll be updating our customers as soon as we know more. Cameron.,740810962798825472
askclydesdale,2016-06-10T07:42:00,"Morning, Ashley here to answer your tweets until 2.15pm.",741173646547378176
askclydesdale,2016-06-10T07:54:00,"@hangrenade86 Hi Sinead, I checked with the branch and all of their systems are back to normal. Hope this helps. Ashley.",741176676911075328
clydesdalebank,2016-06-10T08:08:00,RT @rzss: Join the @WildaboutScot Thunderclap &amp; help us shout about our amazing native #biodiversity https://t.co/OzvmaeRyWj https://t.co/4…,741180154681171968
askclydesdale,2016-06-10T08:14:00,"@hangrenade86 You're welcome Sinead. If you need anything else, you know where we are. Ashley.",741181697161469952
clydesdalebank,2016-06-10T08:29:00,"Rub a dub dub – our polymer notes can survive a dip in the tub! https://t.co/tBNOfULd9L
https://t.co/pP8ompPwfC",741185502905274368
clydesdalebank,2016-06-10T09:33:00,"@simonwillox Hi Simon, I'm sorry there's no news to share at this time. We'll be updating our customers as soon as we know more. Ashley.",741201599092101120
clydesdalebank,2016-06-10T16:39:00,@imwatchingu7 Maybe you want to make a paper boat?,741308785331961856
askclydesdale,2016-06-10T20:40:00,"Hi everyone, tonight you’re speaking with Julian until 8am. Thanks.",741369375035260928
askclydesdale,2016-06-11T07:38:00,"I’ll be here to answer your Tweets till 3pm, Mandy.",741534957173116929
askclydesdale,2016-06-11T23:04:00,"@RobbieCrow Sorry about that Robbie, is there anything I can possibly help you with? Thanks, Lesley.",741768072827162624
askclydesdale,2016-06-11T23:09:00,"@RobbieCrow Of course Robbie, that's me following you now. Thanks, Lesley.",741769251015524352
