screen_name,created_at,text,id
PeteStaunch,2016-06-06T08:50:00,@askclydesdale Called Business Direct and NOBODY available to take a call?,739741262627143680
PeteStaunch,2016-06-06T10:49:00,@askclydesdale Hello Gemma 08007560800.,739771233596809217
McAvoyChris,2016-06-06T13:31:00,@askclydesdale your secure code help number 08007076438 has been uncontactable for over a week.Plz advise before I change bank accounts,739811936557228033
DaleDalegreig,2016-06-06T15:38:00,@askclydesdale no she's spoken to someone twice and its dealt with ts,739844028846465024
McAvoyChris,2016-06-06T16:46:00,@askclydesdale thanks,739861097524695040
ellonenterprise,2016-06-07T10:31:00,@askclydesdale when will you be supporting Apple Pay on your debit cards? Most other banks do this by now?,740129109888602112
GhostofCableSt,2016-06-07T12:20:00,@askclydesdale hi there. I am looking for a postal address to return personal loan form. Address on form looks incomplete. Can you help?,740156399376818176
GhostofCableSt,2016-06-07T12:32:00,"@askclydesdale hi Joy, it just says return to Freepost clydesdale bank loans, no town, no postcode",740159401529610241
GhostofCableSt,2016-06-07T14:43:00,"@askclydesdale so just put it in postbox with that on it? Fair enough, thanks",740192558425485312
ellonenterprise,2016-06-07T14:53:00,@askclydesdale that's a real shame that you can't be as up to date as other banks. Think I will switch to Bank of Scotland 😞😞 #sorry,740195076090015744
SchoolforCEOs,2016-06-08T09:09:00,@clydesdalebank congratulations!,740470701971415040
SpaenTweets,2016-06-08T10:58:00,@clydesdalebank issues apology to SPAEN payroll and managed account service users affected by change of supplier https://t.co/77nav8hL4s,740498191351742464
garymcmillan15,2016-06-08T11:13:00,@askclydesdale phoned yesterday to make an inquiry was told I would be called back ASAP and I'm still waiting #unacceptable,740502016053661696
andrew_jackman,2016-06-08T14:25:00,"@clydesdalebank Forcing security question ""What is your favourite film?"" is stupid. I don't have one! I now can't remember my answer. #fail",740550265913348097
andrew_jackman,2016-06-08T14:49:00,"@askclydesdale I know, tried that twice and not receiving SMS. Still, it's a silly question. I have no all time fav film!",740556262220431362
andrew_jackman,2016-06-08T14:55:00,"@askclydesdale In fact, it took &gt; 10 mins for you to send me the text, so on 3rd attempt. This is a joke!!!",740557868840128513
bertwallens,2016-06-09T01:45:00,".@askclydesdale so I make a mistake with my finances I get penalised for it, you make a mistake with your contact details I get penalised?",740721569488592896
DrScratchTheDog,2016-06-09T07:01:00,@askclydesdale who do I have to bug to get Apple Pay?,740801013096026112
DrScratchTheDog,2016-06-09T07:41:00,@askclydesdale I will ask again tomorrow,740811028297097220
marklawrinson,2016-06-09T18:14:00,@clydesdalebank #SportsQuiz team @PorticoProp and its squeaky bum time at the interval!,740970277266464769
hangrenade86,2016-06-10T07:43:00,"@clydesdalebank Hamiltons branch systems were down on Tuesday, are they back up &amp; running?",741173846024278016
hangrenade86,2016-06-10T08:08:00,@askclydesdale thanx 4 getting back so quickly,741180280921333760
