screen_name,created_at,text,id
CoopDigital,2016-06-06T17:28:00,We're currently looking for a Lead Digital Architect https://t.co/nMqnsg0NrW &amp; Principal Agile Business Analyst https://t.co/2dAVFVTMex,739871510127648768
CoopDigital,2016-06-06T18:02:00,@ermlikeyeah Thanks Simon.,739880166810394624
CoopDigital,2016-06-07T07:53:00,New to @CoopDigital - @catherinembrie1 joins as our Data Science Director. Working to make Co-op trusted with data https://t.co/kDLon9LyWF,740089386101055488
CoopDigital,2016-06-08T06:07:00,"RT @tomtaylor: So good to be writing/deleting words with a proper content designer - welcome to @coopdigital, @sophycolbert!",740424907079704576
CoopDigital,2016-06-08T12:58:00,RT @atrvrs: .@LadiesthatUXMCR x @CoopDigital on 21 June in Manchester. Come along. https://t.co/tXcLgj7vAO,740528524533092352
CoopDigital,2016-06-08T12:58:00,We'll talk more about this next week on the blog. https://t.co/DFTom7IFB2,740528486180368384
CoopDigital,2016-06-08T13:18:00,We're partnering with @designmcr. We've both agreed to sign up to @owenbarder pledge for DM16  @gemma_kidd explains https://t.co/Nqa7h5j0om,740533556859015168
CoopDigital,2016-06-08T13:25:00,"RT @designmcr: We're incredibly proud to announce this partnership, read below and check our new website https://t.co/nebAFjH3Pr https://t.…",740535099113021440
CoopDigital,2016-06-08T14:20:00,RT @atrvrs: 16 strong @CoopDigital design team crit. We're going to need bigger room... https://t.co/PDJpq8XGCg,740548983081295872
CoopDigital,2016-06-09T11:34:00,"RT @benjystanton: “Someone who is 49 with little time a small phone screen or a life to live, will benefit from clear writing” @escmum http…",740869685227474944
CoopDigital,2016-06-09T15:53:00,Over half the population die without a will. We want to do something about that. Read what we've learned so far  https://t.co/NPN5L6zUWG,740934916393861120
CoopDigital,2016-06-09T17:31:00,@PortlandDesign thank you,740959397908729857
CoopDigital,2016-06-10T12:26:00,RT @CoopCrofts: £2m raised to tackle loneliness and social isolation by colleagues &amp; members. Very #Proud of our #CampaigningCoop ! https:/…,741245093512916992
CoopDigital,2016-06-10T12:32:00,Remember @DaveJ_Leeds talking about https://t.co/AqICD8iDev  yesterday we deployed the code which means new causes can register to benefit,741246736245661696
CoopDigital,2016-06-10T12:38:00,"This weeks edition of @CoopDigital newsletter available for all. Any feedback, suggestions, improvements let us know https://t.co/rAxVZK4rGc",741248115433472000
CoopDigital,2016-06-10T13:17:00,"RT @CoopRespectLGBT: We've supported over 100 Prides since 2010. Here's Jackson, one of our Store Managers talking about #prideincoop https…",741257860416409600
CoopDigital,2016-06-10T19:07:00,RT @MattTyas: At the @McrSchArt degree show for @CoopDigital here's a lovely interaction by Florin Nica. https://t.co/RRbvujAfzk,741346054164119552
CoopDigital,2016-06-10T19:07:00,RT @LawKitson: Register for coop causes and benefit your community.  https://t.co/T3X6vkNhJW,741346107532410880
CoopDigital,2016-06-11T06:53:00,@london_sparra they are normally so nice. @coopukfood can help you. Thanks,741523791831044096
CoopDigital,2016-06-11T16:14:00,@EdMossBtG Thanks Ed,741664827937017856
CoopDigital,2016-06-12T07:41:00,@LoisEdwards__ @Nia_Parratt @coopukfood will be able to help you,741898155927691264
CoopDigital,2016-06-12T07:42:00,@InAweOfAutism @theroyalfactor @coopukfood can help you out there.,741898410056355840
CoopDigital,2016-06-13T10:46:00,@photo_cj @SagaUK sorry but we don't look after @CoopBankUK,742307162521800704
CoopDigital,2016-06-13T10:47:00,More on this later in the week https://t.co/ghFK06NfcM,742307467250524160
CoopDigital,2016-06-13T15:20:00,Content design isn't just writing and editing words @Jo_Scho on why content design matters @CoopDigital https://t.co/lDy0c1OeVe,742376020779634690
CoopDigital,2016-06-13T15:29:00,@Boylecoopparty hard to cover in limited characters we'll explain in full in a blog post but a beta is the phase in designing a service pt 1,742378473470201856
CoopDigital,2016-06-13T15:31:00,"@Boylecoopparty pt 2 where you scale up and prepare to go live, testing with users",742378933409177600
CoopDigital,2016-06-13T18:42:00,"@electronicdino1 oh no, so sorry about that. @coopukfood can help",742426968273063936
CoopDigital,2016-06-13T18:53:00,@pnplondon thank you,742429628770488321
CoopDigital,2016-06-13T20:44:00,@CoopPriorslee @heavenskincare brilliant,742457735342661632
CoopDigital,2016-06-14T15:32:00,RT @CassieRobinson: First cross @CoopDigital user research meetup convened by my favourite @jamesb https://t.co/7tKZqJ3gki,742741447766646784
CoopDigital,2016-06-14T16:34:00,"At @CoopDigital this is what we mean by ""digital"" https://t.co/WLnhZUfiAK",742757037453479937
CoopDigital,2016-06-15T06:22:00,@DigitalDWP Thank you,742965451391635456
CoopDigital,2016-06-15T06:28:00,What is digital? This is how we define it @TheCooperative https://t.co/WLnhZUfiAK,742966964709101568
CoopDigital,2016-06-15T15:25:00,@MaruFraser @HighlandCouncil sorry is this at a @coopukfood store?,743102223706656768
CoopDigital,2016-06-15T16:24:00,@jbilefield @MTBracken @TheCooperative thank you James,743117080694820866
CoopDigital,2016-06-17T10:52:00,"Content should be meaningful, written using words we know our users use and understand. Why content design matters https://t.co/lDy0c1wDwE",743758121789644800
CoopDigital,2016-06-17T15:28:00,"@charlesroper @MTBracken that's really interesting, thank you for highlighting it.",743827690369720320
CoopDigital,2016-06-17T17:36:00,RT @c_charnock: Looking forward to next week's @LadiesthatUXMCR event! Brill line up of discussion/talks from the @CoopDigital team https:/…,743859940473831424
CoopDigital,2016-06-19T07:19:00,@The_Cruddler really sorry about that @coopukfood will help,744429322212085761
CoopDigital,2016-06-19T07:22:00,@PGUK78 and thank you,744430227686821888
CoopDigital,2016-06-19T07:22:00,@PGUK78 because of the change to membership it meant that having a logo that stood out on the shelf was important https://t.co/xYXu6Y8KRv,744430190500192256
CoopDigital,2016-06-19T07:23:00,@hm_morgan hello. @coopukfood will be able to help you,744430351582363648
CoopDigital,2016-06-19T11:06:00,@dominicsayers Hi Co-op Energy is owned by Midcounties Co-operative. You can find them on Twitter here - @CoopEnergyHelp ^CS,744486607697371136
CoopDigital,2016-06-20T07:27:00,"@BangDesignUK Hi there, these are part of the local store range. It looks like human error has taken place here, we'll feed this back. ^SB",744793798782259201
CoopDigital,2016-06-20T08:30:00,RT @LadiesthatUXMCR: Do you have a question for our panel at this week's event @CoopDigital? If so share it with us here! #UX #Dev #Content…,744809512264032256
CoopDigital,2016-06-20T09:58:00,RT @designmcr: Great views of how Mcr has evolved. Some lovely source material from @MMUSpecial  A few days left to see it.  https://t.co/r…,744831711398211584
CoopDigital,2016-06-20T10:38:00,RT @atrvrs: Great to have @cjforms visit the design team at @CoopDigital today. And she brought gifts! https://t.co/UhmVlk5ybO,744841896334352384
CoopDigital,2016-06-20T15:28:00,We've got some more new faces @CoopDigital a welcome to @RickAndMe &amp; Dan from @MrsDHW https://t.co/NEo77PhsVN,744914891648163840
CoopDigital,2016-06-20T18:48:00,RT @CoopCrofts: Proud to serve as president of one of 7000 UK co-ops - working to build a better world every day #BeingCoop #Coops16 https:…,744965143226908672
CoopDigital,2016-06-21T08:28:00,RT @benterrett: Looking forward to hosting @LadiesthatUXMCR meet up at @CoopDigital tonight,745171582092382208
CoopDigital,2016-06-21T10:03:00,Looking forward to hosting this tonight  https://t.co/XIkpJkJir4,745195404912885760
CoopDigital,2016-06-21T14:11:00,Make things open. It lets us all make things better @tomskitomski on improving the design of GCHQ’s tech teams paper https://t.co/n7uo4BZTsW,745257873828118528
CoopDigital,2016-06-21T14:28:00,"RT @tomskitomski: The @GCHQ techies are highly effective, &amp; have shared how they organise. We've made their paper legible. https://t.co/MHm…",745262041095610368
CoopDigital,2016-06-21T17:54:00,RT @benterrett: About to start the panel discussion @LadiesthatUXMCR at @CoopDigital https://t.co/o0EZWgp6s1,745313862405193728
CoopDigital,2016-06-21T18:05:00,"@The_Llara @LadiesthatUXMCR you can find @Jo_Scho blog here Why content design matters at Co-op – Digital blogs
https://t.co/VkPtRUVBzi",745316740641525760
CoopDigital,2016-06-21T18:11:00,RT @quiffboy: Multi-disciplinary teams where members can contribute &amp; not be pigeonholed by job titles &amp; roles are key to @CoopDigital. @La…,745318360175501312
CoopDigital,2016-06-21T18:19:00,"RT @nuxuk: . @CoopDigital are hiring in Manchester: content designers, UX, dev, etc. Lots of different roles. Give @atrvrs a shout 👍 @Ladie…",745320179387736064
CoopDigital,2016-06-21T18:45:00,@CassieRobinson @McrDig @nd_kane we've committed @owenbarder pledge for @designmcr but watch this space for more,745326830555660288
CoopDigital,2016-06-21T18:53:00,@nd_kane @CassieRobinson @McrDig yes it's not easy over Twitter. You are welcome to come and chat anytime,745328728415346688
CoopDigital,2016-06-21T18:58:00,RT @MattStibbs: And now a nice re-design of Boiling Frogs paper by @tomskitomski - this one you might give to your ‘execs’ :) https://t.co/…,745330164763140097
CoopDigital,2016-06-21T19:00:00,@quiffboy @nuxuk let's have a chat about it,745330523191525376
CoopDigital,2016-06-21T19:01:00,@quiffboy thanks,745330724711063553
CoopDigital,2016-06-21T19:05:00,"@saranramos @benterrett @LadiesthatUXMCR more here -  What we mean when we say “digital” – Digital blogs
https://t.co/NmE7ldFDq2",745331787866447872
CoopDigital,2016-06-22T10:31:00,RT @benterrett: .@GCHQ wrote a vg doc abt digital transformation. But - hard to read. We made design simpler + did a pull request https://t…,745564805268856836
CoopDigital,2016-06-22T20:08:00,@MattTyas @quiffboy already said we would have a chat yesterday 👍,745710129144791040
CoopDigital,2016-06-22T20:43:00,@AndrewVere sorry about that @coopukfood can help,745718905889501184
CoopDigital,2016-06-22T20:43:00,@simonsays72 thank you,745718984599822336
CoopDigital,2016-06-23T13:04:00,We're testing our new Co-op Membership service. @J_4ck on how user research drives continuous improvement at Co-op  https://t.co/NZwPqL2kga,745965694404165633
CoopDigital,2016-06-23T13:12:00,"RT @benterrett: How user research helps us improve Co-op Membership https://t.co/zdotuuUUn2 Good, important blog post from @J_4ck",745967807708422144
CoopDigital,2016-06-23T13:16:00,"RT @tomskitomski: ""Digital: Applying the culture, practices, processes &amp; technologies of the Internet-era to respond to people’s raised exp…",745968875662155776
CoopDigital,2016-06-23T13:16:00,RT @tomskitomski: Iterating my 'what is digital?' narrative for senior execs. Feedback welcome. 1/5,745968858801053696
CoopDigital,2016-06-23T13:16:00,RT @tomskitomski: “It is not about tech. It is about the imperative to redesign your services &amp; your organisation to respond quickly to new…,745968893018136576
CoopDigital,2016-06-23T13:17:00,RT @tomskitomski: “I’ll wager you’ll need a whole new operating model. And a new dominant culture. 4/5,745968911615664133
CoopDigital,2016-06-23T13:17:00,RT @tomskitomski: “It’s  not complicated. It's just hard.” 5/5,745968933551865856
CoopDigital,2016-06-24T07:59:00,RT @MTBracken: @jaggeree @CoopDigital Let's get busy. Need co-operation now like never before,746251264930029568
TheCooperative,2016-06-26T09:46:00,@Louleedee How was it? :-) ^SN,747002965882441728
TheCooperative,2016-06-26T09:46:00,@CaneCorsilover We'd love to send you some #bigcoopclean goodies to see thanks and maybe give you some ideas for a next project! ^SN,747003104634277888
TheCooperative,2016-06-26T09:47:00,@SusieW2305 Great find! Can she remember where she got this? ^SN,747003323706904576
TheCooperative,2016-06-26T09:47:00,@CaneCorsilover Please DM us your full name and your address and we'll get this out to you next week :-) ^SN,747003217796538368
TheCooperative,2016-06-26T09:48:00,RT @TheGayUK: Huge thanks to the manager and the very very helpful staff @TheCooperative in central London today whilst we were a #PrideinL…,747003646970298368
TheCooperative,2016-06-26T09:48:00,@AutisticNW This is part of a mix and match deal. Other items that are more expensive will be included. ^SN,747003594617020416
TheCooperative,2016-06-26T09:49:00,@GavinVass When the store opens. Which is your local? ^SN,747003857805381633
TheCooperative,2016-06-26T09:49:00,@kscarrasco1 Which store was this? ^SN,747003834065690624
TheCooperative,2016-06-26T09:49:00,@TheGayUK Great work everyone :-) ^SN,747003721326993408
TheCooperative,2016-06-26T09:50:00,"@wembley67lisbon Great, thanks :-) ^SN",747003972729339904
TheCooperative,2016-06-26T09:51:00,@danetrememories Oh wow! Where did you find this picture? ^SN,747004399927566336
TheCooperative,2016-06-26T09:54:00,@kscarrasco1 We have noted that this store closes at 11pm. Where did you see that it was 24 hours? ^SN,747005097452933120
TheCooperative,2016-06-26T10:00:00,@ethicalchic We have 2 stores in the SE5 area but they don't stock gooseberries. I have fed back your request for future consideration. ^AK,747006607884681216
TheCooperative,2016-06-26T10:02:00,"@James_Murray96 Hi James. If you pop back in store with your receipt, the store should be able to process a refund. ^Ahmad",747007100556029952
TheCooperative,2016-06-26T10:05:00,@GavinVass Enjoy ^SN,747007948409409536
TheCooperative,2016-06-26T10:11:00,@wembley67lisbon Done :-) ^SN,747009479645007872
TheCooperative,2016-06-26T10:15:00,@Roryo76 Our apologies. Store management have logged this and it should be resolved as soon as possible. ^Ahmad,747010264218935296
TheCooperative,2016-06-26T10:36:00,@bartoncoop Congratulations Jason :-) ^SN,747015649646489600
TheCooperative,2016-06-26T10:45:00,@RuberyCo Fantastic work team! Can you DM your address so we can send you some #bigcoopclean goodies? :-) ^SN,747017907364823040
TheCooperative,2016-06-26T10:46:00,@kscarrasco1 Can you please DM us full details of your complaint. ^Ahmad,747018066005983232
TheCooperative,2016-06-26T10:50:00,@melsypop That doesn't sound right. Which store was this? ^SN,747019072466984965
TheCooperative,2016-06-26T10:57:00,@AshwiseGamgeee Can you give us more details on what happened here? Please click the link to DM us full info. ^SN https://t.co/HI1S1j5d8c,747020842052235264
TheCooperative,2016-06-26T11:03:00,@Padair_Abdn Fantastic work Peter. Can you DM us your address so we can send some #BigCoopClean goodies to help with your efforts? :-) ^SN,747022475758833665
TheCooperative,2016-06-26T11:04:00,@Suren2711 Fantastic! Did you find it tough? ^SN,747022731787517952
TheCooperative,2016-06-26T11:35:00,@Bonnie61898959 Thanks for the great feedback :-) ^SN,747030396827754496
TheCooperative,2016-06-26T11:38:00,@richardboudier We've got a little surprise that we'd like to send to you for our next #tasteandtell. Can you PM your preferred address? :o),747031223873179648
TheCooperative,2016-06-26T11:40:00,@lisa4058 We've got a little surprise that we'd like to send to you for our next #tasteandtell. Can you PM your preferred address? :o) ^SB,747031705786122240
TheCooperative,2016-06-26T11:40:00,@ethicalchic Hi there. Can you DM me your postcode please? I will check other nearby stores to see if they have it for you. ^Elliot :),747031655412568064
TheCooperative,2016-06-26T11:41:00,@Jo_ofa We've got a little surprise that we'd like to send to you for our next #tasteandtell. Can you PM your preferred address? :o) ^SB,747032046137122816
TheCooperative,2016-06-26T11:42:00,@Tom_McDowall Thanks. I will raise this with the supplier for you. Can you DM me your address and I can arrange a gesture for you. ^Elliot,747032270029078528
TheCooperative,2016-06-26T11:43:00,@MarkLtweets We've got a little surprise that we'd like to send to you for our next #tasteandtell. Can you PM your preferred address? :o),747032525046972416
TheCooperative,2016-06-26T11:45:00,@Ross_Milner we've got a little surprise that we'd like to send to you for our next #tasteandtell. Can you PM your preferred address? :o),747033042007498753
TheCooperative,2016-06-26T11:50:00,"@melsypop Store: 58-60 Oxford Street, Whitstable, CT5 1DG stocks 6-13 lbs nappies. ^Ahmad",747034292958658560
TheCooperative,2016-06-26T11:52:00,@Stuart30982 I understand. Would you like for me to arrange a replacement for you? ^Elliot,747034781393747968
TheCooperative,2016-06-26T11:53:00,@KzGaminghd That's a lot of empty bottles. Where did you find these? ^SN,747035033236611072
TheCooperative,2016-06-26T11:53:00,@jeflew Did you catch the colleagues name? ^SN,747035168804839424
TheCooperative,2016-06-26T11:56:00,@melsypop I spoke to Duncan the store manager today who confirms they do sell them and currently have them in stock. ^Ahmad,747035905412730880
TheCooperative,2016-06-26T11:59:00,@KzGaminghd Was this collected from litter picking? ^SN,747036663587737600
TheCooperative,2016-06-26T12:00:00,@jeflew We'll make sure to pass it on :-) ^SN,747036708152152064
TheCooperative,2016-06-26T12:00:00,@ethicalchic It has nothing to do with class. If a product isn't selling well then eventually it will be discontinued.&gt;,747036835180863489
TheCooperative,2016-06-26T12:01:00,@ethicalchic &gt; I will check which stores are selling gooseberries for you. ^Elliot,747036940097175553
TheCooperative,2016-06-26T12:04:00,@KzGaminghd Oh that's great to hear! How long has it taken you to go through all these? ^SN,747037695222947840
TheCooperative,2016-06-26T12:13:00,@Roryo76 I understand that this is a massive inconvenience. Please accept our apologies. We are looking to get this sorted ASAP. ^Elliot,747039960377794560
TheCooperative,2016-06-26T12:27:00,@eitakross What is it that you don't like about them? ^Ahmad,747043487179214848
TheCooperative,2016-06-26T12:36:00,@bmstinton93 Can you please DM us full details of your query. ^Ahmad,747045861511815168
TheCooperative,2016-06-26T12:46:00,"@KzGaminghd Wow, thats a good effort. I bet you've got a lot of energy now :-) ^SN",747048264604786688
TheCooperative,2016-06-26T12:48:00,"@HildaBaker Oh wow, did you catch his name? ^SN",747048883553992704
TheCooperative,2016-06-26T12:51:00,@PeterScott2 That's fantastic Peter. Can you DM us your address so we can send you some #BigCoopClean goodies to help with your efforts? ^SN,747049739452059649
TheCooperative,2016-06-26T12:51:00,@GatewayChurchWx Fantastic work! Can we send you a box of #BigCoopClean goodies to help with your next project? DM us your address :-) ^SN,747049524946997249
TheCooperative,2016-06-26T12:54:00,@mevagisseyhub What a fantastic cause. Can you DM us your address so we can send you #BigCoopClean goodies to help with your efforts ^SN,747050405553709056
TheCooperative,2016-06-26T13:02:00,@scarlettbrown89 Are you dancing? ^SN,747052424779730944
TheCooperative,2016-06-26T13:04:00,"@melsypop Apologies if my colleague made an error. If you ask for Duncan the store manager, he will show you where they are. ^Ahmad",747052794755047425
TheCooperative,2016-06-26T13:30:00,"@grannybiker Hi there, under further investigation the store is a @midcountiescoop  society. They will investigate this for you. ^Elliot",747059574570639360
TheCooperative,2016-06-26T13:36:00,@HildaBaker Lovely :-) ^SN,747060986163699712
