screen_name,created_at,text,id
MarkGeo15,2016-06-06T08:25:00,@CoopTreatTeam yes please,739734824970244096
tween4,2016-06-06T08:50:00,@CoopTreatTeam fab ty x,739741197548322818
SuttonCoopMemb,2016-06-06T23:33:00,@CoopDigital @coopmarkrf @RussellMGill Great stuff but many members concerned re dropping .coop identity &amp; lack of  solidarity with #coops,739963558268669952
rachelewoodman,2016-06-07T18:05:00,"@CoopDigital @catherinembrie1 Big Co-op welcome to Catherine, looking forward to working together!",740243313232601088
Wolvesblogger,2016-06-08T09:11:00,"@CoopDigital @TheCooperative  Loving the return to the clover-leaf from 1968, with prices to match it would appear? https://t.co/YEEykDO3y3",740471296983748608
dwarchivenorth,2016-06-08T13:21:00,@CoopDigital @designmcr @owenbarder @gemma_kidd Such a brilliant collaboration! Exciting :) #cooperation #communities,740534257869787137
goveganscotland,2016-06-08T22:23:00,@cooperativefood #veganbuttons #veganchocolate #veganjunkfood #veganshopping #vegansnacks… https://t.co/NPfEMk9F0j,740670683525455872
PortlandDesign,2016-06-09T17:34:00,@CoopDigital pleasure!,740960362867101696
waino68,2016-06-09T23:22:00,@CoopDigital crewe badger avenue store alarm going off. People need to sleep cheshire police contacted.this happens once a month at least,741047734266920962
Iceship,2016-06-10T11:41:00,"@CoopDigital Anyway, I'll use it for cleaning + go elsewhere to get vinegar for eating. Sigh. This is why I use you less and less.",741233747266314241
london_sparra,2016-06-10T23:53:00,@CoopDigital your salt and chardonnay vinegar crisps are too coated to eat! Half the amount of salt &amp;vinegar and you're winning. #sourface,741418085207396352
lclgg,2016-06-11T10:14:00,@CoopDigital Can we update the apple-touch-icon? https://t.co/qlyPuUcDlJ,741574266232156160
henryhadlow,2016-06-12T08:38:00,@CoopDigital @benterrett @tomtaylor Are Co-op Digital on Github? What are you using to build your prototypes?,741912547222261760
coopukfood,2016-06-12T09:28:00,@CoopDigital @LoisEdwards__ @Nia_Parratt Can you snap the barcode and batch number ASAP so we can pass this to customer relations? ^JM,741925136580894720
coopukfood,2016-06-12T09:29:00,"@CoopDigital @InAweOfAutism @theroyalfactor This is a mix and match deal, so you pay £2 or less, never more. ^JM",741925390508232704
photo_cj,2016-06-13T11:15:00,"@CoopDigital 
Thanks for the information 
@SagaUK @CoopBankUK",742314475395645444
dmaclure1,2016-06-13T15:45:00,@CoopDigital @Jo_Scho Really interesting post. I work with a well known ERP application and this has made me think about services we deploy.,742382315423301633
mukeshparekh3,2016-06-13T17:25:00,@CoopDigital @MTBracken @TheCooperative #greatretailerleadingdigital,742407463203438593
electronicdino1,2016-06-13T18:23:00,@CoopDigital we live in a new 'aspirational' estate..we have no local supermarket but your local store caters to us. You have no guacamole,742422266651258880
electronicdino1,2016-06-13T18:24:00,@CoopDigital how are we meant to cope without GUACAMOLE! Ruined Fajita Monday for everyone guys!,742422461321498624
heavenskincare,2016-06-14T07:58:00,@CoopDigital @MTBracken @TheCooperative have you noticed #co_op becoming very #waitrows with out the price tag.,742627281252831232
mcwuzzy,2016-06-14T16:23:00,@CoopDigital Gotta love a bargain.....#maths #price #avoid 😂 https://t.co/LN3SfuaHDH,742754435416399873
lukedavidfox,2016-06-14T18:24:00,"@CoopDigital great to hear.
Personally I can't wait! https://t.co/fgYzgMdXaV",742784897346113538
HIEdigital,2016-06-14T20:27:00,Look forward to following your story @CoopDigital,742815723391750144
ezodude,2016-06-15T08:28:00,@CoopDigital @TheCooperative brilliant definition! I'm saving this for later 😄,742997197676019712
MaruFraser,2016-06-15T15:28:00,@CoopDigital @HighlandCouncil @coopukfood Yes co op.The store that is in Fortrose no-one respects the special parking space What can we do?,743102810443677697
Cetrie,2016-06-17T05:15:00,@CoopDigital been on hold to the IT service desk for over 8 minutes now with no indication of when I will be heard.,743673495213617153
mojofilterno9,2016-06-18T08:23:00,@CooperativeFood Just waited 4 mins @ unmanned checkout while 2 staff were chatting to each other 1 unloaded newspapers &amp; another chatted...,744083123206561792
hm_morgan,2016-06-18T17:21:00,@CoopDigital can you pl confirm whether you've discontinued fresh chillies? Just told you no longer stock them by staff in Stonehaven...,744218423706664960
PGUK78,2016-06-18T20:09:00,"@CoopDigital what brought about changing back to the old logo? I love it btw, reminds me of my childhood.",744260682804191232
coopukfood,2016-06-19T10:16:00,@CoopDigital @The_Cruddler Sorry to hear this. Which store was this at? ^CS,744473955164131329
dominicsayers,2016-06-19T10:36:00,@CoopDigital Are you running Coop Energy yet? Getting a blank screen trying to log in,744478898348527616
Markleshark,2016-06-20T09:19:00,@CoopDigital Trying to use my Co-Op card to login online (I'm an Energy customer + member) but I get this error. https://t.co/BXCo3rOoMI,744821927663931393
The_Llara,2016-06-21T18:07:00,@CoopDigital @LadiesthatUXMCR @Jo_Scho on it! Thanks guys!,745317232926990337
CassieRobinson,2016-06-21T18:37:00,@CoopDigital - how can we make sure less tech orgs in Manchester have turnouts like this? cc @McrDig  https://t.co/sVhTAx59GJ via @nd_kane,745324772595240961
The_Llara,2016-06-21T18:49:00,@CoopDigital move straight from sketch to code having taught designers to code. Love it #ux #code @LadiesthatUXMCR #collaboration,745327793488138241
quiffboy,2016-06-21T18:59:00,@CoopDigital Don't suppose you guys would be interested in sponsoring our @nuxuk #nux5 conference would you? https://t.co/MUsenirx2i,745330336486260736
nd_kane,2016-06-21T19:00:00,"@CoopDigital @CassieRobinson @McrDig Ace! Yes, when you're up next Cassie let's coordinate!",745330674345869312
davislevine,2016-06-21T19:06:00,"@CoopDigital (and I'd say gov) needs to build services as good or better as @Uber, but with a more just business model. @benterrett",745331977843245056
designmcr,2016-06-21T19:10:00,@coopdigital @cassierobinson @nd_kane  We’ve got things planned for DM16 to highlight diversity (and lack of) great to hear from you too!,745333032727482368
g3xer,2016-06-22T11:43:00,"@cooperativefood Do you still have plans to open a store in Norton St Philip, Somerset, and if so do you have a timescale? #VillageShop",745582949790285824
MattTyas,2016-06-22T19:52:00,@CoopDigital ? https://t.co/N9UJbIyC7m,745705998204157952
RickAndMe,2016-06-23T07:26:00,"@CoopDigital @MrsDHW thanks for the intro! Feeling fully immersed in the action now, sleeves rolled up time!",745880662754877440
Littlepezza85,2016-06-23T10:08:00,@CoopDigital Re-tweet and get the word out (you could pledge too!)!! https://t.co/WXKUyQM0DO #stem,745921470837186560
MrBrixHill,2016-06-23T16:32:00,"@CoopDigital I really like the changes you are making to membership and digital. Will there be a new membership app? Also, with the rollout",746018066983755776
notjxmiew,2016-06-24T04:20:00,@TheCooperative yes,746196240635822081
thierryjeantet,2016-06-24T07:03:00,"@TheCooperative @CooperativesUK @SocialEcoEU @montblancforum @Esmed_network @montblancforum =the
#ESS Europe Alliance for a New Futur",746237390264492032
ana_exton,2016-06-24T07:20:00,"#lol @TheCooperative. Nope, it was a desperate situation. 😂 https://t.co/nKC8h828ni",746241526532026368
notjxmiew,2016-06-24T07:35:00,@TheCooperative @EoECoop Thank you,746245460315246592
