screen_name,created_at,text,id
CreditSuisse,2016-06-14T10:43:00,RT @csapac: .@Xingtai_Capital’s Michelle Leung on #Chinese #entrepreneurs’ increasing focus on catering to domestic needs https://t.co/wqxs…,742668854288130048
CreditSuisse,2016-06-14T11:41:00,How much influence will the US electoral calendar have on the #Fed's decision? https://t.co/vbSAbJ8472  #USElection,742683440097681408
CreditSuisse,2016-06-14T12:58:00,RT @EY_Growth: What's the next step for your business? Marisa Drew @CreditSuisse has advice if you're looking at an #IPO. #WEOY https://t.c…,742702780398338048
CreditSuisse,2016-06-15T08:09:00,Well done London colleagues completing Lands's End - John O'Groats continuous relay run raising £36k for @NSPCC https://t.co/7saEw9tLQs,742992507882110976
CreditSuisse,2016-06-15T12:22:00,RT @csapac: .@CreditSuisse’s David Hewitt: #Oil has not reached a negative inflection point https://t.co/wMNGv8Zxqq,743056194521169921
CreditSuisse,2016-06-15T12:52:00,Safe-haven #Currencies like #CHF and #JPY are likely to see further upside pressure going into the UK referendum. https://t.co/oikNBJlsod,743063514525401088
CreditSuisse,2016-06-15T16:32:00,RT @markets: Machines beat humans: Hedge fund edition. https://t.co/yfMuoF8MlD via @daniburgr https://t.co/K88s1G7ilh,743118939836780544
CreditSuisse,2016-06-16T12:19:00,Our partner @PlanUK teaches life skills and financial education to children in Africa: https://t.co/fIwVWkuRgR #DayoftheAfricanChild,743417667588100096
CreditSuisse,2016-06-17T10:18:00,Our #GlobalResearch Study 'Swiss Financial Center 2016' has been published: https://t.co/XfwR76KxrA,743749569997996032
CreditSuisse,2016-06-17T10:48:00,RT @RBuholzer: Learn more about developments &amp; trends in the #Swiss financial sector in @CreditSuisse newest study https://t.co/BIXhbPMCA7,743757191379771392
CreditSuisse,2016-06-17T11:26:00,What are the key factors to the future success of #Switzerland as a Financial Center? https://t.co/x01gi0DodM https://t.co/RZB4lIBoyT,743766736361627648
CreditSuisse,2016-06-20T08:44:00,We conduct a competitive analysis of the world's major financial centers: https://t.co/x01gi0UZ5k https://t.co/5bb8ai3U5S,744813166463332352
CreditSuisse,2016-06-20T10:15:00,RT @csapac: .@CreditSuisse is proud to be the platinum sponsor of the EY #Entrepreneur of the Year @EY_EoY award in #China https://t.co/O8t…,744836102645755904
CreditSuisse,2016-06-20T14:49:00,RT @csresearch: Global Equity Strategy: We identify 5 types of fiscal QE and potential constraints they would face https://t.co/1EVXpJFgBB,744905101001785344
CreditSuisse,2016-06-20T14:49:00,"RT @csresearch: Equity Strategy: Given the age of the US cycle, there is a 60% chance of a US recession within the next 3 years https://t.c…",744904984228147200
CreditSuisse,2016-06-20T14:53:00,RT @csresearch: Global Equity Strategy: Central banks increasing their #Gold holdings to 20% of reserve assets would boost demand https://t…,744905910431145984
CreditSuisse,2016-06-20T15:03:00,"RT @csresearch: US Economics: Policy projections became significantly more dovish btw March and June #Fed, #FOMC https://t.co/STVtSzLeUQ",744908552096059392
CreditSuisse,2016-06-20T15:08:00,RT @csresearch: US Economics: Our labor market factor model shows a broad slowdown https://t.co/4GDOq4c2Ok,744909762849017856
CreditSuisse,2016-06-20T15:25:00,RT @csresearch: US Economics: Inflation expectations have come down on a variety of measures https://t.co/ytHIjyhLoj,744914108051501056
CreditSuisse,2016-06-20T18:28:00,RT @csresearch: Operating Leverage: A Framework for Anticipating Changes in Earnings by @mjmauboussin https://t.co/wKDC4kZhJ6 https://t.co/…,744960160532135936
CreditSuisse,2016-06-21T11:10:00,"#Spain: Economic Recovery is likely to continue after the #Elections of June 26, although at a lower pace. https://t.co/xvhC3wk7tF",745212272511954944
CreditSuisse,2016-06-21T14:58:00,Is investing in #SustainableFashion the way forward for the fashion apparel and textile sectors? https://t.co/twZQis5uA3,745269753711853568
CreditSuisse,2016-06-22T04:41:00,RT @csapac: .@CreditSuisse delighted to be named No. 2 prime broker in #APAC for 4th consecutive year @HedgeFundIntel https://t.co/bHkxf0Ek…,745476700717256704
CreditSuisse,2016-06-23T07:59:00,RT @csapac: .@CreditSuisse’s @neelkanthmishra: Good monsoons will drive fastest growth for #India’s #economy under Modi https://t.co/ebtZ5i…,745888932177526785
CreditSuisse,2016-06-23T14:07:00,Proud to be one of the founding partners of the @FinTechLab; good luck to this year’s graduating startups #FILNYDemoDay,745981492426383360
CreditSuisse,2016-06-23T14:09:00,Nick Toro: Startups leveraging artificial intelligence to help banks find new ways to interact with HNW clients– #FILNYDemoDay @FinTechLab,745982160838991872
CreditSuisse,2016-06-23T14:50:00,Steve Hook: Congratulations to our 2016 #FinTechLab mentees @untapt @TREXTALK @Forward_Lane @AlphaPointLive @51maps #FILNYDemoDay,745992430256787456
CreditSuisse,2016-06-23T15:07:00,"#USBanks: With valuations still below historical levels, we see upside to the sector. #BankingIndustry https://t.co/D8a71srOiO",745996817565913088
CreditSuisse,2016-06-23T18:35:00,RT @edwarddonner: Thank you to @CreditSuisse for tremendous support for @untapt at #FILNYDemoDay and throughout @FinTechLab https://t.co/8o…,746048997983424513
CreditSuisse,2016-06-24T10:22:00,"Official Statement from Credit Suisse CEO, Tidjane Thiam on the UK Referendum Results: https://t.co/HT85hM63dw",746287319179747328
CreditSuisse,2016-06-27T12:00:00,"After the #Brexit vote, we remain negative on global #Equities and downgrade #UK to underperform. #AssetAllocation https://t.co/EGkdBcBjAl",747399169866874880
CreditSuisse,2016-06-27T12:59:00,#FixedIncome: We maintain a neutral view and expect credit spreads for Europe’s periphery to widen. #AssetAllocation https://t.co/DaVOpoL0e3,747413932302794752
CreditSuisse,2016-06-27T14:05:00,"#AlternativeInvestments: Underperform view on #Energy and UK #RealEstate, limited upside for #Gold #AssetAllocation https://t.co/TRNu0cS27j",747430623812456449
CreditSuisse,2016-06-28T09:54:00,"RT @csapac: Francois Monnet, Head of Private Banking Greater China, unveils our #PrivateBanking #APAC app in #HongKong https://t.co/PMtmMBv…",747729820084277248
CreditSuisse,2016-06-28T09:54:00,RT @csapac: .@CreditSuisse’s Francois Monnet on how #technology is rapidly changing the way people use financial services https://t.co/WGBx…,747729849456918528
CreditSuisse,2016-06-29T14:10:00,How low can the #pound go #PostBrexit? Shahab Jalinoos discusses on @BloombergTV: https://t.co/laX7T0juJw,748156576297521152
CreditSuisse,2016-06-30T09:04:00,RT @csapac: Francois Monnet: #Digital #PrivateBanking redesigns the way we interact with &amp; curate content for clients https://t.co/PMp4JNc1…,748441991340494848
