screen_name,created_at,text,id
DeutscheBank,2016-06-14T08:19:00,"@fadabrent As your query relates to products/services, our colleagues @DeubaService will get back to you.",742632520693481472
DeutscheBank,2016-06-14T08:20:00,Sleeping bag + coat = sleeping coat. How @empowermentplan is helping homeless people. #dbWERTE https://t.co/wPsV4IHtZq,742632750767833088
DeutscheBank,2016-06-14T08:21:00,Thank you for your question. Please contact our colleagues @DeuBaService. They will take care of your issue.,742633114636279808
DeutscheBank,2016-06-14T08:30:00,@cgledhill Thanks for mentioning @DeutscheBank.,742635375030603776
DeutscheBank,2016-06-14T11:35:00,WhatsApp competitor Line sets sights on stock market: Japanese messaging service valued at 5.5bn USD. #DrStephan,742681770320113664
DeutscheBank,2016-06-14T11:55:00,"Investments in #China up 9.6% from Jan-May – slightly less than expected, especially in the private sector. #DrStephan",742686798623715328
DeutscheBank,2016-06-14T12:30:00,"Cyclicals: if #China coughs, the #DAX comes down with flu – and car manufacturers likely to catch a slight cold. #DrStephan",742695669639589888
DeutscheBank,2016-06-14T12:55:00,@paulmcmurray268 We've forwarded to our colleagues @DeuBaService. Pls contact them direct for future service queries.,742701918494019584
DeutscheBank,2016-06-14T13:10:00,#Pharmaceuticals sector: new drugs for haemophiliacs could soon be licenced – a niche market with plenty of potential. #DrStephan,742705710111326208
DeutscheBank,2016-06-14T15:13:00,"@cameronaubernon Thanks for the article. 
As your query relates to products/services, our colleagues @DeubaService will get back to you.",742736605526536192
DeutscheBank,2016-06-14T16:35:00,Should the ECB raise interest rates? #dbkonzept https://t.co/KIaEfLPScr,742757319893737474
DeutscheBank,2016-06-14T18:25:00,"Autonomous taxis will increase demand for cars, not decrease them. #dbkonzept https://t.co/JfE3MPIzV6",742784994884587520
DeutscheBank,2016-06-14T20:35:00,Federal minimum wage for refugees should be suspended if migrants are to integrate into the economy. #dbkonzept https://t.co/yyqLSksktY,742817712485892096
DeutscheBank,2016-06-15T06:25:00,Active fund managers have been lambasted for high fees &amp; weak performance. Will they outperform when rates rise? https://t.co/992JdJVdeg,742966158954008576
DeutscheBank,2016-06-15T07:57:00,RT @DBAmericas: Watch #DeutscheBank’s Torsten Slok discuss the Fed rates decision and global growth on @SquawkStreet https://t.co/hX4U3XxBJT,742989298681679872
DeutscheBank,2016-06-15T09:57:00,@TizabiShawn Thanks for your tweet. Please use the contact form at https://t.co/ARstcThYyn and include the background.,743019629258362880
DeutscheBank,2016-06-15T10:05:00,Neue Märkte durch Übernahmen: Microsoft bietet für Karrierenetzwerk LinkedIn 50% über Marktpreis. #dbpam,743021506993790976
DeutscheBank,2016-06-15T10:26:00,"@WillOKelly Indeed, there was a phone outage yesterday afternoon. Were you able to phone later? Thanks for your tweet and have a nice day.",743026949287710720
DeutscheBank,2016-06-15T10:28:00,@jazzybat We've forwarded to our colleagues @DeuBaService. Pls contact them direct for future queries re. blocked accounts.,743027400326426624
DeutscheBank,2016-06-15T12:10:00,#DeutscheBankLabs sponsors today’s #SGEurope. Register to join free online keynote with @ericschmidt at 1600 BST: https://t.co/SPENkVmlGd,743052949119741956
DeutscheBank,2016-06-15T15:50:00,"German #Energiewende: many targets out of sight. https://t.co/4e5uEBnVb9
#dbresearch",743108458443083776
DeutscheBank,2016-06-15T16:25:00,"Since 2007, scrip dividend use is up 10-fold in Europe. Why don’t companies flash some cash instead? #dbkonzept https://t.co/fFOOnTrQOG",743117195132178434
DeutscheBank,2016-06-16T05:45:00,Approx. 2 million labour-hours required to comply with Dodd Frank: the new bureaucracy of banking. #dbkonzept https://t.co/ZMXje7zx0D,743318489465683969
DeutscheBank,2016-06-16T09:23:00,@kelleyfrank Thanks for the question. We've forwarded to our colleagues @DeuBaService. Pls contact them direct for future service queries.,743373395631419392
DeutscheBank,2016-06-16T09:24:00,"@anturock_j Sorry to hear this. As your query relates to products/services, our colleagues @DeubaService will get back to you.",743373608219779073
DeutscheBank,2016-06-16T10:01:00,RT @CMO_com: .@DeutscheBank has a new format to create engaging quality content: https://t.co/BfChzDZkZi https://t.co/CEdXih6RGH,743382886125080577
DeutscheBank,2016-06-16T12:25:00,#Oil companies are increasingly paying their dividends in scrip. A taste of future dividend cuts? #dbkonzept https://t.co/fFOOnTrQOG,743419166187786242
DeutscheBank,2016-06-16T14:10:00,"Despite good economic data #Fed leaves #interestrates untouched, but plans a further two raises this year of 0.25% each. #DrStephan",743445705281388544
DeutscheBank,2016-06-16T14:29:00,"With interest rates at low levels, search for yield in fixed income market goes on: new opportunities with strategic beta corp. bond ETF",743450513031761920
DeutscheBank,2016-06-16T14:29:00,#DeutscheAM expands ‘Yield Plus’ ETF range to include corporate bond exposure https://t.co/8Yxwhn9qYB,743450363060166656
DeutscheBank,2016-06-16T14:35:00,ECB policies are rewarding speculators and hurting savers. Why rates should rise now: #dbkonzept https://t.co/KIaEfLPScr,743451906874478593
DeutscheBank,2016-06-16T14:42:00,@motleydev We've forwarded to our colleagues @DeuBaService. Pls contact them direct for future queries re. accounts and service.,743453723373015040
DeutscheBank,2016-06-16T15:05:00,"Weak growth in #LatinAmerica, extreme recession in #Brazil: World Economic Forum looking for solutions. #DrStephan @WEF",743459409842606080
DeutscheBank,2016-06-16T15:55:00,Drones &amp; self-driving lorries: logistics sector and online traders following car manufacturers’ example to improve efficiency. #DrStephan,743471995266998274
DeutscheBank,2016-06-16T20:35:00,Passive funds have stolen the show in post-crisis world. Pendulum is about to swing the other away. #dbkonzept https://t.co/992JdJVdeg,743542477051805696
DeutscheBank,2016-06-17T02:35:00,Coming wage rises must hit bond holders or profit margins. Or both. #dbkonzept https://t.co/e4lALPrMXf,743633049989091328
DeutscheBank,2016-06-17T05:55:00,New: Strategic-Beta-ETF invests in highest yielding investment grade euro-denominated corporate bonds. #DeutscheAM https://t.co/8Yxwhnr1Q9,743683365384028160
DeutscheBank,2016-06-17T08:47:00,"#EconomyStories: an engaging, high-quality storytelling format https://t.co/LPaQmXdvJi via @cmo_com",743726820072120321
DeutscheBank,2016-06-17T10:20:00,#Fed significantly lowers forecast for US #interestrates 2017/18. Unusually flat yield curve putting strain on financial stocks. #DrStephan,743750189454790656
DeutscheBank,2016-06-17T11:15:00,#Oil producers like Kazakhstan or Angola making up for export deficit through currency devaluation. Nigeria following suit. #DrStephan,743763905223131137
DeutscheBank,2016-06-17T11:45:00,Congratulations! @dbBorntoBe Lifechanger campaign wins German Brand Award 2016! @DesignInGermany https://t.co/A3582AJhRU,743771607525654528
DeutscheBank,2016-06-17T12:52:00,Promoting #investment in #Europe: where do we stand with the #Juncker Plan?  https://t.co/ZZdTggHe8M #dbresearch,743788368044171264
DeutscheBank,2016-06-17T13:30:00,"@FelixWetzel @steve_hanke The combination of QE measures, demand for safe haven assets – partly Brexit-related, and low inflation.",743797973637808128
