screen_name,created_at,text,id
WINC_ev,2016-06-14T08:23:00,"@DeutscheBank @empowermentplan What homeless need is a #basicincome, not a sleeping coat... #WLC",742633485890924544
joel_rebET,2016-06-14T08:46:00,@DeutscheBank  Asia Pacific CEO Gunit Chadha quits. Will leave the bank effective July 17 @EconomicTimes,742639265461346305
DeuBaService,2016-06-14T08:47:00,@DeutscheBank @fadabrent Please contact us via TelephoneBanking with your telephone PIN at +496991010000. We want to help. /sn,742639675391791104
jeury_tavares,2016-06-14T11:04:00,@DeutscheBank i found this post really interesting. Is just due to the import laws or is there more to it?,742674069988990976
timboms,2016-06-14T11:10:00,@DeutscheBank put simply it's not working! Time to think again. More #helicoptermoney won't help! Yes reform needed! https://t.co/Rs6aQzU0xZ,742675542013403140
DeuBaService,2016-06-14T13:14:00,"@DeutscheBank @PaulMcMurray268 Yes, you can deposit loose change at your branches via safebag :-) [js]",742706753691877376
sanam_ET,2016-06-14T14:11:00,"@DeutscheBank on @TataPower's Welspun Renewable acquisition: 
Strategically a good deal, but EPS dilutive in the near
term",742721114233655297
sanam_ET,2016-06-14T14:12:00,@DeutscheBank on @TataPower's Welspun Renewable buy: Retain  estimates on lack of timeline and  full  financial/ operational details,742721435584499713
sanam_ET,2016-06-14T14:13:00,"@DeutscheBank on @TataPower: Maintain 'buy', target price at Rs 84/share",742721540509163521
WillOKelly,2016-06-14T14:50:00,@DeutscheBank hey is your london office phone working? it doens't seem to be dialing through properly...,742730923079290881
ade_carr,2016-06-14T15:36:00,@DeutscheBank Managing Disruptive Technologies #Regulatory #compliance #blockchain #DistributedLedger #MLW16 #AI #MachineLearning #MarkLogic,742742567008280577
DeuBaService,2016-06-14T15:48:00,@DeutscheBank @cameronaubernon DB Nederland doesn't offer retail banking services. You can open an account at any of our German branches /gu,742745631702306816
uche_orjinta,2016-06-14T15:57:00,"@DeutscheBank hello, do u give startup loans to businesses in Nigeria?",742747922840858625
_mukasa,2016-06-14T16:18:00,"@DeutscheBank Don't miss the upcoming ICT ACADEMIC, RESEARCH AND INNOVATION CONFERENCE this September at University of Kisubi",742753137509990400
zdavidofff,2016-06-14T20:52:00,@DeutscheBank waruM. Why?,742822009902669824
jazzybat,2016-06-14T22:54:00,"@DeutscheBank hallo,im trying to apply for Sperrkonto account but the email address of db given to me by german embassy is not working. Help",742852859838894080
connellybilly,2016-06-15T03:33:00,@DeutscheBank &amp; @HSBC among banks accused of driving investments working vs. aims of Paris #Climate Deal https://t.co/5qRNWFJDiw @GCF_News,742922844145737730
grimberger2pat,2016-06-15T07:22:00,@DeutscheBank on ne vend rien .,742980531147710464
msantoshkumar,2016-06-15T08:21:00,@DeutscheBank labs at #startupgrindeurope https://t.co/ckJYZ27TZS,742995411309301760
ArpitKGupta,2016-06-15T09:47:00,"@DeutscheBank @krcmurty IT Revolutionising BANKING INDUSTRY
https://t.co/qHkbdKkbM6
#omnichannel #mobiletechnology #biometric #videobanking",743017100327813122
jazzybat,2016-06-15T10:29:00,@DeutscheBank Danke schön,743027606979633154
FinancialNews,2016-06-15T10:51:00,@DeutscheBank data chief expands remit amid tech push https://t.co/vftm49J4pF,743033180190609408
DeuBaService,2016-06-15T10:58:00,"@DeutscheBank @jazzybat Thank you, that you have contacted us directly. /sn",743034855051689984
FinancialNews,2016-06-15T11:49:00,@DeutscheBank credit e-trading head switches to custody giant @BNYMellon https://t.co/BnIkDThyuY,743047852671303680
WillOKelly,2016-06-15T11:51:00,@DeutscheBank hey thanks for the message :) I didn't try again as it got to 5/6pm. Am i able to call you now? ^_^,743048387839315968
loveama041,2016-06-15T12:11:00,"@DeutscheBank @ericschmidt 
https://t.co/3mqQhPHI0r",743053332986494976
sunneversets79,2016-06-15T12:22:00,"@DeutscheBank @ericschmidt Legacy of Mendeleyev &amp; Vernadsky https://t.co/JsfaFq2UUq Subject of Principle:"" https://t.co/qWBbmycvvW",743056207611494400
nafisalam,2016-06-15T13:26:00,@DeutscheBank data chief expands #remit amid #tech push #Banking #fintech #payments #Technology https://t.co/D6zkmDGYhS,743072217169199107
Cedex3,2016-06-15T21:17:00,@DeutscheBank #2007shift = #2015shift #Venus in #Hydra,743190676158971904
TizabiShawn,2016-06-15T21:43:00,@DeutscheBank you are awesome. Will do.  Thank you,743197286772019200
Cas_Fabse,2016-06-15T23:20:00,"@DeutscheBank Anstatt Summen von Geld in “Topmanager“ zu stecken,bessert eure Filialen auf.Habe da Ideen für sinnvollere(!) Geldverwendung",743221676549218304
larkinthemorn,2016-06-16T01:19:00,@DeutscheBank German bond yield goes negative as #Brexit fears swell Tories causing instability Scots readying to push for leave UK - #SNP,743251610646810628
larkinthemorn,2016-06-16T01:19:00,@DeutscheBank German bond yield goes negative as #Brexit fears swell Tories causing instability Scots readying to push for leave UK - #SNP,743251560671633408
PuplicCrown,2016-06-16T06:36:00,"@DeutscheBank 
At its lowest - but we are going even lower. This is not bc #brexit. #Invest smart guys. #BEAR https://t.co/RhUdkNCxF5",743331290800234496
anturock_j,2016-06-16T06:57:00,@DeutscheBank Happy to see you use social networks. Unluckily your customer support is still in the 20th century.,743336739645730816
feule,2016-06-16T07:21:00,@DeutscheBank #Aktie auf #alltimelow https://t.co/Mjdm6F5s7X,743342732005957632
JimmyKairu,2016-06-16T07:51:00,@DeutscheBank I need to open a new corporate a/c at your Hong Kong branch. Contact me directly: James.kairu@amboselicourt.com,743350273272229888
DeuBaService,2016-06-16T09:56:00,"@DeutscheBank @kelleyfrank In general ordering a new card is possible via Online- or Telephone-Banking, too. /da",743381853793583104
DeuBaService,2016-06-16T09:59:00,"@DeutscheBank @anturock Sorry to hear this, too. Can I help you? /da",743382383047614464
mauritius_gold,2016-06-16T11:17:00,@DeutscheBank any comment on why your share price is performing so poorly and now below February lows? @TFMetals @zerohedge,743401999065096193
akilburn67,2016-06-16T13:14:00,"@DeutscheBank
I am willing to settle on my small claim if you don't want to open The Flood Gates.
Will post successes online for mimicry.
6k",743431461689262080
romano_brumini,2016-06-16T13:32:00,@DeutscheBank j+22,743436079798321152
motleydev,2016-06-16T13:38:00,@DeutscheBank Can anyone explain to me the reason for the 180 day limit on the account history? US accounts are unlimited.,743437586585239553
Real_Talk_News,2016-06-16T14:12:00,@deutschebank What good economic data. If everything was damn great they would have raised rates years 2 years ago. #Ponzi,743446182370873344
romano_brumini,2016-06-16T14:13:00,@DeutscheBank j+22,743446491679854592
MrForcast,2016-06-16T14:13:00,@DeutscheBank Their plans are made in #SAND  #FED,743446363199807489
TampuThomas,2016-06-16T14:22:00,@DeutscheBank e,743448697472581632
romano_brumini,2016-06-16T14:45:00,@DeutscheBank j+22,743454415324086272
romano_brumini,2016-06-16T14:48:00,@DeutscheBank j+22,743455134114586624
romano_brumini,2016-06-16T14:50:00,@DeutscheBank j+22,743455795065520128
fuckface,2016-06-16T14:56:00,@DeutscheBank should be good for you but its not is it ? crying to mario,743457280990003200
loveama041,2016-06-16T15:03:00,"@DeutscheBank 
https://t.co/feCMNVUMDA",743458984863006721
DeuBaService,2016-06-16T15:04:00,@DeutscheBank @motleydev You mean the transactions in the OnlineBanking? This is a business policy decision. Please use your statements. /ke,743459177561985024
romano_brumini,2016-06-16T15:05:00,@DeutscheBank @wef j+22,743459557989552129
loveama041,2016-06-16T15:06:00,"@DeutscheBank 
https://t.co/2t7Ko6mYj5",743459700146995200
sunneversets79,2016-06-16T15:12:00,"@DeutscheBank @wef British, Saudi and FBI Complicity Exposed in Orlando Mass Killings:  #28pages https://t.co/6RTwVyAUF5",743461300957642752
romano_brumini,2016-06-16T15:56:00,@DeutscheBank jesus n more=22,743472298217340928
Comparably,2016-06-16T18:15:00,@DeutscheBank hey you have new employee ratings on @Comparably. Check it out &amp; claim your page https://t.co/cqCaXS3Vo8,743507184265269248
salsamalaga,2016-06-16T18:43:00,"@DeutscheBank no es un #BonoBasura sino un #BancoBasura.

A ver si se enteran de una vez los #periodistos.",743514321481797632
brotherhebrew,2016-06-16T18:55:00,@DeutscheBank @WorldBank @bankofengland Get back to Sound Money principles &amp; stop the presses @usmint @britishroyals https://t.co/DCsejIKo9Z,743517247377932289
romano_brumini,2016-06-16T20:42:00,@DeutscheBank J+22,743544208787636224
hussainalhilli,2016-06-16T22:25:00,@DeutscheBank &amp; @Snapchat have the same market valuation https://t.co/E1nWanjMAC,743570214420357120
Xeneta_AS,2016-06-17T08:03:00,@DeutscheBank lays out a radical vision for the future of Amazon's #shipping operations | https://t.co/i8RBKW2gDL https://t.co/qmsHoA8XYA,743715590565560324
Vishfulthinking,2016-06-17T08:59:00,@DeutscheBank No parking for customers at your Pune Branch as parking is blocked by employees. Strange customer centricity n security.,743729770370732032
stefanschaaf,2016-06-17T09:34:00,"@DeutscheBank-Vermögensverwalter: Talsohle bei #Inflation durchschritten. ""Die Eins vor dem Komma wird bald kommen."" #Deflation #DWS",743738552714829827
KayeandCarey,2016-06-17T10:00:00,@DeutscheBank warns housing market in for ‘major shock’ after BTL tax hike https://t.co/29zakNkoYI #PropertyNews https://t.co/nPx1ou7qlc,743745242168320000
romano_brumini,2016-06-17T11:08:00,@DeutscheBank infinito=22,743762171675447296
okinogallery,2016-06-17T11:19:00,@DeutscheBank hi. Pls whats your email for inquiries?,743765127686688768
romano_brumini,2016-06-17T11:23:00,@DeutscheBank @CMO_com j.Christ.......... inf...........22,743766066430631936
romano_brumini,2016-06-17T11:46:00,@DeutscheBank @dbborntobe @DesignInGermany @dbborntobe j. Christ + inf...........,743771896274108416
romano_brumini,2016-06-17T12:54:00,@DeutscheBank J+22,743788992257196033
romano_brumini,2016-06-17T13:42:00,@DeutscheBank inf.......22,743801070363750400
HarryBiedermann,2016-06-17T14:05:00,@DeutscheBank Starting to Embrace #PublicCloud like @awscloud @MicrosoftAzure @IBMcloud ? https://t.co/4hcX3xhmA1 https://t.co/bXHbIeDnCF,743806771240779776
jguillermogomez,2016-06-17T15:30:00,"@DeutscheBank, roza el 90% de desplome desde sus máximos previos a la crisis financiera https://t.co/HVqEV1FPVM",743828103697305600
romano_brumini,2016-06-17T15:46:00,@DeutscheBank J+22,743832102802718720
romano_brumini,2016-06-17T17:07:00,@DeutscheBank INFINITO=22,743852482552528896
notredamegrad04,2016-06-17T18:10:00,@DeutscheBank Since 2007 UR shareholders have now lost EIGHT-SEVEN PERCENT (87%) of their share value.PRICE of €41 Trillion in derivatives!,743868480382984192
romano_brumini,2016-06-17T18:31:00,@DeutscheBank J+22,743873734667309056
romano_brumini,2016-06-17T19:32:00,@DeutscheBank @StanleyDragon_ @SunLife J+22,743889188064473089
cryptoycom,2016-06-17T19:41:00,"@DeutscheBank moves #blockchain project out of proof of concept stage and voices concerns with distributed #ledger
https://t.co/AFOk9r6gD1",743891310302601217
JoyDonceejay2,2016-06-18T01:37:00,"@DeutscheBank 
Dearest one
i am Joy eric please reply me on my email now (Joyeric688@gma!https://t.co/MxBrIUD5Rr) for an important discussio",743981022749016064
FelixWetzel,2016-06-18T09:45:00,@DeutscheBank @steve_hanke thanks,744103833547210752
romano_brumini,2016-06-18T11:00:00,@DeutscheBank j+22,744122692459204608
romano_brumini,2016-06-18T12:56:00,@DeutscheBank j+22,744151705235955712
Sifu_Elge,2016-06-18T15:17:00,@DeutscheBank Erst Doppelbuchungen dann Stornobuchungen OHNE Zuordnung (Verwendungszweck/Referenz) u. am Telefon Ahnungslose Angestellte. 👎🏻,744187314025467904
Xeneta_AS,2016-06-18T16:50:00,@DeutscheBank lays out a radical vision for the future of Amazon's #shipping operations | https://t.co/p5NftYtnig https://t.co/1fYmbOwjtJ,744210572766482432
romano_brumini,2016-06-18T17:57:00,@DeutscheBank inf...........................22,744227444492746752
romano_brumini,2016-06-19T00:50:00,@DeutscheBank j+22,744331499059744769
GeoffMikeBear,2016-06-19T04:42:00,@DeutscheBank Fuck you,744389944802684929
554013604a,2016-06-19T12:44:00,"@DeutscheBank
Thanks for your attention! #FanYa
https://t.co/DcPh6RMExW
https://t.co/U0xqA94Gks? https://t.co/vfIqGgfvoQ",744511251410092033
romano_brumini,2016-06-19T14:40:00,@DeutscheBank inf............,744540433225768962
PerwiraketapelS,2016-06-19T16:33:00,@DeutscheBank P R S / P P - PAN - P P P,744568867976929284
romano_brumini,2016-06-19T16:55:00,@DeutscheBank @YahooFinance J+22 INFINITO...........,744574435127099393
Nextgenbanking,2016-06-19T17:07:00,"@DeutscheBank @YahooFinance v need2get basicsright in #finsystem, do #Regulators have good control on moneyflow?,hoperegulators get itright",744577365062254592
JoeRice413,2016-06-19T20:54:00,@DeutscheBank #dodd-Frank is over 2000 pages and gold plates Basel 3 standards. So no end in sight.,744634468418359297
miiraa27,2016-06-19T22:12:00,@DeutscheBank @YahooFinance a foreign student in Ukraine would like to invest in the stock market through your advisory services ??,744654095944982528
gabbynoonyraffy,2016-06-20T06:48:00,@DeutscheBank how can you charge me provision for checking balance in YOUR ATM?! And didn't even print receipt. This is how you lose clients,744784086217023490
Vishfulthinking,2016-06-20T07:46:00,@DeutscheBank Really nice about the way and speed with which your system responded. Impressed.,744798507542839296
FeinerAndreas,2016-06-20T07:48:00,@DeutscheBank and @ArabesqueFunds announced a #partnership to offer #esg #investments. https://t.co/PNHlQu7xn3 https://t.co/2CTdNL8xWx,744798997592702976
SimplyShariaHC,2016-06-20T10:51:00,@DeutscheBank and @ArabesqueFunds launch new family of #ESG products - https://t.co/K9rugBNzwg,744845179820064769
FundsEurope,2016-06-20T11:45:00,@DeutscheBank backs @ArabesqueFunds’s #esg strategy https://t.co/G2DViQ3HVD,744858643191963648
mathz_aragao,2016-06-20T11:49:00,"@DeutscheBank voices concerns with #blockchain technology, despite successful #proofofconcept https://t.co/3j9tza1Xdg via @computerworlduk",744859730229735424
DeuBaService,2016-06-20T12:09:00,@DeutscheBank @Alx720 Please contact my colleagues via OnlineBanking (Message to the bank) or TelephoneBanking +496991010000 /so,744864715218759680
verheydentim,2016-06-20T13:31:00,@DeutscheBank backs @ArabesqueFunds ESG strategy https://t.co/2bINouMn3U,744885444475764737
gcfr234,2016-06-20T15:05:00,@DeutscheBank is it possible for a prospective German student to open a blocked account through the german embassy located in his country,744909148161196032
romano_brumini,2016-06-20T15:23:00,@DeutscheBank j+22,744913532668551168
NicoleRoseveare,2016-06-20T16:54:00,"@DeutscheBank drops #RDBMS and ETL for #MarkLogic for #dataintegration, biz goals #NoSql https://t.co/sc0kkupiJj https://t.co/p8ZiaCnHgK",744936386873069568
FeinerAndreas,2016-06-20T17:06:00,@deutschebank and @arabesquefunds launch #ESG investment products https://t.co/FjWzvoeucE via @IntAdviser,744939454457077761
propertyfiend,2016-06-20T21:39:00,"@DeutscheBank issues warning in #ukproperty #buytolet market. Time to get out or time to get #bmv properties? 
 https://t.co/JSCe1VZ7kM",745008288329306116
galipeau,2016-06-21T01:26:00,@DeutscheBank to raise €1bn in socially responsible #investments https://t.co/JBUTCeAgRD @FT #SRI #impinv @un_sif https://t.co/HbLcfPls58,745065329936609281
DeuBaService,2016-06-21T06:14:00,"@DeutscheBank @gcfr234 Yes, ist´s possible. Please look at our FAQ´s at https://t.co/zvG9zkdmKb Have a nice day. /ma",745137681953259520
