screen_name,created_at,text,id
Brainio1,2016-06-23T18:09:00,@DirectLine_UK I may have lost my iPad whilst on holiday in Lisbon but not sure what I will need to do re claiming? Do I need a crime ref?,746042499215523840
Brainio1,2016-06-23T18:58:00,@DirectLine_UK Thanks. So I will need to contact the police in Lisbon? Not sure what I need to do as abroad! Would prefer to sort when back,746054893065011200
Twining_Andy,2016-06-24T09:40:00,@DirectLine_UK Funny how renewal line answered instantly but kept holding for ages on claims line! Re-thinking renewal decision now.,746276882929311745
emmawoodx,2016-06-24T10:53:00,@DirectLine_UK why are you still sending me post when I've cancelled my insurance? I don't have a car any more so I don't need your letters.,746295293323448320
chrisseyf90,2016-06-24T13:26:00,@DirectLine_UK thanks lisa. actually took 6 hrs and we had to argue with a recovery driver to reach our destination. How do i message you?,746333591722926080
Rowey2,2016-06-24T14:47:00,@DirectLine_UK I went ages ago. It's just an example,746354159050440705
CarlyHalse,2016-06-24T15:10:00,@DirectLine_UK sent me two letters about life insurance... Bit ominous. Do they know something I don't...?! https://t.co/3lCjvrVFbK,746359823596425216
oceanrise1,2016-06-24T15:33:00,@DirectLine_UK Did I miss the announcement of who won your 'first car story competition' please?,746365670103912448
oceanrise1,2016-06-24T16:03:00,@DirectLine_UK oh was it a draw? I thought the winning story about their first car was judged?,746373092470030337
julester_3,2016-06-24T16:12:00,"@DirectLine_UK So you don't want my business? I buy a new build and you can't find the postcode, how is that my problem? Please explain",746375575103746048
UncaHeid,2016-06-24T16:14:00,@DirectLine_UK would you ever pick up the sodding phone,746375993959518212
liammhobbs,2016-06-24T18:28:00,@DirectLine_UK can you explain how 8:58am is early in the morning or late at night!? https://t.co/zAZZwecVsT,746409613889839104
lilmissymoo90,2016-06-24T22:50:00,@DirectLine_UK loved my black box and high score until my second quarter now my scores are low constantly...,746475506103627776
penners78,2016-06-25T07:44:00,@DirectLine_UK customer 16 yrs &amp; premium going up 30% even though no change in circumstances!cant/wont price match.time to leave i think!,746609991285608448
aretepmcc,2016-06-25T08:29:00,@DirectLine_UK found car parked in mine last night owner returned says scratches to hers my fault do I report https://t.co/6DN8yLQtiC,746621416137699328
zediqbal,2016-06-25T10:13:00,@DirectLine_UK changed my car insurance. Naznin was super awesome and got everything sorted quickly and efficiently #greatservice 😄😄,746647521498435584
