screen_name,created_at,text,id
Mediafers,2016-03-20T13:55:00,@facebook ihr solltet mal schauen was für Vorschläge ihr verbreitet #hass #auslaender #facebook https://t.co/TP3VsbzOZy,711551702143516672
domolsz,2016-03-20T15:33:00,@facebook @WhatsApp @BlackBerry Give us choice: #ILoveBB10Apps,711576289270956032
helloheidib,2016-03-20T16:18:00,@facebook PLEASE HELP I HAVE AN ABUSIVE ISSUE,711587778660802560
WhiteboyRock,2016-03-20T16:29:00,@facebook wanted me to upload my #government ID. I feel that to be very invasive. But I did it. As you can see here. https://t.co/xiYTcEOyP9,711590616623284224
Findvintage,2016-03-20T17:22:00,"@facebook what is happening here, is it real or a hacker scam please help https://t.co/adejPLHi8r",711603939360296960
Loveoporaqui,2016-03-20T18:05:00,"@Facebook y @twitter compiten por derechos de transmisión para televisión en vivo
https://t.co/2HZigNcSiz https://t.co/6m2qr2VjN6",711614704586653696
MarioMangaia,2016-03-20T19:06:00,@facebook lo necesario para corregir estos pequeños problemitas.-  Saludos a los buenos samaritanos que todavia andan por ahi   .'   Prof M,711630058419425280
poshpaws14,2016-03-20T19:16:00,@facebook having issues with not being able to see people's comments on my post,711632601895804928
colonel_lenny,2016-03-20T22:01:00,"@facebook 
AWAKEN! OBAMA MAY TRY A JUDICIAL PEARL HARBOR BY APPOINTING A SUPREME COURT JUDGE WHILE THE SENATE IS IN RECESS.STOP IT!",711673984354398208
AlecmartinSEA,2016-03-20T22:14:00,@facebook while in a group I can't paste links into a post. Might want to take a look at it :),711677387625246720
meglyon_,2016-03-20T22:54:00,@facebook hello,711687387487854592
Skater_Lee,2016-03-20T23:35:00,@facebook has put an update out singling out all @BlackBerry users. Total dick move. Looks like im going to be leaving FB,711697665935941632
elizabethzarat2,2016-03-21T02:29:00,@facebook,711741613962166273
JEREMYDOLCE,2016-03-21T05:47:00,@facebook what's going on today? I can't post videos &amp; my pics I uploaded keep disappearing?,711791444890140672
4NationsMum,2016-03-21T09:54:00,"@facebook has a tagging glitch. if u post a comment &amp; don't tag the person that u are addressing, that person most likely won't be notified",711853511617679360
TheOompa_Loompa,2016-03-21T11:02:00,"@facebook Everytime that I try to log in, it says that facebook can not process this request now. I've been trying to log in for days. Help?",711870502067957760
HUZAIFABIEBER,2016-03-21T11:11:00,"@facebook i have an acer
core i3,windows 7
i have the cheapest version of facebook
before i was having a good version
help me to get new one",711872905710325761
mustafayetik5,2016-03-21T13:15:00,@facebook,711904022681296896
GrantABosnich,2016-03-21T15:28:00,"@facebook the curated timeline thing is too paternalistic.  I genuinely liked the user-generated news feed, despite the frequent stupidity",711937625410506752
samfinlay321,2016-03-21T17:37:00,@facebook pls make an eyeroll reaction 🙄🙄🙄 bc that is my only response to 80% of fb posts,711970085200535553
DanceOffCarms,2016-03-21T17:41:00,"@facebook hi guys, could you please contact me regarding an issue that I was hoping to resolve as soon as possible? 😊 x",711971091732889600
communitydrives,2016-03-21T17:54:00,@facebook I run several group pages for companies and suddenly I'm locked out of my account: can't get past the auth page. can someone DM me,711974325528559616
chintuhits,2016-03-21T18:44:00,". @facebook honoured that facebook found this time 
To reply me 
Never expected 
Happy Holi @facebook  :)
Keep going 
Connect ;)",711986779742547968
gaticosypichich,2016-03-21T19:21:00,@facebook WTF? Who is responsible for this?  https://t.co/VgbQJDU8Ud,711996238430797825
SuperDriver318,2016-03-21T19:36:00,"@facebook I'm going to make it a living hell for you here on Twitter, you anti-1A fascists. You people are scum",711999954747719680
ABSanyal,2016-03-21T20:10:00,"@facebook Further, for no reason, I have been banned from liking pages or following profiles for the next 1 month.",712008463384076288
adeluna1,2016-03-21T20:44:00,"@facebook y @whatsapp no retiren el soporte a BlackBerry 10, no sean ojetes!!!! #Ilovebb10apps",712017153164115968
MonkeyPunchBaby,2016-03-21T20:56:00,"@facebook just out of curiosity, are we @LumiaUS #WP users not worth your time to get an app that is up to date and comparable to other OS?",712020062136352769
C_At_Rox,2016-03-21T21:42:00,@facebook May I ask why you guys virtually crashed the Blackberry Facebook app? A link to your mobile site on browser?! For real!?! #WTF,712031620505665536
ikrhalsey,2016-03-21T21:47:00,@facebook make a golf game to go with the basketball one pls,712032866901819393
Tawroginski,2016-03-21T23:00:00,@facebook The last thing Facebook wants to do is cram spam into Messenger and give people a reason to return to SMS or another chat platform,712051174665527296
pranabmandal777,2016-03-22T05:39:00,@facebook please help to recover the issue https://t.co/l9LcSa7121,712151710571999232
KhamhouDet,2016-03-22T06:04:00,"@Facebook, go Fuck yourself, you douchebag. Facebook has become so gay now.",712157866967355393
susiejdreamer,2016-03-22T07:52:00,@facebook how do I delete a list I created back in 2011? I'm seriously annoyed by it.....,712185058828750848
johnnn_nnny,2016-03-22T08:09:00,@facebook should be #red.,712189555500146688
JasonOutLoud,2016-03-22T08:38:00,@facebook @ceverson @sherylsandberg time to make sure your safety check  system is in place.  Potential terror attack in #Brussels,712196756331560960
annelaure1108,2016-03-22T08:43:00,@Facebook va transformer la relation clients avec « Bot Store » https://t.co/CeKj4ZEda0,712197945278537728
Q_Barbara,2016-03-22T08:44:00,"@facebook can you set up your ""safety check"" feature for the #brusselsattacks please?@BrusselsAirport",712198365002514432
dimitrizetzsche,2016-03-22T08:44:00,@facebook we 're asking for it! #bru #belgium https://t.co/Psb749dDkB https://t.co/qGP4thvrPL,712198283339366401
SuperDriver318,2016-03-22T09:01:00,@facebook &lt;--- https://t.co/GyK4amzJoy,712202472488501250
thePaulFrederic,2016-03-22T09:04:00,"@facebook release the I'm safe app for #brussels so much friends &amp; family there, help us !!!!",712203296082157568
AkramKenneth,2016-03-22T09:09:00,@facebook How can one incorporate newsfeeds posted at twitter find them on facebook the same time?,712204496567316481
mariecoosemans,2016-03-22T10:43:00,@facebook active son bouton #SafetyCheck pour les attentats de #Bruxelles,712228097576280064
OrbitalMediaNet,2016-03-22T11:08:00,"@facebook has released a special feature for those caught up in the #Brussels disaster 
https://t.co/Qc5VRBUzcF https://t.co/ysv4uQG5mi",712234490567987200
rafaleyole,2016-03-22T11:49:00,"@facebook me sugiere grupos perlas como ""Yo Voto Al PP"", ""Los Españoles Primero"", ""Paremos a Podemos con Cojones""... ¿Qué le he hecho yo?",712244868433764352
StevenCreyelman,2016-03-22T11:51:00,@Facebook page: #PrayForBrussels - https://t.co/jjAM6RUsJh - #Brussels #brusselsairport #zaventemairport #Zaventem,712245332550221824
simonmodau,2016-03-22T13:49:00,@facebook finds that you’re more likely to follow in the footsteps of your folks  https://t.co/mXOboV6og2 via @TheMemo,712274967497482240
leandrosilvaml1,2016-03-22T15:01:00,@facebook for some reason keep getting sms from facebook about a code so that can change my password!but i didnt asked for that!2 times now!,712293088421658626
pauloquaresma2,2016-03-22T16:02:00,"@Facebook ativa verificação de segurança após atentados.
https://t.co/eP0cvlMm7J https://t.co/PBYtMyu7vt""",712308414425202689
srishaank,2016-03-22T16:19:00,"@facebook needs to figure out an alternative to commenting on posts to tag their friends, I hate opening a comment section and seeing names",712312690631426048
BarberPixie,2016-03-22T17:08:00,@facebook Haccker Alert!!!!,712325123785793538
BarberPixie,2016-03-22T17:09:00,@facebook Haccker Alert!!!!!!!!!!!!,712325321303990272
ReaGamble,2016-03-22T17:14:00,@facebook why am I the only one who's basketball game doesn't work. And before you ask yes I updated my app,712326667549724672
TravelPulse,2016-03-22T18:20:00,@facebook offers crucial info w/ safety check after #brusselsattack. #Brussels #traveltech https://t.co/FqbOdsKDCE https://t.co/NAFjhPIEND,712343137465802752
CamLooksAwesome,2016-03-22T18:23:00,@facebook I still can't play the basketball game could you help me out?,712344038423334912
Johnson23Luke,2016-03-22T18:49:00,@facebook how do I enable the basketball game on messenger? Everytime I click it it just says 'seen' it won't work for me :(,712350591213821952
STEPHTHOUVENOT,2016-03-22T19:05:00,@facebook please stay on blackberry 10 #ILoveBB10Apps,712354581594902528
canalTVC,2016-03-22T21:21:00,@Facebook anuncia fin de soporte para @BlackBerry #CienciaYTecnologia https://t.co/Pg2EX09Fug,712388776840925185
clickclickwhirr,2016-03-22T22:58:00,@facebook I'm digging the update that tells you when you have a message request from a non-friend. Super helpful! :),712413281898500096
TheRealJonWells,2016-03-22T23:03:00,@facebook  This is identity theft at its finest. He has stolen pictures of myself and my children and made his own account with my name,712414370958077952
TheRealJonWells,2016-03-22T23:04:00,@facebook so if you're not going to do anything then I have to take control of my identity. I'm calling you out Facebook publicly,712414649757650944
TheRealJonWells,2016-03-22T23:04:00,@facebook keep telling me that the person stealing my photographs of me and my children isn't breaking the rules,712414756481712128
TheRealJonWells,2016-03-22T23:05:00,@facebook either you fix this s*** or I swear to God I'm getting the best lawyer in the world and I will I will sue your ass into Oblivion,712414993321484288
eugenioleones,2016-03-23T01:28:00,@facebook Necesito una ayuda URGENTE por favor como los puedo contactar? A una amiga le secuestraron su página y la persona la va a eliminar,712450850711597056
eugenioleones,2016-03-23T01:31:00,@facebook I need your URGENT assistance please Because I can contact? A friend kidnapped him his page and the person is going to ELIMINATE,712451592340033536
johnweidert,2016-03-23T04:14:00,@Facebook activates safety check after Brussels attack https://t.co/4cdde1aEBt via @@KING5News @socialmedia @socialmedianews #media,712492642253348864
backwardcity,2016-03-23T05:56:00,@facebook &amp; @WhatsApp exclusion from BB is sad. How is that being social when you're not allowing everyone to connect? #ILoveBB10Apps,712518392230621184
jadziariie,2016-03-23T06:43:00,@facebook why????????????? https://t.co/O3aRE6RhRy,712530226174103552
nirmal_mehta,2016-03-23T07:31:00,@facebook i need to get in touch with facebook support team.,712542266754211840
nirmal_mehta,2016-03-23T07:33:00,@facebook somebody else is using my account even after changing password.,712542783857418240
saso_bitola,2016-03-23T07:49:00,@facebook 's 7-Second Profile Videos Seem To Be Rolling Out More Widely On Android... https://t.co/2mLONbiC4S,712546753678061570
Martinlufc95,2016-03-23T08:43:00,"@facebook explain why you won't take action on this fake profile of me, if not your ending up in papers simple as https://t.co/D1UAHoqDTI",712560496524795905
TravelPulse,2016-03-23T09:00:00,@facebook offers crucial info w/ safety check after #brusselsattack. #Brussels #traveltech https://t.co/75Ql20oDG4 https://t.co/MZDzsBBfog,712564788862316546
FractalEcho,2016-03-23T11:07:00,@facebook why can't I deactivate my account for 2 or 3 months like I used to? 7 days maximum is a joke. Please resolve this. #Facebook,712596581405605888
benoni_l,2016-03-23T11:13:00,@facebook need help. Whats the customer helpline number in India?,712598227766239233
BarberPixie,2016-03-23T12:05:00,"@facebook I'll be back some day... 
Just not yet.",712611313428652032
aprilmomof2,2016-03-23T13:00:00,@facebook Facebook has not worked on my browser  in 12-24 hours. https://t.co/6FI44YVtic,712624987279110145
AlphaNeya,2016-03-23T13:09:00,"@facebook Hi Facebook ! After how many baskets on Messenger game, you offer me a work contract ?",712627238743764994
misdl11_exe,2016-03-23T13:09:00,"@facebook can you please put some ""game sliders"" on messenger basketball? 😂😂",712627452393029632
afleurentdidier,2016-03-23T13:12:00,"@facebook ""The name you entered wasn't approved"" Putain vous êtes grave ! C'est MON nom de famille bande de glands... #insultant",712628052132511744
TheRealJonWells,2016-03-23T16:20:00,@facebook https://t.co/SbRzmMm8Vv,712675488620224512
TheRealJonWells,2016-03-23T16:20:00,@facebook https://t.co/CnxqTfjb11,712675322081226753
nature_spotter,2016-03-23T16:45:00,@facebook 24hrs after announcement FB stops working on BlackBerry phone. It's YOUR customers ur hurting!,712681659112488960
agitazad,2016-03-23T17:59:00,@facebook sokta cemile face i kapatti uyyy ez bimirim https://t.co/qRjZy8ENlA,712700243620536320
Tawroginski,2016-03-23T18:53:00,"@facebook Telegram is faster and way more secure.On top of that,Telegram is free and will stay free — no ads, no subscription fees,forever.",712713874806538245
iOCD,2016-03-23T19:07:00,@facebook is only a farming tool for governments (&amp; shareholders). #YoureTheProduct #Privacy  https://t.co/6rvP36KoU1,712717481446608896
tre_da_prince,2016-03-23T19:09:00,@facebook can y'all unlock my account it's asking me for id but never did before and it didn't ask my mom when she signed in to hers so?,712717878554861569
ryanxpugh,2016-03-23T20:25:00,@facebook is killing the art community.,712737030472540161
kryan1612,2016-03-23T21:02:00,@facebook  why is my chat doing this? Ever since I updated its been like this - tried to reinstall! #help #iphone6 https://t.co/qtZHka95K3,712746408114331649
WillG__,2016-03-23T21:20:00,@facebook y'all niggas lame,712750995491540992
leechey21,2016-03-23T22:27:00,@facebook hi https://t.co/PMOhfvhTmX,712767682777452544
TheRiderDal,2016-03-24T00:52:00,@facebook still won't let me be friends with my big diamond @laurakelleyc and tbh I'm over them and their grandma-esque platform,712804368383414273
Eloy_Herrero,2016-03-24T06:24:00,"@facebook, forecast a 10 años vista. #Tecnologia #InteligenciaArtificial #streaming #realidadaumentada #BigData  https://t.co/w7htdY084M",712887883145822208
nuclearrambo,2016-03-24T07:33:00,@Facebook censoring @wikileaks to prevent them from exposing @HillaryClinton emails.  https://t.co/iNOAU9XpIe,712905044253868032
CynthiaMoer,2016-03-24T08:49:00,"@facebook n'est pas encore dépassé. #FacebookLive, nouvel outil miracle pour les marques?  https://t.co/0MlLDAkW1S",712924264761049088
nopartyforme,2016-03-24T13:19:00,@facebook -Find a cliff..Let's see what happens..,712992189064867841
leandrosilvaml1,2016-03-24T15:34:00,@facebook i keep getting sms and e-mails about some codes to change my password but it aint me!can you reply to this please?,713026333564145664
