screen_name,created_at,text,id
emma77G,2016-03-13T12:14:00,@firstdirect @firstdirecthelp have been on hold waiting over 15 mins to get through to a customer adviser. My mobile app is not working.,708989611771600896
redmond_neale,2016-03-16T14:18:00,@firstdirect @firstdirecthelp Thanks to First Direct for losing my verified passport copy and not making proper notes on your system!  #bank,710107886966407169
Manacee,2016-03-16T20:15:00,@firstdirect @firstdirecthelp how do you get a call back from first directory? Arranged 3 and not a peep. Even complained. Nothing. Service?,710197852790771712
cpcrampton,2016-03-18T09:14:00,@firstdirect @firstdirecthelp quick test complete. 9 mins to get through to FD. 4 mins to get @RBSGroup 6mins to get @santanderuk #FDfail,710756158269726720
owensfulda,2016-03-19T06:21:00,@firstdirect @firstdirecthelp Why do your cards start looking so manky after just over a year :( and any plans to do non-embossed cards? Thx,711075040268148736
fofusion,2016-03-19T19:14:00,@firstdirect @firstdirecthelp any idea if you’re likely to be offering support for Android Pay from launch?,711269684876857344
fantomtipster,2016-03-20T14:39:00,@firstdirect @firstdirecthelp Seriously unimpressed by the wait time on calls. I've just hanged up after five minutes. #badservice,711562824309415936
marklynchlaw,2016-03-21T15:48:00,@firstdirect @firstdirecthelp A massive thanks to your David Shanks in Lending Services who provided great customer service today 👍🏻👏🏻,711942519173607425
littlesttrev,2016-03-21T19:19:00,@firstdirect @firstdirecthelp is this a scam? Asking me to send my passport to verify who I am. I'm that customer you've had for years!!!,711995741217099780
DavidEllcock,2016-03-23T10:01:00,@firstdirect @firstdirecthelp Hi. Been trying to speak to someone on 0345 610 0242 for 2 days now. Constantly on hold. Any tips? (1/2),712579995823169536
IanH1962,2016-03-24T18:40:00,"@firstdirect @firstdirecthelp Received welcome pack, debit card &amp; pin on its way! Did I request? No!! Fraud team don't work after 6. 🤔",713072946764455940
johnvasili1,2016-04-06T11:14:00,@firstdirect @firstdirecthelp to be totally honest my 1st experaince as brand new customer has been shockingly awful back to old bank.,717671697088978944
adip25,2016-04-06T19:21:00,"@firstdirect @firstdirecthelp disgraceful to still be on hold for 25mins! Haven’t spoken to anyone, other than a wonderful robot voice",717794463096160258
adip25,2016-04-06T19:26:00,"@firstdirect @firstdirecthelp ""We're here every day between 8am and 10pm. Many thanks, Fiona” Are you Fiona???? #TerribleService",717795677447827456
J_Crawford1982,2016-04-15T07:59:00,@firstdirect @firstdirecthelp please can someone call me ASAP on 07841686221 I can't get through on your phone line (a common occurrence),720884232059363330
MartinPD111,2016-04-15T09:42:00,@firstdirect @firstdirecthelp my next call to you will be close all my accounts. Customer care??? #firstdirect#useless,720910097174507521
bluntyinsw2,2016-04-18T11:31:00,"@firstdirect and @firstdirecthelp, your 'hold' music is against the Geneva convention. And I have been on hold for 40 mins now...",722024703691513860
johntoc77,2016-04-19T12:05:00,"@firstdirect @firstdirecthelp Amazingly frustrating experience trying to arrange a mortgage with First Direct. Nice people, painful process",722395686067691520
PeterReady,2016-04-19T16:19:00,@firstdirect @firstdirecthelp Over 40 mins on hold for your mortgage team.  Time to recruit more staff? #WhyAreWeWaiting #Slow #PoorService,722459703905792001
shaneabyz9,2016-04-21T16:18:00,@firstdirect @firstdirecthelp 6 days (4 working days) &amp; counting waiting for 1st acc opening decision. What happened to 48hrs?,723184159091511296
Triv72,2016-04-27T19:44:00,@firstdirect @firstdirecthelp First Direct!  Answer your phones..I've been waiting to speak to someone for 16 minutes and counting!,725410360044474368
JNo1911,2016-05-01T17:28:00,"@firstdirect @firstdirecthelp just switched to you, the phone app and site are a bit lackluster, are they going to be updated in the future?",726825679623471104
JNo1911,2016-05-04T06:10:00,@firstdirect @firstdirecthelp devices instead of using my phone so I dont have to reset it every time on the phone I have an update on my,727742267201626113
JNo1911,2016-05-04T06:10:00,"@firstdirect @firstdirecthelp so Ive had to reset my phone, had to reactive digital secure key, is there a way to change this to one of the",727742143008223233
JNo1911,2016-05-04T06:11:00,@firstdirect @firstdirecthelp phone or is there no way around that?,727742304543514629
