screen_name,created_at,text,id
turningthetide,2016-06-06T06:55:00,@GWRUK @GWRHelp I should be in London in 15min but instead I'm still stuck outside of Didcot. How can this be acceptable? Late for work!!!,739712372009537536
stjohns1174,2016-06-06T08:33:00,"@GWRUK are offering £750,000 a year for projects that support areas in #social #need. More info at https://t.co/udiq7QcVsQ #charity",739737079484194816
butlert90,2016-06-06T11:52:00,"@GWRUK I've left my coat in carriage  c on the 11:36 to Cheltenham, can you advise how I get it back?",739787002451746816
Familoo,2016-06-06T16:34:00,@GWRUK PLS can yr relentlessly apologetic announcer STOP SINCERELY APOLOGISING? Same effect as being told repeatedly 2 calm down! #noaircon,739857971086303233
eddrewitt,2016-06-06T16:57:00,@GWRUK AC not working &amp; only 2 of 4 Windows will open (despite guard's help) on front coach 17:03 from Gatwick to Reading Passengers cooking,739863696969740288
EllieGorman,2016-06-06T17:16:00,@GWRUK any danger of having the air con on for the 18:18 padd- Oxford customers suffering from heat exhaustion?? Please?,739868629366407168
whizzylaw,2016-06-07T09:59:00,"@gwruk £2,000 found in the loos on the Pz - Pad train, and handed in. A better class of customer, clearly. @patricialondon",740120889023401984
Penn_12,2016-06-07T15:27:00,@GWRUK @GWRHelp Hi. I'm on the 1622 from Bristol Temple Meads to Portsmouth Harbour. Feels like the heating's on. Can the windows be opened?,740203605970571265
davies_meryl,2016-06-07T15:54:00,@GWRUK @GWRHelp no air and miserable passengers on train from Slough - again.,740210397677027328
simon_foley,2016-06-07T16:17:00,"@GWRUK Every day, only two carriages home #rammed #overpriced #crowded https://t.co/FnDVl6jwGH",740216163318300672
and_cue,2016-06-07T18:06:00,@GWRUK hi guys just a quick and odd question I know. What colour are your uniforms trousers? Many thanks,740243429125464064
HannahatMango,2016-06-07T19:25:00,@GWRUK the 20:27 to radley from London Paddington- front three carriages have heating on. Please can you put the air con instead?! #boiling,740263366216814592
garybrimson,2016-06-08T07:23:00,@GWRUK 0808 Oxford to Paddington cancelled. Please let me know how to claim ticket cost back. Will you reimburse tickets to continue journey,740444199221366784
dai_dont_sleep,2016-06-08T08:55:00,@GWRUK So the punctuation on the Severn Beach line is still terrible. Do I get a refund for my loss of flexi time at work?!,740467162087854081
ChrisBrown303,2016-06-08T15:25:00,@GWRUK I've got a super offpeak return LDN to Bristol Temple Meads can I go on the route via Bristol Parkway instead as plans changed?,740565453941116928
lancestreet1717,2016-06-08T15:38:00,@GWRUK Tell Mark the ticket man from the 4:01 train from Worcester to Paddington that he's a jobsworthy Vaseline head cunt sack,740568722272833537
Kofi_eye,2016-06-08T16:45:00,@GWRUK Do you have an HST seating plan please? :),740585528878325761
go2alexUK,2016-06-08T17:09:00,@GWRUK send your turbo trains up north when u get your new 387s #WeNeedMoreTrains,740591709579579393
strictly_not,2016-06-08T20:55:00,@gwruk #herewefuckinggoagain #thoracic avulsion #defecation #micturation #smileyfacebeeyatches,740648574099263488
alderdicem,2016-06-09T05:43:00,@GWRUK your car parks should be smoke free it's basically on the platform.,740781420034064384
cloudyjas,2016-06-09T16:16:00,"@GWRUK Appalling, 2nd day I've been on a train now with absolutely NO aircon pads&gt;Thatcham How can you expect people to deal with this heat.",740940744442150912
jacktaylor16_,2016-06-10T10:28:00,@GWRUK Got an interview I'll probably miss because of your 'signalling problems' 😡😡😡,741215473132507136
danpkotw,2016-06-10T14:28:00,@GWRUK proving yet again you can be completely useless and incompetent to get to the top #topmarks #uselessfuckers,741275969055535104
fyooE5,2016-06-10T16:35:00,@GWRUK the 1604 from Paddington to Penzance has been going so slowly. Why? We are passed the broken HEathrow Express train,741307800752689154
Titters,2016-06-10T16:52:00,@GWRUK Hello-Train Manager on the 5.22 PAD to Hereford service is amazing - dealing very well with some difficult folks in tricky conditions,741312062236823553
IAMWILLIAMWHITE,2016-06-10T18:10:00,@GWRUK just got told the train i booked and had RESERVED SEATS for is full. Seriously?!?! Wkend ruined by incompetent train ppl #refundnow,741331778036764672
