screen_name,created_at,text,id
RafaelExito,2016-06-16T12:17:00,"@GSKUS @GSK I have immediate availability , also all supports and documents in EE : UU needed to close the sale https://t.co/s6O11qs6l9",743417301333065729
tedwardspharmd,2016-06-17T01:54:00,"@GSKUS what are you guys doing? Your stock is at $40, your pipeline is absent, and Moncef is spaced out with NASA.",743622701810655232
wkanif,2016-06-20T03:42:00,"@GSKUS  gsk people are just hopeless. After so much followup for job no proper response, even after clearing written and personal Interview",744737167147077632
watersgisele,2016-06-21T18:50:00,@GSKUS @GSK @GSK_HPL @opentrials @GanglionQ CC @JNJInnovation @JoshLuke4Health #transparency  @#clinicaltrials  https://t.co/1mDxkSFJ6O,745328029052743680
kshan876,2016-06-24T00:41:00,@GSKUS https://t.co/Ld4Y053WtY,746141220179607554
TJ_TheArtist,2016-06-24T22:25:00,@GSKUS https://t.co/GrOzYzCRzG,746469401357066240
JUSTBRINGIT9913,2016-06-26T22:23:00,@GSKUS @Merck @VaccinateLA @Vaccinate4Life @NursesWhoVax  https://t.co/gOTXrEIf3M,747193622265737216
JUSTBRINGIT9913,2016-06-26T22:28:00,@GSKUS @Merck @pfizer @BayerPharma @NovartisPharma @BASF_Pharma @AstellasUS @pharma https://t.co/zKfmPQGW8F,747194890757472256
Deep0,2016-06-28T18:24:00,@GSKUS How can we sustain Customers Facing Teams momentum......without bothering about results ....A Dopamine Kick,747858241586069504
ehealthchris,2016-07-01T19:47:00,@GSKUS @theNAMedicine come to IEEE Healthcom 2016 in Munich and show us what you got!,748966349259546624
ehealthchris,2016-07-02T14:34:00,"@GSKUS Smart Pharma powered by 5G will revolutionise asthma/COPD care and empower patients. Anywhere, anyhow, at any time",749249997892415488
