screen_name,created_at,text,id
FistedBuddha,2016-06-13T21:30:00,@GoldmanSachs New School: 3 Ways Technology Will Transform the Classroom https://t.co/nwQOrPA2XU,742469307586772992
lifttheveil411,2016-06-13T23:15:00,@GoldmanSachs #SaudiArabia https://t.co/ous1OFEzyH,742495582548201472
Neodrawer,2016-06-13T23:23:00,"@GoldmanSachs exploited #Libya fund, court told
https://t.co/O1pB7YnWH6 @FT",742497612721487872
Kikhia,2016-06-14T00:01:00,@GoldmanSachs dealmakers ‘lavished Libyan officials with prostitutes’! 😳 #Libya 🇱🇾 https://t.co/Ov2Yiy8YBA,742507273910636544
VaughanBandkltd,2016-06-14T01:09:00,@GoldmanSachs New Banking Claus / Father Christmas of Banking Emptying investors Sachs Ho Ho Ho. #BankerChallenge 💄😉 https://t.co/qbXfv6FzHm,742524205623848960
TrackRecordAsia,2016-06-14T02:55:00,"@GoldmanSachs ""Delight Your Customer"" -- Advice for Small Business Owners https://t.co/4K7uiskORn MUST WATCH for business owners",742550985071955970
wierdboyprophit,2016-06-14T04:37:00,"@GoldmanSachs big fan of ur work, trying to take over the earth myself https://t.co/Tpjx664n77 #folkmusic #synthpop #ProducerProblems",742576567008649216
Market5tudio,2016-06-14T06:34:00,@GoldmanSachs  Accused of Hiring Prostitutes for Libyan Intern to Win Influence Over Investment Fund https://t.co/SIF0vHSdye @DJRachbini,742606235384451072
PuplicCrown,2016-06-14T07:12:00,"@GoldmanSachs predicts the next buy could be @twitter after the @LinkedIn buy. M&amp;A market is healthier than it seems
https://t.co/PYRKcuumfw",742615650154229760
indiatimes,2016-06-14T07:36:00,@GoldmanSachs won Libyan Investment by throwing lavish parties with hired prostitutes- https://t.co/hpZJP0CeSk https://t.co/wpa2WEOdML,742621780137771008
BBCLeishaChi,2016-06-14T07:40:00,"@GoldmanSachs accused of paying for prostitutes, private jets to win business frm Libyan client https://t.co/HMAjCEcOve #badlybehavedbankers",742622764692049920
TheCVReview_UK,2016-06-14T08:20:00,"@GoldmanSachs  was flooded by 250,000 #Job applications from #Millennials https://t.co/jZ6Cwzffo6 via @businessinsider by @LiannaBrinded",742632732761686016
finnovationCH,2016-06-14T08:38:00,@GoldmanSachs @Citi @Santander Most active big banks in #Fintech investing - @CreditSuisse @UBS just make the list https://t.co/K5eoSac0GQ,742637359909457920
finnovationCH,2016-06-14T08:39:00,@GoldmanSachs Most active bank in #Fintech investing - @CreditSuisse @UBS just make the list https://t.co/GgPOJy4Mbx https://t.co/HRh25ZByFI,742637681851699200
Bob007Me,2016-06-14T09:08:00,@GoldmanSachs - This behavior is not acceptable! Stop dealing with corrupt govts &amp; people now.  https://t.co/PPY1CUQ1us,742644916526927872
trueblue51,2016-06-14T09:38:00,@goldmansachs Why are so many bankers committing suicide? https://t.co/D0ZLdpW3i3 via @nypost,742652420568670212
StickMan_v7,2016-06-14T13:00:00,@GoldmanSachs  Do you own part of a gun company? https://t.co/IE3AiPuAqR via @motherjones,742703377033924614
FalafelBig,2016-06-14T17:46:00,"@GoldmanSachs Is this racist one of your hedge fund managers, as he claims? @israeleretz https://t.co/Drfx2MmxXM",742775179839983616
VeronaCapital,2016-06-14T17:48:00,@GoldmanSachs online banking will give customers a better savings yield ~ https://t.co/pHYToPhZJQ,742775793017753600
wierdboyprophit,2016-06-14T18:01:00,@GoldmanSachs i bring u promising futures to burn https://t.co/9flXZSaEbj #dystopian #ROCKMUSIC #Cali #BernieLostMe #trumpfail @pitchfork,742778889395523589
DataAnalyticsRy,2016-06-14T18:03:00,"@GoldmanSachs y la crisis del ícono financiero 
 https://t.co/qplt2eDoTO #Finance https://t.co/09v7oFKg95",742779625575710720
bethcabrera,2016-06-14T18:11:00,"@GoldmanSachs moving from 10,000 to 100,000 women! @DinahabibPowell &amp; @warrenbuffet talking with women entrepreneurs at #StateofWomen",742781466661298177
ramachgramach,2016-06-14T19:37:00,@GoldmanSachs The FOMC should vote to raise the federal funds rate https://t.co/PZJSFUa1nE https://t.co/X5YMtCMeJg,742803091481714688
IgnatzMuskrat3k,2016-06-14T20:26:00,"@GoldmanSachs approves
@HillaryClinton @HFA should #RENOUNCE https://t.co/0L8BxFpKyK",742815494323982338
harryjohndixon,2016-06-14T20:41:00,"@GoldmanSachs list of tech companies most likely to be acquired: https://t.co/XzpOGuzmYf 

#tech #TechTuesday #acquisition #startup",742819268312465409
DCMOWPI,2016-06-14T21:41:00,"@GoldmanSachs 10,000 Women celebrates women-owned small businesses! @MayorBowser @TeamMuriel #StateOfWomen https://t.co/Rm8c4XaKXA",742834357350600704
sirboi1,2016-06-14T22:48:00,@GoldmanSachs https://t.co/AGER4mcO4a,742851329748570112
Kikhia,2016-06-14T23:24:00,@GoldmanSachs Says #Libya Suffering From Buyers Remorse Over Bad Trades! https://t.co/0mgeaylUSu,742860259199438850
MDoerr_02,2016-06-14T23:51:00,@GoldmanSachs @chess_romero hats illegal!,742867078852419584
OubeidZ,2016-06-15T00:07:00,@GoldmanSachs Hello! Can I do a spring insight in the UK next year if I am a second year in a three year course?,742871138141937664
IRISHHEAVYT,2016-06-15T00:56:00,@GoldmanSachs #Whores #Bailout #CruzCrew #Unethical #Fraud #NBAFinals #FlagDay #StateOfWomen https://t.co/2UlTa2ybHR,742883455726288896
