screen_name,created_at,text,id
thereseofficial,2016-06-06T07:46:00,@HSBC_UK your service is diabolical.,739725118281244672
jamiescott610,2016-06-06T08:45:00,@HSBC_UK 1923,739740070261972992
ash3788,2016-06-06T09:18:00,@HSBC @HSBC_UK still on hold!!! 😡😡😡😡😡 https://t.co/m4bgKVD7Yo,739748298047823873
carolinafbax,2016-06-06T09:33:00,@HSBC_UK 2. a friend transferred 10 pounds to me via transferwise and it worked even with a -6 Euros amount in my German account,739752170174713856
alenkapogacnik,2016-06-06T09:35:00,"@HSBC can't login to my online account, and waiting on the CS line for 20 minutes. Really poor service.",739752658895044608
angusjulianmac1,2016-06-06T09:36:00,@HSBC_UK_Careers I have contacted Stuart Gulliver.Why does nobody reply?AD,739752770627088384
angusjulianmac1,2016-06-06T09:39:00,@HSBC_UK_Careers Why does nobody reply?,739753686067490816
mrsevejones,2016-06-06T09:46:00,@HSBC_UK I may being going mad but there is no longer the facility to generate a secure code. HELP https://t.co/LqSXt1k4w3,739755292712435716
JohnBro45055485,2016-06-06T10:00:00,@HSBC_UK  the most incompetent bank I have ever dealt with. On hold for nearly 40 minutes to deal with a mistake YOU made.,739758762081325057
Beirut_Speaks,2016-06-06T11:00:00,@HSBC #Lebanon acquisition delayed by staff negotiations https://t.co/vxMsHjNpqO #news,739773971839614976
higherclimbing,2016-06-06T11:02:00,@HSBC @HSBC_UK answer your phone. 25min an counting is unacceptable,739774469787553792
hendrick87,2016-06-06T11:05:00,@HSBC_UK must be too busy lending money to Mexican drug cartels #dontcareaboutcustomers #poorservice #mighttry @AskLloydsBank,739775095288270848
hendrick87,2016-06-06T11:09:00,@HSBC_UK finally got through to someone after 30 minutes #youcanringusnexttime #rubbish,739776131205849088
csidwelluk,2016-06-06T12:11:00,@HSBC_UK  already waiting over half an hour on hold to try and speak to someone what's going on? #notimeforthis,739791934907133952
Shezz94,2016-06-06T12:39:00,@HSBCUKBusiness if you can get my business debit card delivered to me that would be great,739798770477600768
PattiesTree,2016-06-06T12:51:00,@HSBC ...I AM ANGRY...I WISH HSBC WOULD JUST PICK UP THEIR ¥¥@# PHONES...ARGHHHHHHHHHHHHHHHHHHHH,739802013941309440
carolinafbax,2016-06-06T13:31:00,@HSBC_UK turns out i can't dm you - if there is any contact email you can give me for oxford customer support i'd be really grateful,739811902763761664
AlfonsoToronto,2016-06-06T13:32:00,@hsbc #hsbcpride ally engagement #diversity #family #bank #fun https://t.co/4FSRzw0eHp,739812302753406976
twittingneedles,2016-06-06T13:52:00,@HSBCUKBusiness dreadful service. 3 hrs to reset a/c. If only. Waiting since fri. Still asking me wrong security question. Time to move.,739817195379818496
thejraptor,2016-06-06T14:17:00,@HSBC_UK I live in Oxford. Do you maybe want to explain why every cash machine says you're unavailable?,739823526870437888
aimeetink1986,2016-06-06T16:01:00,@HSBC_UK over 30 mins now waiting still no answer great customer service....,739849777454714880
aimeetink1986,2016-06-06T16:12:00,@HSBC_UK are you having a laugh??? And still waiting!!!!! https://t.co/kgOqoQq1a5,739852430507118593
lucelucyluce,2016-06-06T16:18:00,@HSBC_UK hi what's up with ur customer service man,739853893891457024
aimeetink1986,2016-06-06T16:22:00,@HSBC_UK and still waiting 😡😡😡😡😡 https://t.co/9abcF5maDJ,739855062055424001
rachael19888,2016-06-06T16:32:00,@HSBC_UK 1923,739857493443137540
simonmaple,2016-06-06T16:50:00,@HSBC_UK the waiting time for you call Centre is far to long,739861955012395008
LauraCharlotteG,2016-06-06T17:07:00,@HSBC_UK are a joke,739866251737083906
TheeHuntsman,2016-06-06T17:19:00,@HSBC_UK WILL SOMEONE PLEASE PICK UP YOUR PHONE FFS,739869264098828289
DJHoyle,2016-06-06T17:24:00,@HSBC_UK Numerous msgs and call attempts over last 5 days. Call backs promised not made. #Isanybodythere? #HSBCfail #bankproblems,739870632805072896
CrazyTattooMan_,2016-06-06T17:56:00,@HSBC @HSBC_UK @HSBC_UK_Help your update to your app on my samsung has made it stop working...can you update the update please :-(,739878707821707265
seanatlilac,2016-06-06T20:10:00,@HSBC_UK 1923 hopefully will be a lucky year for me!,739912283581747200
fleckaz,2016-06-06T20:47:00,"@hsbc hi - I had my debit card lost, do you have a free international number I can call to get it cancelled?",739921677643960320
T21SweetBoyz,2016-06-06T21:01:00,@HSBC_UK sort it out! 44min call and still on hold!! I would say poor service but there's no service to judge https://t.co/C9DJTooIlG,739925159671439361
kelsey90,2016-06-06T21:09:00,"@HSBC_UK is a JOKE, seriously considering  changing my bank, was on the phone for an hour and a half and not one person answered, pathetic",739927224866983936
reddingjmr76,2016-06-06T21:24:00,@HSBC_UK 1923 was the first year troon held the open,739930989405843456
thewednesday85,2016-06-06T21:38:00,@HSBC_UK 1923 👍🏻,739934612290424834
arnoldschwatrz,2016-06-06T21:44:00,"@HSBC_UK Hi. Just paid a final loan payment. Do you still do the repayment reward? If so, how long does this usually take to come through?",739936011522805760
doylee12,2016-06-06T21:48:00,@HSBC_UK 1923,739936956432429056
AndyHolgateAC,2016-06-06T21:49:00,@HSBC_UK 1923,739937381298667520
FrintonAlarms,2016-06-06T21:51:00,@HSBC_UK 1923,739937723964882944
Soniya_Jung,2016-06-06T22:41:00,"@HSBC_UK keeps telling me I'm poor - my available balance was £6, before I got £300 put in and now it's £0.20. What the fuck.",739950348991930368
sahbaafehr,2016-06-07T04:34:00,"@HSBC I AM REALLY DISSAPOINTED IN YOU I DONT WANT TO NO LONGER BE YOUR CLIENT,",740039118722240513
ClaraSandelind,2016-06-07T07:26:00,@HSBC_UK Thanks for sorting out my complaint in the end and without any further hassle for me. 👍,740082612362981377
akj18,2016-06-07T07:27:00,@HSBC_UK I asked them questions and they knew everything about me.,740082832228356097
farhanazai30,2016-06-07T08:14:00,"@HSBC_UK can't begin to express how disappointed I am at the service this bank has provided. Can't even activate my card, no PIN sent",740094652510961664
donbenz96,2016-06-07T08:39:00,PAUL INTELLIGENT D P B SHAW @HSBC CITITV BUSINESSES INSTYLEDESIGNER WORLDBANK'SCIBCrightmynikeshox GALLERY DON63BENZ https://t.co/mMRlqZHkrw,740100914564845568
zlyhsdy,2016-06-07T09:01:00,@HSBC müşteri.hizmetlerine ulaşamıyoruz,740106386114220032
LizWhit49583488,2016-06-07T09:15:00,@HSBC_UK been trying to speak to customer services for over 50 minutes and have now given up. Poor customer service,740109841704878081
nickpickles,2016-06-07T09:32:00,@HSBC 's technology is such a state even their hold music doesn't work properly.,740114085551996928
BradJFletcher,2016-06-07T09:51:00,@HSBC When are you going to be sorting out your iphone app and website... they're both so temperamental and need reviewing.,740119094658240512
nehal_sd,2016-06-07T10:04:00,@HSBC_UK on hold for 30 mins. My lloyds was less than five!!!,740122185088573440
RomanosW8,2016-06-07T10:18:00,@HSBCUKBusiness still no contact. I emailed my details yesterday. Great support for small businesses. 🤔,740125797613219840
Mentalsheep,2016-06-07T10:33:00,@HSBC_UK is there a number to call direct to report a fraud? This is a very urgent matter and have now waited over an hour so far,740129559538995200
_harrycrum_,2016-06-07T10:42:00,@HSBC_UK 48 MINUTES OF HOLD MUSIC TAKES A TOLL ON YOUR SANITY YOU CUNTS,740131784394969088
Conor_Blacklock,2016-06-07T10:55:00,"@HSBC_UK @HSBC sort yourselves out. On hold over 30 minutes,the guy who answers thinks Im someone else and phone dies due to waiting so long",740135119680376836
jkriggins,2016-06-07T11:16:00,@HSBCUKBusiness can't I get a list of suggested info? I'm working within three countries so it may take time to gather,740140392084082689
itsmericardo23,2016-06-07T12:03:00,@HSBC_NOW mukha syang bakla 😂,740152110516297728
sikhasharma771,2016-06-07T12:07:00,"@HSBC_NOW https://t.co/f3KxWsk2eh
https://t.co/1DLqsm4fw5
https://t.co/fwsum6i90U
https://t.co/49cax6XuwQ",740153194936995841
sikhasharma771,2016-06-07T12:08:00,"@HSBC_NOW https://t.co/f3KxWsk2eh
https://t.co/1DLqsm4fw5
https://t.co/fwsum6i90U
https://t.co/49cax6XuwQ",740153335609753600
PureGym_CovWSP,2016-06-07T12:37:00,@HSBC_UK we are opening a new @PureGym next to your offices on Binley Business Park- who can we contact about memberships for your staff?!,740160692888702980
RJKDuggan,2016-06-07T12:55:00,@HSBC_NOW Internet banking down AGAIN. How does this keep happening? How can so many errors occur?,740165353792253952
SirNiko86,2016-06-07T13:13:00,@HSBC_UK is this an acceptable time to wait to speak to someone about my internet banking? https://t.co/vXxef2omHt,740169916893024256
jcassidy59,2016-06-07T14:15:00,@HSBC_NOW you've changed my relationship manager 4 times in 18 months and I never heard from any of them!,740185320797306880
georgeroberts_,2016-06-07T14:58:00,@HSBC is there a problem with your website? I can't login,740196276608847872
OrnaithK,2016-06-07T15:07:00,@HSBC_UK Having trouble with their online services AGAIN. https://t.co/SvTHITzWSm,740198472880644096
JoelTory,2016-06-07T15:28:00,@HSBC_UK employee 43862943 is not very nice,740203816100978688
baboscn,2016-06-07T15:30:00,@HSBC_NOW 👍 https://t.co/lF6LLjSMr2,740204259287928832
UnwinPaul,2016-06-07T15:56:00,@HSBC Marylebone branch today. Raising money for @alzassociation and all the staff dressed as Hawaiians. #bigsmile. https://t.co/Sx2nB0UoYn,740210770378641408
PatoTagu01,2016-06-07T16:01:00,@HSBC_NOW https://t.co/XBKORoO9J9 fue el quien me atropello se nieaga a declarar y a pagar el daño https://t.co/Gtooc5AGju,740212191995912194
MowaMariaa_,2016-06-07T16:24:00,@HSBC_UK don't you people ever answer the phone? I've been on hold for like an hour 😡,740217966596390912
MarkhHeron,2016-06-07T16:59:00,"@HSBC_UK @Johnny90s if you have won the @RoyalTroonGC trip you're a very lucky guy! If you get ill, don't hesitate to tweet me! #enjoy",740226682796290048
ericabase88,2016-06-07T17:04:00,@HSBC Charity football event at #lincolnUni Go Streets @StreetsAcc https://t.co/sG5JYKx3AQ,740228051095703552
wizzer_,2016-06-07T17:26:00,"@HSBC_UK does anybody answer the phones?? 40 minutes I've been waiting, to unlock my account",740233450540683264
wizzer_,2016-06-07T18:03:00,"@HSBC_UK over an hour out of my life I can't get back, think a new bank is in order!!",740242797903675392
sammyandrews,2016-06-07T18:21:00,@HSBC_UK you guys are terrible at the moment. 1.5 hours on the phone - 3 disconnects - no call backs - I can't take the hold music anymore!,740247286958198785
EmyBea,2016-06-07T18:29:00,"@HSBC_UK now ""technical issues"" with the telephone system. Shocking shocking service! #badbanking #donotuse #willbeleaving #usenatwest",740249294389817344
timmystood,2016-06-07T19:07:00,"@HSBC_UK evening, I need to get some old statements from 2011. Can I get these printed for me in branch?",740258954895327232
AnnemarieBullas,2016-06-07T19:08:00,@HSBC_UK your holding times is horrendous this evening currently on 20 minutes with the same hold music! Yawn!,740259157362782208
CALLUMWARRENDER,2016-06-07T19:20:00,@HSBC_UK just stood me up at the petrol station... Nice one.,740262173579087872
Birddy95,2016-06-07T19:34:00,@HSBC Been on hold with HSBC for over 45 minutes! Seriously how hard is it to answer my call?!,740265664661852165
lauraburden,2016-06-07T19:52:00,@HSBC_UK Can you let me know if my call will be answered soon pls? Been on hold for 30 mins now,740270301481558017
Chrissyphipps,2016-06-07T19:56:00,@HSBC_UK 40 mins and still waiting 4 call 2b answered @ 8pm. Online chat is as bad. Good job I'm not reporting a stolen card! What a joke?!,740271144830402560
robertcoombes11,2016-06-07T20:10:00,@HSBC answer!!!,740274807833546752
consensomercado,2016-06-07T20:15:00,@HSBC reestructura su división de banca global para la reducción de costes https://t.co/opJf4sdXP5 #banca #bolsasinternacionales,740275906334203904
Johnny90s,2016-06-07T20:20:00,@HSBC_UK done!,740277320720744449
sashling,2016-06-07T21:19:00,@HSBC_UK your app is not working. it loads the home page and then is unresponsive. cant log into internet banking!!!,740292148998836224
wawawawiwa,2016-06-08T00:30:00,@HSBC @HSBC_UK #HSBCfraud Great new fraud I've discovered at HSBC Mortgage services!,740340060965376004
wawawawiwa,2016-06-08T00:31:00,@HSBC_UK @HSBC @AdderstoneGroup Adderstone send them a letter pretending you owe them money &amp; HSBC just pays it,740340425194541056
wawawawiwa,2016-06-08T00:34:00,@HSBC_UK @HSBC @AdderstoneGroup really embracing the #sharingeconomy - they share your money with each other!,740341224062615553
Sas16x,2016-06-08T00:44:00,@HSBCUKBusiness I have received the letter and appreciate the admission of poor service. I'm moving to @NatWest_Help as I need reliability.,740343682377908225
KontrasOnline,2016-06-08T02:11:00,"@HSBC_NOW Di Tebet, Puluhan Pria Diamankan Polisi Saat Tawuran - https://t.co/ihtwhQPF1H",740365688108285952
saintpahars,2016-06-08T07:01:00,@HSBC I understand that your #Wimborne  branch will be closing soon - do you a closing date #hsbc,740438626174173185
pipeshouse,2016-06-08T08:13:00,@HSBCUKBusiness sorry I don't. Welsh chap. Excellent service,740456705633439744
VickyHaskins,2016-06-08T09:44:00,@HSBC_UK switching banks as soon as I'm home. Your service is beyond shocking. #Hsbc #badbanks #fucktards,740479700250841088
SherriMinx,2016-06-08T10:00:00,@HSBC I forgot to alert online banking that I am on holiday will there be a problem me drawing cash here in Greece?,740483704179568640
niaowen25,2016-06-08T10:12:00,@HSBC_UK if it's that difficult to get in contact with u guys what must it be like to make a claim for travel insurance disgrace 😐😐😐,740486595317518336
rowantuc,2016-06-08T10:41:00,"@HSBC_UK It was 1923, the next will be the 9th occasion Royal Troon has hosted the open and hopefully the first time I get to play there.",740493886364258304
SuperwomanNeto,2016-06-08T10:49:00,@HSBC_UK on hold for 50 minutes love the customer service you deserve an award,740495951975043072
ValBayliss,2016-06-08T11:00:00,@HSBC @HSBC_UK Why can't you just send me my bank statements when I request them. What is so difficult?,740498800008105984
andyroocraig,2016-06-08T11:23:00,@HSBC_UK credit where due: Celia in your Premier bit of City of London branch exceptionally efficient and helpful. Excellent job.,740504540034834432
DkwonMark,2016-06-08T12:10:00,@HSBC Really? Good job I've got no children then. Being in debt would be against everything I've been taught &amp; live my life by.,740516356811071488
SwindonWW,2016-06-08T12:55:00,@HSBC @BanksBHG_Ltd @theFionaScott thank you for a great breakfast seminar today. It was very useful. #Swindon #networking #socialmedia,740527578100989952
KymmieHPeace,2016-06-08T14:12:00,@HSBC @MoneyHelpAdvice no coz I don't have kids,740547103630450688
SalomeMoloney,2016-06-08T15:54:00,@HSBC_UK what's going on with your call centre I've been on hold forever! Pls don't tell me to go online I can't with this enquiry. Rubbish,740572834242670592
blahXblahXblah,2016-06-08T16:31:00,@HSBC_UK  unable to log in using mobile banking app. Is this down?,740581921051267074
