screen_name,created_at,text,id
AskHalifaxBank,2016-03-18T19:22:00,@MrMMarsh I'll certainly ensure your comments are recorded for feedback. ^DA,710909368959705088
AskHalifaxBank,2016-03-18T19:23:00,@brionymcstea Glad to hear that. Thanks for letting us know. Have a nice weekend! ^SA,710909388135993344
AskHalifaxBank,2016-03-18T19:43:00,"@WestWickhamGeek Hi, I'm IH. I'm sorry for the late reply. Unfortunately, you can't use a Lloyds branch to deposit cheques or cash, (1/3)",710914495292510208
AskHalifaxBank,2016-03-18T20:11:00,"@AdamMitch93 Hi, I'm IH. I'm sorry to read your tweet. What's happened, if I may ask? DM if you prefer. Thanks.",710921713454858240
AskHalifaxBank,2016-03-18T20:13:00,"@AnisaM123 Hi, I'm MA. I've responded to your DM now. Thanks.",710922043303321600
AskHalifaxBank,2016-03-18T20:33:00,"@RyanMatthewsLD Hi, I'm AR. Thanks for tweeting such lovely feedback &amp; congratulations! It's great to hear this was completed so quickly!",710927128045490176
AskHalifaxBank,2016-03-18T20:42:00,"@mellor95 … on to our Headingley branch. If you need anything in the future, feel free to tweet us anytime. Thanks &amp; take care! (2/2) ^IH",710929268226859008
AskHalifaxBank,2016-03-18T20:46:00,"@SimonLock_ Hi, I'm IH. I'm sorry for the late reply. That's strange! Have you tried using another internet browser to sign in (1/2)",710930401410326528
AskHalifaxBank,2016-03-18T20:49:00,@Toni_w86 That’s odd. Can you explain what's happening when you sign in via the desktop site? Thanks. DM if you prefer. ^MR,710931157471404033
AskHalifaxBank,2016-03-18T22:17:00,"@kategriffiths2 Hi, I'm MA. That's not good. Have you removed the app from running in the background &amp; tried reloading it again? Thanks.",710953287063830528
AskHalifaxBank,2016-03-18T23:44:00,"@SndWithoutGenre I see. You'll just need to keep checking your account for this credit as we don't have control of this, I'm afraid. ^AR",710975196098928641
AskHalifaxBank,2016-03-19T01:57:00,"@md0u812a Hi, I'm MR. We're aware of an intermittent issue affecting Online Banking &amp; we're working hard to resolve this ASAP. (1/2)",711008660328222720
AskHalifaxBank,2016-03-19T05:21:00,"@shanghaimartin1 Hi, I'm IH. Unfortunately, we don’t have a contact email address, I'm afraid. Feel free to send your query on here (1/2)",711060019853324288
AskHalifaxBank,2016-03-19T05:22:00,@shanghaimartin1 &amp; I'll try my best to help. DM if you prefer. Thanks. (2/2) ^IH,711060129546952704
AskHalifaxBank,2016-03-19T05:31:00,"@shanghaimartin1 We're unable to access account info, I'm afraid. Our 24/7 Credit Card team (0044 113 242 8223) are best placed to help. ^MA",711062508791054337
AskHalifaxBank,2016-03-19T07:33:00,"@denisek25 Hi, I'm NW. Unfortunately, we don't offer a secure message service, I'm afraid. If you call our Telephone Banking team (1/2)",711093201566830592
AskHalifaxBank,2016-03-19T09:20:00,"@BaytonThomas If you don't have any other mobile devices, are you able to access a computer where you are? ^JL",711120024627515392
AskHalifaxBank,2016-03-19T10:46:00,"@alliBarber I see. You'd be unable to make a joint application over the phone, I'm afraid. (1/2) ^AF",711141893934063616
AskHalifaxBank,2016-03-19T10:47:00,@alliBarber What issues were you having when making the application online? (2/2) ^AF,711142036901068800
AskHalifaxBank,2016-03-19T17:16:00,"@aaliking standing orders. If you've selected a partial switch, we'd only transfer the Direct Debits &amp; (2/3) ^IH",711239813903548417
AskHalifaxBank,2016-03-19T17:25:00,"@JacekMartyn I see. If you call our 24/7 Online Helpdesk (0113 279 8302), they'll be happy to look into this for you; or (1/3) ^IH",711242118312886272
AskHalifaxBank,2016-03-19T17:30:00,"@KateRumTruffle Hi, I'm JP. Sorry to read your tweet. Did the advisor say why they wasn't able do this for you? Thanks.",711243338297548801
AskHalifaxBank,2016-03-19T18:07:00,"@ctid1972 Hi, I'm IH. I'm sorry for the late reply. You can find more info on how to register your device here: (1/2)",711252882717282304
AskHalifaxBank,2016-03-19T19:33:00,"@dannimac25 Hi, I'm JP. Just to clarify, is the payment in relation to a payment on a debit card or credit card? Thanks.",711274420225110017
AskHalifaxBank,2016-03-19T19:39:00,"@hooperjamie0 Hi, I'm MA. That’s strange. Our 24/7 Telephone Banking team on 0113 242 2229, are best placed to look into this. Thanks.",711275924457713664
AskHalifaxBank,2016-03-19T20:30:00,"@m00sewitter Hi, I'm MA. Sorry to read your tweet. We value customer comments &amp; I'll ensure your feedback is recorded. Thanks.",711288637648998400
AskHalifaxBank,2016-03-19T22:04:00,"@LilBundleOfRage Hi, I'm MA. We're still working to get this resolved, I'm afraid. You can provide your feedback via this (1/2)",711312509001662464
AskHalifaxBank,2016-03-20T01:38:00,"@braddal22 maintenance, which should be completed shortly. Sorry for any inconvenience caused. Thanks. (2/2) ^MA",711366146272919552
AskHalifaxBank,2016-03-20T01:53:00,"@hughes_stu You're welcome. If you need anything else, feel free to tweet us anytime. Thanks &amp; take care! ^IH",711369921045913601
AskHalifaxBank,2016-03-20T02:19:00,@braddal22 I've now replied to your DM. Thanks. ^IH,711376693454360576
AskHalifaxBank,2016-03-20T07:17:00,@AlanSlevin1 I see. It may have been placed there prior to the hours changing. Did you raise this with the branch staff? Thanks. ^AR,711451578771894272
AskHalifaxBank,2016-03-20T12:52:00,"@DarkSideWarrior Hi I'm PM. That's odd. Have you spoken to Paypal about this? If so, what did they advise?",711535886547165186
AskHalifaxBank,2016-03-20T15:52:00,"@rsformi I see. Unfortunately, you wouldn't qualify for the offer in this instance, sorry. ^GH",711581179514851328
AskHalifaxBank,2016-03-20T20:16:00,"@luck_andy If you were unable to complete the mobile phone authentication process, you'd have to call us, I'm afraid. (2/2) ^AR",711647624500256770
