screen_name,created_at,text,id
Becky_Bongos,2016-03-17T16:48:00,@AskHalifaxBank Will DM you later,710508201410740224
IanRowe8,2016-03-17T18:59:00,@AskHalifaxBank What happened to the account renewal number 0345 129 9735? It no longer works.,710541124893589507
vitosauras,2016-03-17T19:48:00,"@AskHalifaxBank hi, opened an account today (personal) wanted to also open a joint to transfer, will they get linked on the phone app?",710553428116819968
LaurenWatling,2016-03-17T21:06:00,@AskHalifaxBank I'm trying to open a joint account as me and my partner both already have reward accounts. I've opened another reward,710573083040608257
JamesKCook,2016-03-17T21:17:00,"@AskHalifaxBank It was in the branch, according to my closure summary it is a 'Charge Against Balance'. They couldn't close it until paid.",710575710323253252
LaurenWatling,2016-03-17T21:19:00,@AskHalifaxBank can someone help as I don't know what to do!?,710576249299664900
happynewbie,2016-03-17T22:34:00,"@AskHalifaxBank Hi, how long does it take cash to hit my account if paid in at the post office please.",710595086640357377
blessmartyrkiss,2016-03-18T07:48:00,@AskHalifaxBank Morning LR - thanks SO much 😊 Have a lovely day too!,710734590202224640
Maame2010Maame,2016-03-18T10:55:00,@AskHalifaxBank  Yes I have been speaking with them for months now and they keep telling me to wait for a letter.,710781786180218880
Maame2010Maame,2016-03-18T10:57:00,@AskHalifaxBank There is still no letter and I am finding it difficult make payments now.,710782046348709888
Maame2010Maame,2016-03-18T11:02:00,@AskHalifaxBank Yes they told me 2weeks and it's been three weeks now and there's still no letter,710783476438573056
Maame2010Maame,2016-03-18T11:11:00,@AskHalifaxBank Great thanks!,710785814901481472
ReesAbigail,2016-03-18T12:46:00,@AskHalifaxBank so why do some people need to take ID in a branch when opening an account but others don't?,710809495505600512
davehockey,2016-03-18T12:49:00,@AskHalifaxBank Ok no problem I sorted this out by calling. Thanks!,710810326003019776
CraigRankin1989,2016-03-18T13:19:00,@AskHalifaxBank it's OK they rang. Thank you,710817938278895616
HectorReid,2016-03-18T13:41:00,"@AskHalifaxBank Hi, thanks. When I reapply, it says something like ""We have declined your app because you already applied for this product""",710823320963424257
Zaaccc,2016-03-18T14:28:00,@AskHalifaxBank after being on hold for 48 mins I finally got through:),710835210410192896
lauren_valerie_,2016-03-18T14:36:00,"@AskHalifaxBank Hello, how can I arrange an appointment in branch to discuss help to buy ISA please?",710837324041601024
marcusarmitage,2016-03-18T14:48:00,@AskHalifaxBank Debit card. I tried to use it to pay my Barclaycard bill but the payment has been declined at the verification stage.,710840213065568256
lsofd,2016-03-18T15:57:00,@AskHalifaxBank Absolutely appalled at over 20 min call wait. Not what I expect for UR Account holder. Now en route to branch,710857549596200962
MrMMarsh,2016-03-18T15:58:00,"@AskHalifaxBank you misunderstand - it *should* only track location when in use, but it is set to track at all times, by default.",710858003654774784
lsofd,2016-03-18T16:07:00,@AskHalifaxBank Standard number and transferred after security. Now in branch.,710860118309654528
WestWickhamGeek,2016-03-18T17:20:00,@AskHalifaxBank Can I pay in a cheque to my Halifax account at a Lloyds branch? Since we've moved we are much closer to Lloyds than Halifax,710878507081990144
AdamMitch93,2016-03-18T17:56:00,@AskHalifaxBank is the worst bank ever #pieceofshit,710887725935759361
ExcessPeeps,2016-03-18T19:30:00,"@AskHalifaxBank Hiya, I have an iPhone 6 and the Halifax banking app is not working for me it crashes everytime I try to launch the app",710911328429449220
hannahtuffnell,2016-03-18T20:48:00,@AskHalifaxBank your banking app keeps saying there are technical difficulties. Are you looking into this? Very frustrating!,710930898833776640
ExcessPeeps,2016-03-18T21:08:00,@AskHalifaxBank yes I have,710935813912207360
hannahtuffnell,2016-03-18T21:57:00,"@AskHalifaxBank hi IH, I have tried that but still keep getting the msg shown in the picture. This happens a lot https://t.co/IwKAUHrRez",710948238761857024
phil__cooper,2016-03-18T23:52:00,@AskHalifaxBank I am having problems using my Visa Debit to make an online payment #Help,710977092213723136
AnisaM123,2016-03-19T00:23:00,@AskHalifaxBank @kategriffiths2 I have had the same issue and then I'm told I'm in the wrong! And there is no error,710984979904385024
sjstj1,2016-03-19T01:28:00,"@AskHalifaxBank first i get signed out, try to get back on and get this. Any estimate when will you be back online? https://t.co/2GnQVN5wWl",711001265069826048
md0u812a,2016-03-19T01:50:00,@AskHalifaxBank is the Internet banking down?,711007023043899393
BaytonThomas,2016-03-19T06:53:00,"@AskHalifaxBank no I don't, I o oh hold a credit card",711083247141130241
annewmc,2016-03-19T09:49:00,@AskHalifaxBank Just tried it again and it seems to be ok now. Been unavailable since last night. Concerned about questions asked online.,711127543563296768
maximoose94,2016-03-19T11:23:00,@AskHalifaxBank Online says account pending my approval. When I click on the link it says it is pending Halifax's approval??,711151210498232321
vitosauras,2016-03-19T11:30:00,@AskHalifaxBank thank you. Should I set the joint acc up before I call or will they do it for me?,711152923523284992
aaliking,2016-03-19T17:17:00,@AskHalifaxBank I have done a full switch as far as I'm aware. Do you tell my old bank or do I need too?,711240114589048832
andreasmith_22,2016-03-19T18:08:00,@AskHalifaxBank thank you for reply JP do I quote a reference if I DM?,711253094080888832
Zigadee,2016-03-19T20:22:00,@AskHalifaxBank Thanks.  I'm writing a change of address form. It asks for sort code and accnt no. What should I fill out? Or leave blank?,711286738283532288
mygreenjacket,2016-03-19T21:43:00,OK found it @AskHalifaxBank but cost info is inconsistent. If I am paperless do I get charged for back copies when I am usually paperless?,711307021199548418
SuzanneParadine,2016-03-19T22:16:00,@AskHalifaxBank  Hi- can you access online your mortgage payments more than 12 months ago?  Please detail how,711315484512264197
blessmartyrkiss,2016-03-20T09:49:00,"@AskHalifaxBank Just logged back in and it's still saying ""You've registered 1 of the 2 phones your insurance provider covers you for""",711489727791243264
_hammie17,2016-03-20T10:36:00,@AskHalifaxBank They also said I'd used the AA cover and gave a date that was before I even had the account! I am very disappointed.,711501741007773697
markscott,2016-03-20T13:57:00,@AskHalifaxBank Yes and thats exactly what I have done.  as a government owned bank you have NO RIGHT to do this.,711552243053543424
ShelimUddin,2016-03-20T21:52:00,@AskHalifaxBank Can I make a dispute a card payment for food? @Dominos_UK made an error and refused to rectify it. Lost out on food/money. 😒,711671846341644289
ShelimUddin,2016-03-20T22:04:00,@AskHalifaxBank I paid online with my debit card 😁 #PleaseSayYes 🙏🏾,711674689001811968
Ellls_x,2016-03-21T08:17:00,@AskHalifaxBank it's saying password is incorrect when I know it's right? And then blocked me out. Then the website has errors,711829102328725505
Shaggers999,2016-03-21T08:27:00,"@AskHalifaxBank Surely the time to send emergency contact details is just before cover starts, not two weeks after? https://t.co/457eigVqAp",711831688943374336
thenaughtysquid,2016-03-21T09:56:00,"@AskHalifaxBank there's simply no need to do it, especially annoying as the window you open has no url bar",711853898311536640
dancingtrsrs,2016-03-21T11:50:00,@AskHalifaxBank seems to be an error on your account application website and can’t get through on the phone. Any advice?,711882692703490049
dancingtrsrs,2016-03-21T12:00:00,"@AskHalifaxBank calling the main enquiries number, keep getting a msg on screen that says please enter a valid value and there is one!",711885206429540352
dancingtrsrs,2016-03-21T12:23:00,"@AskHalifaxBank have been holding on phone for 15 mins, perhaps switching my account isn’t such a good idea!",711891015607721984
dancingtrsrs,2016-03-21T12:27:00,"@AskHalifaxBank now of course the session has timed out so I will have to do the whole application again, except I’ve given up so I won’t.",711892100233691140
msleannefraser,2016-03-21T12:44:00,@AskHalifaxBank how can I find out when my balance transfer deal ends using online banking? Doesn't seem to be listed anywhere on statement,711896195225010176
davehockey,2016-03-21T14:24:00,"@AskHalifaxBank I keep getting this: ""Sorry, we cannot switch a joint account with another provider to a sole account with Halifax online""?",711921310507638784
davehockey,2016-03-21T14:28:00,@AskHalifaxBank actually I fixed it. Was a browser issue. Did it in Safari and no problems.,711922443871522817
missbp_,2016-03-21T15:06:00,"@AskHalifaxBank I deposited a deposit of £100 into my help to buy isa but had to withdraw in emergency, I am now unable to deposit anything",711931922231009283
AshwinRaoPV,2016-03-21T15:46:00,"@AskHalifaxBank Hi Halifax, i want to close one of my credit card accounts. Should i go to the bank or can i do it by phone? number pls?",711941995195994112
MurrayAVM,2016-03-21T16:20:00,@AskHalifaxBank my account seems to be frozen I need to transfer money asap please help!,711950712352079872
a_teather,2016-03-21T17:22:00,"@AskHalifaxBank  Yes I need your fraud dept, my card is compromised and I have a ticket ref,, Just wanted to add more info card is now cxd",711966198590738432
a_teather,2016-03-21T17:27:00,@AskHalifaxBank no but I spent well over an hour on phone to you Sat &amp; would prefer to send email as no wish to repeat long conversation!,711967413265375233
Dan_sOn_UrGrave,2016-03-21T17:32:00,"@AskHalifaxBank All I wanted to do was downgrade my account, which I was told in branch to do over the phone. Now have to go back in branch!",711968627168301056
Dan_sOn_UrGrave,2016-03-21T17:40:00,"@AskHalifaxBank yeah... Because despite the fact that I regularly receive mail from you to my address, there is a ""problem with my address""",711970750207533056
a_teather,2016-03-21T19:49:00,@AskHalifaxBank The email I sent to your security add stated the ref No. My email contains nothing confidential just suggestion to improve,712003263827148802
a_teather,2016-03-21T19:50:00,"@AskHalifaxBank  I will not be ringing again, it was too time consuming and expensive",712003378423963649
MichaelKeery,2016-03-21T21:11:00,@AskHalifaxBank yes all for the same account and no I didnt order more than one replacement. felt one would be enough,712023908900347904
Adam_Humph,2016-03-21T21:16:00,@AskHalifaxBank Thanks SH. #sillyquestionalert I can apply after April 5th right?,712025212536152065
daisyyholbrook,2016-03-21T22:42:00,"@AskHalifaxBank So, can I do it tonight and receive it, or not?",712046736731185157
a_teather,2016-03-21T22:52:00,@AskHalifaxBank someone rang me back and is trying to TF me to Fraud dept - phone has been ringing for well over half hour. 1/2,712049204441583616
FletchMo7,2016-03-21T23:22:00,@AskHalifaxBank I have a reward current account already but when applying for second current account I get offered the basic account?,712056892739198977
