screen_name,created_at,text,id
jamesinealing,2016-03-12T15:30:00,"@HeathrowExpress @HeathrowAirport just about to leave AMS, due LHR about 11.30 gmt. What time is next Connect train direct to Hanwell?",708676649273991168
jamesinealing,2016-03-12T15:45:00,"@HeathrowExpress @HeathrowAirport thanks. As I'm getting in to T4 doubt I'd make 17:42, so looks like @piccadillyline going to be best bet",708680256996188160
harjots,2016-03-12T15:45:00,You're lying @HeathrowExpress - at least @GWRHelp is telling the truth,708680379054616576
jamesinealing,2016-03-12T16:59:00,"@HeathrowExpress @HeathrowAirport by the way, your home page has already been updated to say every 30 mins as if full service has resumed",708698851960557568
jamesinealing,2016-03-12T17:00:00,@HeathrowExpress @HeathrowAirport and final question: will there be an 08.09 Hanwell to Paddington next week?,708699083452633088
jamesinealing,2016-03-12T17:07:00,@HeathrowExpress @HeathrowAirport has someone lost the password to update it? That's just crazy,708700965432659968
jamesinealing,2016-03-12T17:23:00,"@HeathrowExpress @HeathrowAirport ah, OK, and then I guess things changed and the person who could change it went home. Ooops!",708704979960373248
jamesinealing,2016-03-12T18:06:00,@HeathrowExpress @HeathrowAirport so it seems the 17.42 didn't stop at Hanwell?,708715717366038529
jamesinealing,2016-03-12T20:47:00,"@HeathrowExpress @HeathrowAirport oh, didn't go for it in the end even though I could as I had read https://t.co/LeZkKHPxLu",708756402727198721
lorrainecarew,2016-03-13T07:32:00,are trains running normally March 13th @HeathrowExpress,708918654256160768
evakfritz1,2016-03-13T08:18:00,@HeathrowExpress - your website accuracy not filling me with confidence... Time to update? https://t.co/IUTGVa9NTH,708930218849914880
lorrainecarew,2016-03-13T09:29:00,@HeathrowExpress  thanks!,708948057270919168
jamesinealing,2016-03-13T15:12:00,"@HeathrowExpress as you seem to be the only outlet here for Heathrow Connect, any updates on service? Don't neglect your customers pls!",709034447358849024
jamesinealing,2016-03-13T15:27:00,@HeathrowExpress worth doing a new tweet rather than just this @ reply so everyone gets to see this?,709038201328033792
johnhenderson,2016-03-13T16:46:00,@HeathrowExpress I accidentally bought a return ticket online from Heathrow-&gt;Paddington instead of Paddington-&gt;Heathrow. Will it still work?,709058095520092160
froggleston,2016-03-13T17:06:00,"@HeathrowExpress @pathogenomenick ""Should offer the cheapest option first"" I think you mean...",709063043242729472
jamesinealing,2016-03-13T17:59:00,"@HeathrowExpress ha, that's the page that says they shouldn't have been stopping at Hanwell yesterday so I think it's @piccadillyline for me",709076369347584000
HeathowConnect,2016-03-13T19:13:00,@jamesinealing how will @HeathrowExpress appease disgruntled Connect customers? They were so badly treated,709094984453066752
HeathowConnect,2016-03-13T19:14:00,@HeathrowExpress @TT_Swindlehurst and the overpriced fares too? Try the Connect only £10 to Paddington,709095186379497473
HeathowConnect,2016-03-13T19:15:00,@HeathrowExpress @DanKaszeta with trains taken away from cheaper services.,709095432748720129
HeathowConnect,2016-03-13T19:15:00,@HeathrowExpress and still no heathrow Connect shame on you and @GWRHelp,709095626026438657
HeathowConnect,2016-03-13T19:18:00,@HeathrowExpress is it why you lowered your advance fares on weekends.... while doubling prices for week days?,709096311618969600
smartthumb,2016-03-13T20:04:00,@HeathrowExpress anyone arriving at T2 #LHR sold Tickets for #heathrowexpress but NOT told it's a f#%kin long long walk to T3 to catch train,709107944185597953
HeathowConnect,2016-03-13T20:46:00,@HeathrowExpress @TT_Swindlehurst does mean you'll increase the fares again? Tt try the Connect only £10,709118549911060481
Nick1Fletcher,2016-03-14T05:34:00,@HeathrowExpress when is the next service from T2 to T5 please,709251254715867137
heathrow_biz,2016-03-14T07:02:00,Big hellooooooo this Monday morning from us here at https://t.co/mGXQyn1gr7 @HeathrowExpress,709273425953595392
Robfinallycaved,2016-03-14T07:04:00,@HeathrowExpress what's the current status of the line. Are trains running through to Heathrow?,709274095997874176
jamesinealing,2016-03-14T08:11:00,"@HeathrowExpress morning, do they never give you a day off? Now things are back to normal you should escape the wrath of angry commuters :)",709290822336909312
Dara_Mo,2016-03-14T08:24:00,@HeathrowExpress hello. Are trains from Paddington running as normal? Your website briefly said severe delays. Thx,709294060171874304
MDS_1965,2016-03-14T08:52:00,@HeathrowExpress when did first class become the HEX staff travel carriage??,709301077166923776
ChelseaVegas,2016-03-14T11:57:00,@HeathrowExpress. Is the Heathrow express running as normal today Monday 14 March.,709347652836728832
GJPatterson,2016-03-14T11:57:00,"@HeathrowExpress Hello, I'm arriving at Heathrow Central bus station later. May I ask how do I get from there to Terminal 5? Thanks v much",709347616887328769
HeathrowExpress,2016-03-14T12:09:00,"@GJPatterson More info on travelling between terminals is available at https://t.co/NsbEqBIb7k Hope this helps, NH 2/2",709350632029868033
GJPatterson,2016-03-14T12:10:00,"@HeathrowExpress Ah, that's brilliant. I'll catch the free Express service. Thanks very much for your help. Much appreciated!",709351113913475072
juliequips,2016-03-14T12:15:00,"@HeathrowExpress @LeanInOrg I think I saw ""Miss"" as an option?",709352229644451840
BoonerUK,2016-03-14T12:17:00,"@HeathrowExpress @MuffinThrower I think the point being made was the ""service"" today has been exceptionally poor with no explanations given",709352640514281472
MuffinThrower,2016-03-14T12:28:00,@HeathrowExpress oh how convenient! Let's forget the trouble you've put thousands of west Londoners to then shall we?,709355621200609280
GJPatterson,2016-03-14T12:36:00,@HeathrowExpress Will do! Thank you :),709357453415194625
smokinghawt,2016-03-14T18:13:00,@HeathrowExpress please I would like to travel from terminal 4 to terminal 2. Will I need to pay for this service?,709442365052887040
smokinghawt,2016-03-14T18:24:00,@HeathrowExpress thanks a lot! I can't wait 💃🏾,709445145188507648
RichardWGordon,2016-03-14T18:25:00,"@HeathrowExpress I have two 90 day advance express saver rtn tickets. Both travelled same outbound, but return I came back y'day... 1/2",709445237400276993
RichardWGordon,2016-03-14T18:26:00,@HeathrowExpress ..my friend comes back on 23/2. Can he use his return portion then? Do I send him the email with the bar scan on it?   2/2,709445510487216128
RichardWGordon,2016-03-14T19:39:00,@HeathrowExpress Thanks for the prompt reply!,709463914917007360
YourLocalGP,2016-03-14T21:08:00,"@HeathrowExpress your biz first class service is advertised as having ""priority access to stations and terminals"". What does this mean?",709486344859467776
Drinkspodcast,2016-03-15T06:25:00,@HeathrowExpress everything good this morning? No service disruptions?,709626638875693060
dianneraj,2016-03-15T07:43:00,@HeathrowExpress I bought 2 tickets manually bt was not asked for my heathrow rewards card. How do I add these 2 tickets to my rewards card?,709646128602603520
Mic2904,2016-03-15T08:20:00,@HeathrowExpress hi. Why have I not been offered a return at the machine when accessing Heathrow Express from the Hilton?,709655437617045504
mdoake,2016-03-15T08:33:00,@HeathrowExpress Why was I charged full fare this morning when some trains are still running on Heathrow Connect trains?,709658851101040640
Tmckinnin,2016-03-15T12:37:00,@HeathrowExpress how are u today,709720085242494980
mahtin,2016-03-15T13:12:00,@HeathrowExpress wasn't even close to its usual (overpriced) self today. It's running #HeathrowConnect rolling stock. Not impressed. :(,709729084750692352
_Andy_G_,2016-03-15T13:27:00,"@HeathrowExpress Hi, could you tell me what’s the time of the first train from Paddington this Saturday 19th? confusing info on website!",709732793530630146
SiPosner,2016-03-15T14:02:00,@HeathrowExpress  At 13.14 I booked a ticket via the website for tomorrow.  No email or text yet received.  Does it usually take this long?,709741444613984256
Mic2904,2016-03-15T16:25:00,"@HeathrowExpress had to buy 2 singles and have been advised I need to click on Monthly to see the return option?! Not user friendly, is it?",709777638991204353
MDS_1965,2016-03-15T16:45:00,@HeathrowExpress why did you sell me a first class ticket yesterday at full price but for my return leg are running no first class service ?,709782549757894656
pghouston,2016-03-15T19:55:00,@HeathrowExpress why are you charging full fares again despite not running full Express service?,709830399321575425
pghouston,2016-03-15T19:59:00,"@HeathrowExpress why are you charging full fares for ""alternative"" trains?",709831375520731137
duncanjw,2016-03-15T21:23:00,@HeathrowExpress terminal 5 ticket machines say there are no business first coaches due to a fault but these are running #mixedmessage #fail,709852463885582337
duncanjw,2016-03-16T10:35:00,@HeathrowExpress doesn't help if you normally buy a biz first carnet as it is hit and miss - any idea when this is going to be sorted out?,710051858161770496
xtianh,2016-03-16T10:40:00,@HeathrowExpress question for you - What is 3x 36?,710053139345502208
xtianh,2016-03-16T11:51:00,@HeathrowExpress @xtianh :-). Just wondering why it's more expensive to buy a carnet 6?,710071006208135168
whyemes,2016-03-16T17:40:00,@HeathrowExpress just sent and email(00104415)and was told that my response will be 15 days. My trip is on Monday. Can I get a answer ASAP.,710158754919145473
danbowyer,2016-03-16T20:04:00,@HeathrowExpress ooh blimey don't know. Heathrow T3 to Padd around 930am. But it's consistently slow. I use it monthly. Always poor. Why?,710194958410579973
summit_study,2016-03-17T01:14:00,@HeathrowExpress made a goal with this video with the icon Stephen Fry to welcome arriving passengers to the UK! https://t.co/yUAawdpTPm,710272967456874497
neha_lali,2016-03-17T08:10:00,@HeathrowExpress accidentally bought a single instead of a return. How do I change this?,710377683335696384
BrightBlueVilla,2016-03-17T09:40:00,@HeathrowExpress is service running normally?,710400355339771904
BrightBlueVilla,2016-03-17T09:46:00,@HeathrowExpress thank you for your quck reply,710401827834077184
R_McCormack,2016-03-17T10:40:00,"@HeathrowExpress oh no it was fine, just that being in the countryside in Wales is nicer than your train. Even you'd prefer it.",710415403340709889
SmarthaPlanet,2016-03-17T10:44:00,"@HeathrowExpress : What about this afternoon, at around 3 or 4 pm for trains to Heathrow Airport? #hex",710416576755933184
Mick_Martini,2016-03-17T10:44:00,@HeathrowExpress so are you giving discounts to the passengers that can't get the tube today,710416426834792448
BillysCrystal,2016-03-17T10:53:00,@HeathrowExpress It's 1053. Any idea when the driver will allow us on the 1055 service?,710418744305197057
SmarthaPlanet,2016-03-17T10:57:00,@HeathrowExpress Thank you for that quick response!,710419875982921728
DKWitham26,2016-03-17T11:14:00,"@HeathrowExpress why has the full fare been reinstated when you're still using old Heathrow connect trains, with reduced services??",710424017325445120
DKWitham26,2016-03-17T11:21:00,"@HeathrowExpress no I'm on old H'throw connect train, 11.10 frm Paddington No wi fi, b/class etc so a reduced service but a full fare.....",710425904179236865
Tmckinnin,2016-03-17T12:30:00,@HeathrowExpress how are u today,710443068495892480
Tmckinnin,2016-03-17T13:08:00,@HeathrowExpress am ok hows the wetaher were u are,710452631265742848
Timdavison14,2016-03-17T15:07:00,@HeathrowExpress - I missed the last train from KX last night because of a slow express. departed 10:42 arrived 11:12. that is not express.,710482747085688832
cjconnor24,2016-03-18T08:18:00,@HeathrowExpress thanks NH,710742243959775232
DanielKriegler,2016-03-18T17:37:00,@HeathrowExpress please change your emergency lights in today's 1733 from LHR T2 https://t.co/5mlBxrHDzC,710882840402075648
davidryanowen,2016-03-19T08:40:00,@HeathrowExpress hello. Your website says trains run every 30 mins but doesn't say what times! can you tell me?,711110161428041728
davidryanowen,2016-03-19T08:51:00,"@HeathrowExpress 
Your website definitely says trains every 30 mins (before 10pm) but doesn't give times. Help!

https://t.co/rcuhbHyAeb",711112783618772992
davidryanowen,2016-03-19T10:41:00,"@HeathrowExpress ok great, thanks!",711140514565898240
claudinhasoy,2016-03-20T07:32:00,"@HeathrowExpress í've already bought my ticket to London,do I have to register before I take the train or smt? It's my first time",711455249035354112
secretivegoat,2016-03-20T09:45:00,"@HeathrowExpress hello, are services scheduled to run ok on Weds evening?",711488930168832000
disruptivedean,2016-03-20T13:41:00,@HeathrowExpress Thanks,711548277318131712
moneill,2016-03-20T14:16:00,@HeathrowExpress you CONTINUE to charge customers full fare whilst running different carriages. What is going on?,711556943152869377
paulkirby40,2016-03-20T16:44:00,@HeathrowExpress  https://t.co/ckgwFLhZGd,711594305790599168
londontaxitrade,2016-03-20T17:04:00,@HeathrowExpress cannot beat a London Taxi for comfort or price...door to door service in central London 24hrs a day https://t.co/n1bbxpSvEQ,711599367501824000
HeathowConnect,2016-03-20T17:59:00,@HeathrowExpress Hi is heathrow connect departing from t5 again? Tks,711613258315276289
willie_maykit,2016-03-20T18:59:00,@HeathrowExpress my 90 day pre purchased tix show up as expired in Apple Wallet. Can see in app. Journey doesn't start until 22/3. Thoughts?,711628370849767425
dlogp123,2016-03-20T20:42:00,@HeathrowExpress  do kids 15 y/o's) need to buy tickets when traveling alone?,711654178968510464
HeathowConnect,2016-03-21T07:37:00,"@HeathrowExpress @ldaszynski will you pay compensation for all the "" inconvenience "" you forced on pax?",711819085378686977
mdoake,2016-03-21T08:31:00,@HeathrowExpress Thanks for terminating my train at Heathrow central - making me late for work. Really worth paying extra for #HappyMonday,711832558875648001
mdoake,2016-03-21T08:41:00,@HeathrowExpress It's really not good enough. You pay to get to T5 in 21 mins from Paddington not to get to dumped at Heathrow central,711835010979000320
