screen_name,created_at,text,id
JNJNews,2016-06-06T14:29:00,Why does Johnson &amp; Johnson attend BIO? #PaulStoffels explains: https://t.co/CGTsrdXXXC #BIO2016 https://t.co/1mkoKP6r4f,739826452036759552
JNJNews,2016-06-06T15:09:00,"@gr8magz Thanks for the shout out! An oldie, but a goodie...",739836507859619840
JNJNews,2016-06-06T15:10:00,"@dreamgirlx36 You may be wearing ""superman"" but we think you're a ""SuperMom!""",739836762965585920
JNJNews,2016-06-06T15:23:00,#JNJ welcomes partners from @JAWorldwide and @fhi360 to accelerate work in #WiSTEM2D https://t.co/cuJqPll71Y https://t.co/dd1ZUc9TNh,739840246595133440
JNJNews,2016-06-06T15:31:00,What excites #PaulStoffels about this year's @BIOConvention? Read about it here: https://t.co/Q0xFoqtFuM #BIO2016,739842052050046976
JNJNews,2016-06-06T15:51:00,"""Kids want to change the world, they want to know how they're making an impact."" - Leanne Gluck from @AmericaMakes #WiSTEM2D #JNJ",739847128718147584
JNJNews,2016-06-06T16:06:00,RT @JanssenUS: There’s a lot happening at #ASCO16! How do you stay on top of the latest conference news?,739851057858285568
JNJNews,2016-06-06T16:15:00,#JNJ celebrates scientific #innovation &amp; honors researchers who have made a significant impact on human health with the #DPJAward #BIO2016,739853117697708032
JNJNews,2016-06-06T16:32:00,Daratumumab (DARZALEX®) Combination Therapy Significantly Extended Progression-Free Survival In Previously Treated https://t.co/aMy8MRp1Fa,739857616864743425
JNJCares,2016-06-06T17:37:00,@my_nameis_dan Our prices are set by the retailers in your area. You can learn more about product pricing near you by calling 01344 864042.,739873751278489600
JNJNews,2016-06-06T17:39:00,"@robsamuel2k11 Thanks for reaching out! We would like to learn more about this. Please give us a call at 1-866-565-2229 Mon-Fri, 9am-7pm ET.",739874255580585984
JNJCares,2016-06-06T17:43:00,"""I come from a long line of strong women."" What @JennaBushHager learned from mom @laurawbush: https://t.co/G0IC4tmuEb #JNJ #GlobalMoms",739875425430704129
JNJNews,2016-06-06T19:54:00,We are honored to be named @barronsonline's Most Respected Company of 2016!  https://t.co/kSj7kBiEMT #JNJ,739908291845849089
JNJCares,2016-06-06T20:09:00,We are honored to be named @barronsonline's Most Respected Company of 2016!  https://t.co/aDuDLqzZjx #JNJ,739912141587808256
JNJNews,2016-06-06T20:45:00,#Dementia affects 47mil! Can adaptive clinical trials help? #PaulStoffels @alzassociation &amp; others explore #BIO2016 https://t.co/POwNuJlfXM,739921067108618240
JNJNews,2016-06-06T21:42:00,"We are honored to be recognized as a 2016 Champion of
Supplier Diversity by @MBNUSA https://t.co/afA378I1w4 #JNJ https://t.co/LL1hS7jrHW",739935620450156545
JNJNews,2016-06-06T21:58:00,@mikeloucas Thanks for the suggestion! We'll pass your idea along to our internal teams for their review.,739939441951789057
JNJNews,2016-06-06T22:00:00,#Janssen Expands Body of Evidence for INVOKANA® (canagliflozin) with 18 New Data Presentations https://t.co/kN1jqojajw,739939927987785728
JNJNews,2016-06-07T13:17:00,RT @JanssenUS: 3 days until we head to #NOLA for #2016ADA. Excited to present new data to help improve #diabetes management https://t.co/o4…,740170813056425984
JNJCares,2016-06-07T13:37:00,"It Took Seeing My Infant Daughter in a NICU, to Understand https://t.co/4J8r8bT9of #GlobalMoms #JNJ https://t.co/p4dodNCNyt",740175837031485440
JNJCares,2016-06-07T13:48:00,RT @LoriLindsey6: Amazing first day as the keynote speaker for @JNJCares Open &amp; Out event. Already excited for tomorrow. https://t.co/sFXG7…,740178718505635840
JNJCares,2016-06-07T13:49:00,RT @dosomething: Make birthday cards with us and @JNJCares for children experiencing homelessness.🎈 https://t.co/OABtGW1Adu https://t.co/e7…,740178939394461700
JNJCares,2016-06-07T14:10:00,"@FullStriedAhead Thanks for reaching out to us! We want to clarify, were you cut or otherwise injured while opening one of our products?",740184047872266241
JNJCares,2016-06-07T14:11:00,@Pooly_ Thanks for letting us know just how much you miss it! We will make sure to let our teams know.,740184299970924544
JNJNews,2016-06-07T15:45:00,Good Morning! Follow #BIO2016 to see what @JanssenGlobal @JNJInnovation are up to in San Francisco this week.,740207971683209216
JNJCares,2016-06-07T16:18:00,@NastassiaRX Thanks for reaching out to us! We would recommend talking to your doctor if you have concerns about taking any medication.,740216257941803008
JNJNews,2016-06-07T17:28:00,@suzy_benic We are sorry to hear this happened. This is not typical! Please contact us at:1-800-361-8068 so we may learn more about this!,740233874257678337
JNJNews,2016-06-07T18:20:00,The Dr. Paul Janssen Award Winner will be announced tomorrow! More info: https://t.co/nQ6ylhrJVN #DPJAward #BIO2016 https://t.co/TQtguyX21n,740246968224604160
JNJNews,2016-06-07T19:56:00,@kwestrichard We are phasing out the use of microbeads in our personal care products &amp; conducting environmental assessments of alternatives.,740271119719075842
JNJNews,2016-06-07T19:56:00,"@SnacksonApp Hello. Can you please follow us, so we can discuss this via DM? Thank you.",740271120004222976
JNJNews,2016-06-08T13:34:00,"On 6/14, @WhiteHouse will host the inaugural United #StateofWomen Summit to rally together, celebrate &amp; look ahead https://t.co/xxrIB1dL6U",740537523684945920
JNJCares,2016-06-08T14:35:00,"@RNC_OB  Go to this link: https://t.co/98mWeXXV9D. Select ""other"" for your email subject &amp; use space provided for specifics of your request.",740552726401187840
JNJCares,2016-06-08T16:10:00,"According to @UNICEF, 458K Ethiopian children will need treatment for severe malnutrition in 2016 https://t.co/ekezdGs9Lo #GlobalMoms #JNJ",740576693371437056
JNJNews,2016-06-08T17:15:00,Today: #JNJ CMO #JoanneWaldstreicher will discuss #CompassionateUse. #BIO2016 https://t.co/RNezzL0fFK https://t.co/HZgX7ifur1,740593002054307841
JNJCares,2016-06-08T18:49:00,@RoTierneyCrowe We have many products in many different countries and they may differ based on consumer preferences.,740616647745122304
JNJNews,2016-06-08T18:56:00,@kieffben Thanks for the feedback! Could you help us out by telling us what product this is?,740618409063354368
JNJCares,2016-06-08T18:56:00,@IzzyTalks Thank you for the shout out!,740618410019704832
JNJCares,2016-06-08T18:59:00,@xJessCarx91 We are sorry to hear of this! This is not typical. Please send us a direct message with your email address so that we can chat.,740619165044772864
JNJNews,2016-06-08T18:59:00,"@NedaAmidi Thanks so much, we're glad you stopped by.",740619166319841280
JNJNews,2016-06-08T19:00:00,@ambrosefilms We have many different products in many different countries. Our specialists in your area can help out. Call: 01344 416190,740619417613144064
JNJNews,2016-06-08T19:00:00,"Ready for seismic shifts in life sci? Hear #PaulStoffels #BillHait @SeemaJJIC at ""Execs Unplugged"" #BIO2016 #BIONIC https://t.co/WDW8lpCpMA",740619440274968576
JNJNews,2016-06-08T19:00:00,@esclad Thank you for contacting us! We are sorry to hear this. Please send us a direct message with your email address so that we can chat.,740619418892390400
JNJNews,2016-06-08T19:06:00,"@sagarikaramana, Hi there, how can we help you?",740620930716688384
JNJNews,2016-06-08T19:38:00,"We are proud to announce that Alex Gorsky is a Top 50 Highest Rated CEO, according to @Glassdoor https://t.co/ImeiORxWL3 #JNJ",740629144195739648
JNJNews,2016-06-08T20:55:00,New Janssen Phase 3 Data in Patients with Moderately to Severely Active Rheumatoid Arthritis https://t.co/dyzEJDPIBw,740648448828002304
JNJNews,2016-06-08T23:03:00,"ICYMI: #JNJ's @Urban_RG discusses innovation of optionality and its utility for sellers, consumers and innovators. https://t.co/m0AU5SW7H7",740680576215207936
JNJNews,2016-06-09T13:21:00,"Yoshinori Ohsumi, Ph.D., Wins 2016 Dr. Paul Janssen Award for Biomedical Research https://t.co/KazajIZmQX",740896631227310080
JNJCares,2016-06-09T13:24:00,@FullStriedAhead Thanks for reaching out again! It is not typical to have seal difficulties. DM us so that we may learn more about this.,740897247194427392
JNJCares,2016-06-09T13:26:00,@dschorrnyc Our baby powder is safe to use and the health of you and your family is our priority. Learn more: https://t.co/lRIfywKDmz.,740897752188628992
JNJNews,2016-06-09T14:00:00,Learn about this year's #DPJAward winner &amp; how his research on autophagy has impacted the way we look at diseases https://t.co/BOydYDVKM0,740906327455719424
JNJCares,2016-06-09T14:31:00,Thank you actress @NiaLong for taking a stand for safe &amp; healthy children. https://t.co/1nzj2gUmo4 #GlobalMoms #JNJ https://t.co/EPXtkB3vUE,740914308612280321
JNJCares,2016-06-09T16:15:00,RT @JNJGlobalHealth: #JNJ is mobilizing resources and expertise to help prevent another #Ebola outbreak. Here’s how: https://t.co/XAUCwnEQ6…,740940285111336960
JNJCares,2016-06-09T17:59:00,Thanks to YOU we blew through the #GlobalMoms goal of $405K! #JNJ is raising it to $500K - https://t.co/ZQNs7f4O75. https://t.co/EpfVDA8lZN,740966657288331264
JNJNews,2016-06-09T21:40:00,"@kieffben  We would love to assist! Please send us a DM with your email address, so that we may help get you answers from our French Teams.",741022072135094272
JNJCares,2016-06-09T21:41:00,@RoTierneyCrowe Great question! Please call the specialists in your area to better assist you. Contact them at: 01800 220044! Thanks again!,741022323252269057
JNJNews,2016-06-10T11:04:00,We are excited to be among the top 10 companies that US millennials trust the most! https://t.co/czUjS5YFuq #Under30 #JNJ,741224557537861632
JNJNews,2016-06-10T16:16:00,Daratumumab Significantly Extended Progression-Free Survival in Combination with Lenalidomide and Dexamethasone https://t.co/SFvytWY81r,741302923691462656
JNJNews,2016-06-10T16:59:00,#JNJ joins #GHIT Fund in partnership to expand in R&amp;D for neglected diseases that afflict the world's poorest https://t.co/QTKamhOYNd,741313973908307972
JNJCares,2016-06-10T17:53:00,"#JNJ is proud to be among the top 10 brands who do good, per the @helloenso  Brand #WorldValue Index https://t.co/Ijf4s4OIEi",741327349325651972
JNJNews,2016-06-10T18:22:00,"@SagarikaRamana Go here: https://t.co/8GEKYJOniL. Select ""other"" for your email subject &amp; provide the specifics of your request. Thanks.",741334634169040900
JNJNews,2016-06-10T18:25:00,@mandaestelle We're sorry to hear your bandages are tough to open. We'd like to learn more. Contact us at 1-866-565-2873 so we can chat.,741335383020044289
JNJCares,2016-06-10T18:26:00,"@letuba85 Thanks! We don’t have a timeline of when to expect diapers, but can assure you your comments will be seen by our marketing team!",741335635064160261
JNJCares,2016-06-10T18:26:00,"@Appljax74 Great Question! We wouldn’t expect it to stink at all! Contact us at, 1-877-754-6411 Mon.-Fri. 9am-7pm (EST), to chat more.",741335634384719873
JNJNews,2016-06-10T20:46:00,#WhatsInnovation: 4k years ago it took months to return items. The method's changed - the concept hasn't @Urban_RG https://t.co/2fFoLg5mCj,741370871764422656
JNJCares,2016-06-12T01:09:00,@RoTierneyCrowe  The ingredients vary depending on consumer preferences. The care center nearest you will have the most up to date info.,741799443779964928
JNJNews,2016-06-12T01:10:00,"@LadieeDoll Yes, we promise you our baby powder is safe to use. It has gone through strict testing to ensure it is of the highest quality.",741799697023655942
JNJCares,2016-06-13T00:45:00,@cazort We have already started to phase out microbeads! They will be completely removed by 2017. For more info: https://t.co/eyFdUkuVpZ.,742155789742297088
JNJNews,2016-06-13T00:45:00,@pinkperlz Hello! You can contact your local J&amp;J Consumer Care Center here: crc@its.jnj.com or you can call direct: 01344 416190. Thanks!,742155788509171712
JNJNews,2016-06-13T00:46:00,@kwestrichard We've already started phasing them out and will eliminate the use of microbeads in our products by the end of 2017.,742156043149533184
JNJCares,2016-06-13T13:27:00,"RT @JNJGlobalHealth: ""Women face intersectional burdens of #HIV &amp; gender inequality."" Addressing #socialdeterminants for #AIDSFreeGen: http…",742347755692142592
JNJNews,2016-06-13T14:15:00,RT @JanssenUS: Planning a trip? Follow the #JointDecisions Twitter chat with @titaniumtri &amp; @CreakyJoints to help prepare on 6/14 @ 6 pm ET.,742359766639448065
JNJCares,2016-06-13T14:31:00,From One #Refugee to Many Others: You Have Not Been Forgotten https://t.co/CAim5aA4tG #GlobalMoms #JNJ,742363800578494464
JNJNews,2016-06-13T15:27:00,New Phase 2 Proof-of-Concept Study Shows Canagliflozin Combination Therapy May Support Chronic Weight Management https://t.co/JgkbSq8Ayd,742377793405767681
JNJNews,2016-06-13T16:01:00,Janssen Presents New Data Showing INVOKANA® (canagliflozin) is Associated with Greater Blood Glucose Control... https://t.co/7DAm3JxG8g,742386317233950720
JNJNews,2016-06-13T16:35:00,Study presented at #2016ADA shows &gt;50% of ppl w #diabetes using @OneTouch Via reported fewer missed insulin doses https://t.co/6sOZsM6Kmi,742394870413856769
JNJCares,2016-06-13T18:26:00,@rachelpalarm We would recommend talking to your doctor to get their recommendation.,742422799466270721
JNJNews,2016-06-13T18:26:00,@MonkeyleeVl Thanks for reaching out! You can get the most up-to-date information by calling the care center nearest you at  01344 416190.,742422799684382720
JNJNews,2016-06-13T18:27:00,@mulironico Daughter of Zeus is in her invisible jet saving the world! The Justice League is posing for a picture. Who's the real hero,742423051611086848
JNJCares,2016-06-13T18:27:00,@GlenBrown15  Thank you for that great feedback! This is true. We will pass this along to the appropriate team. Thanks again!,742423053032919041
JNJNews,2016-06-14T11:18:00,"NOW: @vj44 and CEO Alex Gorsky live on @BloombergTV, discussing the #StateOfWomen https://t.co/Spcafii87c",742677558194475009
JNJNews,2016-06-14T11:37:00,"To retain the best talent, you need to have progressive benefits. It's good business and it's the right thing to do. - Gorsky #StateOfWomen",742682425046749184
JNJNews,2016-06-14T11:55:00,Today we celebrate the medical technology that follows you from before you are born until old age. Join the conversation #MedTechWeek,742686792822980608
JNJCares,2016-06-14T13:25:00,RT @MenCareGlobal: Starting soon! Launch of 1st #AmericasDads report with @Promundo_US @FatherlyHQ @JNJCares. Watch live here: https://t.co…,742709575581859840
JNJCares,2016-06-14T13:46:00,Today we're joining policy makers &amp; shakers @ the State of America's Fathers Summit. Follow along to join the conversation on #AmericanDads.,742714751025872896
JNJCares,2016-06-14T13:52:00,We’re proud to support @Promundo_US in launching their first ever report on #AmericanDads ahead of #FathersDay: https://t.co/c3OROia9se.,742716336846045184
JNJNews,2016-06-14T14:01:00,In Support of Moms &amp; Dads: #JNJ to Attend Women's and Father's Summits Today https://t.co/9NY0RvwuoB #StateOfWomen #AmericasDads,742718710905982976
JNJCares,2016-06-14T14:02:00,Discussing the state of #AmericanDads with @Promundo_US @FatherlyHQ @MenCareGlobal &amp; more @PaleyCenter. What does #fatherhood mean to you?,742718943203368960
JNJCares,2016-06-14T14:14:00,We're attending Women's &amp; Father's Summits today in support of moms &amp; dads everywhere: https://t.co/A0wdfbDfC3. #StateOfWomen #AmericasDads,742721809292886016
JNJNews,2016-06-14T14:30:00,Focusing on purpose rather than just profits is not a challenge for #JNJ - it's ingrained in who we are. #FortuneMPW @FortuneMPW,742725808477835264
JNJCares,2016-06-14T14:30:00,"""#AmericanDads have increased the time they spend w/ their children during the workday by 65% over the past 30 years."" - @Promundo_US CEO",742725781659385856
JNJNews,2016-06-14T15:00:00,"Through our procurement at #JNJ, we must use our size to influence other companies' actions for good. #FortuneMPW @FortuneMPW",742733363388239873
JNJCares,2016-06-14T15:02:00,"""Dream big, then after that, dream even bigger."" - Poet @J_Ivy on the future of #AmericanDads",742733982186504192
JNJCares,2016-06-14T15:14:00,RT @CityDadsGroup: Speaking truths we #CityDads hold dear. Thank you @Allan_Houston @FatherlyHQ @JNJCares &amp; @Promundo_US. #AmericasDads htt…,742737103075807232
JNJNews,2016-06-14T15:40:00,"Margarida Neves, Michelle Brennan, Jane Griffiths and Sandra Rasche are ready to enjoy #FortuneMPW! @FortuneMPW https://t.co/8qdduEPU7o",742743421832548352
JNJCares,2016-06-14T15:41:00,Racing to the finish of #GlobalMomsRelay discussing #AmericasDads! Donate &amp; share your wish for every child here: https://t.co/3x2BEeQgZR .,742743895621017603
JNJCares,2016-06-14T15:43:00,#AmericasDads are evolving &amp; so our thinking on American families must too. Join the conversation via livestream: https://t.co/a36nQ00BtX.,742744284403802112
JNJCares,2016-06-14T16:00:00,"RT @MenCareGlobal: ""We need to change the narrative about what fathers are in this country"" –Joe Jones from @CFUF_Baltimore at #AmericasDad…",742748629203582976
JNJCares,2016-06-14T16:00:00,"""Children need our unconditional love...when life is easy &amp; when life is tough."" - @POTUS via @CFUF_Baltimore @ #AmericasDads",742748505060605952
JNJCares,2016-06-14T16:02:00,"RT @GetConnectDad: #AmericasDads Powerful stories to change the way we think on fatherhood 

@Promundo_US https://t.co/Y7agWButyN",742749175725559808
JNJCares,2016-06-14T16:11:00,@kamwaters You can find our products at a store near you with this: https://t.co/7mgfRKf0MP. We hope our shampoo finds its way to you soon!,742751212387348480
JNJCares,2016-06-14T16:12:00,"""In the U.S. just 13% of workers have paid family leave.""-@VShabo VP of @NPWF #AmericasDads",742751560778842112
JNJCares,2016-06-14T16:17:00,#JNJ is committed to supporting every kind of family. See more about our family policies here: https://t.co/M7Aw1NXdx3. #AmericasDads,742752909188845568
JNJCares,2016-06-14T16:18:00,RT @CityDadsGroup: Cheers @JNJCares and @PlumOrganics for taking the lead on gender neutral paid family leave #AmericasDads #CityDads,742753094979756032
JNJCares,2016-06-14T16:25:00,"""At #JnJ we've taken a comprehensive approach on what it means to be a family w/ our family benefits.""-#JnJ's Michael Sneed #AmericasDads",742754775771516928
JNJCares,2016-06-14T16:32:00,"""A father came to me &amp; said 'I'd like to spend the summer with my kids' and I said 'of course'.""- #JnJ's Manoj Raghunandanan #AmericanDads",742756538692083712
JNJCares,2016-06-14T16:34:00,"""#JnJ allowed me a moment to stop &amp; think about what my family means to me &amp; I'm so grateful for that."" -Manoj Raghunandanan #AmericasDads",742757126674714624
JNJCares,2016-06-14T16:38:00,RT @Promundo_US: Manoj Raghunandanan speaks about importance of companies like @JNJCares providing paid #parentalleave. #AmericasDads https…,742758086562177024
JNJCares,2016-06-14T16:46:00,Amazing stories today on #AmericasDads! #JnJ is committed to continuing the conversation &amp; providing the best benefits for all our families.,742760054202470400
JNJCares,2016-06-14T16:48:00,RT @mrspitts_17: Great J&amp;J leader sharing on work life balance for fathers.  Even greater father. #jnj #americasdads https://t.co/jS3TplO8h7,742760523075321856
JNJCares,2016-06-14T17:06:00,We’re thrilled our family benefits extend to adoption. See #JnJ employee Paul Scoggins &amp; his husband Andrew’s story https://t.co/4e898Bmzd5.,742765103188152320
JNJNews,2016-06-14T18:31:00,"Jane Griffiths, on her strong sense of responsibility. #FortuneMPW @FortuneMPW https://t.co/S0ZFe0ba45",742786601248563200
JNJCares,2016-06-14T18:47:00,NBA star @ATolliver44 believes no child should die from a mosquito bite. https://t.co/PV5X4LPCam  #GlobalMoms #JNJ @nothingbutnets,742790474763800576
JNJNews,2016-06-14T18:56:00,"""Today, more than 20 companies, including Johnson &amp; Johnson, are signing the Equal Pay Pledge."" - @vj44 https://t.co/W5VIOOG6Ks #JNJ",742792946244845568
JNJNews,2016-06-14T19:19:00,"@chatterboxpro Go here: https://t.co/rBDbstZbn4. Select ""other"" for your email subject &amp; use space provided for specifics of your request.",742798526061654016
JNJNews,2016-06-14T19:37:00,ICYMI: CEO Gorsky and @vj44 appeared on @BloombergTV this morning to discuss #StateOfWomen https://t.co/4rTUdmmOe4 https://t.co/TnjbQ13F9K,742803102429020161
JNJNews,2016-06-14T19:54:00,#JNJ CEO Alex Gorsky has taken the stage at the #StateOfWomen summit. Stay tuned for our live-tweet coverage! https://t.co/MuYWnHnXG4,742807389037072384
JNJNews,2016-06-14T19:55:00,#JNJ CEO Alex Gorsky on our commitment to women employees.  #StateOfWomen https://t.co/stjqy0HHjt,742807805581787136
JNJNews,2016-06-14T19:55:00,"In the 130 years since #JNJ's founding, we've seen a lot of change: in science, tech, products, med research &amp; more. - Gorsky #StateOfWomen",742807666041466880
JNJNews,2016-06-14T19:56:00,"In 1886, most women didn't work outside the home, but more than half of our #JNJ employees were women. - Gorsky #StateOfWomen",742807891502108672
JNJNews,2016-06-14T19:56:00,"Women hold 43% of manager and executive positions combined at #JNJ, and represent 30% of our Board of Directors. - Gorsky #StateOfWomen",742808002302869505
JNJNews,2016-06-14T19:57:00,"While I am very proud of both our history and present, I am not satisfied. We must push ourselves to do more. - Gorsky #StateOfWomen",742808079373373440
JNJNews,2016-06-14T19:57:00,"Watch our video, featuring Dr. Seina Lee, on the importance of #JNJ's family leave. #StateOfWomen  https://t.co/lsyTP3g942",742808252015095810
JNJNews,2016-06-14T20:00:00,"""I am not going to let motherhood penalize my career."" - Dr. Seina Lee #StateOfWomen #JNJ https://t.co/rBZqmMABsr",742808847761473536
JNJNews,2016-06-14T20:02:00,"Hearing Seina's story, I am so overcome with emotion. There are so many more incredible stories like hers at #JNJ - Gorsky #StateOfWomen",742809380912005120
JNJNews,2016-06-14T20:05:00,"We take care of our people &amp; they take care of us, so #JNJ can help everyone live longer, healthier, happier lives. - Gorsky #StateOfWomen",742810207181524992
JNJNews,2016-06-14T21:01:00,"""Today is about standing with @POTUS &amp; other leaders to discuss how to advance women's issues and better support families."" - Peter Fasolo",742824198419193856
JNJNews,2016-06-14T21:50:00,"ICYMI: Peter Fasolo, Valerie Jarrett @vj44, and #JNJ CEO Alex Gorsky at the #StateOfWomen Summit today. https://t.co/ZADtrW9AMd",742836704130805760
JNJNews,2016-06-15T00:02:00,We are so glad to have been part of today's #StateOfWomen Summit. Thank you to all who followed along with #JNJ! https://t.co/gIiZOLLLxw,742869981017346048
JNJNews,2016-06-15T12:05:00,Meet the future healthcare leaders: The @healthparl closing ceremony will take place on June 29 at the European Parliament. #MedTechWeek,743051695136112640
JNJCares,2016-06-15T14:41:00,"RT @JNJGlobalHealth: Ahead of #AIDS2016, read, explore and act on ways to #EndHIV4Her through our new InFocus newsletter. https://t.co/Gl7G…",743091022155108356
JNJCares,2016-06-15T18:01:00,"@MayaWinslow As you can imagine, we’ve already received a large volume of partnership requests but we will keep this in mind for the future!",743141352964300800
JNJCares,2016-06-15T22:00:00,@frenchtron  You can sign up: https://t.co/fXEOw8KFKq  for coupons &amp; offers on all J&amp;J brands. We appreciate your loyalty to our products!,743201440726978560
JNJCares,2016-06-16T16:54:00,The ABCs and 123s of Smart Summer Skin Care https://t.co/AT6szPmDqt #SpotSkinCancer #JNJ,743487002067206144
JNJNews,2016-06-16T17:10:00,"ICYMI: The State Of America's Dads Is Complicated, according to new report https://t.co/PpfAaHBhbt @FatherlyHQ @MenCareGlobal @Promundo_US",743490840023138305
JNJCares,2016-06-16T17:16:00,"RT @GlobalMomsChall: Join us on 6/17 at 11am ET to discuss key moments for #GlobalMoms this month, including #WD2016 #AmericasDads. #JNJ ht…",743492451042656256
