screen_name,created_at,text,id
josesaizmonzon,2016-06-14T08:09:00,"@LVMH, @KeringGroup , #Richemont? Where to Place Your Bets. https://t.co/pxibD1IpfD @BoF #luxury #luxurymarket #investments",742630045513068544
fizz_show,2016-06-14T08:40:00,"@LVMH Associate Professorship in #Fashion and #LuxuryManagement alla @Unibocconi https://t.co/PoIxqniETR
#bocconi",742637897887715328
LVMH,2016-06-14T17:17:00,Two of the LVMH mentorees landed in New York to meet @solarimpulse teams! #Si2 #futureisclean https://t.co/IoXYZpTfCS,742767985715216384
LVMH,2016-06-14T17:24:00,Private meeting between @andreborschberg and one of the LVMH mentorees #SI2 #NYC  #futureisclean https://t.co/yyXCyObt35,742769605102440448
LVMH,2016-06-14T18:04:00,.@bertrandpiccard and @andreborschberg sharing their experience with @moethennessy and LVMH teams # futureisclean https://t.co/EggNb339z6,742779873219993600
greenpaperworks,2016-06-15T15:41:00,@LVMH we may have a #solution for your #greenfund which is #greenpaper made from the waste you generate @IKEA @FollowCII @BClimateSummit #go,743106164192378880
EventopediaUK,2016-06-15T17:31:00,@lvmh Congrats! You are ranked #72 brand https://t.co/BpUleKfutf on this week's The Eventopedia Brands Power 80.,743133782392344576
RenatoCasanova,2016-06-16T09:20:00,@LVMH embraces pioneering spirit in Solar Impulse mentoring effort https://t.co/KKtau944CC https://t.co/XwBbk9zc34,743372725838819329
mentoringrocks,2016-06-16T10:21:00,"@LVMH Celebrate - National Mentoring Day this October 27th 2016 https://t.co/cv4kUwK3px 
 #nationalmentoringday  #27thOctober2016",743387988067921921
LEGSTICKHosiery,2016-06-16T13:22:00,@LVMH Thank you for following,743433446349934592
LVMH,2016-06-17T13:42:00,"Une journée inédite autour du dynamisme, de la polyvalence, de l'esprit d’équipe et du partage d'expérience. 2/3 https://t.co/dnDJSxdQzV",743801092870385664
LVMH,2016-06-17T13:43:00,Découvrez les offres Conseillers de vente Client Advisor de l'IME 2016 sur notre site &gt; https://t.co/X7KCycuans 3/3 https://t.co/I2YmT55h1A,743801334655291392
t0rv1c,2016-06-17T15:53:00,@LVMH @TAGHeuer more than 10 weeks for 400 EUR regular maintenance service on a watch 2700 EUR watch (DR-16-003108). Enough bullshit!!!,743833869066080256
JeksonR,2016-06-18T18:21:00,@LVMH @Hublot @r_rguadalupe two great player,744233670446178304
liscrisprod,2016-06-20T07:21:00,"@LVMH @Seydoux_Lea @wales_bonner @TWNGhesquiere @Carol_Humberto 
""Try Me"" - Esther Phillips 
https://t.co/Wk5C5iqIhD #brandedcontent #SEO",744792164677259265
INFUR_MAGAZINE,2016-06-20T08:39:00,"@LVMH GRADUATE PRIZE - The winner is #FrancescaRichiardi, Talent 2016, from Academy...https://t.co/5BekCwechU https://t.co/cIgcT2xevs",744812017236664320
INFUR_MAGAZINE,2016-06-20T09:06:00,"@LVMH GRADUATE PRIZE - The winner is #FrancescaRichiardi, Talent 2016, from Academy...https://t.co/5BekCwechU #fendi https://t.co/aT8rOon7No",744818740693372928
INFUR_MAGAZINE,2016-06-20T09:07:00,"@LVMH GRADUATE PRIZE - The winner is #FrancescaRichiardi, Talent 2016 https://t.co/5BekCwechU #karllagerfeld #fendi https://t.co/3FBvfb1OOg",744818964828557312
ClaraMorien,2016-06-20T11:15:00,@LVMH Pensez vous que la presse de mode est en passe de devenir un support d'exception? #mémoire #avancéedudigital #question,744851134322475009
liscrisprod,2016-06-20T13:42:00,"@LVMH ""Wildfire""
https://t.co/JHsQhhcLCe
#SocialMediaMarketing #SEO @HavasWWParis @Cannes_Lions @BoF @WSJ #fashion @wwd #brandedcontent #VR",744888165605867520
MillwardBrownFR,2016-06-20T15:09:00,"@LVMH,@Hermes_Paris,@CHANEL en tête des entreprises qui attirent/fidélisent les talents en Fr #LinkedInTopAttractors https://t.co/axmZmsbeiq",744909978767659008
LVMH,2016-06-20T15:37:00,Une journée en Champagne autour d'Eric Lebel (Chef de cave @Krug) et Christophe Bonnefond (Chef de cave Mercier). https://t.co/uD5kcsZWWs,744917011428433920
Avinashreddy_Ko,2016-06-21T10:01:00,"@LVMH invests  $600,000 in Mumbai-based menswear brand @Herringbone&amp;Sui 
https://t.co/DX4kBZmxjL",745194812148617216
AnnaKatis1,2016-06-21T17:28:00,"@LVMH 
Fresh / Marc Jacobs",745307393492291584
IamCarolinaKing,2016-06-21T20:29:00,@LVMH  🍷🍶☕ @MONEY @Cinnabon  @ChipotleUK  | @GODIVA  @Visa 💯🆓💖 @PulitzerPrize  @goodhealth   @MercedesAMG @Snapchat https://t.co/UWHYAwRhwN,745353090547781632
iAmCarolinaKing,2016-06-21T20:29:00,@LVMH  🍷🍶☕ @MONEY @Cinnabon  @ChipotleUK  | @GODIVA  @Visa 💯🆓💖 @PulitzerPrize  @goodhealth   @MercedesAMG @Snapchat https://t.co/UWHYAwRhwN,745353090547781632
lenomdunsaint,2016-06-21T21:17:00,@LVMH a pas surenchéri sur le rachat de @Balmain car ils sont persuadés que la maison ne survivra pas au départ d’Olivier Rousteing,745365021132230657
world1consult,2016-06-22T08:48:00,@LVMH Backed Asia Private Equity Fund Sued by Fired Executive https://t.co/tyWE2jpP9u @LouisVuitton @jonesthegrocer #business,745538829730209797
theonlyolive,2016-06-22T11:47:00,@LVMH @MoetHennessy @HardysWineUK @WineFolly @wisewithwaste @IKEA Great idea for #greenfund #csr #packaging #paper https://t.co/3PVawfJupE,745583934054993920
PIGIERPerf,2016-06-23T08:45:00,@LVMH reste l'entreprise préférée des étudiants https://t.co/VTQKzK27cc,745900610885562368
Relatorio,2016-06-23T15:27:00,@LVMH #Dior a mais no Brasil!! https://t.co/InKb7r5yx2,746001747823427584
EventopediaUK,2016-06-23T20:00:00,@lvmh Congrats! You are ranked #72 brand https://t.co/BpUleKfutf on this week's The Eventopedia Brands Power 80.,746070547470123008
Manuel_MC,2016-06-24T08:29:00,@LVMH et nous nous sommes penchés sur les universités et les écoles qui permettent d'intégrer votre entreprise : https://t.co/MenuA6hbA3,746259006574952448
eprretailnews,2016-06-24T09:25:00,"@LVMH Group partner of #VivaTechnology, June 30 to July 2 in #Paris https://t.co/FqPGUU2C9R",746273060831920128
AnnaKatis1,2016-06-24T12:36:00,"@LVMH 
LVMH / Marc Jacobs",746321189014953984
ch_marier,2016-06-25T11:28:00,@LVMH @Sephora @VivaTech #MBAMCI,746666422797991937
AnnaKatis1,2016-06-26T17:40:00,"@LVMH @LouisVuitton @Dior 
Dior / Design",747122278765211648
AnnaKatis1,2016-06-27T06:40:00,"@LVMH 
LVMH / Says",747318627083255809
TCGroup_IT,2016-06-27T10:30:00,"@LVMH investe su @HerringboneSui 
#retail #italia
https://t.co/xneLtoPcZR",747376507245502464
lenomdunsaint,2016-06-27T14:44:00,@LVMH invests in menswear brand Herringbone &amp; Sui https://t.co/p4UgAvCfUR,747440481169182720
AnnaKatis1,2016-06-28T12:43:00,"@LVMH 
Julia / Dior",747772465393205248
frederictaillan,2016-06-28T14:38:00,@LVMH #Krug: la référence mondiale des champagnes Prémium de luxe.,747801330048196608
Entrupy,2016-06-28T14:53:00,@LVMH Likewise!,747805058016878592
Hubmode,2016-06-28T15:30:00,@LVMH @VivaTech nous on fait des Moocs pour former les entreprises Mode et Luxe.,747814390209052672
blandinemouren,2016-06-28T18:43:00,@LVMH @Bright #art  will be @VivaTech https://t.co/rZs4EqlZg8,747863071650123776
lanvin_romain,2016-06-28T20:10:00,@LVMH @FondationLV Pierre-Romain LANVIN design https://t.co/3AgU6So5ij,747884842566680580
AnnaKatis1,2016-06-29T02:34:00,"@LVMH 
LVMH / Says",747981581688549376
CharlesdoPrado,2016-06-29T03:39:00,@LVMH a Dream Company to Work For... https://t.co/67RJNAbL5T,747997868401770497
EventopediaUK,2016-06-29T12:10:00,@lvmh Congrats! You are ranked #72 brand https://t.co/BpUleKfutf on this week's The Eventopedia Brands Power 80.,748126579914608640
lenomdunsaint,2016-06-29T12:39:00,@LVMH you know they have their own Twitter accounts ? cc @pyroussel @iancr,748133678476328960
mobilead,2016-06-29T15:12:00,@LVMH @iancr @VivaTech Looking forward to seeing you where #startups #innovations meets #LVMH houses products and business needs. #LVMHtech,748172414371106816
SabrinaDer,2016-06-29T20:25:00,@LVMH opens Luxury Lab #digitaltransfo https://t.co/ViI7efr1ha,748250994165882880
linda__Fel,2016-06-30T05:35:00,@LVMH @iancr @VivaTech great!!!,748389509960765440
nishhmishh,2016-06-30T07:56:00,@LVMH @iancr @VivaTech So exciting!,748425073623654400
nishhmishh,2016-06-30T07:57:00,@LVMH @iancr @VivaTech Looking forward to the results of the event!,748425189046640640
LVMH,2016-06-30T08:23:00,Sorry for audio problem...! 2d part is better ;-),748431740713172992
LVMH,2016-06-30T08:24:00,https://t.co/DCLrCxDrZx,748432026605395968
