screen_name,created_at,text,id
Lucytanner17,2016-03-17T09:15:00,@AskLloydsBank  I have message you back please can I have a response,710394074864459777
grahams99,2016-03-17T10:04:00,@AskLloydsBank Your esavings account pays 0.25% interest. Overdrafts (including authorised) cost 19.54% - a spread of over 19%/ Why??,710406534686240769
kaifan82,2016-03-17T10:35:00,@AskLloydsBank trying to track down the free shares I received when Lloyds Merged with TSB - have lost my paperwork - can you help? Thanks,710414303682273280
uggs__,2016-03-17T11:01:00,@AskLloydsBank when putting in a claim for a accident I don't expect to be given the runaround spent most of the morning on the phone!,710420809458786304
Ife_Baddo,2016-03-17T12:02:00,@AskLloydsBank ive been kept on hold for 45minutes now 🙄,710436223236632577
NjohansenN,2016-03-17T12:11:00,@AskLloydsBank not impressed with 1 cashier on in a busy town centre bank! 15 minutes stood waiting....... 😡,710438370426687488
Ife_Baddo,2016-03-17T12:57:00,"@AskLloydsBank called customer service number beginning in 01, I'm really not happy with lloyds atm",710449955517947904
TGarner93,2016-03-17T13:39:00,@AskLloydsBank thankyou I've received much better customer service and the issue has been resolved :) #HappyCustomer,710460502904840192
ChrisDickson16,2016-03-17T13:59:00,@AskLloydsBank Tried Chrome and IE 11 same error message... I will be able to try my phone later.,710465596610256897
TomHughesMclure,2016-03-17T14:54:00,@AskLloydsBank Well I'm still waiting for a replacement debit card - but it's being forwarded from a different address. 🕗🕠🕜🕑🕓,710479329550057474
an041989,2016-03-17T17:47:00,@AskLloydsBank You're not going to be able to afford your own home so you're stuck with your parents until you're 30.,710523050765230080
dave_fowler,2016-03-17T18:38:00,"@AskLloydsBank Hey, unable 2 purchase anything on my xbox saying contact the bank, is there a block?",710535895296901121
Howardhiggs,2016-03-17T19:10:00,@AskLloydsBank do you know why I can't set up a standing order from my account to my monthly saver account I opened online?,710543910175641600
darrenkurn,2016-03-17T19:45:00,@AskLloydsBank love the piano on the new advert :-),710552613402615809
SianBonnick,2016-03-17T20:23:00,"@AskLloydsBank are useless, thank you for failing to send my new bank card that I requested 10 days ago 👏🏻👏🏻👏🏻",710562261857931264
neopeo,2016-03-17T21:25:00,@AskLloydsBank that's on my credit card,710577935313444864
marcusorrilious,2016-03-18T04:09:00,@AskLloydsBank yup rule number #1 should be chose another bank,710679569464827905
shaunyp8471,2016-03-18T10:20:00,@AskLloydsBank I am. I have Lasting Power of Attorney reg'd with Office of Public Guardian on 13/01/16 but not with branch as yet.,710772821752987648
NoaParisDecor,2016-03-18T11:42:00,"@AskLloydsBank Hi, how to I find my Lloyds IBAN number please @1morefishsauce",710793559436345344
JamesOMFG,2016-03-18T12:49:00,@AskLloydsBank Thanks - and also which day of the month do the accounts fee's come out?,710810410136555520
