screen_name,created_at,text,id
fandango1983,2016-03-14T09:20:00,@Metro_Bank @MetroBank_Help bit late now as I had to walk through Croydon with over £2k in £20s! #amazing,709308307253694464
thespike123,2016-03-21T12:31:00,"@Metro_Bank @MetroBank_Help My name is Alex Reynolds. I was in your branch in Ealing, W5.",711893002755706880
fran_151,2016-03-21T14:11:00,@Metro_Bank @MetroBank_Help what are they assisting with exactly if i was just blatantly told by your cs team nothing can be done for now,711918150405722112
dariusknight,2016-03-21T14:52:00,@Metro_Bank @MetroBank_Help when will it be resolved please?,711928408876457985
MarkAdamRead,2016-03-29T08:38:00,@Metro_Bank @MetroBank_Help looks like the social media team enjoyed a long weekend off. 😉. Yes Sainsburys staff said its all metro cards,714733462515814400
e_lisney,2016-04-04T11:14:00,@Metro_Bank @MetroBank_Help yes please!,716946997178200065
teresamorgan10,2016-04-04T15:59:00,"@Metro_Bank @MetroBank_Help Tried that &amp; got nowhere. Just warn new customers, to av back up cards or be stranded",717018869941055488
pauseforthejets,2016-04-05T14:08:00,@Metro_Bank @MetroBank_Help there was talk of ‘early 2016’ but still no sign 😕 #ApplePay,717353106141528064
timothydaily,2016-04-06T10:45:00,@Metro_Bank @MetroBank_Help Sent a DM on March 7th with contact number you never called me. I have DM you again today perhaps you will call,717664443086282752
ian_radioguy,2016-04-11T08:17:00,"@Metro_Bank @MetroBank_Help thanks guys, you already have my business accounts. You don't junk email like @NatWest_Help do",719439327529447424
ian_radioguy,2016-04-11T09:40:00,"@Metro_Bank @MetroBank_Help now @NatWest_Help can't stop junk email to customers, except by deleting emails altogether for customers",719460100847628288
Wessok,2016-04-13T11:29:00,@Metro_Bank @MetroBank_Help  looking forward to this :),720212226825678849
bedthyme,2016-04-17T20:14:00,@Metro_Bank @MetroBank_Help Your internet banking is down AGAIN.,721793937258754048
leoahkun,2016-04-24T20:55:00,@Metro_Bank @MetroBank_Help I've sent multiple messages to your team but I get no responses.,724341112731783168
TobyComerford,2016-04-26T10:01:00,@Metro_Bank @MetroBank_Help I now LOVE my bank again as they tracked me down in Sweden and hopefully unblocked my cards. Thanks!,724901219861409792
harleybabe666,2016-04-27T17:13:00,@Metro_Bank @MetroBank_Help  I'm concerned that if this is doing this every month I'm out of pocket!!!!! Won't be using it anymore,725372367120273408
inghamsarahj,2016-04-28T18:46:00,"@Metro_Bank @MetroBank_Help Who cares if customers' £££ goes missing for 31 hours, eh?",725758185093648386
thelondoncabco,2016-05-03T10:04:00,@Metro_Bank @MetroBank_Help This will need to be face-to-face as still angry. Coming into Holborn Thu morning. Who best person to speak to?,727438765954859009
ScKamui,2016-05-04T15:18:00,@Metro_Bank @MetroBank_Help Thanks &lt;3,727880031490473986
rusnewton98,2016-05-05T13:16:00,@Metro_Bank @MetroBank_Help we won't be back. And i will be sharing details of our experience with my 3000 linkedin followers,728211845643915264
JLimaMatthews,2016-05-12T08:09:00,@Metro_Bank @MetroBank_Help pretty sure they won't. You need to bring your online banking up to industry standards.,730671334334836736
MarkJR84,2016-05-18T10:01:00,"@Metro_Bank @MetroBank_Help Thanks, looking forward to their reply.",732873723892649985
MarkAdamRead,2016-05-18T11:16:00,"@Metro_Bank @MetroBank_Help any news on when you'll launch ApplePay? I was told ""early this year"" 6 months ago.",732892690078142464
DanielCashK,2016-05-18T12:53:00,@Metro_Bank @MetroBank_Help don't need assistance lol just asking a question 😕.,732916947453612032
RaddyDan,2016-05-18T15:09:00,"@Metro_Bank @MetroBank_Help I wasn't asking a question 😂 but I really do hope you get involved, it'd be great! 😁",732951246915657728
weldrake13,2016-05-18T16:04:00,@Metro_Bank @MetroBank_Help any plans to support Android pay now that it has released in the UK,732965093605056512
mrwaite,2016-05-18T22:39:00,@Metro_Bank @walkerrob @MetroBank_Help they said early 2016. It is now mid 2016. Soon it will be late 2016. There will never be Apple Pay.,733064407157182464
Morningjon,2016-05-19T10:11:00,Thanks @Metro_Bank so then @MetroBank_Help now Android Pay is live in the UK can you advise when your cards will be supported?,733238752894652416
deedeelea,2016-05-20T16:39:00,"@Metro_Bank @MetroBank_Help Hi, we had a really disappointing experience in your Bank branch yesterday and I have submitted a complaint.",733698642721288193
DaveHarmer,2016-05-23T10:39:00,@Metro_Bank @MetroBank_Help any ideas?,734695184974422018
haystickshockey,2016-05-25T11:01:00,"@Metro_Bank @MetroBank_Help you had your chance when I went into branch.  All recordings now available to prove a point of truth.
Have fun!",735425660752138240
platefuluk,2016-05-25T16:36:00,@Metro_Bank @MetroBank_Help So what do I have to do? I'm not aware of any other connections. Prayer?,735509833575739400
platefuluk,2016-05-25T16:38:00,@Metro_Bank @haystickshockey @MetroBank_Help Seems as though I'm not the only one with MetroTroubles. This bank is becoming a joke.,735510283947548677
platefuluk,2016-05-25T16:40:00,@Metro_Bank @haystickshockey @MetroBank_Help @Metro_Bank Vs  Apple? Apple care - MetroBank could not care less...,735510990796816384
toondab,2016-06-06T12:04:00,@Metro_Bank Hi there we do 2D animation explainer videos this could definitely benefit your company check us out https://t.co/36kY4ojwZu 😁,739790111580295168
shan_carvalho,2016-06-06T12:47:00,"@MetroBank_Help super impressed with your King road branch, staff are always helpful and best customer service Iv seen for a bank.",739800768623038464
LFCameron7,2016-06-06T13:36:00,@MetroBank_Help where's Apple Pay @?,739813258106916864
andyrudge,2016-06-06T14:17:00,"@MetroBank_Help 
how do I PM you if you don't follow me? 
^AN was suffix in your tweet",739823476073201664
benwayland,2016-06-06T16:00:00,@MetroBank_Help when will you be supporting Apple Pay?,739849530934480896
lucelucyluce,2016-06-06T16:22:00,@MetroBank_Help legends,739854909433077760
Ennis_El,2016-06-06T16:33:00,"@Metro_Bank that's why you guys RD onez dred!
#ContactlessCard lost
I walk into a branch get it stopped &amp;A replacement right then N there",739857708145332224
thelondoncabco,2016-06-06T16:48:00,"@Metro_Bank tag line""remove all stupid banking  rules"" needs to be rethought. Misrepresentation, think I'll go back to idiots @Santander",739861475225788417
benwayland,2016-06-06T16:53:00,"@MetroBank_Help thanks, frustrating you don't have a timeframe.",739862676654989312
james23davies,2016-06-06T19:07:00,@Metro_Bank trying to get through to customer services and the line cuts off? Do you guys have any issues?,739896471709966338
LFCameron7,2016-06-06T19:50:00,@MetroBank_Help I am not patient,739907413927723009
benwayland,2016-06-07T08:12:00,@MetroBank_Help just delays me a actually using the card now until Apple Pay arrives...,740094122548203521
paolaenergya,2016-06-07T08:58:00,@MetroBank_Help You made my day - banking was never my favourite activity but now it is!,740105517293547520
