screen_name,created_at,text,id
NatWestBusiness,2016-06-06T08:30:00,Is the National Living Wage slowing wage growth and #productivity? https://t.co/iNUInZZOf2 [JB] https://t.co/uwe6cdvtPO,739736102907453440
NatWestMentor,2016-06-06T12:38:00,"Consulate fined for discrimination in tribunal https://t.co/5Th8zzznxG @Edinburgh_CC @WomenForIndy @ScottishSun 
@ScotNational #employment",739798517804208128
NatWestBusiness,2016-06-06T15:29:00,"@sianb1976 Try BusinessManagerNatWestBusinessBanking@natwest.com, [SB]",739841587979636737
NatWestBusiness,2016-06-06T16:00:00,What makes a workplace great? Small employers who created great #working environments: https://t.co/X26U5U8Yzw [JB] https://t.co/YtFSSWwYKM,739849369273270273
NatWestComm,2016-06-07T08:34:00,Keep up with your #business's finances with @kpmguk's accountancy proverbs download https://t.co/XBrJjZ0d1K [JB] https://t.co/Aihx5qvqfc,740099727073681408
NatWestBusiness,2016-06-07T12:30:00,"300 manufacturers and industry leaders told us that #ukmfg needs more support, there is room for change https://t.co/J27MtFViu9",740158898028433408
NatWestBusiness,2016-06-07T12:54:00,"@thechriswilkes Hi Chris, please contact BusinessLine on 03457114477 and the team can look to provide this for you. [LC]",740164999960727552
NatWestBusiness,2016-06-07T12:57:00,"@richardcyates Hi Richard, sorry for the delay we have had issues with our Twitter. We have now followed you to allow you to DM us [LC]",740165678976602112
NatWestComm,2016-06-07T14:42:00,"@JamesPearson25 Hi there, sorry and we will feed this back, you can also use certain services at post office. https://t.co/NaZ748ol4o",740192105407057920
NatWestBusiness,2016-06-07T16:30:00,Six things you need to know about starting an #apprenticeship scheme: https://t.co/w2zj8xf4BE [JB] https://t.co/dBbHUwk7A9,740219300191997952
NatWestMentor,2016-06-07T17:39:00,"Consulate fined for discrimination in tribunal https://t.co/5Th8zzznxG  
@ScotNational @personneltoday  @JSBgroup @acasorguk #Ukemplaw #HR",740236657933221893
NatWestMentor,2016-06-07T17:45:00,#ISO45001 draft international standard delayed https://t.co/UbNKHl3S1w @shponline @edpconsultants @NQAGlobal @EEF_Insights @BSI_UK @assent1,740238167068971008
NatWestMentor,2016-06-08T07:00:00,Got questions about the migration to #ISO45001? Take a look at the latest information @AIMSInfo @RRCTraining @WorkSafetyHub @healthandsafety,740438228021301248
NatWestComm,2016-06-08T08:35:00,"The new National #LivingWage (NLW) ‘is slowing salary growth’, say @CIPD: https://t.co/0lUGDsnt3t",740462271521009666
NatWestBusiness,2016-06-08T11:30:00,How can your #business survive low #interestrates? https://t.co/69EmGs7idR [JB] https://t.co/EuCnJ9lNg7,740506191017566210
NatWestBusiness,2016-06-08T11:32:00,@dmgautocare https://t.co/jYE9iyVzQ6,740506791293898752
NatWestMentor,2016-06-08T11:54:00,#Acas urges flexibility during  #EURO2016 https://t.co/VeToeJ3gxT @acasorguk @DWFMBeckman  @CapitalMoments @poandpo @UEFAEURO @SkyFootball,740512210632335360
