screen_name,created_at,text,id
mstrchf1,2016-06-06T14:48:00,"@Nationwide can you please take the ""you named your car Brad"" commercial off tv it's sickening",739831249154539520
AntDaBoxer215,2016-06-06T20:05:00,@Nationwide the worse car insurance company I ever had smh,739911090587480064
RomeSrt8,2016-06-06T20:33:00,@OnYourSide I emailed the link you gave me hope you can speed this process up.,739918083846983680
gr_14845,2016-06-06T22:00:00,@Nationwide @OnYourSide do you regularly extort people in collision settlements? Or just me to not pay storage if I do not accept ?,739940140227940352
jareadspong1,2016-06-06T22:33:00,@OnYourSide you obviously not on my side right now,739948397378015232
Bazmanscoop,2016-06-07T09:15:00,"@NationwidePress @AskNationwide thanks really keen to know who it's by,  don't mind being on hold,  when there is a track like that 😆.",740109834696163328
AskNationwide,2016-06-07T09:21:00,@NationwidePress Which hold music is it? We've got a couple :) Sean,740111442595221504
TBuzzOn,2016-06-07T10:35:00,@OnYourSide no I just would have appreciated a little courtesy from the agent assigned to the claim,740129969137983489
PhuckNa,2016-06-07T17:19:00,@Nationwide @PeytonManning - N@t1onW1d3-1$-0n-Y0ur-$1d3 #NFLPasswords,740231789218697220
hannahisonfire,2016-06-07T22:07:00,"@Nationwide This is the 2nd time my car has been totalled by ur client in &lt;2 mos. I thought my last experience was bad, but this is HORRIBLE",740304255337304064
hannahisonfire,2016-06-07T22:08:00,"@Nationwide As someone who works in customer service, I am APPALLED at the terrible service your employees provide.",740304472824504320
Allpoint,2016-06-08T12:33:00,@NationwideBank We love these smart ways to save!,740522044048220160
dkosir928,2016-06-09T03:02:00,@Nationwide hey nationwide midwest we've got your back if in the Chicago metro area. Call us with any questions https://t.co/pgxm7jJmfg,740740822828605440
Rob02150,2016-06-09T16:21:00,@Nationwide I'd like to speak with a person please. Trying to cancel my account and I'm getting annoyed by all these menu options.,740942003408490496
Lucidity1133,2016-06-09T19:59:00,"@OnYourSide really wish almost 3 weeks in we would have less problems and more results, I want to go home!",740996668191952898
mudd444,2016-06-09T20:32:00,@Nationwide Nationwide auto sucks taking forever my claim only give you a car for a few days now I'm stuck without a car can't get to work,741005130456309761
mudd444,2016-06-09T21:00:00,@OnYourSide @mudd444 claim #01707262,741012186236133377
Moirraines,2016-06-09T21:34:00,"@OnYourSide No, you're not. Curt customer service attitude ""we are raising your rates and you can't do a thing about it"" - Bye",741020698252955648
mudd444,2016-06-09T21:34:00,@OnYourSide i already sent email,741020673175359488
no2hitting,2016-06-10T06:21:00,@Nationwide RightsWatchLACKofUS POLITICAL WILL CorporalPunishment TORTUREofSCHOOLCHILDREN DENY RIGHTS #HR2268 #ACEs https://t.co/yQ6Ll5CT9O,741153276457066497
Jemski44,2016-06-10T13:19:00,@Nationwide Hi Nationwide! I see you like your golf! Can I help organise your next event at a fantastic venue?!,741258462156447744
Allpoint,2016-06-10T13:32:00,@NationwideBank We love providing your customers with surcharge-free access to #cash!,741261664511754244
Christi22632051,2016-06-10T20:27:00,@Nationwide i'm a customer of yours i was in an accident on may 23 i paid for my policy and one of your workers pulled my coverages off!!!,741366254028611586
Moirraines,2016-06-10T20:29:00,@OnYourSide Glad I found a company where I can afford full coverage not bare bones for the SAME price.,741366596644413440
Christi22632051,2016-06-10T22:25:00,@OnYourSide  thank you for responding to me i'm going to email you now thank you.,741395909762818048
agreen1982,2016-06-11T00:52:00,@Nationwide @OnYourSide  Your insured hits me at a light and I can't get a call back for an entire week? #NationwideInsurance,741432976622419968
Lucidity1133,2016-06-11T20:08:00,"@OnYourSide Finally heard back and things are now moving forward, Thank you social media.",741723779957547008
m_in_m,2016-06-12T09:50:00,@AskNationwide Hi. Can I convert a Regular Savings account into a Flexclusive Regular Savings account?,741930738145202177
m_in_m,2016-06-12T10:10:00,"@AskNationwide Hi Emma. It is this bit that is confusing me: ""You can hold only one Regular Saver or Flexclusive Regular Saver account"" 1/2",741935703651684353
m_in_m,2016-06-12T10:22:00,@AskNationwide Can I close an account online?,741938699814965248
Laver73112,2016-06-12T10:44:00,@AskNationwide breakdown assistance with nationwide flex account - 20mins from phone call to being rescued! Amazing service #topmarks,741944186048548864
Celebrate_Adorn,2016-06-12T11:02:00,@AskNationwide Yes and it is still not working.,741948664680173568
shitchener,2016-06-12T11:09:00,@AskNationwide @m_in_m as per t&amp;c can you CAN hold both if you already have a regular saver set up....:),741950480646086660
danbloom1,2016-06-12T11:10:00,@AskNationwide Is your cash machine service down please? Or is there something wrong with my card? Have tried 3 - won't even show balance,741950755649769473
danbloom1,2016-06-12T11:12:00,"@AskNationwide no, none. It's only 2 weeks old",741951211201540096
