screen_name,created_at,text,id
Nike,2016-06-14T17:14:00,@jeffhgala Defeat your doubts.,742767165724602368
Nike,2016-06-14T17:26:00,"@rachike6 Don't worry, @nikewomen understands.",742770312526323713
Nike,2016-06-14T18:00:00,@Soph_OL Mind over matter. | https://t.co/8YXVhv2dKM,742778855023316992
Nike,2016-06-14T18:05:00,@dkminh The time is now. Get to it.,742780125587083264
Nike,2016-06-14T18:15:00,@November_Rainz Be brave. Embrace the challenge.,742782641016082432
Nike,2016-06-14T18:24:00,@maisiedunbar Push forward. Don't look back. | https://t.co/QwmiZIUR6I,742784786041802752
Nike,2016-06-14T18:26:00,@EmYablonski Right decision. Same time tomorrow?,742785386368356353
Nike,2016-06-14T18:31:00,@minaaaax Sole mates.,742786550090567680
Nike,2016-06-14T18:45:00,@rain_taylor @minaaaax Twinning combination 👯.,742789956385529856
Nike,2016-06-14T18:49:00,@FargoFitnessGrl Results are the ultimate motivator. | https://t.co/SkcibSlxbI,742791061383327744
Nike,2016-06-14T19:05:00,@msgreenehistory Love is a verb. @NikeRunning will help you put it to action.,742795098086375424
Nike,2016-06-14T19:07:00,@soulidifiedalex Work now. Sleep later.,742795727731064832
Nike,2016-06-14T19:36:00,@yusheilaa Nothing's stopping you.,742802903031767041
Nike,2016-06-14T19:46:00,@SCs_HotMess Duly noted ✔️.,742805433644093440
Nike,2016-06-14T20:01:00,@trsshaw02 Well-rounded routine. Always in motion.,742809203065126912
Nike,2016-06-14T20:09:00,@MrRubbertoes Relive that feeling tomorrow.,742811220114309120
Nike,2016-06-14T20:11:00,@KirkWynter It's the formula for success.,742811703256178688
Nike,2016-06-14T21:17:00,@LW_Fitness You can't spell legendary without leg day.,742828333495377920
Nike,2016-06-14T22:08:00,@izzyonlinee Redefine fast. | https://t.co/ATmPf4pDVr,742841143554154505
Nike,2016-06-14T22:23:00,@bazzbassler The struggle is real.,742844935259467777
Nike,2016-06-14T22:33:00,@TomMarkall They won't do you any good on the box. Put 'em to use.,742847569768947712
Nike,2016-06-14T23:01:00,@JennAllOver Repeat tomorrow? Good.,742854492362833920
Nike,2016-06-15T15:21:00,@shylosasha Thank us in miles.,743101119937806336
Nike,2016-06-15T15:45:00,@trinitybaca We've got your back.,743107280523132928
Nike,2016-06-15T15:46:00,@OsiaaH Be true. Be you.,743107517190934528
Nike,2016-06-15T16:08:00,@JennAllOver That's what we like to hear. What's the goal for today?,743113055035400194
Nike,2016-06-15T16:20:00,"@officialcoley1 Look no further, @NikeRunning has just what you're looking for.",743116022417395712
Nike,2016-06-15T16:41:00,@EdwardJeanKim Haters going to say it's fake.,743121242962661377
Nike,2016-06-15T16:51:00,@thirstyreveler Break boundaries. Set records.,743123802075373568
Nike,2016-06-15T17:03:00,@Nathalie_B Starting the day off right. Repeat tomorrow?,743126796405772288
Nike,2016-06-15T17:24:00,@dearmedinas You do.,743132169254666240
Nike,2016-06-15T17:29:00,@bigem27 Endorphins. They're a wonderful thing.,743133452741054464
Nike,2016-06-15T17:40:00,@b_djones Introduce them with a PR or two.,743136196872781825
Nike,2016-06-15T17:47:00,"@JennAllOver Another day, another step towards greatness.",743137982367031296
Nike,2016-06-15T18:10:00,"@PattMate If you like to run, you'll love this. | https://t.co/pdKueEgdVS",743143641036754944
Nike,2016-06-15T18:45:00,@oh_my_leda The excitement grows with each workout. | https://t.co/UN7hwQVd2M,743152579639664640
Nike,2016-06-15T20:19:00,@LeanneDingle Motivation gets you to the gym. Results keep you coming back.,743176235937828866
Nike,2016-06-15T20:41:00,@Little_Reidy 💪.,743181643863719937
Nike,2016-06-15T20:52:00,@EChirico11 No time like the present.,743184430563360768
Nike,2016-06-15T21:33:00,@aamanduhh We bet @NikeRunning has a solution for you.,743194856953118720
Nike,2016-06-15T22:19:00,@Flokinsom Your smile grows with every mile. Any races on the horizon?,743206318647943168
Nike,2016-06-15T23:01:00,@MariamDiamond Have you introduced them to the roads yet?,743216865686753280
Nike,2016-06-15T23:22:00,@Dana_Stargazer Treats all around.,743222052912496640
Nike,2016-06-15T23:57:00,@coolkelsi Giving up is never an option.,743231096511397889
Nike,2016-06-16T15:31:00,@whatsonpopin When does training commence?,743465910946697216
Nike,2016-06-16T15:33:00,@LukeLikesKnives Making a splash.,743466649068707840
Nike,2016-06-16T15:55:00,"@mcmmama One run to get it started. One goal to keep it going, right @NikeRunning?",743471950090080256
Nike,2016-06-16T16:26:00,@upandat_EM It's a sign. You know what to do.,743479855124189188
Nike,2016-06-16T16:31:00,@whatsonpopin Let's talk after the sweat.,743481122483470336
Nike,2016-06-16T18:26:00,@SmtMrsPayne All about quickness and speed.,743510076091162624
Nike,2016-06-16T18:27:00,@JLKennedy4 Earned it.,743510201987371009
Nike,2016-06-16T20:47:00,@Kevinjr33 Goals on your mind.,743545677096030208
Nike,2016-06-16T21:47:00,@harrisdecker Just add miles.,743560533194997760
Nike,2016-06-16T21:53:00,@_terrabella We know you're ready. Get after it.,743562278289743872
Nike,2016-06-16T22:09:00,@Lexinhymer77 @NikeRunning knows how you feel.,743566304687366144
Nike,2016-06-16T23:44:00,@ncdjsircharles Leaving your mark 💪.,743590199914041344
Nike,2016-06-17T15:39:00,@__ThrillMusic Feet on 🔥.,743830416189165569
Nike,2016-06-17T16:57:00,@stephtrafton Setting the pace for the next generation.,743850158304206848
Nike,2016-06-17T18:16:00,@bryballa Showing your true colors.,743870042002055173
Nike,2016-06-17T20:45:00,@G_i_Ling_ Boss in the conference room and on the links.,743907553642414083
Nike,2016-06-17T21:02:00,@kingmilesiii We always knew you had a dangerous kick.,743911764983746560
Nike,2016-06-17T22:33:00,@Monroegrow Father knows fast.,743934498212052992
