screen_name,created_at,text,id
43einhalb,2016-06-20T17:25:00,@Nike Bruin Leather QS coming tomorrow: https://t.co/3zLXEHKEMm https://t.co/nK1wV25oLG,744944355090305024
almuerzonegocio,2016-06-20T17:28:00,"@Nike lanza comercial relacionado al triunfo de @cavs en #NBAFinals 
#PortadadeNegocios",744945115077054464
AMO_Mane,2016-06-20T17:33:00,@Nike bring back the LeBron puppet,744946293643051008
MVPsportslife,2016-06-20T17:34:00,@Nike got us feeling all the emotions with #AlwaysBelieve https://t.co/58Czi3SzCl,744946541400449024
NikeRunning,2016-06-20T17:35:00,@Nike @mrkthompsn We can think of one. | https://t.co/2mJpdui2q9,744946835551305728
kbkbbutler08,2016-06-20T17:39:00,@Nike @airmaxspor @Jumpman23 https://t.co/Ccz7fdntIC,744947798525771776
IntheAyer14,2016-06-20T17:42:00,@Nike @MikeyPWorldwide this is great,744948624967208960
mrball84,2016-06-20T17:44:00,@Nike @nikebasketball was it worth the wait @cavs @KingJames @NBA @NBATV @ESPNNBA @NBAonTNT @RealSkipBayless @stephenasmith,744948971630583808
Jiminquas_,2016-06-20T17:50:00,@Nike y'all gone have to sponsor me I wear nike everyday from head to toe no matter if I match or not 😂,744950612530364416
NickTacToe,2016-06-20T17:55:00,@Nike please remake this ad campaign https://t.co/De4T6klIP1,744951835824271360
DJLadyB,2016-06-20T17:57:00,@Nike what are these? https://t.co/RatwURKi3b,744952310019821569
FCB_SIX,2016-06-20T18:00:00,@Nike vs. @CocaCola  @Cannes_Lions over the years. #ShareaCoke #justdoit #CannesLions #CannesMeow https://t.co/7F2EjpajHe,744953140366221312
XmDavidcn,2016-06-20T18:03:00,@Nike alway get best https://t.co/nir7ucGO7P,744953951087276032
aquan0624,2016-06-20T18:07:00,@Nike LBJ  #prodigal son,744954720565944320
SwaggMoneyBagss,2016-06-20T18:12:00,@Nike @nikebasketball @nikestore I need a link bra https://t.co/imCR5LMggG,744956121253838848
GoodGrief8,2016-06-20T18:14:00,@nike sustainability is the Innovation challenge of the future. Young designers have the power to drive positive impact.,744956611052052480
_dimjam,2016-06-20T18:16:00,@Nike bring back the MVPuppet commercials !! @KingJames @kobebryant,744957079794786304
SeldonPlan1000,2016-06-20T18:18:00,@Nike Time to make another LeBron commercial to include all the Cleveland sports hero's past &amp; present. #Believeland,744957621615026178
oliverbenbrunt,2016-06-20T18:20:00,@Nike 's Richard Clarke absolutely nailed it this evening at the @RSADesignAwards #RSAdesign A true inspiration.,744958219852853248
r_nelson35,2016-06-20T18:23:00,@Nike this shit give my whole body chills😅,744958915431960577
Purdue_Cheer,2016-06-20T18:35:00,@nike equipment arriving! Can't wait for X-mas in July &amp; show it off at @UCAupdates college camp! #BoilerUp https://t.co/WFn8Y4mFod,744961830238330880
Inconnoo,2016-06-20T18:37:00,@Nike Cortez where it's at,744962469479649281
BTrep88,2016-06-20T18:42:00,@Nike Call head office and get told that I shouldn't by nikes again. Thanks for the great help and terrible product! https://t.co/T8baBaTvl1,744963619612295168
panny_ep_trash,2016-06-20T18:43:00,@Nike sweatpants are literally the best thing ever 😍 https://t.co/fvWZXr7HNS,744963791968821249
FBC_D,2016-06-20T18:44:00,@Nike I miss the Superfly IV...bring it back😭,744964080281096194
MakoAndrew,2016-06-20T18:45:00,@Nike where is the champ pack,744964463477022720
DCScorpian_1169,2016-06-20T18:46:00,@Nike @nikestore just left ur #Georgetown #DC store &amp; 1 of the assoc was...let's say rude! Thx for my refund. Exit stage ⬅️,744964717572063232
eijo7348_eileen,2016-06-20T18:48:00,@Nike,744965247685922818
BRiCK_SLEEZY,2016-06-20T18:54:00,@Nike finally came through for me! https://t.co/o4yGJgDrsF,744966672935698433
SaugaSportsXP,2016-06-20T19:07:00,@Nike has a great essay contest featured in our 1st edition of @SaugaSportsXP! Check it out on page 11! https://t.co/ZUJ6EaqftC #mississauga,744969989703143425
DylanVelinsky,2016-06-20T19:10:00,@Nike yall always making one hell of a commercial,744970701224951809
NancyyNunzz,2016-06-20T19:10:00,@Nike always has the best commercials and they get to you since majority of them have that emotional connection,744970786297896962
yaggazoozy,2016-06-20T19:18:00,@Nike @cardamonetweets Nice Job NIKE!...Cleveland really Feels this video like no other can!,744972688893018112
ColletteGillian,2016-06-20T19:20:00,@Nike got game. #NBAFinals #socialmedia #AlwaysBelieve https://t.co/IHctCont4N,744973157124050944
jodhalls,2016-06-20T19:25:00,@Nike watching #ENG vs Slovakia....those new kits you've designed?  They are terrible.,744974399930007553
dorico_64,2016-06-20T19:30:00,@Nike sensazioni che ti restano per una vita,744975850139942913
JorelLaraKalel,2016-06-20T19:37:00,@Nike released heartfelt commercial 2 celebrate Cleveland's 1st championship in 52 yrs $NKE https://t.co/iqq0d5K1pf https://t.co/CrfoACz2tH,744977498388078592
CraigZietsman,2016-06-20T19:37:00,@Nike  where can I get a Nike dry fit suit for work? It's hot and I know a lot of people who would love to wear them. Let's talk...,744977497314361344
ErikLoouie,2016-06-20T19:38:00,"@nike has ruined football and especially basketball by rigging the sports for their poster athletes. 
https://t.co/8fgGI0hZCA for nikes.",744977719415300097
clownpeople,2016-06-20T19:43:00,@Nike yall gonna release a kyrie and lebron championship shoe?,744979057029283840
BIGWORLD8732,2016-06-20T19:47:00,@Nike Do you know when the blacked out lebron soldier 10 is going to be released for sale ? Thanks,744980123321925632
TiMoBaRRz,2016-06-20T19:48:00,@Nike I wonder what last year's looked like. We'll never know.,744980154674405377
KIDS_ThumbsUp,2016-06-20T19:48:00,@Nike what would it take for you to sponsor me?,744980346916212736
SkiTeamCMO,2016-06-20T19:50:00,@Nike still on the VERY top of the ad game. Resonates not just in Cleveland but anybody with a challenging fan interest #GoBuffs #Mariners,744980742069837824
Humphrey62sally,2016-06-20T19:53:00,@Nike,744981468603125760
johnnybraav0s,2016-06-20T19:55:00,"@Nike pls bring back the crew neck version of nike women's dri-fit cotton tee... I love mine so much, but it's starting have holes :(",744982100315512833
CulturalRights,2016-06-20T19:58:00,@Nike That's What I'm Talking About! #Believeland,744982703456587776
TheAverageDan,2016-06-20T20:00:00,@nike First pair of Nikes in years and this is what I get in less than a month of use?… https://t.co/OvhCSWXcvw,744983361257537536
mrfrecks_2you,2016-06-20T20:07:00,"@nike should bring back ""The LeBrons"" commercial",744984984256024576
Ferronn_,2016-06-20T20:13:00,@Nike,744986490300567557
iambigbabi,2016-06-20T20:18:00,@Nike that was dope,744987801255555072
PamelaSedmak,2016-06-20T20:19:00,"@Nike @KingJames @cavs 'Hard Work, Together' - epic goal accomplished #ALLin216",744988034848825345
FN_DockyMoe,2016-06-20T20:20:00,@Nike give me a shoe deal,744988386696495105
jim_tripp,2016-06-20T20:24:00,@Nike @nikebasketball,744989241088819200
nolanbmiller,2016-06-20T20:47:00,@Nike Drop these please!! 😍😩 https://t.co/WQGPiZQFRN,744994984827359232
DeyeZZ,2016-06-20T20:55:00,@Nike where @KyrieIrving championship pack at? I know y'all got it,744997100350386176
keniab96,2016-06-20T20:58:00,@Nike @mitzi_rivas18 this is beautiful tbh,744997862195376128
NoNo___5___,2016-06-20T21:02:00,@Nike should be able to NIKE iD foamposite👟,744998804886216704
egarcia566,2016-06-20T21:03:00,"@Nike my son bought these shoes and they are coming apart, and I cannot get my money back or voucher! I am irritated https://t.co/z3yxUwwszl",744999109153554432
egarcia566,2016-06-20T21:06:00,@Nike I have been a consumer of Nike since 1984! And I can't even get a voucher for a pair of DEFECTIVE SHOES my son got as a gift!,744999920193548288
fernandoromay1,2016-06-20T21:06:00,"@Nike dmanzano1971 @A_Monje es normal , es el tiro más ensayado y el tirador está pies bien colocados",744999912710955009
DangerCat69,2016-06-20T21:09:00,"@Nike , I'm just gonna keep calling and talking to different people until you help me. so. you should #JustDoIt",745000703806963712
AustinCrawfxsh,2016-06-20T21:09:00,"@Nike @BrendanWHoward this video gives me chills, such a dedicated fan base in cleveland",745000729744662529
ScreamD1,2016-06-20T21:13:00,@Nike happy as hell they signed that extension deal with Lebron !!!,745001575689527296
kaylahazlewood,2016-06-20T21:15:00,@Nike this video made me happy even though I'm still salty,745002146186301440
HiccupNY,2016-06-20T21:15:00,@Nike celebrates #Lebron and the @cavs in today's ad https://t.co/UmqwS3MHbh #alwaysbelieve #advertising https://t.co/aKi8cy1Uzt,745002077257031680
bridgetbimrose,2016-06-20T21:20:00,@Nike @WiedenKennedy Why aren't there more female sports fans in this ad!?! We were watching too!,745003502405980160
ClareB_pdx,2016-06-20T21:21:00,"Hey @Nike, thanks for honoring Cleveland, but don't forget that women watch sports too!",745003691199995904
daystune,2016-06-20T21:24:00,@Nike KD 9 Preheat Out Today. #Fashion. https://t.co/6UgoO5mWJU,745004422485446656
Staci_Lea11,2016-06-20T21:28:00,@Nike gets me every time with these commercials. #ALLinCLE #DefendTheLand #NBAChamps  https://t.co/aOaltWh8HT,745005476123971585
TheFreshRoyalty,2016-06-20T21:31:00,@Nike Honors Cleveland with 'Worth the Wait' Commercial After @Cavs Win NBA Finals https://t.co/pIhaELVPlq via @Rule_Of_Lex,745006289076490240
DarianToniHanna,2016-06-20T21:49:00,@Nike really really need a believe in Richard Jefferson shirt... Where do I buy one???,745010617208057856
angelval37,2016-06-20T21:58:00,@Nike @LeonorJosh https://t.co/UPB0520s36,745013019990597632
angelval37,2016-06-20T21:59:00,@Nike @LeonorJosh https://t.co/rmTmdd9D38,745013145844879362
KoachK6,2016-06-20T22:25:00,@Nike DROP THAT DAMN CHAMP PACK.....CHAMP EDITION KYRIES AND CHAMP EDITION BRONS,745019721410560001
Trapswear,2016-06-20T22:43:00,@Nike @nikestore #NIKE #TrapsWear #BBB #Sneakers #Shoes #Clothes #Trap #Dab #Camo #Design #Kläder #Sweden #Belaire https://t.co/f4Mrlyo8UM,745024242576670721
ayocassiee,2016-06-20T22:50:00,@Nike &gt;&gt;&gt;&gt;,745026161214775297
amallerysaleen,2016-06-20T23:06:00,@Nike @KDTrey5 My design for....... https://t.co/OJ4mBbK3rA,745029994494103553
1017theteam,2016-06-20T23:23:00,@Nike does it again with another killer spot... #ClevelandCavaliers #LebronJames https://t.co/tDYvI0MLAi,745034469036306433
crudesportstalk,2016-06-20T23:31:00,@Nike honors #Believeland in this cool commercial. Congrats @cavs https://t.co/7edFdOr66e via @youtube,745036462089961472
WFU_Showtime,2016-06-20T23:34:00,@Nike @nikestore in tuned! Will go great with those soldiers!,745037040727789568
BRumZz_20,2016-06-20T23:37:00,@Nike PLEASE drop another sick LeBron commercial about his legacy in Cleveland &amp; Miami,745037835556818944
rozborn,2016-06-20T23:37:00,@Nike thank you for this! I literally cried after this 😶,745037789226536960
_deadprezident,2016-06-20T23:41:00,@Nike make something like this when @AtlantaFalcons win the SuperBowl this year. https://t.co/6JeKTbCeul,745038961077329920
The_DavidLong,2016-06-20T23:41:00,@Nike that commercial is dope. good job,745038811055325184
derbrau,2016-06-20T23:44:00,@Nike @WiedenKennedy advertising at its best https://t.co/H0lA909NRr,745039686154911744
_Shaun_don,2016-06-20T23:46:00,@Nike thanks for making the conspiracy theories about the @NBA seem more realistic,745040218131075072
MusaMeshack1,2016-06-20T23:47:00,"@Nike is celebrating the @cavs NBA title w/a limited edition ""Game 7"" LeBron Soldier X iD

https://t.co/TjheTE0WgB https://t.co/j59Fa2uS2Q",745040281884491776
mkorach103,2016-06-20T23:51:00,@Nike big deal,745041365449445376
Slight_BRK,2016-06-20T23:57:00,@Nike .... @TheMikeSalk ⬆️⬆️⬆️,745042982399684609
DuffeyTrevor,2016-06-21T00:06:00,@Nike #MambaMentality you all ready know ! Buzzer beaters all over the rec courts at UCLA next year ! Haha,745045299635249152
Alex_____Bon,2016-06-21T00:20:00,@Nike I have been so anxious for the kd 9 shoe that supposedly comes out today but I cannot buy it anywhere online. Help,745048742131183616
oedieonekenobi,2016-06-21T00:30:00,@Nike @NikePH im desperate to have tickets to #MambaMentality Night in Manila @kobebryant,745051150655725568
GrayHawks99,2016-06-21T00:32:00,"@Nike commercials give me the chills, whoever comes up with these should get a raise, idc how much they might already make.",745051724864331776
AceUhSavage,2016-06-21T00:43:00,@nike @puma @jordan can I get sponsored for being an ugly ass boi,745054385856643076
HairlineJames,2016-06-21T00:59:00,@Nike @nikestore @KingJames  price? https://t.co/uEfNSQYtR4,745058605217517568
__JNICE__,2016-06-21T01:00:00,@Nike makes the best commercials by far. It's not even close.,745058737237463040
amyjoffs,2016-06-21T01:06:00,@Nike great commercial! Thanks for celebrating our Cavs! xo,745060317521055744
EMU_Dave,2016-06-21T01:06:00,@Nike,745060349397860356
augusto_crvg7,2016-06-21T01:15:00,"@Nike me patrocina aí, na moral, vou ficar felizão ❤️",745062662598451200
Jword_,2016-06-21T01:39:00,"@Nike ""BELIEVELAND"" OFFICIAL CAVS CHAMPIONSHIP ANTHEM https://t.co/sOuldetsGA https://t.co/1erdr7Xqbj",745068577653305344
SabNichols,2016-06-21T01:48:00,@Nike still makes me cry,745070881760747524
Aaron_Shields15,2016-06-21T01:52:00,@Nike so when is that Nike town coming to Cleveland,745071782651133956
pride__monster,2016-06-21T01:59:00,@Nike 感动😭,745073614211387398
h46420395,2016-06-21T02:06:00,"@nike comparto opinión, no me gusta actual uniforme chileno, debemos rescatar pantalón azul y medias blancas.",745075433188757508
trehl,2016-06-21T02:09:00,@Nike you got me with that #OhioAgainstTheWorld #ALLin216 #GoCavs https://t.co/BC26KPNWPD,745076128008777728
riddlebr6,2016-06-21T02:14:00,@Nike always killing it with these @KingJames commercials #BESTPLAYERALIVE still #ALLin216 #THELAND https://t.co/sVzvWpB1uV,745077410928918529
Abel_Zar,2016-06-21T02:24:00,@Nike all day https://t.co/1EasnEgPzo,745079918489305088
allwithjb,2016-06-21T02:32:00,@nike te amo https://t.co/liuKLQstrZ,745081842978562048
ashleymegannnn,2016-06-21T02:33:00,@Nike when are y'all gonna make gs sizes available on the SNKRS app????,745082136655368193
Anthony32383922,2016-06-21T02:41:00,@Nike are the lebron soldier 10s coming out in GS sizes,745084140165300224
Julian01701687,2016-06-21T02:51:00,@Nike can you please send me the Kobe 9 size 4.5,745086786477531136
supremebos,2016-06-21T02:51:00,@Nike got this nike gift card for Father's day and nike don't got shit on its website champs eastbay a no go Give my kids there money back,745086756920369152
