screen_name,created_at,text,id
TaurusRetreats,2016-03-20T12:52:00,"@ProcterGamble @PGUK 
Pathetic level of #Misandry for marketing your products? 
#FeminismIsAwful
#StopMisandry 
#MensAreHumanToo 
#EndThis",711535963885805572
GCN_BLOG,2016-06-06T10:30:00,@ProcterGamble appoints David S Taylor #ChairmanOfTheBoard https://t.co/2d0yepzwm0,739766322079367168
lgfbuk,2016-06-06T14:57:00,@PGUK Thank you so much for your support - looks like people are in for a real treat this week #feelbetterweek,739833489353216000
valleylist,2016-06-06T18:47:00,"@ProcterGamble ""valleylist"" v382 r.1--""valleylist"" music sharing site©
https://t.co/2tdAwWXuRu",739891482027380736
FraziTube,2016-06-06T19:26:00,"@PGUK #PGUK
@PlayWarframe 
Here is my First attempt at a Fan Made Cinematic Enjoy! i will improve :)
https://t.co/TiicemxCKq",739901225894858752
CeoTalentSummit,2016-06-06T19:41:00,@ProcterGamble Chairman #AGLafley will share his talent strategies at #CEOTalentSummit Visit https://t.co/llkI4bqJZO https://t.co/J6K3gkHx0H,739905126794711040
LukeTacey,2016-06-06T20:58:00,@PGUK Just wondering what products in the uk are not tested on animals.?,739924452268507137
globalcosmetics,2016-06-06T21:47:00,@ProcterGamble appoints David S Taylor #ChairmanOfTheBoard https://t.co/tSncnsFynz https://t.co/RYQt6Zdt4o,739936692682018816
ConceptingComm,2016-06-07T07:34:00,"@ProcterGamble  productintroductie in Nederland: ""If you can make it here, you can make it anywhere"" https://t.co/I8SppyiYjq",740084399765651456
the_Rahmah,2016-06-07T10:21:00,@ProcterGamble @Shell_Nigeria I think you might want to meet this man. https://t.co/nnBwSpNK7h,740126567330942976
the_Rahmah,2016-06-07T10:22:00,@ProcterGamble @Shell_Nigeria I think you might want to meet this man. https://t.co/nnBwSpw8IH,740126859648598016
RalphBassfeld,2016-06-07T11:13:00,@ProcterGamble you should simplify the product ranges of Braun electric shavers and Oral-B electric toothbrushes. Too complex for consumers.,740139664342941696
Oscard505,2016-06-07T15:26:00,@ProcterGamble I think you should take into account the positive marketing campaing that @fricandomatiner is doing to you. #fairyforever,740203396196622337
AleOropezaG,2016-06-07T16:58:00,"@ProcterGamble (P&amp;G) celebra el quinto aniversario de su planta Milenio, ubicada en Irapuato.@gobiernogto https://t.co/qEuJ6ypHwB",740226503913279488
jenkynplacewine,2016-06-07T16:59:00,@ProcterGamble it was a pleasure to host you here and introduce you to some local sparkling wines #hampshire #awayday #betterworkingwithwine,740226723317452800
iXposeImages,2016-06-07T19:51:00,@ProcterGamble why did you change out child actor for Febreze?,740270076587184129
Luirio,2016-06-07T20:59:00,@ProcterGamble I took a few minutes to watch your advertisement (the one supporting moms) i shed a tear it was beautiful.,740287039568941058
SeaDolphinLove1,2016-06-08T04:59:00,@ProcterGamble 🚫#Boycott #PyeongChang2018🚫 #SOUTHKOREA➡NATION OF UNIMAGINABLE CRUELTY❗➡https://t.co/nCGTesZYOm https://t.co/mIr6jLtNzJ,740407932471418881
shinyhappy1,2016-06-08T15:27:00,"@ProcterGamble excuse me, how can I contact customer services? Thanks",740566013587099649
shinyhappy1,2016-06-08T15:34:00,"@PGUK excuse me, how can I contact customer services? Thanks.",740567659289452544
FrankieCarey,2016-06-08T16:56:00,@ProcterGamble I'm not quite sure if your suggestions will give me what I'm looking for https://t.co/ZwUpMPRpLf,740588345500282880
CaroleB_TSG,2016-06-08T21:13:00,@ProcterGamble - can you explain why the pod didn't work and my laundry is covered in large spot stains?fairynonbio https://t.co/TVIkxIdboI,740653057495728129
jjs460,2016-06-08T21:44:00,@ProcterGamble @COVERGIRL @WTCInstitute Thank you so much for the new makeup! #womenspanningtheglobe https://t.co/fXApC55p4f,740660921937350656
AmyAMeyer,2016-06-09T04:22:00,@ProcterGamble I'm sick of the 'dumb dad' Cascade commercials. Why should we coach people to buy into more sexist stereotypes?,740761049075462144
corrielb,2016-06-09T06:28:00,"@ProcterGamble your new design trigger bottles are dreadful, once again the trigger has broken leaving over half a bottle unusable 😟",740792599380922369
rose1_helen,2016-06-09T12:25:00,@ProcterGamble 🚫#Boycott #PyeongChang2018🚫 #SOUTHKOREA➡NATION OF UNIMAGINABLE CRUELTY❗➡https://t.co/fbnuxh1PC0 https://t.co/TQ12I5wn19,740882490437468161
NicholasHallCo,2016-06-09T14:03:00,@ProcterGamble &amp; @tevapharm Jose Antonio Valdez on the joint venture #PGTHealthcare @NicholasHallCo Latam #NHEvents https://t.co/ikO2RdNbHI,740907060120915968
noclaws4alarm,2016-06-09T14:08:00,@ProcterGamble great opportunity to lend a hand... https://t.co/otU2Bybuii,740908450402603010
DrugStoreNews,2016-06-09T16:36:00,"@ProcterGamble's Secret brand is LIVE RIGHT NOW talking about millennials and stress! https://t.co/Gz0SJZPUTx 
https://t.co/ZK88ZoiTsR",740945677186928641
RileyChi2,2016-06-09T23:27:00,@ProcterGamble 🚫#Boycott #PyeongChang2018🚫 #SOUTHKOREA➡NATION OF UNIMAGINABLE CRUELTY❗➡https://t.co/QI3auJi2ME https://t.co/DhJ8pnYazl,741049060568662016
neillkerrigan,2016-06-10T01:01:00,@ProcterGamble Digital gives us opportunity to express our brand equities across a broader creative canvas #digital https://t.co/o5ioTUosqS,741072652366942209
CySenCTA,2016-06-10T01:25:00,@ProcterGamble NO DEBIERA PERMITIR ESTOS ABUSOS. https://t.co/IANOSSU5DR,741078874994401280
gilleldon,2016-06-10T07:59:00,"@PGUK Newcastle Innovation Centre #lookgoodfeelbetter raffle, tombola and cakes #communitymatters #charity https://t.co/Vg4fG2fALO",741177985697501184
gilleldon,2016-06-10T08:10:00,@PGUK #lookgoodfeelbetter https://t.co/rC1tE7EPwL,741180796371898368
dundergirl,2016-06-10T09:34:00,@ProcterGamble 🚫#Boycott #PyeongChang2018🚫 #SOUTHKOREA➡NATION OF UNIMAGINABLE CRUELTY❗➡https://t.co/IFJn3dgAjW https://t.co/zPH2xCCTxb,741201930932879360
SweetsandMeats,2016-06-10T14:47:00,@ProcterGamble Food Truck Friday at the Towers. Wings from @RenegadeStEats BBQ from @SweetsandMeats @RoamingHunger https://t.co/3fzVNUTspw,741280645150834689
JeffLawver,2016-06-10T15:27:00,@ProcterGamble awesome ProCamp in Charlotte sponsored by P&amp;G,741290811481034752
JimEndres2,2016-06-10T17:07:00,@ProcterGamble 🚫#Boycott #PyeongChang2018🚫 #SOUTHKOREA➡NATION OF UNIMAGINABLE CRUELTY❗➡https://t.co/gMqrl80aJX https://t.co/PcYKmqKfzo,741315743346790400
kateabell3,2016-06-10T17:50:00,@PGUK a bit of inconsistency with my pearls this is what I found in my box :( https://t.co/0nIAI7JrPF,741326733975117824
tricorbraun,2016-06-10T19:35:00,@ProcterGamble launch national recycling program in Canada. https://t.co/9hbWPGbj6A,741353056969891840
VIPveroandrade,2016-06-10T19:42:00,@ProcterGamble 🚫#Boycott #PyeongChang2018🚫 #SOUTHKOREA➡NATION OF UNIMAGINABLE CRUELTY❗➡https://t.co/gAu9UCtdo8 https://t.co/Fv6NxcaR9c,741354919559454720
realMoxi,2016-06-10T23:12:00,"@ProcterGamble Why is this acceptable? ""Mansplain"" is a horrid term designed to silence men. Not OK. https://t.co/gHNjb2O78V",741407674131046403
_joanne_lee,2016-06-11T09:15:00,"@ProcterGamble if its ment to change every 45mins,why arent the levels the same??? #3volultion https://t.co/1tmgGc0tBJ",741559420170166272
drinkynet,2016-06-11T10:25:00,@ProcterGamble you seem to have manufacturing fault - far too common to be a one off https://t.co/8ep1dO21FG,741577173627195392
Keeleylambert,2016-06-11T13:19:00,"@ProcterGamble, I washed my hair with these&amp; I didn't ave an orgasm like the adverts suggests. FALSE ADVERTISING https://t.co/RUgtmOefO5",741620754958127104
kiera_malou,2016-06-11T22:33:00,@ProcterGamble 🚫#Boycott #PyeongChang2018🚫 #SOUTHKOREA➡NATION OF UNIMAGINABLE CRUELTY❗➡https://t.co/blf6jVpJhY https://t.co/klzryMb90U,741760209920495620
Tontonrelax1,2016-06-12T13:08:00,@ProcterGamble not liking the current print option. Load to card or regular clip would do ✂️ https://t.co/cq3igkfdE2,741980461614927872
bekkalyons,2016-06-12T13:32:00,@PGUK got some lenor gold orchid fabric Conditioner reduced 2 clear in Asda-great buy 👍🏼but PLEASE tell me you're not discontinuing it? 😱 😱😱,741986473126318080
katiewg65,2016-06-12T13:52:00,@ProcterGamble 🚫#Boycott #PyeongChang2018🚫 #SOUTHKOREA➡NATION OF UNIMAGINABLE CRUELTY❗➡https://t.co/OvCsGO1xJt https://t.co/YeNYKY3YB8,741991631407058944
palpalitopaloeh,2016-06-12T15:23:00,@ProcterGamble @Tampax https://t.co/I2CqnseMGR,742014379407880193
