screen_name,created_at,text,id
ImaneFarid4,2016-03-12T21:42:00,"@PrudentialNews 

On
3/2/16 I filed lawsuit against official of CIA Nouakchott whoordered gangrape
against my son https://t.co/gk6mpd3ph9",708770268865548288
ImaneFarid4,2016-03-12T21:43:00,"@PrudentialNews 

On
3/2/16 I filed lawsuit against official of CIA Nouakchott whoordered gangrape
against my son https://t.co/gk6mpd3ph9",708770367024844800
DFAlliance,2016-03-16T15:13:00,@PrudentialNews @AARP @HorizonWellness panelists: essential to build diversity &amp; inclusion into every decision-making process #DFTS2016,710121923557117952
gnbutler30,2016-03-18T22:04:00,@PrudentialNews https://t.co/51fg5GFMMT,710950151490310144
NEWARKIFF,2016-03-19T23:42:00,@PrudentialNews @Prudential Come see what we're doing at the NewarkIFF.. be a part of something great. https://t.co/DSPMUMIePz,711337077380616192
gnbutler30,2016-03-20T02:40:00,@PrudentialNews https://t.co/51fg5GFMMT,711381815517433856
kaluagwu12,2016-03-22T07:42:00,@PrudentialNews Speak out against Another #Genocide by #TyrantBuhari on #Biafra children.#FreeNnnamdiKanu.Read here:https://t.co/VbDkQeaXII,712182548927893505
HBanksPruPR,2016-03-24T23:40:00,@PrudentialNews community partner @AeroFarms exec Marc Oshima thanks sponsors at press conf #joinaerofarms #prucares https://t.co/YOIkGuM4ON,713148529049542657
DorindaWalker,2016-03-25T17:48:00,Check out @PrudentialNews to find out why @Prudential is super excited about our sponsorship of @Hispz16 @Hispanicize @dimemedia,713422410435969024
CPExecutive,2016-03-28T14:12:00,@PrudentialNews Predicts #RealEstate Opportunity From Graying Population: https://t.co/Ssz0r1AAKN https://t.co/36ap9UnQIL,714455014572302336
sandra_mer007,2016-03-29T10:45:00,@prudentialnews Split Function pada visual basic 2010  https://t.co/M4j80XIwb2  #vbnet #rpl #programming,714765336810242049
gnbutler30,2016-03-29T18:44:00,@PrudentialNews https://t.co/51fg5GFMMT,714885937680015360
gnbutler30,2016-03-30T11:35:00,@PrudentialNews https://t.co/51fg5GFMMT,715140298079399936
HurtinHomeOwner,2016-04-06T14:07:00,@PrudentialNews FRAUDclosureEBOLA MAKES NewJerseyUNIQUE - 3 BOOK EXCERPTS POSTED ON https://t.co/OAl1BrdtZ2 https://t.co/AKk93EYlQQ #RMBS,717715239278669825
KFMoorePruPR,2016-04-06T15:15:00,@PrudentialNews is proud to partner w/@PWC_CHS to sponsor hiring fair for military service members and spouses.,717732534159806465
KFMoorePruPR,2016-04-07T00:19:00,@PrudentialNews we're proud to support @Bonnie_at_TAPS and tonight's #TAPSGala. https://t.co/wE4FQevFny,717869328356491264
HBanksPruPR,2016-04-07T05:19:00,"@PrudentialNews Delvin Joyce, @carmensense and @Prudential @DorindaWalker chat saving $ with @NAHJ, #Hisp16,#PruPact https://t.co/X8vrvK1BHc",717944930837139456
WSTAorg,2016-04-18T13:07:00,@PrudentialNews Thank you for being a Corporate Member of the WSTA. Let us know if you have any questions about your Member Benefits.,722048789448511488
Cheryl_McCants,2016-04-28T13:16:00,"@PrudentialNews @NewarkRBP @ICEBranding with Dr. Fallon. Resiliency, collaboration &amp; adaptability outweigh straight cognitive abilities.",725674978998362116
h_luque,2016-04-30T00:09:00,@PrudentialNews https://t.co/eOq0ReHZj7,726201668627476480
ShepNYC,2016-05-13T17:39:00,@PrudentialNews  https://t.co/V81I8GAsI8,731177147746910209
NAMWOLF,2016-05-23T16:13:00,@PrudentialNews @KFMoorePruPR Inclusion Initiative Companies Spend $1B on MBE/WBE Law Firms #InclusionInitiative1B| https://t.co/ivOegx2btY,734779221759918080
HSeolista,2016-06-01T03:43:00,"@PrudentialNews Find Cheap Full Coverage Health Insurance
https://t.co/jmnGOT3YWq",737852033860931584
gtark66,2016-06-22T19:29:00,@PrudentialNews @_workingmother_ @TCPalm @pbpost @Ft_Pierce @CityPortStLucie you refuse to pay disabled people. Proud of that?,745700189638434816
