screen_name,created_at,text,id
RBS_Help,2016-06-06T04:19:00,"@kevinbroadway Hi Kevin, is it an RBS card, in a RBS ATM? EJ",739672931761041408
RBS_Help,2016-06-06T04:29:00,@kevinbroadway Are you still getting the same error? EJ,739675448205049856
RBS_Help,2016-06-06T05:19:00,"@kevinbroadway Really sorry about this, please allow me to check with the ATM team. EJ",739688031456792576
RBS_Help,2016-06-06T05:24:00,@kevinbroadway The only other thing I could suggest is to order a new Kevin. Really sorry. EJ,739689290637139968
RBS_Help,2016-06-06T05:35:00,@kevinbroadway When was the new card sent please? I am checking with the team now in regards to problems with the ATM for you. EJ,739692065240539136
RBS_Help,2016-06-06T07:43:00,"@wellmetalginge Hi, have you tried clearing your cookies and internet files or using a different browser? DW",739724269639348224
RBS_Help,2016-06-06T07:57:00,@wellmetalginge Did that solve the problem? DW,739727792741490688
RBS_Help,2016-06-06T07:59:00,@name4ndshame Sorry how can we help? JL,739728295659442176
RBS_Help,2016-06-06T08:19:00,"@wellmetalginge Ok, glad to hear you got it working. Sorry for any inconvenience. DW",739733330350968832
RBSBusiness,2016-06-06T08:30:00,What makes a workplace great? Small employers who created great #working environments: https://t.co/RMgAQsOAr2 [JB] https://t.co/Cw8eNt0O8l,739736105583411201
RBS_Help,2016-06-06T09:12:00,"@christor17 Hi Chris, you can view/print statements for up to 7 years via online banking. JA",739746673442836480
RBSGroup,2016-06-06T09:19:00,Yorkshire &amp; the Humber is top for high skilled job creation. Find out more: https://t.co/vmXvTWaQ7V https://t.co/CVCYqCMdHi,739748538695979008
RBSGroup,2016-06-06T09:32:00,@laurenkent85 Hi Lauren. @RBS_Help Please can you help here? Thanks,739751892205641728
RBS_Help,2016-06-06T10:10:00,"@RBSGroup @laurenkent85 Hi Lauren,  the number for out Select Silver Account Benefits team is 0345 6075154. JA",739761274083528705
RBSMentor,2016-06-06T11:07:00,33 hours spent on business administration tasks each month by UK #SME https://t.co/NhQTmN3Uu7 @fsb_policy @FundingKnight @FSB_Voice,739775695413489664
RBSBusiness,2016-06-06T11:30:00,Is the National Living Wage slowing wage growth and #productivity? https://t.co/T2Am1tohwT [JB] https://t.co/In02LgBdcC,739781418629267457
RBSCommercial,2016-06-06T11:34:00,Businesses that #export are 11% more likely to succeed: https://t.co/Drlfj4oPCd [JB] https://t.co/TVpNMKrpZK,739782541620711424
RBSBusiness,2016-06-06T11:50:00,"@darrenhealy_ Please DM your https://t.co/SMC3UuicXv, name, postcode &amp; tel.no, we can check the progress for you, thanks. [SB]",739786643654213632
RBS_Help,2016-06-06T12:17:00,@laurenkent85 You're most welcome :) If you need anything further just let us know. EJ,739793407632105472
RBS_Help,2016-06-06T12:23:00,"@_DotSpace Good Afternoon, we are looking to introduce this to RBS but at present no timescale :( please do watch this space. EJ",739794734940626944
RBSGroup,2016-06-06T12:30:00,Read our Head of Inclusion Marjorie Strachan’s @HuffPostBlog on why all businesses should support diversity: https://t.co/d9PsRiA94C,739796498074996736
RBSMentor,2016-06-06T12:32:00,"Advantages of #flexibleworking: wider talent pool, 
green benefits, productivity improvements 
https://t.co/CSiY8LPnyx @BizAdvice_UK @CIPD",739796997947854849
RBSGroup,2016-06-06T14:35:00,Our latest Economics Weekly talks about mortgage approval numbers and countries’ performance in the Eurozone: https://t.co/ml7pB1kcEw,739828032425328641
RBS_Help,2016-06-06T14:55:00,@_DotSpace Thanks for the feedback. We will pass it on. JL,739832993255182336
RBS_Help,2016-06-06T15:06:00,"@SabzNelson Hi Sabrina, as long as you are a customer, any branch can turn that into change for you :) If it's lot's of little change 1/2",739835759952338944
RBS_Help,2016-06-06T15:06:00,"@SabzNelson for example mainly copper, I can let them know in advance if you DM. 2/2 LB",739835769880227840
RBS_Help,2016-06-06T15:33:00,"@kevinbroadway Apologies for this Kevin, how much were you trying to withdraw? LP",739842593589239808
RBS_Help,2016-06-06T15:40:00,@SabzNelson No problem :) LB,739844320551948289
RBSBusiness,2016-06-06T16:00:00,Rank your #business with the government's Small Business Survey 2015: https://t.co/r3sNftVkQA [JB] https://t.co/jLrW63SaAM,739849369277501443
RBS_Help,2016-06-06T16:04:00,"@notajf Hi Andrea, thank you for letting us know, I've never heard that rule before! I'll get an engineer out and check on that advice. LB",739850351034179584
RBS_Help,2016-06-06T16:08:00,"@notajf No problem, thanks again :) LB",739851360582144000
RBSMentor,2016-06-06T17:23:00,Check out @acasorguk advice and guidance for the workplace during the #EURO2016 https://t.co/5uzUQv6hhx @ESOS_Help  @PBSTweets @TheSun,739870222757175296
RBS_Help,2016-06-06T17:25:00,@name4ndshame If there is something we can help with please feel free to DM. LB,739870743257833472
RBS_Help,2016-06-06T17:28:00,"@FallofSilence Hi there, thank you for your tweet, we have reported this ATM to our team and have requested for an engineer to visit ASAP.LB",739871492419248129
RBS_Help,2016-06-06T17:49:00,"@BatstoneJC Hi Jackie, our advisor has already had this reported. LP",739876778190241792
RBS_Help,2016-06-06T18:26:00,"@saabbhoy Hello, do you use online banking? JL",739886088676909058
RBS_Help,2016-06-06T18:37:00,@kevinbroadway Sounds like it may be a faulty chip. Have you ordered a replacement? JL,739888877524111361
RBS_Help,2016-06-06T19:13:00,"@runningrobderby Hi, sorry about that. Have you managed to speak to the team? JL",739897919696998400
RBS_Help,2016-06-06T19:15:00,"@HollyM59 Hi there Holly, so I can look into this please can you DM your full name, sort code and post code? SG",739898452373602306
RBS_Help,2016-06-06T19:19:00,@BatstoneJC Happy I could help clear this up for you :) We're available 24/7. SG,739899437548470278
RBS_Help,2016-06-06T19:57:00,@saabbhoy You can download statements online https://t.co/hHTis81ONd . JL,739908990352687104
RBS_Help,2016-06-06T20:13:00,@kevinbroadway That's strange. A contactless card doesn't require authorisation. Please let us know if we can help further. JL,739913015785607168
RBS_Help,2016-06-06T20:16:00,"@_slimmingclaire Hi, we haven't had any reported issues. Please can you DM your full name, post code and sort code so I can check this? LP",739913783053811712
RBS_Help,2016-06-06T22:00:00,"@jenbremner2 Hello Jennifer, what were the letters regarding? DM if you'd prefer DR",739939965111554048
RBS_Help,2016-06-06T22:13:00,@kevinbroadway Have you had a complaint raised into this Kevin? If so can you DM the complaint reference number please. SG,739943279043739648
RBS_Help,2016-06-06T22:34:00,"@eripley8 Hi James, have you taken the complaint to the ombudsman? LB",739948509001089025
RBS_Help,2016-06-07T00:54:00,"@kevinbroadway Hi Kevin, if you can DM us your complaint reference we can look into this further for you. PH",739983733592330240
RBS_Help,2016-06-07T01:16:00,"@gdworkman Hi there, anything we can help with here? PH",739989271189303297
RBS_Help,2016-06-07T05:06:00,"@runningrobderby Sorry you have not manage to get through to them, we do have a freephone number for them which is 0800 161 5152 1/2",740047149510066176
RBS_Help,2016-06-07T05:06:00,@runningrobderby the team are available from 8am. 2/2 PH,740047228434276352
RBS_Help,2016-06-07T06:17:00,@kevinbroadway Can you please DM your sort code so I can check the complaint for you please? EJ,740065015479296000
RBS_Help,2016-06-07T06:42:00,@kevinbroadway Did we call you to raise the complaint? EJ,740071309376425984
RBS_Help,2016-06-07T07:07:00,@kevinbroadway The best thing to do would be to raise a complaint and this can be fully investigated - https://t.co/0PJ2Rt3PaD  EJ,740077598710071296
