screen_name,created_at,text,id
AptitudeFitnes,2016-06-06T07:41:00,@santanderuk can I increase my mortgage over the Internet or does it have to be done over the phone? #mortgage,739723998725046272
AliPatterson46,2016-06-06T07:54:00,@santanderuk 24/7?? Then why can i get no answer? Ringing out. Not even a msg to say I'm in a queue!! https://t.co/wAtIrylhlI,739727264015912961
Tornado_60163,2016-06-06T08:06:00,@santanderuk cannot access my online banking since sunday - whats up please?,739730043799240704
ianmatthias,2016-06-06T08:36:00,@SantanderCycles empty near Waterloo from 09:20 this morning...walking across the river to get a bike!! https://t.co/qo9Z9w2Foi,739737817740390400
Slick7Wyeth,2016-06-06T09:39:00,"@santanderuk text/email alerts, just as bad as ever. Best to check account daily.",739753470681583616
Fish_n_Phil,2016-06-06T10:00:00,@SantanderCycles my bike is too big to fit in my bag! 🕐🕖🕛🕓🕝🕢🕠💥 https://t.co/hU7U5ed6AS,739758782440411136
dannycottam,2016-06-06T10:27:00,"@santanderuk my rail card I got with my student account has been stolen, can I get it replaced or will I have to buy a new one?",739765658796326912
dexterk,2016-06-06T11:01:00,@santanderuk I'd like to complain that your customer service locked me out of my own bank account because they typed in the password wrong.,739774245111238656
xxhrhfmn,2016-06-06T12:56:00,"@santanderuk worst customer service, worst security procedures, worst bank.",739803112576290816
DavidNichol5,2016-06-06T13:02:00,@santanderuk online banking is down again!!,739804614913097729
muzi_mbele,2016-06-06T13:39:00,@santanderuk whoever is in charge of recruitment at your Eldon square branch in Newcastle is doing a fine job,739813927215828992
rachelsellars01,2016-06-06T15:15:00,@santanderuk @UniOfYork  branch are getting on their bikes for @ageuk &amp; @barnardos tomorrow. To donate:https://t.co/oqTW6S7aEy,739838063887716352
PaulTheFace_,2016-06-06T15:25:00,@santanderuk I'm guessing this isn't real based on the standard of English. Email address looks genuine though. https://t.co/s3IgguqhaR,739840519581405184
Afzalrocks1,2016-06-06T17:05:00,@santanderuk it shows banks r not trust worthy ... so am changing my bank . So call santander,739865925525082113
Gurpzbuttar,2016-06-06T17:12:00,@santanderuk keep receiving these emails and I don't hold a account with you guys. https://t.co/os7m7IkbCr,739867477535019008
Wazz,2016-06-06T17:28:00,@SantanderCycles any ETA on restoring the power to your Sancroft Street dock? (SE11),739871669519552513
CR0Z,2016-06-06T17:56:00,@SantanderCycles where are the 7 bikes available?! #joke https://t.co/fl4LVUBwua,739878527894466560
woolley1986,2016-06-06T18:31:00,@santanderuk @santanderukhelp check and fix your cash point on Stoke Newington High St. N16 https://t.co/mOzhQIXicb,739887411786874889
Lisaukuk,2016-06-06T19:25:00,@santanderuk  how long does it take for a cheque to clear pls?,739900978414161920
DaylightGambler,2016-06-06T20:14:00,@santanderuk really unimpressed with your service today. Why was half an hour of my time wasted because I was using my card?,739913355406761984
AlyxHolcombe,2016-06-06T22:38:00,@santanderuk @santanderukhelp wtf is going on? Every time I enter my security code this comes up?!!!! https://t.co/hSwONRIfwj,739949593744527360
KukeLelly,2016-06-07T02:28:00,@SantanderCycles I'm devastated to find that £94 has been taken out of my account!!! Please refund immediately! https://t.co/3ywsp1kYb6,740007514230689792
Daniela_J_C,2016-06-07T02:43:00,"@santanderuk Hello! I'll be moving to the UK in July, I'm an EU(Spanish) am I entitled to open a savings account in your bank? Thanks!",740011304929398786
JaggerG,2016-06-07T06:47:00,@SantanderCycles Splendid Summer Sunshine Southbank pt2/2 https://t.co/UI4f0qa5iQ,740072777747664896
CasparEliot,2016-06-07T08:36:00,@SantanderCycles Any chance of clearing out some bikes in Liverpool St/Moorgate area? Every day it is totally full by 9am...,740100026513362944
KloppoSaysBoom,2016-06-07T09:04:00,@santanderuk was told I couldn't pay cqes into my acc at Post Office then told I can don't need envelopes PO say I do. Who is right?,740107215659520000
NKorchunov,2016-06-07T10:09:00,"@SantanderCycles perfect, thank you for the swift response",740123597885280256
linopolis,2016-06-07T10:10:00,"@santanderukhelp Yeah, still a little annoying when the PIN arrives BEFORE the card, doesn't make any sense.",740123832619544577
linopolis,2016-06-07T10:43:00,"@santanderukhelp I'm not concerned, more annoyed. A PIN won't let me take any money out of my account.. Oh well, patience I guess.",740132170946248704
linopolis,2016-06-07T10:49:00,@santanderukhelp I was told I'd need photo ID to do that? Is that not the case? (As I don't actually have any photo ID),740133654450561024
linopolis,2016-06-07T10:56:00,"@santanderukhelp Doesn't really help with cash though. Ah well, hopefully the card will be at home when I get back. Thank you.",740135429731713024
Dom1073,2016-06-07T10:58:00,"@santanderukhelp just received email from ""onlinesupport"" saying my passcode has been entered incorrectly. Dont have an acct with you???",740135956695666688
PeteBrownBeer,2016-06-07T11:06:00,"@santanderukhelp appreciate security, don't understand why this was 'suspicious' - 70% of my transactions on this account are online travel?",740137971937083392
linopolis,2016-06-07T11:07:00,"@santanderukhelp If you could ""Accidentally"" drop about a million into my account that would be great. Thanks!",740138143010148357
Dom1073,2016-06-07T11:08:00,@santanderukhelp Email has been forwarded. good luck,740138456253386753
sonikkicks,2016-06-07T11:16:00,@santanderukhelp is this email legitimate? https://t.co/G7f1hyhzlc,740140255727210496
sonikkicks,2016-06-07T11:26:00,"@santanderukhelp Thanks, have forwarded on. Suppose I should have known from their over stretched logo, but you can never be too sure!",740142932167122944
