screen_name,created_at,text,id
careers_elaine,2016-05-11T15:01:00,@Screwfix @ScrewfixCareers Spoken to 5 different stores re. Work Experience today. Very mixed messages from your managers Whats your policy?,730412585175142400
Bristolboilers,2016-06-06T09:27:00,"@Screwfix broken boot lace on my brand new dewalt apprentice boots.
Who do I contact? https://t.co/CHGKq27y8M",739750599357517824
ibmreject,2016-06-06T10:47:00,"@Screwfix I once moaned about unhelpful, couldn't care less staff at Erith.  Went there today &amp; new lot are unbelievably friendly &amp; helpful🙂",739770761808732160
OnlineMassey,2016-06-06T13:30:00,@Screwfix Next day delivery! Rubbish! Received 1 of 2 parcels. Can't start job without other. Their answer - wait in tomorrow for it. Joke.,739811632080097280
HenmanDunnLtd,2016-06-06T14:45:00,"@Screwfix this is very generous of you guys, job well done!",739830655220092928
CaptainHaggis,2016-06-06T16:44:00,@Screwfix cheers for the Summer Savings catalogue but woow what an intoxicating scent. #StinkyInk,739860420052324353
BrianSpiers,2016-06-07T06:30:00,@Screwfix not available to buy online or click and collect in my area (Falkirk)?,740068454481440768
Kopje1John,2016-06-07T07:09:00,@Screwfix 13amp2gdpswitched socket with 2.1double usb port will not charge two iPhones at same time!!!!,740078329974423552
Kopje1John,2016-06-07T07:34:00,@Screwfix Ely they will not work with two iPhones at same time - why would I buy it with two USB ports if you can one !,740084582519832576
mikenco,2016-06-07T10:39:00,"@Screwfix Is @chris_kammy a real presenter? I'm not a footie fan at all, I thought he was some parody based on those betting app advert.",740131025754435586
zoegillings,2016-06-07T10:44:00,@Screwfix had a bad experience at #seacroft store in #Leeds if you would like some feedback?,740132204861378560
zoegillings,2016-06-07T11:37:00,@Screwfix will do. Thank you :) Z,740145754321395712
MrTomW,2016-06-07T11:42:00,@Screwfix thanks!!,740146804055003136
tehreedy,2016-06-07T12:33:00,"@Screwfix Is it normal you sell ride on mowers online, to be delivered within 5 working days, for your supplier to say it will be longer?",740159806250586112
zoegillings,2016-06-07T12:55:00,@Screwfix huge thank you for sorting out my problem earlier today... Great service :),740165327129038848
PaulaJhutch,2016-06-07T14:16:00,@screwfix call centre had15mins payloss if 1 minute late back in 2013/14. Endorsed by numbskull micromanagers. @SportsDirectUK aren't alone!,740185730950045700
toongipper,2016-06-07T15:16:00,@Screwfix still cheaper elsewhere,740200662164770816
WippydeeWaen,2016-06-07T15:54:00,@Screwfix trying to use your exclusive £5 off voucher with online order but msg saying promo code ED126 is incorrect or out of date.,740210229388926977
nikdiem,2016-06-07T16:04:00,"@Screwfix Received promo code through post, quoted at till, would not accept promo code. Please advise? Actual letter was at home. #disapptd",740212827638661120
nikdiem,2016-06-07T16:30:00,@Screwfix will do now!,740219302222176256
arw84,2016-06-07T17:20:00,@Screwfix youve obviously never experienced desperately needing the toilet while doing the dishes,740231954591797248
nikdiem,2016-06-07T17:41:00,@Screwfix Excellent #customerservice thanks again Ant.,740237302400712704
Tom_McAsey,2016-06-08T08:19:00,"@Screwfix hi recently bought the Titan electric chainsaw can you advise the correct chainsaw oil that you sell for this, regards.",740458244984999937
Tom_McAsey,2016-06-08T08:35:00,@Screwfix much obliged,740462358762553344
LightWiki,2016-06-08T13:05:00,"@Screwfix you can help build this shed if you like ("",)",740530287109636096
Ru55jones,2016-06-08T13:32:00,@Screwfix @chris_kammy,740536923673001985
LawrenceWalsh1,2016-06-08T15:50:00,"@Screwfix Hi, BS EN 60669-1. I've found the triple, but not the double",740571819535704065
LawrenceWalsh1,2016-06-08T15:51:00,"@Screwfix Sorry, may have been this you were after 52431",740571932798652416
LawrenceWalsh1,2016-06-08T16:29:00,"@Screwfix If you could see whether they have the double version in your Greg Street, Stockport branch that would be good",740581501742518276
deanotheace,2016-06-08T16:32:00,@Screwfix . Just basic customer service to tell customers when they enter the store or put up a sign. I left with 5 other angry customers.,740582400808390661
Laoni2013,2016-06-08T16:42:00,"@Screwfix 

 M6 X 70MM (60234) you might consider putting total diam of these in the 'product dameter' slot in 'more info' M10 are 16mm diam",740584872549421056
nigep,2016-06-08T18:52:00,"@Screwfix 
Your emails should have a proper unsubscribe button rather than 'reply with unsubscribe' 
Quite sure I didn't opt to get them!",740617523616448512
nigep,2016-06-08T19:07:00,@Screwfix can it not be done via the user account?,740621382556504064
nigep,2016-06-08T19:09:00,@Screwfix I have done it. I don't want to rate my shopping experience or complete a survey every time I shop.,740621893817008128
