screen_name,created_at,text,id
tescobankhelp,2016-06-06T07:00:00,Good morning! We're here to answer your banking queries until 8pm. Have a great day! - Jordan,739713491876077568
TescoInsureHelp,2016-06-06T07:01:00,Good Morning on the 6th day of the 6th Month 2016! Social Media Team are here so get in touch! Thanks Sam.,739713776761622528
TescoInsureHelp,2016-06-06T07:08:00,@jems_x Hi Jemma - I've just checked with our Travel Team and we class Turkey as EU. Hope this helps! Thanks - Heather,739715647295344640
TescoInsureHelp,2016-06-06T07:08:00,@coxychris Hi Chris. I am sorry. If there is anything I can help with just let me know. Thanks Sam.,739715579158921216
tescobankhelp,2016-06-06T07:16:00,"@RasberrySteven Morning! Can you send us the name, DOB, and postcode of the person on the letter and we'll look into this for you - Jordan",739717526049968128
tescobankhelp,2016-06-06T07:28:00,"@DunkyBunks Morning, Duncan. We're looking to implement contactless in August so not too long a wait! - Jordan",739720536532615168
tescobankhelp,2016-06-06T08:14:00,"@DunkyBunks I don't foresee any issues with doing that, Duncan. We'll make customers aware once the cards are available :) - Jordan",739732083128557568
tescobankhelp,2016-06-06T09:55:00,"@TheCSIgirls Hi, I'm sorry to hear about the card delay. If you DM with your name, DOB and postcode, I can look into this for you –Scott",739757507820834816
TescoInsureHelp,2016-06-06T10:23:00,"@jay_virdee Hi Jay. Can you follow &amp; DM your ref, address and contact number? Thanks Sam.",739764762628743169
TescoInsureHelp,2016-06-06T10:33:00,@jay_virdee Thansk Jay. If you DM all your info I will ask our claims team to get in touch. Thanks Sam.,739767064710262784
tescobankhelp,2016-06-06T11:22:00,@xinzhao Hey! Can you please DM your query to @tescobankhelp so that we can reply :) - Ash,739779605410766848
tescobankhelp,2016-06-06T11:39:00,"@charlie0108 Sorry to hear this Charlotte. Can you DM your DOB, postcode &amp; what happens when you go to make the payment please? - Eileen",739783732492701696
tescobankhelp,2016-06-06T12:17:00,"@michaelpdrock1 Just to confirm Michael, would this put your account in credit? Are you looking to move it to your current account? - Eileen",739793333392920576
tescobankhelp,2016-06-06T12:23:00,"@OliviaaLloyd Hi Olivia, can you follow us so we can respond to your private message? - Scott",739794736861581312
tescobankhelp,2016-06-06T13:06:00,@michaelpdrock1 Thanks for getting back to me! If you call customer services on 0345 300 4278 we can certainly do that for you :) - Eileen,739805736985874432
TB_Community,2016-06-06T14:18:00,RT @JeanetteCastle: Big thank you to libraries from #tescobank for delivering the #summerreading challenge  #Cilips16,739823868261634048
