screen_name,created_at,text,id
DunkyBunks,2016-06-06T07:59:00,@tescobankhelp Would I be able to request my card is reissued once you support contactless?,739728384813584384
DunkyBunks,2016-06-06T08:35:00,"@tescobankhelp Excellent, thanks",739737374205313024
TheCSIgirls,2016-06-06T10:01:00,"@tescobankhelp I have a new one on the way thank you, I phoned up on Saturday. Just concerned my refund has not been processed fully",739759145159688192
jay_virdee,2016-06-06T10:28:00,@TescoInsureHelp No more calls. Put everything into an email to me. Will DM my details.,739765821346582528
jay_virdee,2016-06-06T10:35:00,@TescoInsureHelp Just sent you a DM Sam. Thank you for assisting. Please do provide clarification re: point 15 of the policy.,739767560053329920
charlie0108,2016-06-06T11:34:00,@tescobankhelp I've tried to pay my minimum payment twice now (once before the deadline) and nothing has gone through. Please can you help?,739782419759403008
michaelpdrock1,2016-06-06T11:59:00,@tescobankhelp I think £79.99 is being refunded to my credit card. My credit card is up to date. How do I withdraw it?,739788775035940864
OliviaaLloyd,2016-06-06T12:23:00,@tescobankhelp all done. Thank you!,739794874359291904
michaelpdrock1,2016-06-06T12:40:00,"@tescobankhelp hi, yes it would put me £79.99 in credit. I'd like to put it back to the debit card I pay the credit card with",739799163030896640
kayjays94,2016-06-06T14:57:00,@TescoInsureHelp how long is the site down for? https://t.co/6GJfoZGaW5,739833608345690113
kayjays94,2016-06-06T15:00:00,@TescoInsureHelp the car insurance portal,739834421923225600
kayjays94,2016-06-06T15:04:00,"@TescoInsureHelp no problem, just thought you should be aware",739835364668497920
IanParks_,2016-06-06T17:28:00,@tescobankhelp Any idea what month Apple Pay is arriving for out Tesco bank debit cards ? How late are you :(,739871724003569664
class450dude,2016-06-06T17:32:00,@tescobankhelp Trying to rename an account online and just keeps saying. Online Banking is currently unavailable,739872629088264192
class450dude,2016-06-06T17:38:00,@tescobankhelp Internet Saver,739874203541864448
class450dude,2016-06-06T17:41:00,@tescobankhelp Was used Chrome changed to Safari and it works on Mac OS X so clearly a compatability issues on Chrome :),739874835736711172
christesla,2016-06-06T18:12:00,@tescobankhelp yes,739882645748875264
RasberrySteven,2016-06-06T18:48:00,"@tescobankhelp thanks, I've DM the details I know.",739891808981901312
stevie7153,2016-06-06T21:33:00,@tescobankhelp 6hrs on and still no sign of transfer made into Natwest Account but Transfer from it appeared in min's of being made,739933286294781953
scottb272,2016-06-06T21:52:00,@TescoInsureHelp Thanks for the e-mail offering a discount on Tour of the Borders; unfortunately you sent it 4 days after I applied!,739938061048549378
Sareyware,2016-06-07T08:50:00,"@TescoInsureHelp Hi. I've found bug on your quote web page. Adding a second driver, cannot add mandatory employment details. Doesn't search",740103506703613952
Sareyware,2016-06-07T09:06:00,@TescoInsureHelp Easier is not having to re-enter data multiple times to get a quote as an existing customer when your renewal rate is bad!,740107666106769408
Sareyware,2016-06-07T09:15:00,"@TescoInsureHelp Would be better if you offered the loyal, existing 4 product Tesco customers the best renewal rate straight away!",740109815263989761
miss_AkHolic,2016-06-07T10:55:00,@TescoInsureHelp done thank you,740135191310700544
howardeno,2016-06-07T10:58:00,@tescobankhelp I am very disappointed with a recent experience I had with trying to use my card in USA.,740135939696103424
howardeno,2016-06-07T11:00:00,@tescobankhelp it was declined a number of times. yet i checked to make sure I didnt have to inform you of my travelling.,740136236820631552
howardeno,2016-06-07T11:01:00,@tescobankhelp no mention of needing a mobile phone is mentioned. Very poor communication caused embarrassment to myself.,740136643076751360
JBTEvans,2016-06-07T11:58:00,"@TescoInsureHelp with travel insurance,is it allowed to buy single trip cover if we are making 3 trips in/out the UK within a 12 day period?",740151002842697728
scottwalton7747,2016-06-07T12:04:00,@tescobankhelp about the branches in store as it has now closed,740152470308048896
JBTEvans,2016-06-07T12:10:00,"@TescoInsureHelp many thanks, thought so.",740153881527750656
VictoriaMaskell,2016-06-07T12:18:00,@tescobankhelp absolutely appalled by the lack assistance from your complaints dept! I'm so upset! No choice but 2 go to the #ombudsman #fca,740155874535219200
_pyeface,2016-06-07T13:51:00,"@tescobankhelp why does my banking app always show 2 credit card statements for consecutive days, different amounts. But online is only 1 ?",740179435463249922
skithepiste,2016-06-07T14:28:00,"@tescobankhelp #appauling motor insurance cover ""we won't fight for you"" cos we can't be arsed #everylittlehelps providing you give us money",740188792204726272
_pyeface,2016-06-07T14:48:00,@tescobankhelp DM you. Thanks.,740193779253149696
mickhmotorsport,2016-06-07T16:31:00,@tescobankhelp why on earth can I not reduce my credit card limit online. It's about time you brought online up to date and also contactless,740219559815356416
