screen_name,created_at,text,id
DavidBravoJr,2016-03-16T23:45:00,@TeslaMotors @elonmusk @TeslaMotorsClub Thank you ♡ https://t.co/CxQUiFPTwR,710250600034738176
JorelLaraKalel,2016-03-21T22:37:00,@TeslaMotors stock could climb to $250-$275 by March 31st. #Model3 #Tesla @elonmusk @TeslaMotorsClub @TeslaRoadTrip https://t.co/F3yhEdSzA7,712045526548684801
TheMotorLife,2016-03-27T21:10:00,@TeslaMotors Model 3: All That We Know --&gt;&gt; https://t.co/HASmdc9anD #TheMotorLife #Model3 @TheTeslaChannel @TeslaMotorsClub @TeslaCanada,714197939652923392
MeghanNaik,2016-03-27T23:03:00,@TeslaMotors Model 3: All That We Know --&gt;&gt; https://t.co/1Uh9J4bQol  #TheMotorLife #Model3 @TheTeslaChannel @TeslaMotorsClub @TeslaCanada,714226397066108928
Tesla_III_,2016-03-30T23:56:00,@TeslaMotors @elonmusk @RoadandTrack @MotorTrend @CARandDRIVER @Model3Owners @TheTeslaChannel @TeslaMotorsClub https://t.co/7gA4TDjInw,715326913447747584
EyeTruthNRW,2016-03-31T17:19:00,@TeslaMotors @TeslaMotorsClub @TeslaClubNL Check my new playlist! https://t.co/5g7jwUywwt https://t.co/vrIdFInVZ7,715589352701734914
V7BassFishing,2016-04-02T23:57:00,@TeslaMotors @TeslaMotorsClub @elonmusk #isit2017yet. Cannot wait to get rid of our Impala and get the Model 3,716414287317585920
fitzdesix,2016-04-04T01:31:00,@TeslaMotors @TeslaMotorsClub @autocar @thenewautonews @AutoExpress  https://t.co/UAZv5AbOkz,716800423638777856
cybereport,2016-04-04T12:25:00,"@TeslaMotors has received 276,000 #Model3  orders #GoElectric @TeslaMotorsClub",716964790485323777
muftak3,2016-04-04T21:51:00,@TeslaMotors @elonmusk @TeslaMotorsClub I think this might be the first Model X in North San Diego. #Tesla #modelX https://t.co/RSZBB5AMsG,717107455184883712
jovanik21,2016-04-05T15:13:00,"@TeslaMotors @TeslaMotorsClub @TeslaCanada @elonmusk spaceship interior of the #Model3? Only bigger, better MCU??? https://t.co/RoB9QxVFfw",717369702599761920
ANHurst,2016-04-07T11:41:00,@TeslaMotors @TheTeslaChannel @talkingtesla @TeslaClubEU @TeslaMotorsClub @First 6 stories on #BBC are #Tesla #ev https://t.co/OFYIBjwpkf,718041062820945920
Mikeys007,2016-04-09T04:26:00,@TeslaMotors @elonmusk @TeslaMotorsClub  I sure hope not. I knew about auto pilot but.. https://t.co/LDFpaeevbG,718656305854976000
motorgiga,2016-04-14T19:20:00,@TeslaMotors  @TeslaMotorsClub Vía #Motorgiga#Tesla#ModelS con un ligerísimo restyling https://t.co/x5IrllLqte https://t.co/M5xrPUdLbN,720693135693783040
AlissaRedrose,2016-04-20T23:53:00,@TeslaMotors @TeslaMotorsClub I have to admit that the Tesla is one of my favorite cars! It has great horsepower!,722936209412988930
TO_Blonde,2016-04-25T21:13:00,@TeslaMotors @elonmusk @AutoExpress @AutoGuide @therealautoblog @TeslaMotorsClub @TeslaRoadTrip  https://t.co/HteQ4i3Mnc,724707911990140928
prabhur123,2016-04-26T13:08:00,@TeslaMotors @TeslaMotorsClub really amazed!!! https://t.co/hia1wIGehH,724948374424788993
raqueta2323,2016-05-06T20:35:00,"@TeslaMotors @TeslaMotorsClub en una hora y 15 minutos ha cargado el 100% de su carga, muy bien es ese aspecto!!",728684519021219840
PingProductions,2016-05-10T15:38:00,"@TeslaMotors @laurindaxed5656 @TeslaMotorsClub https://t.co/rAzqUEIAuu
Our little vid homage to our fav car brand. https://t.co/Ap9O65Ajgq",730059559608455168
drewshah1234,2016-05-12T14:02:00,@TeslaMotors @TeslaMotorsClub @elonmusk @Model3Owners Serious question: Is it safe to go off road in an X?,730760030547525632
ZiskaC,2016-05-14T19:19:00,@TeslaMotors @TeslaMotorsClub @TheTeslaChannel #Colorado the road block to  #Tesla #limo in #Colorado please share  https://t.co/Orwa92ASq9,731564624991019008
richardspercep1,2016-05-18T00:36:00,"@TeslaMotors @TeslaMotorsClub  finally got my Tesla model S, for a good price! Can't wait to show my friends :D https://t.co/7WaBFwDY4P",732731638669410305
merissafb1,2016-05-23T18:29:00,@TeslaMotors @TeslaMotorsClub another Tesla road trip in beautiful Alberta! #happytravelers #evfun #tesla https://t.co/JBecWUiGCI,734813536073846784
Uptown23211,2016-05-26T16:46:00,@TeslaMotors @elonmusk you. Red to check this out 💯🙌🏼 @TeslaMotorsClub @TeslaMotorsCZ https://t.co/DAt9I8kgcM,735874712396390401
AskDrStupid,2016-05-28T16:37:00,@TeslaMotors @TeslaMotorsClub @TeslaClubBE Fixed that for tomorrow's race! https://t.co/nk0pkggXkh,736597338714673152
DanBuk4,2016-06-08T04:45:00,"@TeslaMotors Will Become a $700 Billion Gorilla, Ron Baron Suggests https://t.co/DUtNxnS45q @siddfinance @TeslaMotorsClub @ILCtsxv @kimbal",740404440499376132
hpreyers,2016-06-10T11:50:00,@TeslaMotors FYI Ghent Supercharger stall 4a https://t.co/ow6KZaoa4T,741236075281186816
my2twh,2016-06-10T11:55:00,@TeslaMotors so let ppl know how much car payment plus gas is mthly for suv vs mthly for tesla,741237266526375937
stockdrover,2016-06-10T11:56:00,"@TeslaMotors Bravo! Haters gonna hate, hate, hate, even if you car is Great, Great, Great. Such is the fear of the fallen angels of Detroit.",741237592671260673
PBulteel,2016-06-10T11:59:00,@TeslaMotors knows the truth when you crash your car (so don't lie)... Soon others will too. https://t.co/K8klG3mYN9,741238268134629376
Avron_p,2016-06-10T12:01:00,@TeslaMotors any news on the model X for Canada?,741238960043724800
tmosley4,2016-06-10T12:04:00,"@TeslaMotors @elonmusk ""Incentives"" is a funny way of saying ""taxpayer subsidies""
Hope you guys enjoy your cars-We're forced to pay for them",741239535871238145
TESTOR_TT,2016-06-10T12:06:00,@TeslaMotors @elonmusk so in Poland it will cost over $100.000.,741240158079594496
MichaelGadier,2016-06-10T12:10:00,@TeslaMotors @elonmusk knows everything to make the consumers so happy. :)) https://t.co/btiOnOszI5,741241053047447552
alexhaynes32,2016-06-10T12:12:00,@TeslaMotors @marcdhaynes,741241712442368000
ColbyCreamer,2016-06-10T12:15:00,@TeslaMotors @cjcreamer,741242503362412546
ARCHERnFLORIDA,2016-06-10T12:16:00,@TeslaMotors @Dreams595  it's affordable now!,741242737819783168
ElRapid1,2016-06-10T12:18:00,"@TeslaMotors great.  needs a better proofer, though.",741243084739088384
crottler,2016-06-10T12:18:00,@TeslaMotors  just dropped the mic! 🎤. Go troll someone else @Tweetermeyer,741243196919795712
AnthonyLaneau,2016-06-10T12:18:00,@TeslaMotors Plan to Rule the #Auto Industry? #InApp Purchases https://t.co/6Y9JOjrFLK https://t.co/9oF3AG5lMM,741243214062100481
awolfman,2016-06-10T12:19:00,@TeslaMotors @elonmusk It makes me sad that the world makes this kind of post necessary. I fear for mankind.,741243423319949312
YellowNoir,2016-06-10T12:20:00,@TeslaMotors this is becoming harder to say no to. https://t.co/WkQVODobth,741243552156422144
GusFlory,2016-06-10T12:24:00,"@TeslaMotors Yes, it's pricey. But think how much you'll save on gas...",741244700418396160
javiergmd,2016-06-10T12:29:00,@TeslaMotors and in SPAIN still IMPOSSIBLE.,741245943073406976
mochouinard,2016-06-10T12:30:00,@TeslaMotors I've seen lot of rust start to form on my Model S at different place !  That response is not helping my fears !!!,741246048232964096
otleyshev68,2016-06-10T12:30:00,@TeslaMotors will you pm me please then I will give you my details otley shev keV aka eco keV ;-),741246100246568960
rickybloomfield,2016-06-10T12:33:00,"Wow, this sounds like a company responding from the heart, passion and all! Rare these days. @TeslaMotors @elonmusk  https://t.co/iTPDPs31c7",741246789832060928
otleyshev68,2016-06-10T12:33:00,@TeslaMotors @jonrat09 err &amp; and a boat load of other features me thinks as well :-) I have my electric Nissans but we r EV ing together ;-),741246860275355648
JamesJewiss1,2016-06-10T12:45:00,"@TeslaMotors Exactly what I wanted to hear as an early bird model 3 pre order.
You can't ask more from a company.",741249908326436864
LibertyNFaith,2016-06-10T12:47:00,@TeslaMotors Requiring contractual promise to not talk about defect on social media in exchange for repair is wrong and hurts brand.,741250378331754497
dee4077,2016-06-10T12:48:00,"@TeslaMotors @elonmusk Sure, after incentives, but before those a person still has to come up with the $$ for the full price to buy one 😩",741250591557554176
MedicalDeviceUS,2016-06-10T12:50:00,@TeslaMotors To Offer Lower-Cost Model S Versions https://t.co/RfGQD5rLwT #automotive #manufacturing #mfg,741251147147685888
Cannonfodder002,2016-06-10T12:52:00,@TeslaMotors Well done.,741251625767993344
skeltoac,2016-06-10T12:53:00,"@TeslaMotors @elonmusk ""Short"" people got no reason to live",741251953393438723
jkru1421,2016-06-10T13:01:00,@TeslaMotors @AnnVandersteel  nice,741253956534476800
sheepshorn,2016-06-10T13:04:00,@TeslaMotors I ❤️ Tesla,741254821395595264
kusharoratweets,2016-06-10T13:14:00,@TeslaMotors @elonmusk :) good but still 30K more than model 3. But a very good move!!,741257180213579777
SteveBatzer,2016-06-10T13:14:00,@TeslaMotors @elonmusk Kudos on the response; makes me proud to be a future owner.,741257232101167104
joshlequire,2016-06-10T13:22:00,"@TeslaMotors knows how to respond to negative publicity. Well done!

A Grain of Salt https://t.co/qRtgvb3mFD",741259177486626816
IvanovaTasha,2016-06-10T13:25:00,"@TeslaMotors @elonmusk hi, love the car and the new price. What is the total battery life before it has to retire and how is it re-cycled?",741259972512747522
EdgarFbmex2005,2016-06-10T13:26:00,@TeslaMotors does that mean that this car actually has the Unlimited supercharger or is it going to be like the model 3,741260133804560385
therealhellyeah,2016-06-10T13:28:00,@TeslaMotors @iCrackUriDevice oh dayum! Telsa done bring tha hurt on ya,741260825545965568
joe31337,2016-06-10T13:32:00,@TeslaMotors @AZ511 do you get hov Lane for tesla 60d ?,741261853842505728
xsjlo,2016-06-10T13:40:00,"@TeslaMotors what I hear, a Tesla can pull a trailer and how many?",741263772447346689
13utta,2016-06-10T13:49:00,@TeslaMotors How much storage space will be available in the model 3? Able to accommodate a stroller and groceries? #BabyStuff,741266096565669889
AmazingChevVolt,2016-06-10T13:51:00,"@TeslaMotors
MT/
'~There Is No Safety Defect With The Suspensions In Either The #TeslaModelS Or #TeslaModelX'
https://t.co/6yQZDEBm75
$TSLA",741266471377113088
sandozdelysid,2016-06-10T14:01:00,"@TeslaMotors the ""effective cost"" a a used prius was $46,000 around 2008.
how is more affordable at $60,000?
effectively?
seriously.quitcrak",741269082389942273
siriusaetherien,2016-06-10T14:03:00,@TeslaMotors meh. This move is why I pulled my investment at a loss. Again.,741269573077368832
JamesHoffmann3,2016-06-10T14:34:00,@TeslaMotors Super excited that the Model S will now start at $66K. #tesla,741277250629345281
David_C_McGarry,2016-06-10T14:35:00,@TeslaMotors @elonmusk I'm curious what the SEC has to say about the short sellers publicly defaming Tesla with false accusations for profit,741277674669244416
