screen_name,created_at,text,id
TransferWise,2016-03-12T15:41:00,".@Everton are 2nd most popular football club among UK Expats in the US. True story. 

More: https://t.co/H3Ugf7H61M https://t.co/KrIqEMbyOk",708679195577069569
TransferWise,2016-03-13T08:50:00,"@alexanderpeh We're slowly rolling out local payments from CAD, so at the moment it's only available on the web, rather than the app!",708938354054791169
TransferWise,2016-03-13T09:05:00,"@MahdiShariff Hi, please send us an e-mail to support@transferwise.com, so we could look further into this!",708941924766519296
TransferWise,2016-03-13T17:42:00,"We're hiring in London, Tallinn, Tampa and NYC - follow @workwise for regular updates - or apply here: https://t.co/yDXmNu8kgw",709072031245946880
TransferWise,2016-03-14T07:39:00,@glabougle Transfers to CLP aren't supported at the moment. But we're working hard on getting this route back up and running!,709282806208155648
TransferWise,2016-03-14T07:45:00,"@stephanmg Happy to help! You'll be making a same-currency payment into our local account, so there shouldn't be any additional charges.",709284417529913345
TransferWise,2016-03-14T08:34:00,"@roshiro There shouldn´t be any issues, but feel free to contact our support https://t.co/qEK2aKeJTk and we`ll take a closer look.",709296722590040064
TransferWise,2016-03-14T08:48:00,"@sevensisbrew Our website will ask, but you do not need to enter this number for a partnership. Give it a go! Any issues - let us know :)",709300149906898945
TransferWise,2016-03-14T11:50:00,Find and verify SWIFT/BIC codes for banks worldwide with our toolkit: https://t.co/Pl4ojG2H4b #FinTech #expats https://t.co/nt0otWlPUi,709346037824036866
TransferWise,2016-03-14T15:04:00,"RT @workwise: We're looking for a Affiliates and Partnerships Manager to join the TransferWise team. Apply here...
https://t.co/Y5v1huEDSj …",709394793412038657
TransferWise,2016-03-15T07:09:00,"@jackleighman Hey! Yes, that still stands.",709637691504091137
TransferWise,2016-03-15T07:27:00,@Ventouxblue Hey! We've now followed you so you can DM us. We'll help you any way we can. :),709642099864543232
TransferWise,2016-03-15T08:30:00,"@lizwulf Hey! Can you give us a call please, we'll guide you through the process - https://t.co/hT3c0ll90G :)",709657892174106624
TransferWise,2016-03-15T10:25:00,"Meet Marc. 

Marc saves by using TransferWise to send money to his business in Thailand: https://t.co/APL0sk4vCy https://t.co/6nCp58Jb1S",709686995031871488
TransferWise,2016-03-15T10:34:00,"RT @TW_Engineering: Introducing TransferWise rate alerts.

Daily rate updates, direct to your inbox: https://t.co/Qk1eDOERLd #FinTech https…",709689204117266436
TransferWise,2016-03-15T11:48:00,@ranjanrathor Hey! Unfortunately that's not supported. We cannot receive money from third parties. https://t.co/bNS7ZyNpkU,709707736154558464
TransferWise,2016-03-15T13:31:00,"Starting today, you can send money to South Korea with TransferWise. 

Read all about it: https://t.co/FrQLhkEhmj https://t.co/qqFSpGGiVH",709733886138327040
TransferWise,2016-03-15T13:37:00,"@OkabeKyoumi Hey! It is in the works, we'll keep you posted if you submit your wish here: https://t.co/UTq8rqYdM0 :)",709735307449667584
TransferWise,2016-03-15T15:01:00,"Noel Edmonds, Foreign Minister. 

Phil Mitchell, Mayor of London.

What do Americans really know about the UK?
https://t.co/ivSfrfgwOf",709756332962779136
TransferWise,2016-03-15T15:06:00,"RT @workwise: We're looking for a Full Stack Developer to join the TransferWise team. Apply here: 
https://t.co/LVf7jMA3kt #job",709757753896607745
TransferWise,2016-03-15T17:03:00,"TransferWise rate alerts - daily mid-market rates, direct to your inbox: https://t.co/CqQhICttBe https://t.co/WIcLhOlC9B",709787234514374656
TransferWise,2016-03-15T17:26:00,RT @Kevinepark: TransferWise partners with Pay Gate to bring money transfer service to South Korea https://t.co/jMyLlui1YX via @Finextra #F…,709792812116676608
TransferWise,2016-03-15T20:17:00,What will the bank of the future look like? @taavet shares his views: https://t.co/0MJEp0oCFM #FinTech https://t.co/c4A1VXWsy9,709835844522102785
TransferWise,2016-03-16T09:53:00,@Rvervuurt We don't support same currency transfers just yet. But EUR to EUR can be sent via Request Money feature: https://t.co/EHCmknkQpm,710041281037148160
TransferWise,2016-03-16T09:59:00,@hayleyscrayon With transfers from EUR your rate gets locked for 55h. You may find out more about it here: https://t.co/W0pXdD2GOa.,710042834238251008
TransferWise,2016-03-16T10:12:00,"RT @workwise: We're looking for a Data Engineer to join the TransferWise team. Apply here: 
https://t.co/R4tq7G2QGP #job",710046103849340928
TransferWise,2016-03-16T11:27:00,ICYMI: You can now use TransferWise to send money to #SouthKorea. Find out more: https://t.co/Fl9FDwSaJC https://t.co/vs9nwYqNt4,710064971925708800
TransferWise,2016-03-16T13:02:00,@PabloVerano Hey! Can you please take a screenshot and send it to support@transferwise.com. We'd like to take a closer look.,710088759912476672
TransferWise,2016-03-16T13:03:00,@ColockerMK Hey! It might be possible in the future but no ETA for that yet.,710089150796435456
TransferWise,2016-03-16T14:26:00,"@kubilayozisik Hey! You can see the status of a transfer on the ""Transfers"" page when logged in, just click on the payment order.",710110109125349376
TransferWise,2016-03-16T14:32:00,@kubilayozisik Can you please DM us with more info?,710111593435160576
TransferWise,2016-03-16T16:41:00,The Future of Finance: democratisation and unbundling - our full report: https://t.co/3WyL1PDcYf #FinTech https://t.co/2TTjLNgbF0,710143919976259584
TransferWise,2016-03-16T18:10:00,"'The future belongs to digital, and among the pioneers in Europe is Estonia' - TransferWise featured on @dwnews: https://t.co/Mjn8ydJyEK",710166284571426816
TransferWise,2016-03-16T18:41:00,@sir_cas Fee is taken from the money you send to us &amp; the rest is converted &amp; sent to your recipient. Read more: https://t.co/jzWvlJu5B5,710174119799562240
TransferWise,2016-03-16T20:24:00,"@SurferAlexisArg We don't have an ETA just yet, but please add this to our wishlist here https://t.co/j5cCo1vFwa &amp; we'll keep you up to date",710200120105566208
TransferWise,2016-03-16T20:34:00,"@kennedyneil We don't have an update for you on this feature being rolled out soon, but we'll give this feedback to our devs!",710202497424470016
TransferWise,2016-03-17T09:16:00,@raghuflawless This is interesting.. Could you please DM us with details so we can look into this?,710394427856949248
TransferWise,2016-03-17T09:35:00,@raghuflawless Please DM us with details and we can take a look into this!,710399178019569665
TransferWise,2016-03-17T09:44:00,@yoyitaoff Working to get a French account open soon! Current EUR accounts in Germany &amp; Estonia. Contact for details:https://t.co/qEK2aJX91M,710401309371998208
TransferWise,2016-03-17T10:10:00,@GoCardless thanks for sharing! https://t.co/sSzMrAIXL3,710407982165659648
TransferWise,2016-03-17T10:10:00,RT @GoCardless: What does the Future of Finance look like? @TransferWise have crafted a report: https://t.co/L6Ap4jKZpl #fintech https://t.…,710407849768316930
TransferWise,2016-03-17T12:42:00,"Want daily exchange rate updates direct to your inbox?

Sign up to our free rate alerts: https://t.co/CqQhICttBe https://t.co/VVFfe5ZYuV",710446181508390913
TransferWise,2016-03-17T22:33:00,@dustwitman All depends to what currency you're sending to. Let us know the amount and currency you're receiving at support@transferwise.com,710595025323868160
TransferWise,2016-03-17T22:40:00,@is_ab_el_le Need some LBP in your life? Let us know what currency we need to cover at https://t.co/tOnQQAs9wT. We need your feedback!,710596749883211777
TransferWise,2016-03-17T22:58:00,@dustwitman Thank you for the letter! One of our agents has sent you a reply and we look forward to helping you! No SWIFT code needed ;),710601149234065408
TransferWise,2016-03-17T23:07:00,"@prabinjoel We have more currencies, the trust of our customers and solid partnerships https://t.co/H4CKDSB4P5 A little competition is good!",710603569926414336
TransferWise,2016-03-18T09:43:00,"For our French followers, TransferWise featured in @Le_Revenu by @alinefauvarque:   https://t.co/MmYdeV3EAf",710763665985839104
TransferWise,2016-03-18T09:46:00,RT @mrknt: 'Startups not just replicating what banks do; focused on solving customer problems.' @sokkfinds @TransferWise at  #NordicStartup…,710764397694734336
TransferWise,2016-03-18T09:58:00,RT @ST_FastTrack: .@TransferWise partners with @PayGate to take its money transfer services to South Korea @sageuk #StartupTrack15 https://…,710767336161210368
TransferWise,2016-03-18T10:09:00,@imboande We ask for an extra security question when logging in from abroad. Your profile is active and we've emailed you further info ;),710769993504448512
TransferWise,2016-03-18T11:21:00,"@ct_web_devs It's still in the works, no ETA yet. We'll keep you updated if you submit your wish here: https://t.co/UTq8rqYdM0.",710788159051862016
TransferWise,2016-03-18T14:01:00,"We’re hiring! 

Roles in London, Tallinn, Tampa and NYC - find out more: https://t.co/qYQO8PhpxS",710828482750717957
TransferWise,2016-03-18T14:45:00,"@sir_cas Verification is one-time only, it's one of the regulations we're bound to. Read more: https://t.co/cCHywyxGG5",710839449358209024
TransferWise,2016-03-18T16:11:00,"@bioseas01 Transfers from NGN aren't supported, but we're working on it. Submit your wish https://t.co/UTq8rqYdM0 &amp; we'll keep you updated.",710861289187315712
TransferWise,2016-03-18T20:10:00,@feedingthecat Not that we know of. Let's have a look! Please reach out to our staff at support@transferwise.com and we'll help you out :),710921294280265730
TransferWise,2016-03-18T20:13:00,@sir_cas We'd love to have a look. Give one of our agents a buzz at support@transferwise.com and we'll be sure to help you out.,710921995471314944
TransferWise,2016-03-19T07:13:00,@lisalapasila Hey! Pleas reach out to us at support@transferwise.com. We'd like to take a closer look into this.,711088219941576704
TransferWise,2016-03-21T07:50:00,@RylandPM seems to be working from our end - what seems to be wrong? Do you have a screenshot? - would massively help so we could fix it :),711822368750964736
TransferWise,2016-03-21T08:22:00,"@eduarddobre depends, where you are sending the money from. This page should offer information https://t.co/tCRQhFADe0 hope it helps :)",711830402856390661
TransferWise,2016-03-21T08:52:00,@sayitrightltd international money transfers is our specialty - so we'll be definitely able to help you out the best with those :),711837778301083648
TransferWise,2016-03-21T09:15:00,@rojospinks Thanks! Hope we can help you in the future with any payment ;),711843600477212672
TransferWise,2016-03-21T09:19:00,"@rokerkony @number26 yes, its definitely in the plans - but no eta yet though. We'll be adding more currencies there overtime :)",711844605998854145
TransferWise,2016-03-21T11:03:00,"From photography to conservation - #WiseStories episode two is here.

Meet @davecurrey1: https://t.co/yItFLErgRs https://t.co/Be2Lwuy38p",711870936127971328
TransferWise,2016-03-21T11:19:00,RT @davecurrey1: Been using Transferwise for years and they've written a piece about me! https://t.co/L4ssciGYtN,711874981039357952
TransferWise,2016-03-21T12:10:00,"Reliable. Fair. Honey badgers.

What do our customers have to say about TransferWise?
https://t.co/HX6XyZXh61",711887766892642304
TransferWise,2016-03-21T12:34:00,"@tmhrtly Unfortunately we don't accept cash nor cheques, only deposits via local bank transfer &amp; in the U.S. via ACH Debit or Domestic Wire.",711893819822776321
TransferWise,2016-03-21T12:48:00,@el_flaco_27 Hey! Fee credit functions as a discount for the cost of your transfer &amp; can be used over multiple transfers as long as it lasts,711897187098058752
TransferWise,2016-03-21T14:16:00,"@simondempsey Can you contact us via email please, or give us a call - https://t.co/hT3c0lCJSe. We'll help you sort this out!",711919341202067457
TransferWise,2016-03-21T14:52:00,"@juliana_rp Unfortunately that's not possible, we can only make personal payments to Brazil. Read about BRL: https://t.co/jaOvqaOK4O.",711928549150564352
TransferWise,2016-03-21T15:03:00,@Smutchings Hey! Unfortunately that's not possible. You can read more about our Request Money feature here: https://t.co/7kyB3929Ym.,711931217030074368
TransferWise,2016-03-21T15:03:00,Twitter is 10 today - TransferWise has been on Twitter for 5 of them. Here are some of our #LoveTwitter highlights…,711931292754046977
TransferWise,2016-03-21T15:06:00,"… There’s the time 18,000 of you signed our #StopHiddenFees petition in less than 24 hours: https://t.co/PlR4UoNjqR #LoveTwitter",711932056528416770
TransferWise,2016-03-21T15:11:00,.. Or the time we gave London's finance district a bubble bath in a bid to clean up finance #Bath4Banks https://t.co/SAArPvIp0o #LoveTwitter,711933174746587137
TransferWise,2016-03-21T15:12:00,@poomoo Hey! Can you please take a screenshot of that and send it to support@transferwise.com. We'd like to take a closer look.,711933422172655617
TransferWise,2016-03-21T15:35:00,.. @frenchspiderman scaled a Paris skyscraper to join our fight for fairer finance: https://t.co/7oun8v80NJ #LoveTwitter #RienàCacher,711939315631263745
TransferWise,2016-03-21T15:56:00,@MrAndyMatias Can you please take a screenshot of what you see and send that to support@transferwise.com. We'd like to take a closer look.,711944523400740864
TransferWise,2016-03-21T16:42:00,@juhavantzelfde Hey! Can you please send us an email to support@transferwise.com about this. We'd like to take a closer look into this.,711956073108938752
TransferWise,2016-03-21T16:45:00,".. Last year, launching in the US, we stripped off on Wall St to show the world we have #Nothing2Hide: https://t.co/ddHxDljSMV #LoveTwitter",711956830319149056
TransferWise,2016-03-21T16:48:00,@ekingr Hey! Please take a screenshot of what you see and send that to support@transferwise.com. We'll look into this.,711957588993179648
TransferWise,2016-03-21T16:51:00,"That's all for now - thanks @twitter for being a part of TransferWise history! #LoveTwitter 

Also follow us here: @workwise @TW_Engineering",711958325106249728
TransferWise,2016-03-21T20:10:00,"@fpo_digital our support team is on top of this, take a look at your inbox so we can get your transfer going and your wedding back on track!",712008611019546628
TransferWise,2016-03-21T21:44:00,@fpo_digital We've just been told the funds will be in your recipient's account first thing tomorrow. Happy to help and congrats! 🎉💍,712032228507820036
TransferWise,2016-03-21T22:29:00,@RylandPM Sounds like a fairly simple connection issue. Hit us up at support@transferwise.com and we'll see just what's goin' on.,712043425428668416
TransferWise,2016-03-22T08:11:00,"@RylandPM Since the banks don't operate during the nights it can take some time for the funds to reach us. But all good, we got it now! ;)",712190034678521857
TransferWise,2016-03-22T12:13:00,"RT @ForwardPrt: Our TransferWise event tickets are selling out fast, fewer than 50 remain. Get yours here &gt; https://t.co/AdXiZX8Ifq https:/…",712250961633353728
TransferWise,2016-03-22T14:59:00,RT @number26: Have you tried @TransferWise via @number26? Funds are immediately available to speed your international transfer. https://t.c…,712292696728195072
TransferWise,2016-03-22T15:01:00,"Meet @davecurrey1 - environmentalist, nature photographer and TransferWise user: https://t.co/yItFLEISg2 https://t.co/VAZsBYoY98",712293239777337344
TransferWise,2016-03-22T16:13:00,@DCKhalifa You can transfer money independently via our website from your own bank account too. More info here: https://t.co/RmwcumSI1r,712311210645938177
TransferWise,2016-03-22T17:10:00,"RT @emilymacintosh: The Bank of the Future: “Nobody wants to be in banking, everyone wants to be in #FinTech” https://t.co/EfgRVs97Z4 https…",712325606428557312
TransferWise,2016-03-22T17:44:00,"@axelsegebrecht Check out video guide here: https://t.co/sFP4xgARLt or contact our support team, and we'll be happy to explain!",712334095003426816
TransferWise,2016-03-22T21:45:00,"RT @workwise: We're looking for a Facebook Ads Lead to join the TransferWise team. Apply here: 
https://t.co/n4ZSRQ4FMh #job",712394742760341504
TransferWise,2016-03-23T06:40:00,@sevensisbrew That doesn't look right! Could email us the screenshot and your details to support@transferwise.com and we'll have a look.,712529543001673728
TransferWise,2016-03-23T07:23:00,@missglitter79 We sure do! Feel free to give us a call or contact by email. Our support team would love to help ;) https://t.co/lL0dd6PpOh,712540321419280384
TransferWise,2016-03-23T10:56:00,"@laraplease Hey, everything should work just fine. Are you facing the issue when using a mobile app or a web version?",712593765702217728
TransferWise,2016-03-23T11:08:00,"@joeloga16907952 Hey, everything should work just fine. Make sure that you've updated the app and use the latest version.",712596903414874112
TransferWise,2016-03-23T11:32:00,"Expat in London?

Our essential apps for winning at London life: https://t.co/HSvHb6uqvl #London https://t.co/ThjP9DPBoa",712602956265353216
TransferWise,2016-03-23T11:59:00,"@laraplease Thanks for letting us know! If you run across the same issue again, please let us know via support@transferwise.com. Thanks!",712609686487449600
TransferWise,2016-03-23T13:26:00,@HornTammi We hear you and we're already on it. You can vote for transfers from THB on https://t.co/6sRObXiUn3 so we can keep you updated,712631731438940165
TransferWise,2016-03-23T13:42:00,"@eamonncarey Hey, it seems that we are still missing some information, but not to worry! Our support team will contact you shortly",712635582741143552
TransferWise,2016-03-23T15:31:00,ICYMI: Transfers to Sri Lanka are now live - find out more on our blog: https://t.co/PsMOieRZ9Y #SriLanka #FinTech https://t.co/vHnFbNeBuj,712663022578352128
TransferWise,2016-03-23T16:58:00,@damonify We're working on it but there's no ETA just yet. Be the first one to know and submit your wish here https://t.co/A4f8ZHuhsI ;),712684966199566336
TransferWise,2016-03-24T10:34:00,"RT @workwise: We're looking for a Social Media Manager to join the TransferWise team. Apply here: 
https://t.co/DosdB3qYKn #job",712950722892009472
TransferWise,2016-03-24T11:19:00,RT @taavet: .@Seedcamp is coming to #Tallinn! on March 31st. Join here https://t.co/X8v7R6a5Mz (@TransferWise participated in Seedcamp 4yrs…,712962027292069888
TransferWise,2016-03-24T11:34:00,".@taavet: What will the bank of the future look like? 

His thoughts for @WEF on @medium: https://t.co/nmGDwxn2eA https://t.co/XAsqFiHkY5",712965710465478656
TransferWise,2016-03-24T12:21:00,"@TREBORDOYLE Sorry about this! After reviewing our pricing, we raised the min fee by £1. We've also emailed you more information about it",712977651191914499
TransferWise,2016-03-24T13:48:00,@IanBrownOII Hi Ian. It looks like your sender requested to cancel the transfer. Please get in touch with them for further info.,712999614224470016
TransferWise,2016-03-24T14:44:00,@IanBrownOII We are very sorry about the situation you're in. We've sent you an email with clarifying information about the transfer.,713013581785260032
TransferWise,2016-03-24T14:54:00,"@rcsmit Hey Rene, it's technically possible with our Request Money feature. Find out more here: https://t.co/oWvEIt8eZV ;)",713016156940963840
TransferWise,2016-03-24T15:43:00,"@oniryx @bitfalls You'll love transferring money abroad with us - easy, cheap and super fast. Find out more: https://t.co/QY00mAe4PN ;)",713028430086938624
TransferWise,2016-03-24T17:02:00,Aussies in the US are more likely to like @realDonaldTrump on Facebook than any Australian: https://t.co/pZyEKMjgZU https://t.co/vYSe5p4n5b,713048311771430912
TransferWise,2016-03-24T22:28:00,@rcsmit AdBlock on Google Chrome will rid your page of ads. Make sure you check your search and privacy settings to filter these ad types.,713130449434873856
TransferWise,2016-03-24T22:37:00,"@1882_nick_o_lie The minimum fee was adjusted last week, please rest assured you'll always get the mid-market rate when TransferWising.",713132670201556993
TransferWise,2016-03-25T04:44:00,@SeedInvest The feature to request money is back and better than ever!,713224915625910272
TransferWise,2016-03-25T05:30:00,"@SeedInvest As long as the business is verified, the request money option works for them too! :)",713236617134268416
TransferWise,2016-03-25T12:41:00,RT @keyvanakbary: TransferWise in Best New Apps on Apple’s iPhone SE Landing https://t.co/9ZpD7XaCkc 👌 https://t.co/oTeQ7SpdL5,713345052630769664
TransferWise,2016-03-25T14:08:00,"@joeloga16907952 Hi, if the recipient bank is on holidays, then it can take awhile to receive it.You can DM us the payment number to confirm",713367049209184256
TransferWise,2016-03-25T14:19:00,@joeloga16907952 Most probably the receiving bank will release the funds after this holiday :( Feel free to DM us if you need any details,713369697903706112
TransferWise,2016-03-25T20:28:00,@IanBrownOII We're just happy to help! Thanks for TransferWising!,713462567436333056
TransferWise,2016-03-25T22:38:00,@PeterJThomson As we use the 3D secure method the refund request falls on the sender. Lots more info on cards here! https://t.co/nLuxzgbNlN,713495199171784704
TransferWise,2016-03-26T05:57:00,@cmsegura There can be some delays due to the holiday season. Please contact us at support@transferwise.com so we could have a closer look!,713605740515225601
TransferWise,2016-03-26T16:51:00,Just released - the latest version of our award winning iOS App - download it here: https://t.co/pkF47rnc3v https://t.co/9ivVDnBGJF,713770277692420096
TransferWise,2016-03-27T04:26:00,@PaulParsons1981 Unfortunately we can't do transfers from AED yet. To be notified when it becomes available: https://t.co/DRXSckZCdD,713945376475078656
TransferWise,2016-03-28T06:28:00,@jjorgegg We're still working on it. Submit your wish https://t.co/UTq8rrfODy and we'll keep you updated.,714338311200878592
TransferWise,2016-03-28T11:21:00,@_Enyi_ Cool. Send us an email to support@transferwise.com and we'll have a look. :),714412088160968704
TransferWise,2016-03-28T18:38:00,"@HappyGezim Good news, we support sending to and from CAD! Find out more here: https://t.co/LHle2xS80t",714522069640163328
TransferWise,2016-03-29T07:49:00,"@bitfalls Hey! You can give us a call - https://t.co/hT3c0ll90G, or chat with one of our agents online on our website.",714721234953617408
TransferWise,2016-03-29T08:18:00,@bitfalls There's a a small green 'live chat' box in the bottom right corner of the screen on all of our pages - https://t.co/sqI6ZtytIc,714728408211652609
TransferWise,2016-03-29T08:23:00,@bitfalls Can you DM us your phone number? We'll call you instead. :),714729692796952576
TransferWise,2016-03-29T09:16:00,"@carlhendy Hey! We're facing some issues yes, apologies for this. Should be up &amp; running again shortly.",714742967064522754
TransferWise,2016-03-29T09:17:00,"@DanielFGass Hey! We're facing some issues yes, sorry about this. Will be up &amp; running shortly.",714743147855757312
TransferWise,2016-03-29T09:18:00,"@DavidMcNicholl Apologies for this, we're facing some issues but will be up &amp; running again shortly!",714743440655953920
TransferWise,2016-03-29T09:30:00,"@Diwas1311 Hey! We're aware of the issue and fixing this already, apologies. Our site should be up &amp; running again shortly.",714746647134281728
TransferWise,2016-03-29T10:23:00,"@clementlebau We've had some issues yes, already being fixed. Apologies. Our site will be up &amp; running shortly!",714759854661967873
TransferWise,2016-03-29T10:25:00,"@joshy333 Hey! We're already fixing the issue, truly sorry about this. Site will be up and running shortly.",714760405080489984
TransferWise,2016-03-29T11:50:00,@Juris_tweets We're back up and running! Truly sorry for the inconvenience.,714781740821184512
TransferWise,2016-03-29T11:51:00,@truekonrads We are back up and running smoothly again. Truly sorry for the inconvenience.,714782080400396288
TransferWise,2016-03-29T11:52:00,@clementlebau We should be up and running again smoothly! Very sorry for the inconvenience.,714782289553661953
TransferWise,2016-03-29T11:53:00,@carlwasho Hey! Truly sorry for the inconvenience. We are up and running again!,714782578721611777
TransferWise,2016-03-29T11:54:00,"@geertjk Hey! Apologies for this, really, we are now back up &amp; running again!",714782812646154240
TransferWise,2016-03-29T11:57:00,@bsadrien Hey! We're up and running smoothly! Very sorry for the inconvenience.,714783490869444608
TransferWise,2016-03-29T12:08:00,@SantoshPandit66 Hey! Should be working just fine now! We're sorry for the inconvenience.,714786380455358464
TransferWise,2016-03-29T12:14:00,"@tomaslau Hey Tomas! Your payment has been processed, we've also sent you confirmation via email. You'll have the funds shortly.",714787907903467520
TransferWise,2016-03-29T12:16:00,@NBritto13 Hey! We are up &amp; running again! Truly sorry for the inconvenience.,714788241724014592
TransferWise,2016-03-29T12:22:00,"@matthewcford Hey! Sorry about this. Supporting business payments to RUB is in the works, but unfortunately no ETA yet.",714789947237015553
