screen_name,created_at,text,id
MahdiShariff,2016-03-13T07:42:00,@TransferWise I saw the #China update but it still wont let me do #RMB transfers...tried twice with supported banks :( Any suggestions?,708921261234135040
sevensisbrew,2016-03-13T09:03:00,@TransferWise very frustrating. Your website asks for a company registration number even for partnerships that don't have them. Can't use.,708941613872058368
Adam_W_Gordon,2016-03-13T12:43:00,@transferwise have said they'll review #UK HQ in event of #Brexit. #tech #startups #siliconroundabout,708996942609534976
kaibiny,2016-03-13T12:44:00,@TransferWise would be  great if there's an official bot on @telegram. Not a big fan of email.,708997253403426816
glabougle,2016-03-13T16:34:00,@TransferWise are transfers to CLP not supported anymore?,709054956943380480
roshiro,2016-03-13T23:11:00,"@TransferWise I'm having issues trying to invite friends. I'm getting ""There was an error while sending your invite"". Is it a known issue?",709154826005946373
stephanmg,2016-03-14T02:09:00,@TransferWise can you help out?  https://t.co/w29rkDulYx,709199787749470209
BZAwards,2016-03-14T12:23:00,@TransferWise It’s not too late to submit your company to the #fintech event of the year https://t.co/d2qclPfFgU,709354167957991425
jackveiga,2016-03-14T17:24:00,@TransferWise I'm researching about retail banking disruption for UCL and would &lt;3 to get some views on the topic from someone on the team!,709430028677816320
jackleighman,2016-03-14T21:50:00,@TransferWise does https://t.co/GfqAe8QeIW still stand?,709497061599809537
lizwulf,2016-03-14T23:38:00,@TransferWise I'm trying to reset my password and no email is sent to me to confirm / help me do it. Can't login to proceed payments #help,709524066596560897
simonblackley,2016-03-15T05:41:00,"@TransferWise Nice! But please don't use '&amp;' in ordinary sentences like this. Not on your website, anyway.",709615551052718081
NiccoClairmonts,2016-03-15T11:09:00,@TransferWise partners with @paygatekorea to bring #money transfer service to South Korea https://t.co/n4Bw1et17V via @Finextra,709698033563389952
ranjanrathor,2016-03-15T11:40:00,@TransferWise Just wanted to confirm if you will process the money sent from @MyMonese account?,709705783429242880
ranjanrathor,2016-03-15T12:06:00,@TransferWise Oops! Thanks for the update though,709712439479291904
OkabeKyoumi,2016-03-15T13:34:00,@TransferWise we need you too in #Peru !,709734473521369090
gigldas64,2016-03-15T19:39:00,@TransferWise not a great deal! The majority of them are .....,709826468789022720
MYOK65,2016-03-15T20:21:00,@TransferWise @taavet Muinainen Havala ja TransferWise muistuttavat toisiaan. Havala on kankea verarattuna TW:hen! @vaalit #Suomi #Helsinki,709836959070429185
Rvervuurt,2016-03-16T09:46:00,"@transferwise I want to transfer money from country to country, but they both use €, how do I do that?",710039552447143936
PabloVerano,2016-03-16T11:19:00,"@TransferWise Hey, I'm getting an ""INVALID RECIPIENT"" error when trying to claim a transfer. Can you help me?",710062963881857028
PabloVerano,2016-03-16T13:02:00,"@TransferWise Ok, sending in 1 min. Tnx!",710088896315596800
kubilayozisik,2016-03-16T13:30:00,"@TransferWise hi there, where/how can I track the transfer with transfer id?",710095871992463360
kubilayozisik,2016-03-16T14:28:00,@TransferWise It was sent directly to my IBAN number. I just have the Transfer ID,710110478786146304
oliverkle_in,2016-03-16T15:21:00,"@TransferWise just sent me $100 no string attached, for recommending it to 3 people... You wouldn't read about it. 👌🏻👌🏻",710123852035006464
sir_cas,2016-03-16T18:15:00,@TransferWise how do I pay for the fee of a transfer?,710167656603713536
SurferAlexisArg,2016-03-16T18:42:00,@TransferWise @joergwittkewitz Im new in transferwise. is it possible to recieve money from an argentina credit card via twise?,710174514597011457
kennedyneil,2016-03-16T20:06:00,@TransferWise when are you updating your Android app to support the Request Money feature?,710195505570181120
raghuflawless,2016-03-16T22:51:00,@TransferWise Recipients are over written. Please resolve!!,710237202870099968
yoyitaoff,2016-03-17T01:45:00,@TransferWise Do u have an account in France where I can transfer? I'm having issues withmy bank transfering outside certain european region,710280806816583680
Shatner_Handbag,2016-03-17T04:04:00,@TransferWise Entertaining but wont make me use your products. Advertising fail.,710315959630884864
raghuflawless,2016-03-17T08:05:00,@TransferWise Recipients are overwritten when a transaction is done to other account. #bug #resolvesoon,710376446695444480
raghuflawless,2016-03-17T09:36:00,@TransferWise DM sent!!,710399368768184321
TheEvertonBeaky,2016-03-17T10:29:00,@TransferWise is amazing! sent money 9pm yesterday&amp; money landed at 9am today in The Netherlands,710412652628074496
simonc,2016-03-17T12:04:00,"@TransferWise Lauren in your support team is AMAZING. (Dev response a bit less so, but she made up for it….)",710436646664192000
errnews,2016-03-17T13:25:00,@transferwise has partnered w/ @paygate_kr to bring P2P money transfers to South Korea #estonia #southkorea #P2P https://t.co/t6JrXukjJ0,710456971816738817
denull,2016-03-17T16:15:00,@transferwise is NOT LGBTQ friendly. The world is full of assholes.,710499735392665601
dustwitman,2016-03-17T19:54:00,@TransferWise am I correct that I cannot send € with just IBAN and need SWIFT BIC?  I ask because Transfere Go only need IBAN,710554893711511553
prabinjoel,2016-03-17T20:46:00,"@TransferWise, Been using your services for 2yrs now and I just bumped into @xendpay! What makes you better than #xendpay?",710567925766352897
dustwitman,2016-03-17T22:40:00,@TransferWise sending from UK -&gt; Netherlands / £ -&gt; € (approx €800) but only have IBAN (and name/address of recipient) - have emailed u also,710596620388323329
imboande,2016-03-18T01:08:00,@TransferWise Is it your policy to shut down accounts when accessed from certain countries? What if I'm on vacation &amp; transfer while abroad?,710633987258114048
ct_web_devs,2016-03-18T11:18:00,@TransferWise Moldova still not on the countries list.,710787441423212544
Amyf888,2016-03-18T11:36:00,@TransferWise your fee use to be £1 now it's gone up to £2!,710791904410128384
sir_cas,2016-03-18T14:38:00,@TransferWise why do I have to send ID documents for verification before money can be released? Will it happen every time?,710837718603976706
bioseas01,2016-03-18T16:06:00,@TransferWise is your service available in Nigeria to send money to other parts of the world?,710860042766045184
feedingthecat,2016-03-18T17:27:00,@TransferWise Is there a problem with your site? I've been trying to make a payment all afternoon and it keeps crashing..,710880361073475585
sir_cas,2016-03-18T18:50:00,"@TransferWise hi, I was told my transfer will arrive today however nothing has showed up. Any reason why that is?",710901300431605760
lisalapasila,2016-03-19T01:15:00,@TransferWise Need someone to help us during weekend to fix the problem that occur during the transfer process period M-F.,710998161565716480
lisalapasila,2016-03-19T01:21:00,"@TransferWise @sir_cas So, Why on the second transfer, transferwise ask my ID again? I gave My ID on the first transfer ?.",710999625226780673
lisalapasila,2016-03-19T07:15:00,"@TransferWise thanks for the reply, i have sent tne CS email &amp; they have helped me, thanks again :)",711088801012015105
DennisSprute,2016-03-19T17:45:00,"@TransferWise Voice mail of German customer service upon urgent case goes: ""Only reachable Mo-Fr, 8-18h. We need sleep, too."" #BreadWinner",711247205781401601
Mooregate,2016-03-19T23:02:00,@TransferWise is there any chance you will make this service available in English? My Spanish is not good enough!,711327100620443648
el_flaco_27,2016-03-20T05:18:00,@TransferWise I have 15£ fee credit. Can this be used just for the next transfer of can I use what's left for all the following transfers?,711421614491963392
oskarth,2016-03-20T12:58:00,@TransferWise Bug: https://t.co/Q7bIuYtBq3 Should be formatted as 50... kr or 50... SEK,711537274824085505
eduarddobre,2016-03-20T19:17:00,"@TransferWise hey guys, if I want to make a transfer in a euro account, how long it will take for the money to arrive? Tks!",711632838555267073
RylandPM,2016-03-21T07:29:00,"@TransferWise Your systems / 'send money' page is not working or loading at all..
I'm trying to resend a payment - could you please fix asap",711816945578807296
tmhrtly,2016-03-21T12:24:00,"@TransferWise if I (UK) get a cheque in $ from the US, any way I can use transferwise to get it into my account?",711891267072950272
simondempsey,2016-03-21T13:35:00,@TransferWise I'm having problems logging in via google - known issue? https://t.co/HEb6GA9fZI,711909050804477952
Smutchings,2016-03-21T14:21:00,"@TransferWise if I send a transfer request in £GBP to someone in the US, can they pay in GBP using their US card?",711920663586541568
juliana_rp,2016-03-21T14:42:00,@TransferWise How do I transfer money from Ireland to a charity in Brazil? I can´t manage it in the website. Tks,711926037760839680
