screen_name,created_at,text,id
KeeSystem,2016-06-14T07:07:00,@UBS mise sur le robot conseiller en #gestiondefortune #UBS https://t.co/Crn38WOxNC,742614332811415552
Augustus_sid,2016-06-14T07:32:00,@UBS,742620741531668480
sundaysdinner,2016-06-14T09:18:00,@UBS stellt noch immer keine Kurse für LinkedIn Optionsscheine...Banken ey,742647266972958720
ArvindBhunjun,2016-06-14T10:20:00,@UBS #double upgrades @centricaplc to #Buy from #Sell #stocks #FTSE #trading #investor #finance #energy @BritishGas https://t.co/qtnbXsGibm,742663039569285120
ppinvest,2016-06-14T13:09:00,@UBS  - EUR/CHF - Schreck / SPREAD lass nach ! #UBS #wikifolio,742705637155573760
AlexBaghdjian,2016-06-14T14:27:00,"@UBS's Tom Naratil's @onwallstreet op-ed is one of the best I've read - ""Enough is enough"" https://t.co/qdMg4Ib6Q8 https://t.co/jEh3bLBLlo",742725033131429888
e2phdec,2016-06-14T20:23:00,@UBS,742814842264813568
grimberger2pat,2016-06-15T07:23:00,@UBS l511-1 act noarial : on ne vend rien . siret 508481686 issn,742980758969651200
nembal,2016-06-15T07:32:00,@ubs y think-tank from the future In 20-30 years! #inspiration https://t.co/DbTh72kdmt,742983091736694784
pixelwerkstatt,2016-06-15T08:39:00,@ubs finde ich absolut schwach… setze trotzdem auf #ApplePay https://t.co/Rhe85VZehh,742999894366031874
ArnoRamoni,2016-06-15T09:24:00,"@UBS Bonjour, Apple Pay sera disponible ?",743011308283564032
RosaTor90249849,2016-06-15T12:05:00,@UBS @LinkedIn #Hello Happy Weekend Greatest ☺,743051679826726912
cryptopathe,2016-06-15T12:32:00,"@ubs, really? https://t.co/WgTdeG5krH",743058490361544704
Chinons34527101,2016-06-16T04:31:00,"@UBS  Biafra May30th Memorial Day honor our veterans heroes Nigeria army,police massacred Biafrans#Biafra https://t.co/bSFVyQWtc5",743299947093594112
Horhaay,2016-06-16T10:16:00,"@UBS is growth the only concept on offer?  The earth is finite guys,  you need to start thinking differently",743386849909997570
southypete,2016-06-16T12:57:00,@UBS 'Cause it's bad news that usually chops the messenger's head off...,743427242726940672
TradeIdeas1,2016-06-16T16:06:00,@UBS I own the only consumer #ArtificialIntelligence technology in #Fintech https://t.co/GyHjjMPTZx #disrupting https://t.co/bRJQLEk6Xf,743474946232320000
CNBCTV18News,2016-06-17T06:03:00,"@UBS' Gautam Chhaochharia says the positive impact of monsoon is overestimated. Know why:
https://t.co/va36NPQrfc https://t.co/nfT0SGkdLe",743685442730524676
HibaaF,2016-06-17T10:19:00,@UBS Service magnifique! Merci pour tout :) #UBS #Suisse #meilleur_service #Switzerland,743749854510227456
MarkLimey,2016-06-17T10:21:00,@UBS @LinkedInPulse perhaps listen to David Bowie Saviour Machine,743750322753929218
FundsEurope,2016-06-17T12:19:00,@UBS’s O’Connor makes PM hires https://t.co/1wyDLng9C8,743780009018593280
Jamesstar,2016-06-17T13:33:00,@ubs @UBSglobalart would it be possible to get a large digital version of this advert? We want one for the office https://t.co/SZNN8agqOK,743798671838416897
shion_Reira,2016-06-17T13:39:00,@UBS #Switzerland ARA's demand: change law that allows owners to eat pets #Voice4SwissPets https://t.co/mtOtj0g2HA https://t.co/B5i4RwfM45,743800342148616192
lori_cadue,2016-06-17T19:07:00,@UBS @TBrandStudio Positively pulling rays from Sun equals...hope BILL to curb asset seizures passes...no trust in irs &amp; its political mind.,743882826508963841
