screen_name,created_at,text,id
beckynewcs93,2016-03-12T17:25:00,@ZARA in the metro centre was an absolute joke this afternoon. Was like a jumble sale and barely any staff,708705405577392128
diana1_93,2016-03-12T17:58:00,@ZARA - MULHER - T-SHIRT DE ALÇAS FINAS https://t.co/0hzIOvpGVG,708713750929477632
diana1_93,2016-03-12T17:59:00,@ZARA - MULHER - TOP HALTER https://t.co/Ji19PIgERy,708714121655689216
diana1_93,2016-03-12T18:02:00,@ZARA - MULHER - TOP CROP ABERTURA https://t.co/AHFzwlcTH8,708714874315132929
diana1_93,2016-03-12T18:07:00,@ZARA - MULHER - SANDÁLIA TACÃO TIRAS https://t.co/wPgmyR3t6Z,708715982890651649
kasimbla,2016-03-12T18:44:00,@ZARA I love you,708725489792389120
Beckycowing,2016-03-12T18:56:00,@ZARA Croydon always looks like a jumble sale! Clothes everywhere or covered in makeup! The amount of times I've walked in and straight out.,708728504117010433
Zoesallery,2016-03-12T19:42:00,@ZARA are amazing... Placed an order yesterday afternoon standard delivery and it arrived first think this morning 😍💁🏻👏🏻,708740008388268032
diana1_93,2016-03-12T19:43:00,@ZARA - MULHER - MINI SACO TIRACOLO COMBINADO https://t.co/A12R3LgxCo,708740180388270080
diana1_93,2016-03-12T19:45:00,@ZARA - MULHER - MALA DE TIRACOLO PELE PORMENOR METÁLICO https://t.co/mjbDYezlUf,708740613127196672
littlegibbo,2016-03-12T23:27:00,@ZARA please hurry and reopen in Bristol. You don't keep lines for long and we're missing them all!!!,708796602840969216
Raaachma_,2016-03-13T04:52:00,@ZaRA MART Duduk Nongkrong Menikmati Oishi Pillows Rasa Ubi Unggu.. :D Hayuuuuk Ke ZARA MART depan SPBU P2ID THR Kendari,708878351008542721
thomasmmm,2016-03-13T07:11:00,"@ZARA shorten 7 days wait for pants leg alterations, please? :)",708913362055225345
RevistaWoman,2016-03-13T07:37:00,@zara se lanza a la moda fitness 💪💪 https://t.co/HaO8G3U9Zq https://t.co/ef6ie3vPbx,708919806012039168
ItziarRR75,2016-03-13T07:58:00,@ZARA  https://t.co/4DNWg6LOYc,708925286356750336
Dilli_YaaR_A_1,2016-03-13T08:00:00,"@ZaRa TeHro Keh BaRish Hai,,,
Yeh Tham Jae To ChaLy JaNa,,,*
-
-(A)
-
Kisi Ka Tum Ko ChoO JaNa Mujhy Acha Nahi LaGta...*",708925637646540800
