screen_name,created_at,text,id
jpmorgan,2016-06-13T23:24:00,"From O.C. Haley Blvd. to the Mississippi, partnerships and collaboration are fueling opportunities in #NewOrleans.
https://t.co/S4c4dNGzCu",742497987138441216
Chase,2016-06-13T23:45:00,"A master on and off the court. Congrats, @SerenaWilliams on the premiere of @EpixHD documentary. #ChaseMasters https://t.co/swv6zvm7rb",742503215070089216
jpmorgan,2016-06-14T19:29:00,"From @cscc_edu to @schmidtscbus, $JPM supports many organizations making a difference in Columbus.
https://t.co/AWRDin2BxK",742801252560445440
jpmorgan,2016-06-15T18:37:00,"Chicago is full of organizations making a difference in the community, with support from $JPM.
https://t.co/FuLL7iaV7S",743150489089388544
jpmorgan,2016-06-15T20:36:00,We stand with #OrlandoUnited and join our $JPM employees to support recovery efforts.https://t.co/zu7tUTSY05 https://t.co/fICQ7kxlTy,743180450521288704
Chase,2016-06-15T21:09:00,We stand with #Orlando and join our employees and the local community to support the recovery efforts. https://t.co/erYSjhhbbF,743188629225299972
jpmorgan,2016-06-15T21:39:00,Thank you to the +68K runners &amp; 2.633 companies who participated in tonight’s #Frankfurt Corporate Challenge! #jpmc https://t.co/njp50tKQMl,743196145158135814
Chase,2016-06-15T22:05:00,RT @FARNOOSH: Time to take action and boost your #FraudIQ. Check out this quiz from @Chase https://t.co/GCgOYr7JpU #sponsored https://t.co/…,743202718265778176
Chase,2016-06-15T23:16:00,Get excited. @NerdWallet just named #ChaseFreedom the best card to use at wholesale clubs. https://t.co/m9AVPoPEtF https://t.co/8y9JEwWFHU,743220551804719104
Chase,2016-06-16T13:38:00,"Ready, set, action! Go behind the scenes of the new Chase Freedom Unlimited card.
https://t.co/Z8hIcIqzhF",743437648555999236
Chase,2016-06-16T14:01:00,Chase customers can now send money to more people in real time. Learn more: https://t.co/aMfO86RHhs,743443505570275328
jpmorgan,2016-06-16T17:42:00,New insights from $JPM: Exploring Germany's Investment Opportunities and Challenges. https://t.co/QmvDvwE3XQ,743498934371368960
jpmorgan,2016-06-16T22:20:00,"RT @MikeBloomberg: On driving inclusive economic growth, cities matter. But w/ @JPMorgan &amp; @OECD, cities can do more https://t.co/XCCgj0IxJ…",743569039549734912
jpmorgan,2016-06-16T23:53:00,Inclusion is key to our firm &amp; employees. Honored to be recognized by @AFB1921 tonight at the 20th Annual Helen Keller Achievement Awards.,743592417161519104
jpmorgan,2016-06-17T01:11:00,Dana Deasy at #HKAA: $JPM is committed to accessibility and reducing barriers. We are a proud partner of @AFB1921. https://t.co/i6MzxqitZW,743612006721294337
jpmorgan,2016-06-17T01:14:00,Deasy: It is an honor for $JPM to be recognized as a top company for inclusion. https://t.co/j92iVGSDsY,743612756964835328
jpmorgan,2016-06-17T01:14:00,RT @AFB1921: Thank you @jpmorgan @Chase for your ongoing commitment to #accessibility! #HKAA,743612828423172096
jpmorgan,2016-06-17T01:20:00,"Deasy: ""At $JPM we actively think about how to be accessible; we ask questions like, 'How can bank statements come to life in Braille?'""",743614207623630848
jpmorgan,2016-06-17T12:40:00,$JPM EMEA Perspectives: A look at Germany’s export hidden champions – Mittelstand companies https://t.co/QmvDvwE3XQ https://t.co/iFz6G0nzHM,743785323994484736
jpmorgan,2016-06-17T15:27:00,"TUNE IN: Live on #Periscope at 4:45pm ET, @ariannahuff shares tips with us from #SleepRevolution. #fridayreads https://t.co/Tb2ddiKijf",743827502896910336
Chase,2016-06-17T15:30:00,"Next week, we'll shine a #DigitalSpotlight on some of the most promising trends and creators in #fintech. Pre-read. https://t.co/ls2mEzce1z",743828087440179200
