screen_name,created_at,text,id
aimmyarrowshigh,2016-06-22T04:02:00,"@McDonalds Ack! I just went through a drive-thru for two UNsweet iced teas, got home, and both were sweet tea! I can't drink that. :(",745466874930966529
richsjb,2016-06-22T04:13:00,@McDonalds I'll definitely come in for an egg mcmuffin!😊,745469739523137539
baileyrae25,2016-06-22T04:44:00,@McDonalds y'all should start delivering 😉😉,745477495672082433
Rachelpotterxo,2016-06-22T04:45:00,"@McDonalds you forgot my big mac sauce on my cheese burger and Im super disappointed now,",745477853676896256
GreekSTL,2016-06-22T04:54:00,@McDonalds #McPick2  https://t.co/CloHkcXR3N,745480124707962880
reyana_rivera3,2016-06-22T04:54:00,@McDonalds deliver it to me?! 😇,745479931182751745
DrakoBuitron,2016-06-22T05:01:00,"@McDonalds Follow for follow?
I love your hamburguers.",745481734326607872
xNatalieeexx,2016-06-22T05:22:00,@McDonalds can i get a large fry thanks,745487065723199488
Its_WaynesWorld,2016-06-22T06:16:00,@McDonalds I ain't done or finished,745500571302387713
Its_WaynesWorld,2016-06-22T06:19:00,@McDonalds bring back chicken selects!,745501429691875329
Its_WaynesWorld,2016-06-22T06:20:00,@McDonalds America will never forgive you for letting chicken selects go,745501811654590465
ChiefGee_,2016-06-22T06:33:00,@McDonalds is so ass why am i eating this shit,745504974143053824
ChuckCannon2,2016-06-22T06:43:00,@McDonalds Muffin's!,745507437503877120
ChuckCannon2,2016-06-22T06:43:00,@McDonalds Same!,745507462048972802
Payson666,2016-06-22T07:13:00,@McDonalds quality beef. https://t.co/5MUhA3cFdH,745514928988033024
kevzdogs,2016-06-22T07:29:00,@McDonalds I don't eat junk food.,745519172533125120
hoeswaygonzalez,2016-06-22T07:31:00,@McDonalds WHY IN THE HELL DID I GET 1 RANCH WHEN I ORDERED 2 McCHICKENS AND 2 MEDIUM FRIES...HOW DOES THAT ADD UP DO THE MATH!!😡😤👺,745519509474148353
Roodiknena,2016-06-22T08:01:00,@McDonalds,745527161012944896
Cleotapra,2016-06-22T09:12:00,@McDonalds I don't get why all your employees suck https://t.co/olH9rqBpAV,745545058498183169
harrybrass96,2016-06-22T09:47:00,"@McDonalds Please may you justify a bottle of water for £1.19, Thank you",745553848014508032
AmtBagers,2016-06-22T10:14:00,@McDonalds What do I do when I have a store put their phone off the hook and refuse to rectify my 30 minute drive through wait?,745560468958416896
Liam_hayden98,2016-06-22T10:23:00,@McDonalds My go to fast food place love the food keep it up ❤️💛❤️💛,745562975092629504
Mimidagoddesss,2016-06-22T11:01:00,@McDonalds Excuse me???!!,745572415019835392
bugaboo12342002,2016-06-22T11:05:00,@McDonalds making Aunt duties easy 👌🏼👌🏼👌🏼👌🏼 https://t.co/pP8Gto7007,745573431601668096
Chiba87,2016-06-22T11:37:00,@McDonalds Noi a Firenze siamo per il lampredotto con un bicchiere di rosso,745581499932639232
bigun41822,2016-06-22T12:08:00,@McDonalds thanks mcdonalds for the oatmeal with NO SPOON #comeon #McDonalds https://t.co/mOlZySUQ56,745589280853098496
Tay_MacKray,2016-06-22T12:09:00,@McDonalds thanks! How about fixing your dedication to your late-night customers and making your places 24 hours again? I'd buy a lot more😁,745589598957481984
karrrahh,2016-06-22T12:28:00,@McDonalds You wish your food looked like that,745594259273842688
bigdAU256,2016-06-22T12:34:00,"@McDonalds, we need a chicken mcgriddle",745595760138387456
SeanRyanFox,2016-06-22T12:37:00,@McDonalds install tablets in restaurants. Kids sit glued to 'Name the Brand'/Logo Quiz games. A generation screwed. https://t.co/O5K0xBoFEA,745596564836655104
MorganRichard03,2016-06-22T12:38:00,@McDonalds can y'all deliver breakfast please,745596726652854272
kayyyluh17,2016-06-22T12:42:00,@McDonalds so glad I opened my breakfast sandwich before I kept eating!!! I'm beyond disgusted https://t.co/YZcOdYkZll,745597909001973761
olivia_gillen,2016-06-22T13:13:00,@McDonalds can u make all day normal menu? I would eat chicken nuggets for breakfast any day😂😂😂,745605715960561665
healthycyanide,2016-06-22T13:27:00,@McDonalds do you guys not have steak egg and cheese bagels in NYC anymore? Can only find with sasauge replacement,745609073022869505
dms572Singh,2016-06-22T14:06:00,@McDonalds  why there is no home delivery service in kolkata?,745618865170714625
DaijonPlummer,2016-06-22T14:09:00,@McDonalds  bring back the Oreo frappe,745619778203684864
FrayDidas,2016-06-22T14:10:00,@McDonalds follow me!,745619869199114240
JGuevara24,2016-06-22T14:20:00,@McDonalds your customer service is trash.,745622488256745472
HOOPLAHcom,2016-06-22T14:40:00,@McDonalds is uniting nations with ads for #Euro2016 https://t.co/28uahpCYMJ,745627516547829764
sprintz18,2016-06-22T14:48:00,@McDonalds oh my way!,745629548520288256
MadisonDraher,2016-06-22T14:52:00,@McDonalds 😂😭😭😭😂,745630600279789568
MartinGoff5,2016-06-22T14:55:00,@McDonalds This is for McDonald's and everybody the fries you eat you don't and can't digest them right in your digestive system.,745631423147675648
MartinGoff5,2016-06-22T14:57:00,@McDonalds And also they have a slaughter house for their hamburgers so all of your food is practically junk.,745631785887932416
charstorey1,2016-06-22T15:01:00,@McDonalds cheers babes,745632880542507008
johnybigwig,2016-06-22T15:04:00,@McDonalds Invisible Flakes in my daughters Flake Mcflurry Caerphilly McDonalds at their best AGAIN! #alwayswrong 😭😢 https://t.co/pIEYRNOoOK,745633645524811776
ElliotSylv,2016-06-22T15:08:00,"@McDonalds 

Shoot yeah! I just left.",745634622856278016
apauly320,2016-06-22T15:21:00,@McDonalds eating my hashbrown now! 😍😍🔥,745637967134343168
