screen_name,created_at,text,id
MrsC_PreKClass,2016-06-13T22:41:00,@pfizer Please RT💜PreK wants to Grow a Frog! Help us before we lose our match! Every $1 counts. https://t.co/tmanGeuk1j,742487038360981504
ms_msmarshas,2016-06-13T22:55:00,"@pfizer you mean race to patent/ market some drug regardless of efficacy, side effects. All about your  profits regardless of public benefit",742490624151015424
verifiedstats,2016-06-14T01:00:00,@pfizer congratulations with having your account verified by Twitter. https://t.co/kMyQKSbpdh,742521955719483392
chatterboxpro,2016-06-14T03:07:00,@pfizer @Reasonsmovie #TheFeatureFilmReasons Please help support the feature film Reasons? about quitting smoking. https://t.co/n3LV3RPgho,742554130456137728
xtra_3,2016-06-14T10:56:00,@pfizer #austin management sucks,742672022564528128
revista_rsevzla,2016-06-14T22:45:00,@pfizer estrena página web para brindar orientación médica https://t.co/et1MKFTCwI https://t.co/kB48Zk1Vtk,742850458142814208
aai8697,2016-06-14T22:58:00,@pfizer I would like to have my blood and system tested. My metabolism is naturally very high and I get sick very seldom. Jaundice when born,742853809710338049
HALOPress,2016-06-15T02:06:00,@pfizer APPLICABLE,742901001200377856
ArenaIntCTS,2016-06-15T15:20:00,@pfizer investigates the role of the #clinical supply chain to ensure patient adherence to treatment #CTSSoutheast #Day1 #event,743100860574633985
mana_morena,2016-06-15T15:32:00,"@pfizer BUEN DIA ESCRIBO DESDE VENEZUELA, NECESITO URGENTE DOSTINEX TENGO MICROADENOMA Y MIS DOLORES DE CABEZA SON MUY FUERTES",743103812026634241
MigeumB,2016-06-15T15:47:00,"@pfizer Melinda Gates, families,Files. children still using those horsemeats.  Bill copied",743107546798522368
RockyTayeh,2016-06-15T16:03:00,@pfizer find a new social media poster. You should know if your employees work for DEA/FBI it means they are married to sabotage,743111726137106435
kshillo,2016-06-15T16:12:00,@Pfizer + @Galvanize Seek Second Startup Cohort to Participate in Joint Health &amp; Wellness Innovation Program https://t.co/m7xrOthZqR,743113850694705153
encephalitisava,2016-06-15T18:35:00,@pfizer thanks so much for the funding training day today. Great work! 🤓,743149857205018626
revista_rsevzla,2016-06-16T00:45:00,@pfizer estrena página web para brindar orientación médica https://t.co/fecfGLHK4d https://t.co/5S6tiXPWQD,743243029578940416
nathankirkwood,2016-06-16T11:28:00,@pfizer @morningmika,743404966891520000
nasmnka,2016-06-16T11:53:00,@pfizer @Roche @Novartis @LillyPad @TakedaOncology @AstraZeneca @sanofi  https://t.co/cIY0ySpeav,743411095080165378
rebeccainjc,2016-06-16T12:03:00,@pfizer Disappointed in ThermaCare heatwrap product that DID NOT heat!,743413719930183680
RafaelExito,2016-06-16T12:22:00,@pfizer I have immediate availability  also all supports and documents in EE : UU  needed to close the sale. https://t.co/CKEEoXoSfz,743418390937743360
tams_37,2016-06-16T13:47:00,@pfizer Your marketing team should use an ad solution w/better brand safety. Ads are on the OPD underage sex scandal https://t.co/jgxdYEmmVo,743439744525164546
Bergerholz,2016-06-16T15:50:00,@pfizer https://t.co/0aoNoW3a61,743470744017874944
fullintel,2016-06-16T16:37:00,@pfizer Pfizer was a high impact exhibitor at #BIO2016. See what the data says in our Media Impact Report: https://t.co/MvJhy5kokR,743482532583211009
KarynPolito,2016-06-16T18:53:00,@pfizer #Andover celebrating the expansion of manufacturing facility. Grateful for the jobs this brings to MA https://t.co/LTqGIVztY4,743516754387812352
biogerontology,2016-06-16T19:45:00,@pfizer @getold @Indiegogo The biggest idea to date. Deep learning for drug discovery https://t.co/Ydb7GTnJta,743529852179996673
drdavidguerra,2016-06-17T03:13:00,@pfizer MICROBIOS: Mejor tenerlos de amigos que de enemigos. Debemos recuperar el Equilibrio Ecológico: https://t.co/FjqhRZrhdQ …,743642772670918657
selena66537336,2016-06-17T03:30:00,"@pfizer Pharmaceutical Packing Material manufacture offer with FDA,ISO
We offer free sample for your testing first. https://t.co/O6DkWo3Gdi",743646935525974017
talarico_c,2016-06-17T05:10:00,@pfizer IS THIS ABOUT BEING CURED OF IMPOTENCE WITH VIAGRA SO HE COULD HAVE LITTLE GIRL.???,743672253259231232
TAPBiosystems,2016-06-17T10:55:00,@pfizer  eyes 2019 start of operations at $200M clinical US manufacturing facility https://t.co/NCxLKPaI82 #pharma #single-use,743758867176132608
PatrickJMcCann3,2016-06-17T12:54:00,@pfizer Supports UN #GlobalGoals https://t.co/MGt9DyUeu7 #PfizerColleague @TheGlobalGoals,743788984107667456
Lubomyr_USC,2016-06-18T23:46:00,@pfizer https://t.co/ZZ6deOFTA3,744315289085456384
Ashish_yadav09,2016-06-19T11:57:00,@pfizer,744499267255971841
Ashish_yadav09,2016-06-19T11:57:00,@pfizer,744499244267016193
SamBrownInc,2016-06-19T15:10:00,"@pfizer, @Novartis, @bmsnews join $45M round for early fibrotic disease startup, Blade Therapeutics. https://t.co/zcJudLDiWW",744547851968057344
leoferreira78,2016-06-19T16:44:00,@pfizer,744571565455577088
mohammedalqub13,2016-06-19T22:49:00,"@pfizer it is a great mercy to pay attention to those who are in shade , whom no one paid them attention for decades ago",744663487268347904
Crowdacure,2016-06-19T23:31:00,@pfizer #pfizer #pharma recognise the power of the crowd. @Crowdacure looks to support hard to fund medical research https://t.co/PBrPM5f4bR,744673912957640704
