screen_name,created_at,text,id
Ryanair,2016-06-19T14:27:00,@SionOwain 2/2 they can added it to your booking. Infant fee is 20€/£ per sector. Thanks MV,744537214068072448
Ryanair,2016-06-19T14:31:00,"@diegoarma66 Hi Diego, please contact reservations and they would do it for you for free  https://t.co/4sAU6NFMuB or https://t.co/adz7yA5yEG",744538205018537984
Ryanair,2016-06-19T14:42:00,"@x_jane96 1/2 Hi Sarah, all passenger are allowed 2 hand luggage 1 bag 55x35x20cm and 2 bag 35x20x20cm.",744540754765320192
Ryanair,2016-06-19T14:43:00,"@bflatflute1 Hi, please contact airport staff for assistance. Thanks MV",744541046600773633
Ryanair,2016-06-19T14:53:00,@LottieAshford Hi  please contact reservation for assistance on this matter https://t.co/adz7yA5yEG Thanks MV,744543736076599297
Ryanair,2016-06-19T14:53:00,"@x_jane96 10 kg, Thanks MV",744543548041793538
Ryanair,2016-06-19T14:58:00,@brianging the reason for the delay is minor technical issue that is currently being solved. Thanks MV,744544894472097796
Ryanair,2016-06-19T15:12:00,@steve5424 @samanthaself Hi Stephen. Please check these 2 links https://t.co/9ue0kwA6Qa and https://t.co/PMxo4ZAeV7 Thanks. JS,744548499467935744
Ryanair,2016-06-19T15:17:00,"@SionOwain Yes, for 3 years old it will be the same as for an adult. Thanks. JS",744549550271107072
Ryanair,2016-06-19T15:25:00,"@SkinnyMinnys_Uk Hi, Yes but it has to be under 100ml. Thanks. JS",744551735558029312
Ryanair,2016-06-19T15:34:00,@ughitssophie Hi Sophie. It should be ok but last word always belongs to the airport security. Thanks. JS,744553923067936768
Ryanair,2016-06-19T16:03:00,It's not too late to get your dad the perfect #fathersday gift! Tweet us your funny #RyanairDadPics to win! https://t.co/013zlgJWIh,744561153792086020
Ryanair,2016-06-19T16:09:00,@madeupof Hi Rachael. Can you please try a different browser. Thanks. JS,744562880431915009
Ryanair,2016-06-19T16:09:00,"@mariinasanchezz Hi, If names are the same as in your travel document, it should not be a problem. Thanks. JS",744562713951617024
Ryanair,2016-06-19T16:10:00,@AnnaGirstun Hi Anna. Can you please try a different browser. Thanks. JS,744562952515239936
Ryanair,2016-06-19T16:19:00,@AnnaGirstun Can you please clear your browsing history as well (CTRL + SHIFT + DEL). Thanks. JS,744565325111394304
Ryanair,2016-06-19T16:20:00,"@scot_lass Hi, Yes you can another bag via ""manage"" option on the website. Thanks. JS",744565456690946053
Ryanair,2016-06-19T16:23:00,@Jamierfrancis Hi Jamie. Please go on this website https://t.co/mDPJIQz0bK and fill in the form. Thanks. JS,744566299926364160
