screen_name,created_at,text,id
tmcgal,2016-06-22T07:53:00,@Ryanair  Ireland or of not them Wales! :-) Realistically Spain perhaps :-) #COYBIG,745525135520632832
keithoward,2016-06-22T08:10:00,@Ryanair Any chance of a few free gargles for the green army on the delayed 06:30 to Brussels?,745529427954565121
Verbraak,2016-06-22T08:11:00,@Ryanair Thank you.,745529624407343104
bensideshow,2016-06-22T08:24:00,"@Ryanair okay, I just don't want to cause any delays by letting you wait for checked in passengers",745532965560553473
soracha8,2016-06-22T08:44:00,@Ryanair my sister has booked a flight using only the last of her double barreled surname- will this be an issue?,745537885907017728
CoralFletcher,2016-06-22T08:49:00,@Ryanair can you tell me why the flight I looked at on Sunday and then went to book last night has now increased by over a £120?,745539285944721409
lauren_eileen_,2016-06-22T08:57:00,@Ryanair can i refund my flights london gatwick - belfast return 7th-25th july?,745541249352929280
Brithairclinic,2016-06-22T09:04:00,@Ryanair please do something about your customer service. It's appalling,745543056393281537
emmarutherford2,2016-06-22T09:09:00,@Ryanair online chat nobody available rang your call centre times either nobody answered or we got hung up on 5times Absolutely disgusting,745544278147923968
wendy1950,2016-06-22T09:10:00,@Ryanair we have a flight back to UK from Alicante 29th  what will happen with the Spanish air strike ?,745544500622200833
ShaunaMcHenry,2016-06-22T09:16:00,@Ryanair £50 to add a 15kg bag each way on a £50 flight? Ridiculous 😏,745545944142254080
Samboraholic1,2016-06-22T09:20:00,@Ryanair can I take an electric toothbrush with removable head and its charger in hand luggage?,745547077896200192
TheHumphs,2016-06-22T09:33:00,@Ryanair we are travelling with our 18-month old &amp; she is currently sat with us. Was keen to find out about comfort seats (Have checked in.),745550307728330752
wendy1950,2016-06-22T09:37:00,@Ryanair in papers here in Spain it says it has been announced they will be on strike?,745551212112601089
fisher_kyleigh,2016-06-22T09:40:00,"@Ryanair I fly tomorrow, have checked in via the app and received the scan code.. Do I need to print anything else off?? Or is that it??",745552026851893248
opensaggart,2016-06-22T09:49:00,@Ryanair Thanks for sorting replacement aircraft to BRU. #COYBIG,745554363523829760
anitaobregon,2016-06-22T09:52:00,"@Ryanair tiene muy poca vergüenza, exijo que devolváis el dinero inmediatamente. Haced RT amig@s, esta no pasa.  https://t.co/Jzv2nMNymZ",745554997232836608
kelly1latorre,2016-06-22T09:58:00,@Ryanair @SteveShep79 @pistolpeteward see comments the card u say u used was not used when booking made you must have other cards ?????,745556673440342016
Shaktimary,2016-06-22T09:58:00,@Ryanair unaceptable..pb is from ryanair mistake. costs me 100 €more &amp; flight 2 days later. please find new solution,745556653886447616
JGollagly,2016-06-22T09:59:00,@Ryanair Then back to my very first tweet you ignored. What is the usually turnaround for a complaint sent to your head office?,745556849517203456
enayteeaychayen,2016-06-22T10:02:00,@Ryanair do you allow tripods on as hand luggage?,745557489106583552
MaryCarbery1,2016-06-22T10:11:00,"@Ryanair My mum and I have the same name, was advised on a pop up to put jnr or snr after one of the surnames so i did, is this right?",745559864454176769
glynbeauchamp1,2016-06-22T10:11:00,@Ryanair what is going on with flight FR1271 Belfast to Gatwick. Your staff don't seem to be able to explain. #frustrating.,745559845282025472
melwakely,2016-06-22T10:19:00,@Ryanair when are May 2017 flights on sale?,745561845478498305
CoffeeLatino,2016-06-22T10:36:00,@Ryanair Newcastle - Dublin on this mornings flight.... The Spanish Air Hostess' were Lovely big thumbs up 🙌🏽☘☘,745566148339589120
DaveyHiggins,2016-06-22T10:37:00,"@Ryanair heya, can't get through on phone number. Wondering if you are doing flights from Cork to Carcassonne or Girona in September?",745566492507373569
JGKofficial,2016-06-22T10:37:00,@Ryanair My flight to Brus from Dub is delayed tomor. In my booking I've got a return on Thurs. Can I still use return if I refund outbound?,745566300831879168
Francesca991,2016-06-22T10:40:00,@Ryanair just did thank you!,745567190292783104
valentides,2016-06-22T10:49:00,"@Ryanair Italy 2
Rep Ire 2",745569464167632896
miniregent,2016-06-22T10:51:00,@Ryanair Ireland 1-1 Italy #RyanairWinWednesday,745569778018942976
suenatal,2016-06-22T10:56:00,@Ryanair #RyanairEuros 1-1,745571057541779460
ComeraghMatt,2016-06-22T11:01:00,@Ryanair only so that you can hire Eastern Europeans on crap contracts instead of hiring UK staff,745572374033084416
PaulineAlbala,2016-06-22T11:06:00,@Ryanair flight FR2933 tomorrow cancelled! Please DM me i have some questions!,745573728197742592
skylarwhite2000,2016-06-22T11:17:00,@Ryanair wish you did a competition to win football tickets/flights etc!!! Really want to be in Paris! Would ve a dream! :-( #EURO2016,745576451852873728
